,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X601877.SH,X000100.SZ,X300003.SZ,X002241.SZ,X002007.SZ,X000157.SZ,X002463.SZ,X600271.SH,X002179.SZ,X300142.SZ,X300124.SZ,X000625.SZ,X000066.SZ,X002008.SZ,X600867.SH,X300014.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X600498.SH,X300136.SZ,X600066.SH,X600177.SH,X002506.SZ,X002371.SZ,X300146.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,0,0.351079937385617,-0.059590408369072,0,0,0,0,0,0,0,0,0,0,-0.112949644574105,0,0,0.0358388537284109,0,0,0,-0.0493855319441208,0.138709230942698,0,0,0.0326083462626765,0,0,0,0,0,0,0,0,0.00430670829225177,0,0,0,0,0.000511648687123493,0.196180870261538,0,0,0,0,0,0,0,-0.000520447680185928,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,-0.112814653200502,0,0,0,0,0,0,0,0,0,0.141759281162707,0,0,0,0,0,-0.0440538642916543,0,0,0,0,0,0.0130986795065212,0,0,0,0,0.410858475282056,0,0,0,0,0.117496599683361,0.15774380020904,0.126989763526004,0,0,0,0,0,0.0976102734551434,0,0,0,0,-0.00236133945109405,-0.00333547879468934,0,0,0,6.93889390390723e-18,0,0
X002008.SZ,0,0,0,0,0,0,0,0.211294567203742,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.193089325026471,0,0,0,0,0,-0.257469343663501,-0.0361336766329978,0,0.00547726781163889,0.236625907280506,-0.378587473489593,0,0.287146801214973,0,0.577875051421541,0,0,0.304518323677532,0,0.170054110596377,0,0,0,-0.0122640079519758,0,0,0,0,0,0,0
X600867.SH,0,0,0,0.175299257498938,0,0,0,0,0,0,0.0379648717775889,0,0,0.106152150089997,0,0,0,0,0,0,0,0,0,0.12981363893664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602835406223906,-0.040952188936074,0,0,0,0,0,0,0,0,0,0,0,0,-0.045115158248649,0.0383628749235998,0,0,0,0.0407793645195165,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.297086467379314,0,0.0489196440002813,0,0,0,0,0,0,0,0.388986254383031,0,0.148869531146376,0,0,0.0508483816154952,-0.0764179709118503,0.279588837837891,0,0.215218073497783,0.0432290266077849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150687539781019,0,0,0,0.331143347978398,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.0840519600917672,0,0,0,0,0.130929868618437,0,0,0.209729669112681,0.0479846505401669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.395755606966618,0,0,0,0.0512838216052131,0,0,0.155855533911569,0,0,0,-6.93889390390723e-18,-0.16399371828224,0.403219470409404,0,0,0.0874452698366077,0,0,0,0,-0.259597414580225,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0.0679217153209742,0.0484896239090776,0,0,0,0,0.0181796266633058,0.0245599987300832,0,0,0,0.219306497116436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166338120183976,0,0,0,0,0,0,0,0.231171274959096,0,0,0,0.137113663204955,0.144870420422936,0,0,0,0,0.0127376769165751,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523014992393021,0,0,0,0,0,0,0.246761990448283,0,0,0,0,0,0,0,0.311120290033755,0.255830367159153,0.00988746484927625,0,0.101422845510145,0.44952840524787,0.0192228569626831,-0.214095800672315,0,0,0,0,0,0,0,0,0.218867083217921,0,0,0,0,0,-0.0550395579935903,0,0,0,0.122061967486454,0,0
X600498.SH,0,0,0,0,0,0,-0.259224390631125,0,0.120273615227098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149758601572228,0,0,0.300477575504123,0,0,0,0,0,0,0,0,0,0.00335163869256046,0,0,0,0,0,0
X300136.SZ,0,0,0,-0.0790232476350044,0,0,0,0,0,0,0,0,0,0,0,0,0.0470646740020544,0,0.0862626604333515,0,0,0.220192975231381,0,-0.214058779344802,0,0,0,-0.0423040563947722,0.145407556829927,0,0,0,0.0711023263891827,0,0,0.420291253217288,0,0,0.189369067719382,0.201043701339462,-0.131718099192134,0.0361221133616661,0,0,0,0,0,0,0,0,0,0,-0.00859938723734092,0,0,0,0,0,0
