,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600839.SH,X600522.SH,X600741.SH,X600183.SH,X600066.SH,X002456.SZ,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X600487.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0,0,0,0,0,0.354881432946335,0,0,0.396265007764855,0,0,0,0,0.0381778154674479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205049387801655,0,0,0.0229094856645251,0,0,0.0334002433148881,0,0,0,0.023655039335531,0,0.0783553944108256,0,0,0,0,0,0,0.0258006127782964,0,0,0,0,0,0
X000100.SZ,0,0.0280944179925906,0,0,0,0,0,0,0,0,0,0,0.0690012328851449,0,0,0,0,0,0.119746788171645,0.230801017709764,0,0,0,0,0,0,0,0,0,0,0,0,0.0388274176667081,0,0,0,0.103597346795052,0,0,0.0534766044183532,0,0,0,0,0,0,0,0,0,0.0564883015399457,0,-0.0366309733265386,0,0,0,0,0,0,0
X002179.SZ,0,0.0263755478240406,0,0.0273590268531786,0,0,0,0,0,0,0,0,0,0.190215199680181,0,0,0,0,0,0.00252349230469204,0,0,0,0,0,0,0,0,0,0,0.178898862654599,0.0683196317861696,0,0,0,0,0,0,0,0,0,0.0169116899899261,0,0,0,0,0.052489145180878,0,0.20422438358584,0.0247505397257274,0,0,0,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0,0.067836169415069,0,-0.0715741807477353,0,0,0,0,0,0,0,0,-0.133886352251287,0,0,0,0,0,0,0,0.51046746282031,0.0520613108668716,0,0,0,0,0,0,0.202923217852227,0,0,0.289842992657483,0,0,-0.153269669247398,0,0,0,0,0,0,0,0.020337293850974,0,0,0,0.079156512918713,0,0
X002241.SZ,0,0,0,0,0.2188375155613,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.231874372278629,0,0.0421821989131883,0,0,0,0,0,0.125056036304282,0,0,0,0,0.0419042196947317,0,0,0,0,0,0.189237309823661,0,0,0,0,0.0863368773324531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289812250860046,0,0
X600584.SH,0.0219090838936926,0,0,0,0,0,0,0,0,0.0401886630462861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155125238029681,0.184607293158802,0,0,0,0,0,0,0.113112529616495,0,-0.202193541025336,0.183707775605335,0,-3.3881317890172e-21,0,0,0,0,0,0,0,0.0981243684805242,0,0,0,0,-0.0233748919973208,0,0,0,0,0,0,0.0101332206399718,0,0
X002463.SZ,0,0,0,0,0.123480888406785,0,0,0,0.109201524908787,0,0,0,0,0,0,0,0,0,0,0.0428453382606555,0,0,0,-0.0915613296916367,0,0,0,0.0338944025570123,0,0,0,0,0,0,0.346997275055385,0,0,0.137490658539818,0,0.471837387525511,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.137072319091568,0,0,0,-0.0738927621710523,0,0,-0.0639628570508724,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.0687775050067397,0,0,0,0,0.109197576203073,0,0,0,0,0,0,0,0,0,0.0719037368629105,0,0,0.1100020548036,0,0,0,0,0.0852408222549281,0,0,0.182147061016899,0,0,0,0,0,0,0.137693924139626,0,0,0,0,0.131349945402965,0,0,0,0,0,0,0,0,0,0.0937236961859649,0,0
X600089.SH,0,0.0306128368173072,0,0,0,0.213868747574924,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0337320445705748,0.182680964030841,0,0.150640820759553,0,0,0,0,0,0,0,0,0,0,0,0,0.0576137160596756,0,0,0,0,0.113976295130865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144195539681716,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192198230961151,0,0,0,0,0,0.146807204649753,0.0849139833618925,0.0971607571474474,0,0,0,0.0283162644747325,0,0,0.192754493816474,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.00812574082387508,0,0,0,0.0557673803859777,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.234755646484881,0,0,0,0,0,0,0,0.0733041493699797,0,0,0,0,0.110047800620233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143432191558754,0,0,0,0.118712652725706,0.0480294691819324,0,0,0,0,0,0,0,0.15206337968444,0,0,0.062615217359961,0,0,0,0.0778910892464275,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277816829738755,0,0,0,0,0,0,0.436526100547937,0,0,0,0,-0.0634499294637278,0,0,0,0,0,0,0,0,0,0.0505337010874661,0,0,0,0,0,0,-0.101992563934986,0.246364030936767,0,0,0,0,0.066083526661855,0,0,0,0.105927315930261,0,0,0.316867084976881,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.158505685255722,0,0,0.0192597393794352,0,0,0.145825971298277,0.312064814757,0,0.117941394585082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588621374629241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00852738252701664,0,0
X002028.SZ,0,0.102406305751056,0,0,0,0,0,0,0.077793369751671,0,0,0,0,0,0,0,0,0.0035781408085928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184782467467534,0,0,0,0,0,0.227553125077433,0,0,0,0,0,0,0,0.0152213887644875,-0.0466745004734833,0,0,0.0241261813579385,0.0740195666752939,0,0,0.0458869813445976,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.233814627725064,0,0,0,0,0.083556117211081,0.0220937910546096,0,0,0,0,0,0,-0.00815305581682163,0,0,0,0.144696762880164,0.0241932968328628,0,0,0.405666777534684,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0970619165366754,0,0,0,0,0,0,0,0,0.114555631569112,0,0.00989031473052913,0,0
X002236.SZ,0,0,0,0,0,0.196556812597734,0,0,0,0,0,0,0,0.154449285756062,0.0351610830679807,0,0,3.46944695195361e-18,0,0.178340076924422,0,0.0474468011991329,0,0,0,0,0,0,0,0,0,0.0761840577548685,0.0223243776190982,0,0,0,0.0370995269318765,0,0,0,0,0.0157814164344253,0,-0.00510046710598738,0,0,0,0,0,0,0,-0.0107193475726816,0,0,0,0,0.0446885673140935,0,0
X600839.SH,0,0,0,0,0,0.020965255277861,0,0,0,0,0,0,0,0,0,0.355314575249709,0,0,0,0,0,0,0,-0.00799684752507961,0.112917551641461,0,0.085009784036359,0.115632102119528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322870765239287,0,0,0,0,0.245475731660577,0,0,0,0,0,-0.138860068530013,0,0,0,0.0719261598265739,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297908351775117,0,0,0,0,0,0.0431232479498683,0,0,0,0,0,0,0.166731956955986,0,0.108476068957838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283566459053269,-0.0934007962039582,-0.033607114102187,0,0,0.0430365954416576,0,0,-0.00457906779748544,-0.0824186493126706,0,0,-0.00345239136615539,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0.0465803464944088,0,0,0.000338965715341612,0,0,0,0,0,0,0,0,0.0346429323283097,0,0,-0.0383319637165885,0.126371972743421,0,0,0,0.00612416144303473,0,0,0,0,-0.111898131137344,0,0,0,0,0,0,0,0,0.132003677932602,0,0.586466587008979,0,0,0,0,0,0,0,0,0.0494709567424152,0,0
