,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X002008.SZ,X600487.SH,X000100.SZ,X600498.SH,X300124.SZ,X000661.SZ,X002456.SZ,X600867.SH,X002179.SZ,X600566.SH,X000625.SZ,X300146.SZ,X300142.SZ,X600809.SH,X000157.SZ,X000596.SZ,X600177.SH,X002180.SZ,X600372.SH,X002294.SZ,X600089.SH,X002506.SZ,X600066.SH,X300136.SZ,X600522.SH,X000977.SZ,X002241.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0,0.131917012297563,0,0,0,0,0,0,0,0,0,0,0.239541801599824,0,0,0,0,0.322033627283684,0,0,0,-0.0685967459359608,0,0,0.326246689821833,0,0,0.284027286268887,0,0,0,4.33680868994202e-19,0,0,0.0187361948874699,0,0,0,0,0,0,-0.0601660875907609,0,0,0.222142906782792,0,-0.0130052575841172,-0.0604118635314677,0,0,0,0,0,0
X300003.SZ,0,0,0,0.828437562196822,0,0,-0.00112282189174644,0,0,-0.125224796912119,0,0,0,0,0,0,0.0122610596936022,-0.314668382980117,0,0,0.269812378075142,-0.129255936485162,0,0,0,0.107383354170327,0,0,0.0324231858032089,0,0,0,0,0,0,0,0,0,0,0.0519704416400231,0,0,0,0,0.156639153198567,0,0,0,0,0,0,0.0354423949882453,-0.0146416166560293,0,0,0,0,0,0
X600741.SH,0,0,0,0,0.0483510535635578,0,0.0255241072133441,0,0,0,0,0.0577980153998162,0,0,0,0,0,0,0.0276854606200066,0,0,0,0,0,0,0,0,0,0,0,0,0.189870622062473,0,0.00709964140380434,0.220328527878467,0,0,0,0,0,0,0,0,0.118635715763735,0.0524889895744433,0,0,0,0.0943591384772512,0,0,0.00514830812252216,0,0,0,0,-0.00199447812700402,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.178244353376731,0.0178888010398963,0,0,0,0,0.0625713601445663,0,0,0,0,0,0,0,0,0,0,0.0271202488338638,0,0.20416306718667,0.0204687118074374,0,0,0.0146262153352813,0,0.0200935382661984,0,0,0,0,0,0,0,0,0,0,0,0,0.0172343143984245,0,0,0,0,-0.00422729331886193,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,-0.135183790079763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158359621299209,0,0,0,0.114125991328974,0,0,0.370794154740377,0,0,-0.139388234803472,0.0933533126218554,0,0,0,0,0,0.177426791377931,0,0,0,0,0,0,0.627944151228015,0,0,0,0.131732852562433,0.0131531794311002,-0.0322011782209312,0,0,0,0,0,0
X002236.SZ,0,0,0.703424280026257,0,0,0,0,0,0,-0.0137743081259859,0,0,0,0,0.0579788720968445,0.279637313756364,0,0,0,0,0,0,0,0,0,0,0.0814657038789847,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354446585330632,0,0,0,0,0,0,0.137634662645178,0,0,0,0,0.000524707121678862,0.0129991475549056,0,0,0,0,0,0
X002007.SZ,0,0,-0.0204711639710335,0,0,0,0,0,0,-0.00313291429352204,0,-0.177036820114455,0,0,0,0.174507900136072,0,0,0,0,0,0,0.327585912661465,0,0,-0.0551156369892701,0,0,0,0,0.317017146934346,0,-0.029114682159353,0,0,0,0.115535337475841,0,-0.117762249071495,0,0,0,0,0,0,0,-0.0769478231982421,0,0,0,0,-0.0188951117471685,-0.0318760522185935,0,0,0,0,0,0
X002008.SZ,0,0,0.115205756735202,0,0,0.19537223739594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213046389585107,0,0,0,0,0,0,0,0.162671266401606,0,0,0,0.166469322838722,0,0,0,0.0266500768988626,0,0.188927824464256,-0.037299952778584,0,0,0,0,0.0185665018309898,0,0,0,0,0,0,-0.00926762116863516,0.0567064428093755,0,0,0,0,0,0
X600487.SH,0.065858979852954,0,0,0,0,0,0,0.00981933975362466,0,0.374793950802951,0,0,0,0,0,-0.15780418949548,0,0,0,0,0.447145720338473,0,0,0,0.244953083545885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2745345998781,0,0,0,0,0,0,0,0,0.0283904785942045,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.166128614954309,0,0.104531799277631,0.0372358128944951,0,0,0,0,0.0339930133714947,0,0,0,0.034171028006144,0,0,0,0,0,0,0,0,0.0128546225683008,0,0,0.203676071670286,0,0.0819722423524708,0,0,0,0,0,0.0494873956486402,0,0,0,0,0,0,0,0,0.201108870260734,0,0,0.00834810399564027,0,0,0,0,0,0,0
