,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600183.SH,X002241.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300003.SZ,X002236.SZ,X601877.SH,X000157.SZ,X300142.SZ,X000100.SZ,X000066.SZ,X002463.SZ,X002179.SZ,X002008.SZ,X300124.SZ,X600271.SH,X300136.SZ,X000625.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X300014.SZ,X600498.SH,X000977.SZ,X600066.SH,X002049.SZ,X002456.SZ,X002180.SZ,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0.00354285582039347,0,0,0.117955048122976,0.0017887161001577,0,0,0,0.049111706676566,0,0,0,0,0,0,0,0,0,0.0106822566828671,0,0,0,0,0,0,0,0,0,0.0170171062772345,0,0,0,0,0,0,0.133556256285039,0,0.0261998271524658,0,0,0.078453583328786,0,0,0,0.0177685897798278,0,0,0,-0.0452967278130999,0,0
X600809.SH,0.028929726126897,0.506955028860016,0,0,0,0,0,0.00155015977116194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561921016602879,0,0.034229449515621,0,-0.130019747123087,0,0,0,0,0,0.110869762204318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108348300974459,0,0,0,0,0,0,0,0,0,-0.0205936999735131,0,0
X600741.SH,0,0,0,0,0.0367702755258141,0.0316252566715226,0,0.207209551987684,0,0,0,0,0,0,0,-0.24937867726225,0,0,0,0,0,0.291729261631747,0,0,0,0,0,0,0.221778204840829,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.100701172125164,0,0,0,0.156742260664802,0,0,0,0,0,0.0300740674640205,0,0,0,0,0,0,0
X000661.SZ,0,0,0.225338783319429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100414058455507,0,0,0,0,0,0,0,0,0,0,-0.015264934897334,0,0.301372342816616,0,0,0,0,0,0,0,0,0,0.036806943741062,0,0,0,0,0,0.0365397219152655,0.0570698127688496,0,0,-0.00608039941181583,0,0,0,0,-0.0276684258194529,0,0
X600183.SH,0,0,0,0,0,0,-0.167541624852567,0,0,0,0,0,0,0,0,0,0,0,0,0.140282166762492,0,0,0,0,0,0,0,0,0,0.14914252933595,0.267207707436387,0,0.16772160854004,0,0,0,-0.177725724458896,0,0,0,0,0,0,0,0,-0.0410631589644268,0.313009032404679,-0.34698519473851,0.403522241392757,0,0,0.0206980222740422,0,0,0,0,0.0712048878503494,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16939784071612,0,0.097089288279659,-0.160793434965847,0,0,0.47266761220692,0,0,0,0.0870753129162314,-0.0287125368446526,0.10429248311202,0,0,0,0,0.00419578587065209,0,0.249297963554072,0,0,0,0,0,0.0272063928936481,0,0,0.0192686128549496,0,0,0,0,0,0.0125552509081671,0,0,0,0.0527466137919728,0,0
X600703.SH,0,0,0,0,0,0,0.0823977844336098,0,0,0.151564454811991,0,0,-0.250420732429113,0,0,-0.00241503694099785,0,0,-0.0271510280943583,0.0199573301789318,0,0,0,0,0.108174350395835,0,0,0,0,0.178236890944012,-0.0447815572008542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457682838058754,0.20149038871457,0.186533617008703,0,0.0916420580102535,0,0.0121352690592981,0,0,0,0,0.0048238598722785,0,0
X000596.SZ,0,0,0,0,0,0,0,0,0.195412624290933,0,0,0.332132060804186,0,0,0,0.228191286665393,0,0,0.105983606599683,-0.0688986528576359,0,0,0,0,0,0,0.0763488515045929,0,0,0,0,0,0,0,0,-0.0460917267296897,-0.0911635030865292,0.0134896191718404,0,0,0,0,0,0,0,0,0,0,0.101471416600739,0,0,0,-3.46944695195361e-18,0,0,0,-0.0100338355700873,0,0
X002007.SZ,0,0,0,0,0,0,-0.203898731508221,-0.0154049913987067,0,0,0,0,0.165067875965805,0,0,0,0,0.167006049365067,0,-0.0435512475422456,0,0.261475565787853,0,0,0,0,0,0,0.0426273328736524,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-4.33680868994202e-19,0.0269726906502933,-0.039526757924464,0,0,-0.0850404506531724,0,0,0,0,0,-0.0100583544023458,0.0101931192070519,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0.0434279281158327,0,0.0208238052867461,0,0,0,0,0.276397094628707,-8.67361737988404e-19,0,0,0,0,0,0.068123747938344,0.00652228108969853,0,0,0,0,0,0,0.0969912558634239,0,0.160956282790732,0,0,0,0,0,0.0285008499660045,0,0,0.0504832263786316,0.0184133971467853,0,0.125841533825313,0,-0.101287480947326,0,0,0.0300704621089042,0,0,-0.0226813788351533,0,0,0,0,0,0,0
X002236.SZ,0,0,-0.233383080237718,0,0.677035126615284,0,-0.00674073385308296,0,0,0,0,0,0,0,0,0,0,0,0,0.0560009418224879,0.0406782925610171,0,-0.0634607441052849,0,0,0,0,-0.118450152313244,0,0.0237649194258187,0,0,0,0,0,0,0,0,0,0,-0.0353046781801411,0,0,0,0,0,0,0,0,0.161875603129304,0,0.0235627901485586,0,0,0,0,-0.00627366212656442,0,0
X601877.SH,0,0,0,0,0.00487934166501642,0.198109915109023,0,0,0,0,0,0,0,0,0,0,0,-0.032868815467901,-0.0275117279827222,0,0,0,0,-0.139907159913673,0,0,0.08307669888236,0,0,0,0,0,0.0476904001066642,0,0,0,0,0,0,0,0.113612091569009,-0.0110263039312339,0,0.0771061819123693,0,0,0.0319106109606648,0,0,0,0,0.0495962498228445,-5.42101086242752e-20,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.128800842180859,0,0,0,0,0,-0.102693815966083,0.157848827949107,-0.0891321140555711,0,0,0.0312142274746646,0,0,0,0.0553003304286406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723372437827469,0,0,0.0135403027297934,0,-0.0433610274949285,0,0,-0.0388416511583443,0,0,0,0,-0.0822664125142029,0,0
X300142.SZ,0,0,0,0,-0.0892163848221117,0,0,0.0765878194189927,0,0,0,0,0,0,0,0,0.160804294630003,0.142440885116689,0,0,0,0,0,0.0311212621784431,0,0,0.0507288126837895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770820420973957,0,0,0,0,0,0.204437814986565,0,0,0,-0.00153644405112857,0,0,0,0,0.00959206778908813,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0.421518501251067,0,0,0,0,0,0.0210481816895691,0,0,0,0.23177032920441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921867454616966,0,0,0,0,0.0292713373952588,0,0,0,0,0,0,0,0,0,0,0.0102902481034904,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0.19771958148479,0,0,0,0,0,-0.00650392847193549,0,0,0,0,0.140912660876844,0,0,0.0543849318653403,0,0,0,0,0,0,0.223929574513711,0,0,0,0,0,0,0,0.0129652718550701,0,0,0.104716081534958,0,0.00597775258966378,0,0,0,0.233356577541719,0.277140496080628,0,0,0,0,0,0,0,0.0792831475835502,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320753689291001,0,0,0,0,0,0,0,0,0,0,0.222280903548772,0,0,0,0,0,0.491920344061754,0,0,0,0,0,0.120011956052611,0,0,0,0,-0.0943686033218835,0,0,0,0,0.022001705486835,0,0,0,0,-0.0348324935094691,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341240980447055,0,0,0.0164182364621811,0,0,0,0,0,0,0,0,0,0,-0.0848845113244463,0,0,0.200220715488187,0,-0.272237407438327,0,0,0,0.00335232217770236,0,0.275014933192888,0,0,0,0,0,0,0,0,0,0,0,0,-0.000893220301294033,0,0
X002008.SZ,0,0,0,0,0,0,0,0.105307777783216,0,0,0,0,0,0,0,0,0,0,0.127077932160666,0.261268944396639,0,-0.0931919252058123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170644241369326,0,0,0,0,-0.284896526640833,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.016204807585734,0,0,0,0,-0.0624328942529183,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819821671487831,0.100684438069482,0,0,-0.0766833392998607,0.0953972065951945,0,0,0,0,0,0,0,0,0,0.0986181974664292,0,0,0,0,0,0,0,0,0,0.0663634218823789,0,0,0,0,0,0.233192518700655,0,0.137971861562925,0,0,-0.00342457749499465,-0.00780668482289454,0,0,0,0.00867765251014218,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254913705151402,0,0,0,0,0,0,0,0,0.0079313035022975,0,0,0,0,0,0,0.0252871466015776,0,0,0,0,0.0236537742167587,0,0.0316324831531538,0,0,0,0.132602196729337,0,0.00777039995673842,0,0.00549680237688573,0.0801825726126275,0,0,0,0.000957415954980133,0,0
X300136.SZ,0,0,0,0,0,0,0,0.130894680757892,0,0,0,0,0,0,0,0,0,0,0,0.34466676717965,0,0,0,-0.150234933015088,0,0,-0.436674057401149,0,0,0.102088598636643,0.0706885928223415,0.000140119636039231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10900779419912,0,0.0219658991702194,0,0,0,0,0,0,0,0,0.0412725867996619,0,0
