,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002236.SZ,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X600089.SH,X600522.SH,X002007.SZ,X002085.SZ,X002508.SZ,X000066.SZ,X000981.SZ,X300003.SZ,X600867.SH,X002294.SZ,X600699.SH,X000559.SZ,X002292.SZ,X300136.SZ,X002180.SZ,X002074.SZ,X600809.SH,X000623.SZ,X600498.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601877.SH,0,0.297585424064266,0,0,0,0,0,0.0849840688773482,0,0,0,0,0.16867770554927,0,0.0774250175516993,0,0,0.0216712570081525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115320809041818,0,0,0,0,0.0366075140760233,0,0,0,0.0956889652879361,0,0,-0.0252973040097625,0,0,0,0,0,0.0111486327200166,0.0145403924395853,0.0042802166174756,0,0,0,0,0,0
X002236.SZ,0,0,0.0166676522039825,0.09771243549257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184797065933128,0,-0.017403935069967,0,0,0.0251624426025516,0,0,0,0.165703085471771,0,0,0,0.058230998039762,0.0808283611549752,0,0,0,0.00524934030689694,-0.000398800744027758,0,0,0,0,0,0
X600118.SH,0,0,0,0.0547899142387827,0,0.029852815940573,0,0,0,0,0,0,0.0588162243851925,0.0243596934874682,0,0,0,0.0538593733123708,0,0,0,0.20695898805238,0,0,0,0,0,0,0.304558213903001,0,0,0,0,0,0.0111862316420772,0,0.0182267307008679,0,0,0,0.038881898961238,0,0,0,0,0,0,0,0,0,-0.0208654575613696,0.00799807122501218,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,-0.201893313614936,0,0,0,-0.015001111580131,0,0,0.0348725885159536,0,0.241835966107095,0.0745893497861443,0,0,0,0,0,0,0,0,0,0,0,0,0.0827261902931777,0,0,0,0,0,0.0919501710361491,0,0,0,0,0.161650692330268,0.0541028767266058,0.227767016203285,0,0.00286868409122142,0,0,0,0.18255789109878,0.0140620807371449,0.0133365540085249,0,0,0,0,0,0
X600271.SH,0,0,0,0.104478739499418,0,0,0,0,0,0,0,0.154600231227795,0.0619935074072746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543087723544928,0,0,0,0,0,0,0,0,0,0.0242046556048655,-0.056239096584153,0,0,-0.0398595703889739,0,0,-0.160862604931919,-0.114428910862142,0.00657438768633268,0.00282439555654819,0,0,0,0,0,0
X000157.SZ,0,0,0,0.0695945523108417,0,0,0,0,0,0,0,0,0.472665623390827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294956450177114,0,0,0,0,0,0.029856357489218,0.045420859527298,0.0385529881059329,0,0,0,0,0,0.00325977354348576,0,-0.00152485242099527,-2.55637332029035e-05,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0546819282902705,0,0,0,0,0,0,0,0,0,0.114309974100012,0,0,0,0,0,0,0.0532744803659022,0.0841268548615575,0,-0.0792403094306327,0,0.0882519377397786,0,0,0,0,0,0.207032234930773,0.01542997397437,0.0730024651381341,-0.037807742507557,0,0,0.065669754775507,0,0,0,-0.0227822982707133,0.00471335697195988,0,0,0,0,0,0
X600177.SH,0,0.0310979837873235,0,0.0717238953214576,0,0.00722912346525592,0,0,0.0292505721165553,0,0,0,0,0,0.0358003865269351,0,0,0.0310283140242667,0,0,0.0612762438251413,0,0,0,0,0.00177235520118643,0,0,0,0.102187722736256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267184267789422,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0.068121045050311,0,0,0.05626394208469,0,0,0,0,0,-0.0912283289146667,0.128467668988587,0,0,0,0.363077592095162,-0.062824619295184,0.260351598621722,0,0,0,0,0,0.00336244614050162,0,0,0,0.0429121737864157,0,0,0.0441347089383846,0,0,0,0,0,0,0,0,0,0,0,-0.0381638051545651,0,0.00349734393735729,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,-0.0216077186322309,0,0,0,0.105485565556748,0,0,0,0,0,0.08244383698441,0,0,0,0,0,0.0579219601023438,0,0.214031736110896,0,0,0.0124861609163376,0,0.141252790940754,0,0,0,-0.0182930380737162,0,0,0,0,0,0,0,0,0,0,0,0,0.053272229093795,0,-0.0621345069848759,-0.00745490493598454,0.0032479137465964,0,0,0,0,0,0
