,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600183.SH,X000596.SZ,X600703.SH,X002007.SZ,X300003.SZ,X601877.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X300124.SZ,X600271.SH,X002008.SZ,X000625.SZ,X300136.SZ,X600867.SH,X002129.SZ,X300014.SZ,X000977.SZ,X600177.SH,X002506.SZ,X600498.SH,X002049.SZ,X002180.SZ,X600066.SH,X002456.SZ,X600487.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0263540751391897,0,0,0,0,0,0,0,0,0.0434176529394368,0,0,0.0520006060265775,0,0,0,0,0.070758477264484,0,0,0.0515932771565824,0,-0.0284937250121514,0,0,0,0,0,0,0,0,0,0,0,0,0.146845654551864,0.0571304830861947,0,0,0,0,0,-0.0833551019169894,0.144528022764122,0,0,0,0,0,0
X000568.SZ,0,0.707862322967641,0,0,0,0,0,0.102311337348925,0,0,0,0,0.0260238464869545,0,0,0,0,0,-0.110476598283318,0,0.123590680404108,-0.0715996948805316,0.0179033082151876,0,0,0,0,0,0,0,0,0,-0.0143426868994062,0,-1.66132165698095e-06,0,0,0,0,0.0825145491048869,0,0,0,0,0,0.12092463464615,0,0,0,0,0,-0.00739531031530878,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0912932625805415,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.228749886420994,0,0,0.107442800024285,0,0,0,0,0,0,-0.0404244722632052,0,0,0.0750070114646131,0,0,0,0,0,0,0,0,-0.0303333979460629,0,0.0226540708958106,0.00423981097796742,0,0,0,-0.0198952431484762,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270976027618555,0,0,0,0.0272942506301209,0,0,0.215604668283301,0.0816346522217812,0,0,0,-0.0943408073594956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221270647047603,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.125666325289838,0,0,0,0,0,0,0,0.0740591505242531,0,0,0,0,0,0,0,0,0,0,0,0.0695403385524088,0,0,0,0.0106566628762722,0,0,0,0.0381756613639637,0,0,0,0,0.0958413824374213,0,0.0311152693282156,0,0,0.0508946375044803,0,0,0,0.0784026253093407,0,0,0.0661333071782005,0,0,0,-0.0018716236293146,0,0
X600741.SH,0,0,0,0,0.000338598330154361,0.178506916753989,0,0,0.223814556661343,0,0.0553212321577091,0,0.12077473161506,0,0,0,-0.243070127584505,0,0,0,0,0,0,0,0,0.103943396705359,0,0,0,0.0357454661416597,0,0,0,0,0,0,0,0,0,0.0542806396198378,0,0,0,0,0.0743493143492892,0,0,-0.0136610293460743,0,0,0,0.0110006319383525,0,0,0,0,0,0,0
X600809.SH,-8.67361737988404e-19,0.492154998906063,0,0,0,0,0,0,0.0105475191694229,0,0,0,0,0,0,0,0,0,0,0,0.0984871671866214,0,0,0,-0.170322672201978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177285867117473,0,0,0,-0.00394786498851364,0,0,0,0,-0.00945074442375004,0,0
X000661.SZ,0,0,0.326269730832069,0,0,0,0,0,0,0,0,0.110898402229584,0,0,0,0,0,0,0,0.0933186085590961,0,0,0,0,0,0,0,0,0,-0.0347619718535306,0.04263169094059,-0.0112766863897647,0,0,0,0,0,-0.143486912608444,0,0.0563020058871848,0,0,0,0,0,0,0,0,0,0,0,0.00529076238174525,0,0,-0.282435971096532,0,-0.0278979754169998,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155275434073234,-0.182031242838942,0.0700755624761408,0,0,0,0,0.362348099781525,0,0,0.0342946519720405,0,0.106352171644754,0,0,0.0740837367515587,0,0.115707437918811,0,-0.0539171579924479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155085089688729,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437317766624171,0.074477639750833,0,0,0,0,0,0,0,0,0,0,0.273082369473768,0,0.17197557453791,0,0,0.175857820467883,0,0,0,0,0,0,0,0,0,0,-0.0878429026090045,0,0.433863472045469,0,0.13185793994938,0,0.0912083695849007,-0.0770195970361941,0,0,0,0.0831417881997541,0,0
X000596.SZ,0.0393518781771568,0,0,0,0,0,0,0.2622143212019,0,0,0,0.340310627705486,0,0,0,0,6.93889390390723e-18,0,0,0.105287454965965,0,0,0,0,0,0,-0.0550983598685695,0,0,0,0,0,0,0,0,-0.155116908017332,0,0.0501485541895166,0,0,0,0,0,0,0,0.106100088471428,0,0,0,0.0335984800630446,0,0.0188206898236723,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.363892655316601,0,0,-0.0320769090857082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975197149543309,0,0,0.101128970495049,0,0.0251635184896426,0,0,-0.0575698497338803,0,0,0,0,0.420533835740126,0.0217266004838074,0,0.208160417933924,0.594267485247882,0,0,-0.010703861766957,0,0,0,0,-0.00625329076395047,0,0
