,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X000977.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X600584.SH,X000157.SZ,X600522.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,0,0,0,-0.0236277294087994,0,0,-0.0427408304808037,0,0,0,0.562541301352104,0,0,0,0.186059825679362,0,0,0.122741975614446,0,0,-0.131895441240038,0,0,0,0,0,0,-0.0418851011589051,0,0.0726882564423905,0.274706815832092,0,0,0,-0.0031118788881765,0,0,0,0,0,0,0,0,0.161879371222896,0.0624676794409869,0,0,0.0493040025569276,-0.0371640071931576,0,0,0,0,0,0
X000338.SZ,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0235486219053583,0,0,0,0,0,0,0,0,0.370576514430138,0.0808571445467623,0,0.00165739768128709,0,0,0.0654865757866733,0.0183400659503566,0,0.0171648683395645,0,0,0.00933696132062646,0,0,0,0,0,0,0.0956906152161778,0,0,0.000508773135215692,0,0,0,0,0,0,-0.0803546067605366,0,0,0.00913563792201505,0,0.0761531324290462,0,0,0,0,0
X600703.SH,0,0,0,-0.0926030084054142,0,0,0,0,0,0,0.0142681720752161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197993141578557,0,-0.00159504645688365,0,0,0,0.126260232861232,0,0,0,0,0,0,0,0,0,0,0,0.166189651107941,0,0,0,0,0,0.0986333047247148,0,0,0,-0.0790105779626125,0,0,0,0,0,0
X002179.SZ,0,0,0.0456371195229242,0,0,0,-0.0390028373816821,0,0,0,0,0,0,0,0,0,0,0,0.122518568530817,0.00397214209157348,0,0,0,0,0,0,0,0,0,0,0,0.0514804224333586,0,0,0,0,0,0.030588641379077,-8.67361737988404e-19,0.0497602189934763,0.240154967955426,0,-0.161176580623784,0,0,0,0.046137709803542,0,0.0219964124289187,0.0138156974940146,0,0.016777555475081,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.0451540390252895,0,0,0,0,0,0.124502844032745,0,0,0.0787823817833927,0.0984923886722814,0.126808570043397,0,0,0,0,0,0,0,0,0.00793814339446542,0,0,0,0,-0.0791806538092056,0,0,0.0125631613105365,0,0,0,0,0,0,0,0,0,0.116049837774866,0.0803956890951557,0.0202734450633978,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0.236280071810957,0.0326874631274362,0,0,0,0,0,0,0,0,0,0,0,0,0.110071221391236,0,0,0,0,0,0,0.0232459214110127,0,0,0,0,0,0,-0.126121618507245,0.116335695818159,0.00605965340903989,0,0.464613473230772,0,0,0,0,0,0.143586220663732,0,0,0.113868454136606,-0.0801692214888894,0,0,0,0,0,0
X002236.SZ,0,0,0.640500929156871,0.0260046870250354,0,0,0,0,0,0,0,0.231555991342587,0,0,0,0,0,-0.150024872633414,0,0,0,0,0,0,0,0,0,0.146484445465488,0,0,0,-6.93889390390723e-18,0,0,0,0,1.38777878078145e-17,0.676288084726948,0,0,0,0,0,0,0.0131154813062923,0,0,0,0.261462374978656,0,-0.0701718682682975,0,-0.100970823651838,0.206012806029619,0,0,0,0,0
X000661.SZ,0,0,-0.698289784950372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45824591819396,0,0,0,0,0,0.00731408661322407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39164641926021,0,0,0,0.160483031693939,0.0430729952960369,0,0,0.0259011276470445,0,0,0.164272276828123,-0.110220911709068,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514703108102239,0,0,0.216531900541713,0,0,0.079942359142641,0,0,0.0619660110748919,0,0.106835225105918,0,0.0679218657612985,0.0517942642023202,0.0119635755252841,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,1.73472347597681e-18,0,0.145954866561712,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0857607928651586,0,0,0,0,0,0.0310172474447713,0.0124635314416428,0,0,0,0,0,0.401918885081309,0,0,-0.044494116821356,0.12773203642254,0,-0.0354232141603611,0,0,0,0.10132144141859,0.0261683795951936,0,0,0,0,-0.0293257807003376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,-0.00463227459448675,0,0,0,0,0,0,0
X002241.SZ,0,0,0.0437672555166806,0,0,0,0,0,0.237612501886084,-0.0389138854703421,0,-0.0979529426398867,0.264732045878094,0,0,0,0,0,0,0,0,0,0.0878284267209645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123689082332741,0,0,0,0,-0.00820679776344185,0,0,0,0,0.022859903817404,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,-0.22218955113562,0.25584362899891,1.00909628066924,0,0,0,0,0,-0.402593593067259,0,0,0,-0.496694340453386,0,0,0.173917977824181,0.0424374469454798,0,0,0,0.0470545488410197,0,0,0,0,0,0,0,0.445286346610193,0,-0.11977468552461,0,0,0,0,0,0.0164257812936275,0,0.413727480172826,0,0,0,0.109869845267395,0,0,0,0,0,0
X002180.SZ,0,0,0.02441056521204,0,0,0.0354661149041524,0,0,0,0,0,0.0193182148311245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225162936431258,0.0499622980911482,0,0,0,0,-0.0326473981636199,0,0.108993421125929,0,0,0,0,0,0,0.00336266379799172,0,0,0,0,0,0,0,0,0.164687329958353,0,-0.00196168374076789,-0.00799598809019763,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.0331465329138577,0,0,0,0,0,0,0,0,0,0,0,0,0.0643716190871081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540062245558801,0,0,0,0,0,0,0.213179830717253,0,0,0,0.113816277510891,0,0,0,0,-0.0374784725524959,0.0295837394746583,0,0,0.0358761350920617,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,-0.0784889152275428,0,0,0,0,0,0,-0.0870494740927327,0,0.571787617532041,0,0,0.169875622779257,0,0,0,0,0,0,0.00298814353371489,0,-0.0557419259054687,0,0,0,-0.0148730128462192,0.0777454344191819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267343327079499,0,0,0,0.00972606924190957,0,0,0,0,0,0,0
X600702.SH,0,0,0.0496786597782562,0,0,0,0,0,0,0.139299725154513,0,0,0,0,0,0,0,0.342100563657543,0,0,0,-0.0162132370094285,0,0,0,0,0,0,0,0,0,0.0201247282977657,0.216128493686362,0,0,0,0,0,0,-0.18518199088936,0,0,-0.0336886199832487,0,0,0,0.197050809587874,0,0.0501448315959288,0,0,0,-0.015583373748324,0,0,0,0,0,0
X600584.SH,0,0,0.233039156506659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.413747597232557,0,0,0,0,0,0,-0.185103054282218,0,0,0,0,0,0.0839676465639452,0,0,0,0,0,0,0,0.255262990745226,0,0,0,0.267166246632659,0,0,0,-0.164991871773206,0,0.250175300066004,0,0,0.0690172287210898,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0483414882717778,0,0,0,0,0,0,0,0.374407303964534,0,0,0,0,0.115750496035734,0,0.160142475664343,0,0,0.00584276002306337,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0185706809617962,0.0257049446105424,0,0,0,0,0,0,0.0439276396505453,0,0,0,0.00894523008270503,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,-0.4818702986883,0,0,0,-0.0540778148058595,0,0,0,0,0,0,0,0,0,0,0.207193899293298,0,0,0.0857098329822883,0.0687953307469706,0,0,-0.0894067676837136,0,0.0166864296580428,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309045041182506,0,0,0,0.330325080523465,0,0,0,0,0,0,0,0,0
X002074.SZ,0,0,0.0918169349708336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377013150601789,0.074427775119684,0.0522352962012943,0,0,0,0,0,0,0.00876797971413623,0,0,0,0,0,0,0.151594485978722,0,0,-0.144672711692893,0,0.0353490749748281,0,0,0,0,0,0,0,0,0,0,0,0,0.000749867737098968,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0.0388441936979036,0,0,-0.013056372147193,0,0,0,0,0.258502046727997,0,0,0,0,0.0719524142763155,0,0,0,0.26261648570364,0,0,0,0,0.121438939092599,0,0,0,0,0,0,0,0,0,0,0,0,-0.24875202146621,-0.0590746911865682,0,0,0,0,0,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0.11235505362065,0,0,0,0,0.0736191914325663,0.0696271799006892,0,0,0,0,0,-0.0959004685368672,0,0,0,0,0,0.162645631203831,0,0,-0.104347675622977,0.012267274965147,0,0,0,0,-0.00226157551395012,0,0,0,-0.0806624444123537,0,0,0,0.207005012553625,0,0,0,0,0,0.114695144908191,0,0,-0.0735500369677903,0.0589934105025295,0,0,0.0337371122604276,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0.311941413733533,-0.0187819043284198,0.26717228631911,0,0,0,0,0,0,0,0,0.0027604179363966,0,0.037910196628277,6.93889390390723e-18,0,-0.00534384061500964,0.265578238713227,0.0436270150145276,0,0,0.132718951287931,0,-0.0801043470894884,0,0,0,0,0.0262876871323393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100261781386098,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.124636918940013,0,0.0715858946342396,0,0,0,0,0.170077685414644,-0.0228505196606711,0,0,0,0,0.0972402153844487,0,0,0,0,0,0,0.0564549674720562,0,0,0.0694949538696448,0,0,0,0,0,0,0,0,0.0284121426588906,0,0,0,0,0.103634506224609,0,0,0,0,0,0,-0.0330292544814728,0,0,0,0.0354065940795841,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.177476697522797,-0.0943048008370642,0,0,0,0,0,0.00896545428245851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699525517543098,0,0.0271347807015973,0,0,0.0396778255664841,0,0,0,0,0,0,-0.0105983059639888,0,0,0,0,0,0,0.0477167138553092,0.159943541346785,0,-0.0900824132145944,0,0,0.0280041959592006,0.0237084065943776,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.00536535241116294,0,0,0,-0.175505712332804,0,0,0,0,0,0,0,0,-0.115173377862547,0,0,0,0,0,0,-0.0250193947327907,0,0.131655252503432,0,0.0166913385721818,-0.130701643184717,0,0,0,0,0,0,0,0,0,0,0,0,0.384311674589614,0,0,0,0,0,0,0,-0.0096771255179241,0,0,0,0,0,0
X300146.SZ,0,0,0,0.315759811641243,0,0,0.26031729665017,0,0,0,0,0.110642662256404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08673728280546,0,0.0434379418343071,0,0,0,-0.00950218332277973,0,0,0,0,0,0,-0.292724368461591,0,0,-0.287962482057521,0,0,0.24975206915846,0,0,0,-0.15722670915101,0,0,0,-0.0364752092390391,0,0,0,0,0,0
X000800.SZ,0,0,0.0951960930449423,-6.93889390390723e-18,0,0.035546229647025,0,0,0,0,0,0,0,0,0,0,0,-0.0863368184593134,0,0,0.19011266783114,0,0,0,0.1885640258599,0,0.00378477743084456,0,0,0,0,0.0195166423973822,0,0.153657390278147,0.146646418744439,0,0,0,-0.0737228783533404,0,0,0,0.0117724192585603,0,0,0,0,0,0,0,0,0,-0.0124722933865577,0,0,0,0,0,0
X002463.SZ,0,0,0,0,-0.10223187455826,0.0874434862986622,0,0,0,0.175501167580718,0,0,0,0,0,0,0,-0.162782626197363,0,0,0,0,0,0,0,0.333203705651538,0.364329884228922,-0.181474221836553,0,0,0,0.0633325781246319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531118233614413,0,0,0,0,0,0,0
