,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600487.SH,0,0,0,0,0.0703102179673518,0,0,0,0,0,0,0,0,0.0304099766052835,0,0,0,0,0,0.146115227170265,0,0,0,0,0,0,0,0,0.367158695621609,0.259796986191412,0,-0.132598732259952,0,0.0113278950493447,0.0318048813467821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244555824805094,0.159459236937757,0,0.0193593579272464,-0.00979390048341862,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0.0415480901663418,0.16829799776899,0,0,0,0,0,0,0,0,0,0,0,0.0514366426741012,0,0,0,0,0,0,0,0,0,0,0.0262392910864145,-0.0667653697368678,0,0,0,0,0,0,0.109318953871527,0,0.121996769303528,0.155690734570015,2.16840434497101e-19,0,0.147985393057153,0,0,-0.0225299329403554,0.0237597808438638,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0.141562611333228,0,0,0,0,0,0,0,0,0.0605801067292945,0,0,0,0,0,0.0563637419383073,0,0,0,0,0,0.0841170055225806,0,0.0082376169881772,0,0,0,0,0,0,0,0.0817681368034242,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.084993632027294,0,0,0,0,-0.0100234367456179,0.00463738403922555,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.131983002075121,0.228380180999979,0,0,0,0,0,0,0,0,0,-0.0475106517361189,0,0,0,-0.118386252314362,0.294894057195785,0,0,0,0,0,-0.0643786474315139,0,0.0670652325298881,0,0,0,0.0910987833411574,0,0,0.140169720238424,0,0,0,0,0,0,0,0.00917173231773364,-0.00649140889226335,0,0,0,0,0,0
X000559.SZ,0,-0.0508151190785454,0,0,0,0,0,0,0,0,0.113930996925558,0,0,0,0,0,0,0,0,0,0.179478325762952,0,0,0,0,0,0,0,0,-0.192838756360102,0,0,0,0,0.0651923488318552,0,0.147707869185887,0,0,0,0,0,0.208700332674622,0,0,0,0.044791877123289,0.242943406769562,0,0,0,-0.00279420031890467,0.00440926882237411,0,0,0,0,0,0
X002008.SZ,0,0,0,0.0186983025579194,0,0,0,0,0,0.14321876706729,0,0,0.0862132114597038,0,0,0,0,0.0918783816246483,0,0,0.121161391447048,0,0,0,0,0,0,0.206929403988312,0.217087673406724,0,0,0,0,0,0.467193920722249,-0.00657403399130641,-0.00211503358225669,0,0,-0.165895021626735,0,0,0,0,0,0,0,0.242803661943897,0,0,0,-0.00757948394842813,-0.00660981120807669,0,0,0,0,0,0
X002180.SZ,0,0,0.098259580567584,0,0,0,0,0.0757812065748933,0,0,0,0,0,0,0,0,0.0449290631114956,0,0,0.0542750872064164,0,0,0,0.0374263040138425,0,0,0,0,0,0,0,0,0,0,0.0820242565707459,-0.00749120711377925,0,0,0,0,0.0329463508548398,0,0,0,0,0,0,0.153837708111308,0,0,0.081537574254769,-0.0112431160065639,0.00200155011501283,0,0,0,0,0,0
X600566.SH,0,0,0.289305435295489,0.0482984935110124,0,0,0,0.110921011905333,0,0,0,0,0.335082124379204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351088124965914,0,0,0,0,0,0,0,0,0.210932149592401,0,0,-0.0749943529299656,-0.0204874164396361,0,0,0,0,-0.0907031340824957,0,0,0,0,0,-0.0314327279610805,0.00666331603658228,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0.10314854524013,0.179832198207904,0,0,0,0,0,0,0,0,0.151320852041792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131650472165753,0,0,0,0,0,0,0,0,0.587654814184518,0,0,0,0,0,0,0.127393847964051,2.71050543121376e-20,0.0048886098051033,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0853665226803468,0,0,0.072481473940972,0,0,0,0.0561465225887749,0,0,0,0,0,0,0,0.0131758675282074,0.221329369852816,0,0,0,0,0,0,0,0,0,0,0.0898704432820005,0,0,0,0,-3.46944695195361e-18,0,0.0428707782743521,0,0,0,0,-0.00398726222476803,0.0164273305169363,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0.0107691020268262,0,0,-0.0362878427817792,0.186072780028829,0,0,-0.0333075027927339,0,0,0,0,0,0,0,0,-0.0866505507372922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443032318566858,0,0,-0.0442259968824611,0,0,0.0865827789415932,-0.0266290466804105,0,0,0,0,0.0557388857134126,-0.0269625783965057,0,0,0,0,0,0
Change_TY3M,0,0,0.0785877793476453,0,-0.0799153728343044,0,1.38777878078145e-17,0,0,0,0,0,-0.0859713335730369,0,0,-0.177738406171929,0.089310716102694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753535932279886,0,0,-0.182260493968522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395615678754625,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677158001653452,1.38777878078145e-17,0,0,0,0,0.0800474686161715,0,0,0,0.0852031714190594,0,0,0,-0.124938881314843,0,0,0,0.132422678829643,0,0,-0.757605355245573,0,0.873707947419491,0,0,0,1.51238340969031,0,0,0,0.176219584472137,0,0,0,10.8759948530266,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43858644605619,0,0,0,0,0,-0.0130383958081604,0,0,0,0,0,0,0,0,0,-0.725161225438181,0,0,0,0,0,0,0,0,0,0,3.91457703060957,0,0,0,0,0,0,0,0.238491077696855,0,0,1.93833151657969,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0770806611666155,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232852660730226,0,0,-0.0781119959170402,0,0,0,0,0,0,0,0,0,-0.380642865295906,0,0.0218165784523315,0.127357983068602,0,0,0,0,0,0,0.0627888504862754,0,0,0.0249750525977095,0,-0.0239276445180043,0,0,0.0212529893272774,-0.00592883134378409,0,0,0,0,0,0
MKreturn,0,0,0.0570128161506658,0,0,0,0,-0.0326717182207976,0,-0.0110219363076026,0,0,0.0928081503609586,0,0,0,0,-0.152859211941696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563619738681893,0,0,0,0,-0.0455148727564842,0,0,0,0,0,0.00997425003274866,-0.0111597531155636,0,0,0,0.0336114311423732,0,-0.000589993022162687,0,0,0,0,0,0
MKvol,0,0,0,0,-0.00120404827269246,0,0,0,0,0,0.000110203680297704,0,0,0,0,0,0,0,0,-0.000218946354887009,0,0,-0.00182289331515191,-0.00145331265674977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150196760786426,0,0.00163174992169431,0,0,0,-0.00026517545839205,0,0,0,0,0.00253197560436173,-0.00181176271352979,0,0,0,0,0,0
