,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X300014.SZ,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600702.SH,X601799.SH,X000157.SZ,X600779.SH,X600884.SH,X600584.SH,X002414.SZ,X000733.SZ,X600563.SH,X600183.SH,X600522.SH,X002180.SZ,X002007.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.031492796514696,0,0,0,0,-0.0133831109766213,0.00842871289317144,0,0.130389263313791,0.0367963598308187,0,0,0,0,0.0622132087759501,0,0.0544502175552679,-0.0630103173455602,0,0,0,0,0.0270595447689545,0,0,0,0.0551959804687914,0,0,0,0,0,0.110304476002099,0.00502117131585961,0,0,0,-0.0806568280124835,0,0,0,0,0,0,0.0334146020630075,0,0,0,0,-0.0575068524361151,0,0
X000651.SZ,0,0,0,0,0,0,0.147022182756507,0,0.0226958541394063,0,0,0,0.0173977818334068,0,0,0.0822268155890333,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.11991500298683,0,0,0,0,0.12547926429262,0,0,0,0,0,0,-0.052617889657714,0,0,0,0,0,0,0,0,0.0535935370478167,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661357407021295,0,0,0,-0.202069029047356,0.210320450857472,0.370334114953195,0,-0.165177748594035,0,0,0.0969659058068458,0,-0.257561987067655,-0.18804598226519,0,0,0,0,0,0,0.19338503041309,0.475516456163857,0,0,0,0.119422342653379,0,-0.122605833374658,0,0,0,0,-0.0135524948144798,-0.00571681326732818,0,0,0,0.110051410059389,0,0
X600031.SH,0,0,0,0,0,0,0.106741621902374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190821527705642,0,0,0,0,-0.017348675162202,0,0,0,0,-0.0536575120026556,0,0,0,0,0,0,0.379172461884898,0,0,0,0.123999299779509,0,0,0,0,0,0,0,0,0,0.0121069819896672,0,0,0,0.0594275129072475,0,0
X000725.SZ,0,0,0,0,-0.11531121140624,0,0,0,0,0.0516827705235007,0,0,0,0,0,0,0,0.0270122734747256,0,0,0,0,0,0.0799334627888427,-0.0328097341089024,0,-0.0184907382550313,0,0.0825091676407073,0,0.399917427506136,0,0,0,0,0,0,0,0.0247749118198527,0,0,0.00547661398159856,0,0,-0.0187047845171776,0,0.0286566748823741,0,0,0,0,0,-0.0227552958651271,-0.066118267465363,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.00651746471311641,0.313155954441026,0,0,0,0,0,0,0,0,0,0.0371518864422407,0,0,0.0427088039006484,0,0.278782439620759,0,0,0,0,0,0,0.160278260791331,0.141140299527739,0,0.1760691517035,0,-0.120529451725085,0,0,0,0.18980335700162,0,0,0,0,0,0,0,0,0.0537744333881316,0,0,0,0,-0.0217033713796534,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.200111549674228,0.147586170197016,0,0,0,0,0,0,0,0.0725955562220497,0,0,0,0,0,0,0,0.277308802995979,0,0,0.000382315409809789,0.0194980282807617,0,0.0658039919258562,-0.326853164732313,0.00639084720624362,0,0,0,0,0,0,0.328323122671132,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0852956707148317,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.264007713269747,0,0,0,0,0,0,0.00767769133318878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163308831680621,0,0.0592361843523677,-0.0112339908744177,0,0,0,0,0.3098846171114,0,0,0.0612089118260947,0,0,0,0,0,-0.0277252747676933,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0513571273216358,0.0112542984937743,0,0,0,0.247983110878238,0,0,0.10200495935103,0,0,0,0,0,0,0,0.0882128083311443,0.193959254132059,0,0,0,0,0,0.00440317468332956,0,0,0.0854282669149702,0,0.0110879345982413,0,0,-0.157259222284409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0.187151565536016,0,0,0,0,0,0,0,0.0883328460931566,0,0.0805994042880539,0,0,0,0,0,0,-0.114774254562155,0,0.382662269989768,0,0.171368482881825,0.0164998808072578,0,0.170867761310468,0,0,0,0,0,0,-0.0558691760873553,-0.0850136126325307,0,0,0,0,0,0,0,0,0,0,0,-0.0637107644597114,0.105556296195275,0,0,0,0,0,0
X003816.SZ,0,0,0,-0.0409221887247833,0,0,0.00791550525034896,0,0,0,-0.120162738395592,0,0,0,0,0,0.0899839657607088,0,0.141580362905743,0,0,0.00811746960980193,0,0,1.73472347597681e-18,0,0,-1.0842021724855e-19,0,0,0,0.295063656714365,0,0,0,0,0,0,0.0813505140194066,0,-0.0136953641169407,0,0,0,0,0,0.0948820683013046,0,0,0.124357626552193,0,-0.0463137514995976,0,0,0,0,-0.01897144992341,0,0
X000338.SZ,0,0,0,0,0,0,0,0.0503391512208131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,-0.10196077644636,0,0,0,0,0,0,0,0,0,0.220760028147936,0,0.00488690080640017,0,0.329248509406877,0,0,0,0,0,0,0,0,0,0.0108048920796042,0,0,0,0.0186506462313495,0,0
X000596.SZ,0,0,0,0,0,0.438373462443817,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.186995019982509,0,0,0.0949938854716842,0,0,0,0,0,0,0,0,0,0,0,0,0.0866552601076657,0,0,0.00694398531189126,0.0506244087623087,0,0,0,0,0,0,0,0.0869953326292675,0,0,-0.0219666649333406,0,0,0,0,0,0,0
X000625.SZ,0,0,0,-0.221979182936806,0,0,0,0.384032563728925,0,0,0,0,0,0,0,0,0,0,0,0,-0.124094525920063,0,0,0,0,0,0.021719498071408,0,-0.0431956885512987,0,0,0,0,0,0,0,0,0,0,0,0.0186886972217224,0,0.210847362953858,0.26331590915291,0.19735606626778,0,0,0.0179613934558693,0,0,0,0.0345306440955949,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0.00265915684961965,0,0,0,0,0.443131240199839,0,0,-0.187078300839057,0,0,0,0,0,0,0,0,0,0,0,0,0.17239455395113,0,0,0.0462959688287107,0,0,0,0,0,0,0,0,0,0,0,0.329535447396812,0,0,0,0,0,0,0,-0.0686612312362015,0.0730177688377553,0,0,0,-0.11129687928109,0,0
X000661.SZ,0,0.448084602762738,0,0,0,0,0,0.026665706426982,0,0,0,0,-0.0837545834015962,0,0,-0.206315101602093,0,0,0,0,0,0,0,0,0,0,-0.153630186716542,0,0.0850281619163974,0,0,0,0,-0.136082025686101,0.317593309845489,0,0.0414232529659455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293504720460261,0,0,0,0.0326643836019597,0,0
X601877.SH,0,0,0,0,0,0,0,0.010202649852506,0,0,0,0,0,0,0,0,0,-0.167701801848583,0,0.57734011442567,-0.0654835986671619,0,0,0,0,0,0,0,0,0,0,0.125565307188442,0.370914296475538,0.034206295610916,0,0,0,-0.213437159425014,0,0,0.410912457238983,0,0,0,0.114998540216569,0,0,0,0,0,0,0,-0.0295223820936837,0,0,0,0.00526816262290907,0,0
X002179.SZ,-0.106244642555632,0,0,0,0,0,0,0.050195192941606,-0.0839521958511072,0,0,0,-0.00137614162239672,0,0,0,0.073165118228214,0,0,0,0,0,0,0,0.0555894075534722,0,0.0914209896908616,0,0.0637682919708971,0,0,0,0,0,0.11696920990157,0,0,0,0,0,0,0,0,0.150885818539465,0.109663664783353,0,0,0,0,0,0,-0.00757539113235406,0,0,0,0,1.73472347597681e-18,0,0
X300142.SZ,0,0,0,0,0,0.17402040758046,0,0.0831197857954318,-0.306717755807273,0,0,0,0.033842503827007,0,0,0.161259398791694,0,-0.28413928398093,0,0,0,0,0,0,0.0959995484898477,0,-0.21688103558028,0,0,0,0,-3.46944695195361e-18,0,0.0673647706847297,0,0.383515739781153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212934910239258,-0.176311294511734,0,0,0,0.0318227559295251,0,0
X600460.SH,0,0,0,0,0,0,0,0.269224193448843,0,0,0,0,0,0,0,0.0392866626588502,0,0.0801421063777153,0,0.20309646760433,0,0,-0.246402283330542,0.0414964913506075,0,0,0,0,0.0736523532649139,0,0,0,0,0.0157706720601541,0,0,0.106740629190491,0,0,0,0.0518710605374064,0,0,0,0.166805575744925,0,0,0.0100635940480537,0,0,-0.00724278175270738,0,0.0202027146470879,0,0,0,0,0,0
X000100.SZ,0,0,0,-0.0294116403156888,0,0,0,0,0,0,0,0,0,0.0384661666486747,0.306525763154553,0,0,0,0.0353391386183282,0.1736993311738,0,0,0,0,0,0,0,0,0,0,0,0.000394303015321815,0,0.0627554372938066,0,0,0,0,0.0440273346855979,0,0,0,0,0,0,0,0,0,0,0,0,-0.00294630040109694,0,0,0,0,-0.0427302896236109,0,0
X600089.SH,0,0,0,0,-0.354622487410334,0,-0.143407575879622,0.038821757784319,0,0,0,0,0,0,0,0,0,0,0,0.205969731329619,0,0.0246874924309598,0,-0.0093969229438937,0,0,0.231644470726951,0,0.28706933317712,0,0,0,0,0.181368381423678,0,0,0,0,0.255053028414969,0,0.0490340212506071,0,0,0,0,0,0,0,0,0,0,0,-0.0274189500250111,0,0,0,-0.0382559890470038,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.14436914310501,0,0,0,-0.120019605340086,0,0,0,0,0.164959876542184,0,0,0,0,0,-0.0320546936256511,0,0,0.0379778434804977,0,0,0,0,-0.024036670444542,0,0,0.0314775924879176,0,0,0.0254361060859445,0,0,0,0,0,0,0,0,0.0500165027387169,0,0,0,0,-3.46944695195361e-18,0.064389717720026,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0.156560009224108,-0.0025066448630693,-0.303876489289687,0,-0.0529704461128979,0.0909155571003894,0,0,0,0,0,0,0,-0.0300085688135186,0,0,0.183156664178549,0,0,0,0,0,0,0,-0.0188233969794538,0,0,0,0,0,0,0,0,0.086823334015478,0,0,-0.0043689756038147,0.117625058617218,0,0.364065567575686,0.0252696151474878,0,0,0,0.0678649350299097,-1.73472347597681e-18,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0793322601497339,0,0.0769920437626525,0.0385399923378174,0,0,0.12087794885665,0,0,0,0.107727707381884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998631322144062,0,0,0,0,0,0,0
