,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X600703.SH,X000157.SZ,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X300124.SZ,X600271.SH,X002179.SZ,X000625.SZ,X600498.SH,X002241.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600487.SH,X600066.SH,X300146.SZ,X002049.SZ,X300136.SZ,X000050.SZ,X002371.SZ,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,-0.0565113612248555,0,0,0,0,-0.0639747904328594,0,-0.103348485019626,0,0,0,0,0,0,0.244050849633556,0,0,0,0,0,0.0142515356659949,0.0332313833532702,0,0.317578207507381,0,0,0,0,0,0.176613796264718,0,0,0,0,0,0.142370608674348,0.179710287783928,0,0,0,0,0,0.0212055338180933,0,0,0,0,0,0.0659932005754837,0,0.0360031166612903,0,0,0,0,-0.0236724917983184,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216222568969739,0,0,0.131130028558757,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.0724050056159538,0.0740418520227681,0,0,0,0.142870089426864,0,0,0,0,0,0,0,-0.00405797098277752,0.0219374710744499,0,0,0,0,-0.0534048952198189,0,0.00400054430881328,0,0,0,0,0.00307539556316533,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.016325630985281,0,0,0,0,0.0393062406568272,0,0,0,0,0,0,0,0.125414330417748,0.0110102578553501,0,0,0,0,0,0,0,0.0137909380179628,0,0,0,0,0,0,0,0,0,0.0264401559602316,0,0,0,0,0.116709283786751,0,0.0780040780276211,0.285227502227103,0.0621790795729903,0,0.00896072695417015,0.0195642198927439,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,-0.0776475692101695,0,0,0,0,0,0,0,0,0,0,0,0.0871615595720262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102943228137478,-0.0133649490720019,0.0138575881024254,0,0,0,0.219478093231525,0,-0.107075437104636,0,0,0.150255410954017,0.109201609331531,0,0.129343565892139,0,0.00579691304360245,0.0240494345191007,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.234603537771211,0,0,0,0,0,0,0.20710670900207,0,0,0,0.00794749869581926,0,0,0,0,0,0.0503783709285897,0,0,0,0,0.230885872428768,0,0,0,0,0,0,0,0,0,0.121618786353271,0,0.010229071630057,0,0,0.0522227311785123,0,0,0,0,0,0,0,-0.0235034418570682,0,0.053425145931148,-0.0611075018101895,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0.289166101540447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037801314128677,0.110363993886117,0,0,0,0,0.0111475668458724,0,0.00616610595898316,0,0,0.0378784275698823,0,0.0649912371569823,0,2.16840434497101e-19,0.04500957695157,0.0375351547453517,0.0439493886008605,0,0.0544046896095917,0.0689884230890097,0,0,0,0,0,0,0,0.00303112440070514,0,0
X002241.SZ,0,0,0,0,0,0.186436541321501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140127861184457,0.0660379166112015,0.162621749108339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129175643508614,0.256275287623274,0,0.179688574106376,0,0,0,0,0,0,0,0,0,0,0,0,0.0284050473004776,0,0,0,-0.0566968372450534,0,0
X002506.SZ,0,0,0,0,0,-0.178443342280105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713759219156709,0,0,0,0,0,0,0,0,0.416125601623777,0,0,0,0,0,-0.00189607419969734,0,0,0.00315462857675259,0.0485611088030318,0,0,0,0,0,0,0,0,-0.0201345064152905,0,-0.0336238466367355,0.0879759037634707,0,0,0,0.0593529400271218,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00488710805090437,0,0,0,0,0,0,0,0,0,0,0,0.0981780448288547,0,0,0,0,0.0187526691746905,0.0556385118427456,0,0.00666910424945212,0.0142882314638213,0,0.087366504642627,0,0.0550530294142403,-0.00743434706524537,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424758284389707,0,0,0,0,0,0,0.134068911179568,0,0.241080577670081,0,0,0,0,0,0,-0.0338671070931401,0,0.0132961948152443,-0.181200540345534,0,0,0,0,0,0,0.0187404646013093,0,0.0155464759540983,0.165117735610116,0,0,0.00598652618036297,0,0,0,0.017086077069317,0,0
