,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X002085.SZ,X300003.SZ,X300136.SZ,X002008.SZ,X600177.SH,X600522.SH,X600271.SH,X000157.SZ,X002007.SZ,X002294.SZ,X600089.SH,X600118.SH,X600487.SH,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X300115.SZ,X600372.SH,X000559.SZ,X002180.SZ,X000066.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,0,0.0466540353443549,0.0508073512072177,0,0,0.384390384297991,0,0,0,-0.0612157585388073,0,0,0,0,0.127691217000585,0,0,0,0,0,-0.018418358559896,0,0,0,0.16218868958783,0,0,0,0,0,0,0,0,0,0,0.281582284061276,0,0,0,0,0,0,-0.10788080397958,0,0,0,0,-0.180983138807172,0,0,0.0198951411710315,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0.0604435723858583,0,0,0,0,0,0,0.0901854555012009,0,0,0,0,0.360455645230742,0,0,0,0.00486823627234189,-0.0488848807033476,0,0,0,0,0,0.0370335048689799,0,0,0,0,0,0,0,0,0,0,0.124154918290999,8.67361737988404e-19,0,0,0.0750822957757143,0.0419830419095576,0,0,0,0,0.012734157233975,0.00444667498472752,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196945901458299,0,0,0,0,0.0590469254401208,0,-0.0639485808093204,0,0,-0.0344091146550613,0,0,0.0192557263556786,0,0,0,0,0,0,-0.041770734674773,0,0,0,0,0.0731805822919164,0,0.216648036344352,0.0206151959059596,0,0,0,0,0,-0.0202199977684641,0.0109501619283463,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0.0249691241213572,-0.032240943187553,0,0,0,0.000911351665749689,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415136619401692,0,-0.0705664033488077,0,0,0.0755081658112339,0,0,0,0,0,0.00984390660279507,0,0.0310091694085369,0,0,0,0,0,0,0.0956016830416229,0,0,0,-0.0115267362135173,0,0,0,0,0,0
X600089.SH,0.860237899343498,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21928545738955,-0.069844104194186,0,0,0,0.362498117266731,0,0,0,0,0,0.196277836482051,0,0,0,0,0,0.0625518713501135,0,0,0,0,0,-0.00265502047597184,0.00956195932544215,0.466846669712552,0,0,0,0,0
X600118.SH,0,0,0,0,0,0.0508244833280981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159935929026736,0,0,0,0.0168885376484935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496710793237621,0,0,-0.0189734511691171,0.0691707156519132,0,0.195844023059624,0.050088788902693,0,0,0,0,-0.0152028266311895,0.0376411350739911,0,0,0,0,0,0
X600487.SH,0.113882247699916,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0824699015391732,0,0,0,0,0,0.16052461325612,0.122748237804808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182486556612183,0,0,0,0,0,-3.46944695195361e-18,0.50774051308022,0,-0.154284856313679,0,0.171708100997264,0,0,0.0255631729797413,-0.00323960518889337,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0.0569500537682198,0,0,0,0,0,0,0,0,0,0.0726015247811086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042688492413175,0,0.21891815637506,-0.0171475887172922,0,0.122358964180308,0,0,0.163366599477714,0.335105853407255,0.0186925347348664,0,0,-0.0202435856584567,0,0,0,-0.0427404422349158,0,0
X600566.SH,0,0,0,0.199650530364285,0,0,0,0,0,0,0,0.0376807583048384,0,0,0,0,0,0,0,0,0,0.0586068165037766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542930350669437,0,0,0,0,0.0951865463699274,0,0,-0.0500226235117515,0,0,0,0,0,0.02728493816043,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0.316220480563467,0,0,-0.071945622820499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109922180672681,0,0,0,0.0386704225852198,0,0.232010769485806,0,0,0,0,0,0.441058807417812,0,0,0,0,0,0,0,0,0
