,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X000661.SZ,X003816.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X600741.SH,X300142.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X002129.SZ,X000157.SZ,X601877.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300003.SZ,X600584.SH,X600183.SH,X300136.SZ,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X002463.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0.244944089379179,0,0,0,0,0,0,0.411427417417416,0,0,0.0742338041091112,0,0,0,0.138236202310542,0,0,0,0,0.271352217016487,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180589395678285,-0.0519062840071556,0,0,0,0,0,-0.0756970573260876,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00220889468912348,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,-0.0506279234964511,0,0,0,0,0,0.247992051314371,0,0,0,0.00645367478159725,0,1.0842021724855e-19,0,0,0,0,0.137421627245435,0,0,0,0,0,0,0,0,0,0,0,0,0.0461363115391095,0,0,0.00351674380455396,0.118499452936409,0,0,0,0,0,0,0,0.0218879345027135,-0.0782430053838124,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0529555293671558,0,0,0,0,-0.116201041976041,0,0,0,0,0,0,0,0,0.508887396054672,0.0466973254967725,-0.00737567704835671,0,0,0,0,-0.0534950786675679,0,0,0.230077637448522,0,0,0,0,0,-2.16840434497101e-19,0.0286440703127839,0.096779376133017,0,0,0,0.272179982463912,0,0,0,0,-0.00966398636293554,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0.137471467892534,0,0,0,0.0748302073619334,0,0,0,0,0.0845483511947073,0,0,0,0,0,0,0,0,0.0122743646279326,0.00925070716934721,0.0213906493477302,0,0.401226722252313,0,0,0.0620987247398561,0,0,0,0,0,0.0727795313019234,0,0,0,0.023085058275144,0,-0.0500436699439199,0,0,0,0,0,0,-0.00319417579122492,0.0401110325321526,0,0,0,0,0,0
X000100.SZ,0,0,0,0.0895575808723257,0,0,0,0,0,0,0.387337682073139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124096002805578,0,0,0.0634370495911517,0,0.0186246061013425,0,0,0,0,0,0,0,0,0,0,0.0364812287316164,0.20437574624732,0,0,0,-0.00872616123282595,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242407883336975,-2.16840434497101e-19,0,0.154972719013116,0,0.00719499796267247,0,0.0918783811507366,0,0,0,0,0.160277833880049,0,0,0,0,0,0,0,0.0435473082148808,0,0.0269544220792882,0,0,0,0,0,0,0,0,0,0.0373830874636591,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661563310719309,0,0,0.0741628077638539,0,0.0669398881343642,0,0,0.595103128926908,0,0,-0.141482736151004,0,0,0,0,0.110802216748578,0,0,0,0,0,0,0,0.387970305917265,0,0,0.186490759936575,0,0,-0.0551021714305024,0,0,0,0,0,0,0,0,-0.0360766971806923,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558563022285895,0,0,0,0,0,0.150709963866487,0,0,0.261457839032661,0,0.111275454812479,0.126572739935717,0,0,0,0,0,0,0,0.233062950398707,0,0,0.00482446886687872,0,0,0.230300405301724,0,0,0,0,0.0174042989319008,0,0,0,-0.0489077265535594,0.0147545316073172,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140138048631108,0,0,0,0,8.67361737988404e-19,0.37805806707298,0.0193899484409004,0,0,0.0289416722048771,0,0,0,0,0,0,0,0,0,0.297033371769644,0,0.11586845790647,0,0.178329688633617,0,0,0,0,0,0,0,0,0.114636960799844,0,0,-0.0712954972809289,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.122141333579072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148812792667954,0.0996450257349441,0,0,0,0,0,0,0,0.0772960701957464,0,0.105146571669314,0,0,0,0.165743786235372,0,0,0,0,0.285793733590901,0.0420931507582842,0,0,0,0,-0.0464126978722928,0.0100846521928233,0,0,0,0,0,0
