,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600563.SH,X601799.SH,X002236.SZ,X002176.SZ,X600584.SH,X600487.SH,X000800.SZ,X002414.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462537692999374,0,0,0,0.0879667064083068,0,0.324156543617123,0,0,0,0,0,0,0,0,0,0,0,-0.0217162420251349,0,0,0,0.052025253382084,0,0,0.0334732344646789,0,0,0,0
X600089.SH,0,0,0,0,0.0677289350356464,0,0,0,0,0,0,0,-0.0134564658004687,0,0,0,0,0,-0.243577286807893,0,0,0,0,0,0,0,0,0.216340399127411,0,0,0,0,0,0,0,0,0.300282362412776,0,0,0,0,0,-0.0221525071945168,0.00878254864508579,0,0,0,0.279883175974,0,0.0639388604027892,-0.326220833399248,0.0320994954365937,0,0,0,0,0.0545746321096267,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.147482286960688,0.0874953252963925,0,0,0,0,0,0,0,0,0.0185860712187132,0,0,0.155017628343676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192118819311539,0,0,0,0,0,0,0,0,0,0,0.110188419195132,0,0.105975955178562,0.13510142023677,0,-4.33680868994202e-19,0,0,0,0,-0.0372925095166185,0,0
X600522.SH,0,0,0,0,0,0,0,0,0.183122912473434,0,0,-0.0191358503836628,-0.0413329327383411,0,0,0,0,0,0,0,0,0,0,0,0,0.120672363660245,0,0,0.0363309854154132,0,0,0,0,0,0,0,0,0,0.0302033000771249,0,0,0,0,0,0.199857403004939,0,0.329640494510094,0,0,0,0,-0.012988368107691,0,0,0,0,-0.0341360994429818,0,0
X000661.SZ,0,0,0,0,0,0,0.25960631158938,0,0,0,0,0,0,0,0,0,0,0,0,0.0339380341940804,0,0,0,0,0,0,0,0,0,0,0,0.169333796495249,0,0,0,0,0,0,0,0.0261493808243343,0,0,0,0,0,0,0,0,0,0.159759013260502,0,0.0104743530272554,0,0,0,0,0.0319806833005238,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119292172416375,0,0,0,0,0.0257162206765901,0,0,0,0.107895210039136,0,0,0,0,0.179399733570468,0,0,0,0.0535054535191384,0,0.0973402750356817,0,0,0,0,0,0,0,0.168706372591566,0,0,0,0,0.000991179782801797,0,0.0517429514336975,0,0,-0.062122083901974,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0.18154713794359,0,0,0.0329117246829141,0.0716006226786749,0,0,0,0,0,0,0,0,0.0965826324426606,0,0.0466747149583913,0,0.163875746082079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789920299323109,0,0,0,0,0,0,0,0,0,0,0,0.0191751864312734,0,0
X002074.SZ,0,0,0,0,0,0,0,0,-0.100045579067223,0.262880181831658,-0.197175768696658,0,0.0623802619908741,0,0,0,0,0,0,0,0.00357834904716663,0,0,0,0,0,0,0,0,0.406560368373336,0,0,-0.172473374069856,0.413864251252943,0,0,0.120381637813437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416639921121882,0,0,0,0,0.185789428421467,0,0
X300142.SZ,0,-0.196180350343505,0,0,0,0,0.355229625832691,0,0,0.0503749733416187,0,0,0,-0.363590143934236,0.0534240038487476,0,0,-0.125815710134745,0,0,0,-0.0668059605519543,0,0,0,0,0,0,0.194030210428885,0,0,0,0,0,0,0,0,0,0.0553734140540699,0,0,0,0,0,0.0143519316225297,0,0,0,0.0254331028851026,0.128196270739397,0,0.15688757255487,-0.084242106457128,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,0,0,0,0.0622874866558094,0.112898987050193,0,0,0.12576388727858,0.231939268586403,0,0,0,0,0,0,0,0,0,0,0,0.0871623806109702,0,0,0,0,0,0.238098604281202,0,0,0,0,0,0,0,0,0,0.0397186866914068,0.0502186286329501,1.73472347597681e-18,0,0,0.110035960258773,0.0589547789755086,0,0.0485027162079229,0,0,0.0473374694824311,0,0,0,0.0186436188149891,0,0
X600741.SH,0,0,0,0,0,0,-0.0343435451715857,0,0,0.108927605337923,0.457321397642045,0,0.0653053571978585,-0.030300908580277,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161167183565537,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0883630586487225,0,0,0,0,0.0886089618759583,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767013429950001,0,0,0,0,0.20248033573538,0,0,0,0,0,0,0,0.103377538138012,0,0,0.00613894220739935,0,0,0,0,0,0,0,0,0,0,0,0.103317877471236,0,0,0,0,0.0130248015156168,0,0,0.168765501514122,0,0,0,0,0,0,0.0228462682963377,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0138522770073345,0,0,0,0,0.398089428283037,0,0,0,0,0.139198484630498,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769906577354584,0,0,0,0.142566586826798,0,0,0,0,0,0,0,0,-0.0312386598265102,-0.0413743134693544,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.0978228959504124,0,0,0,0,0,0,0.0228164449626843,0,0,0.497841580768443,0,0,0,0,0,0,0.0633287620124902,0,0,0,0,0,-0.243450761512414,0,0,0,0.141802914843832,0,0,0,0,0,0,0.34996530316744,0.0765235967102901,0,0,0,0,0,0,0,0,0,0.0102713727488293,0,0,0,0,0.0486659650471233,0,0
X600702.SH,0,0,0,0,0,0,0.0113495864527085,0,0,0,0.204124070743228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0789338858713972,0,0,0,0,0,0,0,0,0,0.783646478938867,0,0,0,0,0,0,0,0,0,0,0,0.026675346931382,0,0,0,0,0.00278145522557968,0,0
