,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X002008.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600809.SH,X002456.SZ,X600498.SH,X600776.SH,X000661.SZ,X000596.SZ,X002007.SZ,X000050.SZ,X600066.SH,X002179.SZ,X000157.SZ,X300142.SZ,X600522.SH,X300146.SZ,X600177.SH,X600089.SH,X300136.SZ,X600867.SH,X002241.SZ,X600566.SH,X600372.SH,X000977.SZ,X002180.SZ,X002129.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346338173965931,-0.106874843784061,0.0399354153619628,0,0,0.395085818108895,0,0,0.0174099300287562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,-0.053322021688664,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0.118481441877501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589437069266523,0,0,0,0,0,0,0,0,0.0642776493151766,0,0,-0.00840554272066586,0,0,0,0,0,0,0,0,-0.0560950903084271,0,-0.0358030926466152,0,0,0,0,0,0,-0.0411998003180867,0.0330893098445255,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.230624386362467,0,0,0,-0.0859237123166852,0,-0.195181978860974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997115102254097,0,0,0.120636114273142,0,-0.0514031059771069,-0.0266692334154904,0,0,0,0,0,-0.0776031796461189,0,0,-0.0175956460080891,0,0,0,0,-0.129618713721889,0,0,0,-0.104984013648347,0,0.257026931712353,0,-0.119239771155703,0,0
Slope,-0.490371258255576,0.893399629775633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100636797129312,0,-0.67253641159609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557553503109657,0,0,0,0,0.422191695601318,0,0,0,1.29598413273668,0,0.96028223453868,0,0,0,-1.78906122448603,-4.14819565025177,0
TED,0,0,0,0,0,-0.0365945711552715,0,0,0,0,-0.123474395883299,0,-8.67361737988404e-19,0,0,0,0,-0.312923159857124,0,0,0.181733291569625,0,0,0,0,0,0.0133914983500891,0,-0.0688141717779135,0,0.0568087892468043,-0.193518974688058,0.227945314774043,0,0,0,0,0,0,0,0,-0.139209361056103,0,0,0,0,0,0,0.124586464547185,0,-0.210941775951835,0.495928253563503,0,0,0,0,-0.104792611206333,0,0
RealEstate_excess,0,0,0,0.0319199291425046,0,-0.0414218242110811,0,0,0,0,0.0421047828572359,0,0,0,0,0,0,0.0139908250212141,-0.186313275733123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121069724641265,0,0,0,0.0395855175483583,0,0.0398539281021113,0,0,0,-0.032623331550199,0,0,0,0.0281668200222511,0,0,0,0.0776094856688273,-0.00934069259154579,0.0313258606184303,0,0,0,0.0460878033334398,0,0
MKreturn,0,0,0,0,0,0.014814565639269,0,0,0,0,0,-0.0773726428610498,-0.0494017982309722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406707825913529,0,0,0,0,0,0.0223598004926942,0,8.67361737988404e-19,0,0,0.077504664776435,0.0102507286730851,0,0,0,0,0,-0.0283869980285818,0,0.0242830261187658,-0.00819904643813642,0.00918861985722337,0,0,0,0.0972859797872885,0,0
MKvol,0,0.000312082120014713,0,0,0,-0.00198127198984281,0,-0.00287105813422862,0,0.00194310335948139,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155612579892381,0.000685064828761996,0,0,-0.00308308159238313,0,0,0,0,0,-0.000384495846452413,0,0,0,0,0,-0.000406729650664595,0,0,0,0,0,0,0,0,0,0,0,0,-0.00304440264244838,0,0,0,0,-0.00423804721759562,0.0896016523620349,0
CarbonVol_Shenzhen,0,0.0151539146168241,0,0,0,0,0,1.38777878078145e-17,0.0561468712465185,0,0,0,0,0,0,-0.0828329578421335,0,0.0594321602021259,0,0,0,0,0,0,0.0304211428833326,-0.533011148379148,0,0,-1.0842021724855e-19,0,0,0,0.156751894613936,0,0,0,0,0,0,0,0,0,0.0444175233722667,0,0.0430209702011651,0,0,0,0,0,0,-0.260423963442732,0.1484886173845,0,0,0,0,-2.00791383078771,0
CarbonVol_Guangdong,0,0,0,0,-0.00241600436925852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00554661334859782,0,0,0,0,-0.318608394168362,0,0
CarbonVol_Hubei,0,0,0,0,0,0.0023107555346055,0,0,0,0,0,0,0,0,0,0.0021876930642391,0,0,0,0,0,0,0,0,0,0,0,0,-0.00103915546095893,0,0,0,0,0,0.00597906901928151,0,-0.00704627510032547,0,0,0,0,0,0,0,0,0.00285991569966861,0,0,0,-0.00184766071909718,0,0.00150081811349913,0.00145020684919737,0,0,0,0.049812554518714,0,0
