,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600104.SH,X600276.SH,X300124.SZ,X300014.SZ,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X002129.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X300142.SZ,X601877.SH,X600460.SH,X600741.SH,X002180.SZ,X000733.SZ,X000661.SZ,X000100.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X601799.SH,X000800.SZ,X600563.SH,X002414.SZ,X600372.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000063.SZ,0,0,0,0,0,0.258748011389525,0,0,0,0,0,0,0,0,0,0.094706015210782,0,0,0,0,0,0,0,0,0,0,0,0.0842866388325909,0,0,0,0.282648966162444,0,0,0,0,0,0,0.173944104931803,0,0,0,0,0,0,0,0,0.0622270010947555,0,0.071891884455664,0,0,-0.000638359934600238,0,0,0,0,0,0
X000596.SZ,0,0.297933890166077,0,0,0.0481523783876973,0,0.05903640082808,0.0159180412917457,0,0,0,0,0,0,0,0,0,0,0,0,0.311783007797779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146479572446378,0,0,0.0204648707313657,0,0,0,0,0,0,0.0111568054106359,-0.0110134876427239,0,0.121772968343458,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0734521568035617,0,0,0,0.0403102007409247,0,0,0,0,0,0,0.486510148781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516469451812796,0,0,0.0997065902919932,0,0,0,0,0.0434930384234643,0,0,0,0,-0.0515670234042692,0,0,0,0,0,0,0
X000338.SZ,0,0.0315352761956018,0,0,0,0.000851848508546168,0.062472864496903,0,0,0,0.246859960824713,0,0,0,0,0,0.324526808604711,0,0,0,0,0,0.0184972467219809,0,0,0,0,0,0,-0.0136389468884617,0,0,0,0,0,0,0.139749387839992,0,0,0.011129398353028,0,0,0,0,0,0,0,0,0,0,0.186238550459133,-0.00997250468849015,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0.0605141337368787,0,0,0,0,0.258629380640258,0,0,-1.38777878078145e-17,0,0.0283122131664971,0,0,0,0,0,0,0,0.374854690892027,0,0,0.0234883172149399,0,0,0,0.0285227994118437,0.0757491548433545,0,0,0,0,0,0,0,0,0,0.0539876161451417,0,0,0,0,-0.0105446702356533,0.0339856956145301,0,0,0,0,0,0
X002179.SZ,0,0,0,0,-0.0654898159174691,0,0,0,0,0,0,0,0,0,0,0,0,0.20711297177951,0,0.0878002899438943,0,0,0.0177238779801805,0,-0.0230854505313324,0,0,-0.0425352441144269,0.173860260203213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703730025473404,0,0.0252295837593989,0,0.18600512044787,0,0,0,0.0235591243997937,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0.0200021638013389,0,0,0,0,0,0,0,0,0,0,0,0,0.0391890044796365,0.111547749613875,3.46944695195361e-18,0.0220106688382305,0,0,0,0,0,0,0,0,0,0,0,0,0.0259798724336701,0.0434898561518335,0,0.0584165962392251,0.0100998621859609,0,0,0,0,0,0.172289480525064,0.0941611340967122,0,0,0.0424235135980139,0,0.00892601750754483,0,0,0,0,0,0,0
X300142.SZ,0.0493704066287404,0,0,0,0,0,0,0,0,0,0,0,0.361661105929219,0,-0.194493558765388,0,0,-0.0299152110656727,0,0,0,0.00597846673408154,0,0,0,0,0,0,0,0,0,0,0.236605303327851,0,0,0,0,0,0,0,0,0,0,0,-0.160147843072007,0,0,0,0,0,-0.649169346878177,-0.0444928158153551,0.0867710763896051,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0689157232872435,0,0,6.93889390390723e-18,0,0,0.142494991396418,0,0,0,0.0277854592692566,0,0,0,0,0,0,0,0,0,0,0.128779407357562,0,0,0,0,0.0487775361122658,0,0,0,0,0,0,0,0.184347209467473,0,0,0,0,0.0250521811288805,-0.005040932393704,0,0,0,0,0,0
X600460.SH,0,-0.278016441788776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400513536469548,0,0,0.250784115758329,0,0,0,0,0,0.134408239603266,0,0.078167825993597,-0.0683698260337752,0,0,0.134515933116113,0,0,0,0,0.0660105649925278,0,0,0,-0.118252978829243,0,0,0,0,0,0,0.0298097782161932,0,0,0.0766701133798427,0.0462326956310544,0.067334047977041,-0.0510061111748298,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.176630805869177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.201933516335197,0,0,-0.051894645085538,0,0,0,0.0390688434498343,0,0.0747770238082526,0,0,0,0.051018355632508,0,0,8.67361737988404e-19,0,0,0.0208838247183049,0,0,0.186412944721752,0,0.00304625730470375,0,0,0,0,0,-0.023946748254117,0,0,0,0,0,0
X002180.SZ,0,0,0,0.105436481124757,0,0,0,0,0,0,0.0844241720765709,0,0,0,0,0,0,0,0,0,0.408191322474728,0,0,0,0.113257673678828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382007277002056,0,0,-0.196170671981247,0,0.438716400049488,0.167851630968974,0,0,0,0.0627550625229451,-0.0637550518715786,0,0,0,0,0,0
X000733.SZ,0,0,0,-0.118874688393218,0,0,0,0,0,0,-0.01498344551068,0,0,0,0,0,0,0,0.153382612801594,0.190803357380514,0,0,0,0,0,0.0320822095594612,0,0.122006374625772,0,0,0,0,0,0,0,0,0.0335865962926522,0,0,0,0,0,0,0,0,0,0.0866247206117736,0.26324844638503,0,-0.0354023943419393,0,0.00454954821196202,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0.120331317893737,0,0,0,0.014055701289613,0,0,0.103634256106809,0,0,0,0,0.387328079697048,0,0,0,0.0860460882635938,0,0,0,0,0.0411046169851758,0,-0.16296655818707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998410313494367,0,0,0.00881479328429683,0.033438950730291,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198543296664921,0,1.73472347597681e-18,0.214280806415635,0,0,0.133580302245378,0,0,0,0,0,0,0,0,0,0,0.401036240430941,0.0720205855906656,0,0,0,0,0,0,0,0,0,0,0.138644259286694,0,-0.0239411550470729,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0.180115083199841,0,0,0.22940532934982,0,0,0,0,0.051340316839014,0,0,0,0,0.0317718394843105,0,0.0293272783200637,0,0,0,0,0,0,0,0,0,0.199449655912827,0,0.0926951825897883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.0787113937423759,-0.0128090634499783,0.0379423202936353,0,0,0,0,0,0
X002074.SZ,0,0,0,0.0262058719602167,0,0,0,0,0,0,0,0,0.390891652013108,0,0,0,0,0,0,0,0,0,0.140236237681061,0,0.0939552357894832,0,0.189020242059434,0,0,0,0,0,0,0,0.000274868046683311,-0.0983967515704871,0,0,0,0,0,0,0,0,0,0,0.165891886755335,0,0.132058272285503,0,0,0.0524365495513397,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.314951171939103,0,-0.0906107283679081,0,0,0,0,0,0.0370176938348624,0,0,0,0,0,0,0,0.000100550748338167,0,0.330953548017823,0.0320443167434778,0,0,0.0214034199254555,0,0,0,0,0,-0.0208092707540269,0,0,0.0781398117145648,0,0,0,-0.00921681252571295,-0.00195971378294724,0,0,0,0,0,0
