,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600741.SH,X000100.SZ,X600089.SH,X300142.SZ,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600884.SH,X600522.SH,X000157.SZ,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.125940114575999,0,0,0.132323760753375,0,0,0,0,0,0,0.0442833364441761,0.0268376781660537,0.104680484301088,0,0,0,0,0,0,0.132073813382898,0,0,0,0,0.0173260340324818,0.228104161324917,0,0,0,0,0.0224368655045987,0,0,0,0.010694633448338,0,0,0,0,0.0257694594415699,0,0,0,0,-0.00857434540828824,0,0
X002180.SZ,0,0.032842158495197,0,-0.00269972737431497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192727089579849,0.106600242130418,0,0.0864927739605897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555086353424903,0,0,0,0,0,0,0,0,0,0,0,-0.0582660330724093,0.0195351409400819,0,0,0,-0.0500221287550844,0,0
X600702.SH,0,0,0,0,0,0.214147359295402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892509241956709,-0.333542482278949,0,0.0024346452669556,0,0,0,0,0,0,0,0.136039466518472,0,0,0,0,0,0.06900284287076,0,0,0,0.439511953419609,0,0,0,0.336818609705674,0.067803865840081,-0.0110711883501611,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600884.SH,0,-0.0941593034029951,0,0,0,0,0,0,0,0,0,0,0.178850322147265,0.0664426197397841,-0.0286194471202789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.244325713984245,-0.0602335078027423,0.0967259012838197,0.109504374002356,0,0,0,0,0,0,0.236468414304091,0,0.0821772196715108,0,0,0.061680762122,0,0,0,0,0,0.0113801633725668,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0.0442936309010935,0.0250640589664221,0,0,0,0,0,0,0,0,0,0,0.193689200712625,0,0,0,0,0,0,0.239119261964799,0,0,0,-0.110771110814323,0,0.236502355413458,0,0,0.262244689503676,0,0,0,0,0,0,0,0,0,0,0,0,0.177674077041167,0,0,0,0,0,0.0346709731226711,0,0,0,-0.0128077901641319,0,0
X000157.SZ,0,0,0,0,0,-0.0380374338100693,0,0,0,0,0,0,0,0,0.518546804278744,0,0,0,0,0,0.0425542716466861,0.0526939086777694,0,0,0,0,0,0,0,0,0,0.134489872608251,0,0,0,0,0,0.0469422993210214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00560347405757618,-0.0103907983348227,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163408440914506,0,0,0,0,0,-0.216255033367064,0,-0.0311909024013251,0,0.0999308315864473,0,0,0,0,0,0.0494622521802382,1.73472347597681e-18,0.200906661921275,0,-0.263681848116669,0,-0.0474103722852576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170382836761037,0,0,0,-0.0260444579237687,0,0
X002236.SZ,0,0.168916414939967,0,0,0.0578406770565237,0,0,0.0570881760273394,0,0,0,0,0,0,0.176610313405552,0,0.0922508764747723,0.0547256421697787,0,0,0,0,0.00208143690542004,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0838821690316516,0,0,0,0,0,0,0,0,0,0.0156958606327188,0,0,0,0,0.0854495029955497,0,0,0,0.0118636515913348,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0,0.0874068554458388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141993689201251,0.204055993446673,0,0,0,0,0,0,0,0,0,0,0,0.552425238450195,0,0.00870997825831159,0,-0.16679713502782,0,0,0,0,0,0,0,0.189408382180933,0,0,0,0.0712512484244229,-0.0857839455379689,0,0,0,-0.0513342657674247,0,0
X002414.SZ,0,0,0,0,0,0.249908540377463,0,0,0,0,0,0,0,0.21352566147077,0.0529924798029144,0,0,0,0,0,0,-0.163954622606778,0.0696481422307915,0,0,0,0,0,0,0.00967647852553093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363472765477266,-0.102341341776615,0,0,0,-0.130750238519276,0,0
