,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X000661.SZ,X002304.SZ,X000725.SZ,X600031.SH,X003816.SZ,X000568.SZ,X600809.SH,X600690.SH,X600703.SH,X000338.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X000596.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X002129.SZ,X002236.SZ,X601877.SH,X000625.SZ,X000800.SZ,X000157.SZ,X600584.SH,X300136.SZ,X002456.SZ,X002414.SZ,X002049.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X600118.SH,X002185.SZ,X002180.SZ,X300146.SZ,X002008.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,0,0.136538700467451,0,0,0,0,-0.316525883545099,0,0.0803986878382048,0,0,0,0.0724264464619399,0,0,0,0,0.0873775485604697,0,0,0,0.0867144708592994,0,0,0,0,0,0,-0.00295479495077572,0,0,0,0,0,0,0,0,0,0.122944520599247,0,0,0,0,0.0259423676802311,0,0,0.319697932906211,0,0,0,0.00631899900204362,-0.00388155718652129,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0.408290554662227,0,0,0,0,0,0.0021389881381256,0,0,0.218753519814524,0,0,0,0.0846692963036811,0,0,-0.0327387458131455,0,0,-0.0345798621498829,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0780263476288923,0.111194010789662,0,0,0,0,0.0259530870610696,-0.00641530234463456,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101640974481555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00505615692328976,0,0.0338567439147541,0.472016542194066,0.358642651282654,0,0,0,0,0,0,0.105770694241199,0,0,0,0,0,-0.173926853543719,0.0127565210236171,-0.0140522663222771,0,0,0,0,0,0
X300014.SZ,0,0,0,0.170359723065642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0568761669598125,0,0,0,0.0806642558931322,0,0,0,0.0463180545369408,0,0,0.124104679210936,0.0675731991357321,0,0,0.0839987993176881,0,0,0.0347915593335936,0,0,0,0.228436712823642,0,0,0,0,0,0.168716033943365,0.00147475594038807,0,0,0,-0.0240813531963175,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0.131933457238864,0,0,0,0,0,0,0,0,0,0,0.165405947761208,0,0,0,0,0.00158114565716261,0.0256949374827429,0,0,0.083822144281451,0,0,0,0,0.169040293283911,0,0,0,0,0.00715529965784275,0,0,0,0,0,0,0,0,0,0,0,0.0328257245009443,0,0,0,0,0,0.0120774154760735,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.268019432484769,0,0,0,0.258401308227043,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,6.93889390390723e-18,0.238340321749351,0,0,0,0,0,0,0.0572608868798591,0,0,0,0,0,0,0,0,0,0,0,0.199448194490131,0,0,0,0,0.0303328537807902,0,0,-0.0183154918973932,0,0,0,0,0,0,0
X600183.SH,0,0,0,0.0718998162388638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128919296646456,0,0,0,0.0596374195065061,0,0,0,0,0,0.0522071787711772,0,0,0,0,0,0,0,0,0,0,0,0.417067567553247,0,0,0,0.177676521006304,0,0,0,0,0,-0.000866853489892813,-1.73472347597681e-18,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0639043612749453,0,0,0,0,0,0,0,0.0883504220430035,0,0,0,0,0,-0.169008943088296,0,0,0.0706640458394766,0,0.0588036621637157,0,0,0,0,0.407796827061719,0,0,0,0.184182404903691,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245259533140229,0,0,0,0,0,0
X300124.SZ,0,0,0,0.0862627289647094,0,0,0,0,0,0,-0.141449909034321,0,0,0.143396086757013,0,0,0,0,0,0,0.0317740956635602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222352253180801,0,0,0.127517143436955,0,0.0418897949318344,0.0327937241276067,0.0165700495257504,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0.211315839643354,0,0,0,-0.168433678940159,0,0,0,0,0,-0.248697306395992,0,0,0,0,0,0.222886525882361,0,0,0.3528157921292,0,0,0,0,0,0,-0.130442474683496,0,0,0.0831440784741436,0,0,0,0,0,0,0.237009577146194,0,0,0,0,0,0,-0.0647269379657,0.0128933115421719,0,0,0,0,0,0,0
X002129.SZ,0,0.226059518605563,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.116762568406831,0,-0.0580064788535144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517564408093537,0,0,0,0,0,0.112660058174206,0,0,0,0,0.157222008441479,0.0409407620868371,0,0.00901620369037504,0,0,0,0,0,0,0
X002236.SZ,0,0,0,-0.0295159557571152,0,0.271724589109182,0,0,0,0,0.0925354884394269,0,0,0,-0.105090900626692,0,0,0,0,0,0,0.191193087184827,0,0,0,0.143205889397615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041805241069916,0,0,0,0.0134292287051018,0,0,0.0768531244619507,0,0,0,0,-0.0158658270348949,0.018835988145823,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0.0436392111172866,0,0.0543244744978546,0,0,0,0,0,0,0,0,0.0188947436243732,0.0265243602104491,0,0,0.0259079065908125,0,0.0676242956485986,0.154266726469273,0,0,0.0272029200793902,0,0.0408617964960658,0,0,0.0179461603812448,0,0,0,0,0,0.0229854464156501,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0287743561450763,0,0,-0.023766618477695,0.0178302938841629,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.152914382693356,0.286581552339665,0,0.0602805265546311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563231815499109,0,0.298248095884253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178998553156891,0,0.170528113337796,-0.123381650557562,0.0402973782472212,0.00730158213294607,0.00720228390254264,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.0948790081804097,0,0,0,0,0,0,0,0,0.0292552924004746,0,0.0315505985739347,0,0,0,0,0,0,0,0,0,-0.0063083799408998,0,0,0.121692284217868,0,0,0,0,0.160157080576015,0,0,0,0,0,0.0639965118097873,0,0,0.017890961030346,0,0,-0.126958551752508,0,-0.0153224913967384,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.077768661424182,0,0.00821160295411488,0,0,0.190946248194889,0,0,0,0,1.73472347597681e-18,0,-0.00632402026494758,0,0,0.0722598062923301,0.156081149305007,0,0,0,0,0.197917293056872,0,0,0,0,0,0.0458723565576239,0,0,0,0,0,0,0,0,0,0.0567787988998625,0,0,0,0,0,0,0,0.0140540593100025,-0.0143939444947887,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199187507496723,0,0,0,0,0,0,0.205704694008099,0,0,0,0,0.00807539996941015,0,0,0,0,0,0.281334572118189,0,0,0,0,0.341207613607777,0.0804842691751898,0,0,0,-0.0311787903980968,-0.0140161724188283,0,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201033823031816,0,0,0,0,0,0.0440552310102392,0,0.181498964673142,0,0,0,0,0,0,0.218169823522697,0.0647426796392549,0,0.06292099524171,0,0,-0.00484452238791557,0.00974100254544074,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169793568047434,0,0,0.0725231141493432,0,0.00569703606258606,0,0,0,0,0.186057828558157,0,0,0,0.0362592291997373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175768935614808,0,0,0,0,0,-0.0100600936704898,-0.00484334695705561,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213475987206745,0.0161853854431148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174798750095423,0,0,0.306802442402515,0,0,0,0,0,0,0,-0.00147533563495549,0.000733916962999543,0,0,0,0,0,0
