,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X002371.SZ,X600104.SH,X300014.SZ,X600031.SH,X300124.SZ,X000725.SZ,X600703.SH,X000063.SZ,X002129.SZ,X000338.SZ,X000625.SZ,X300142.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X600460.SH,X002179.SZ,X601877.SH,X002074.SZ,X600584.SH,X002007.SZ,X000157.SZ,X002414.SZ,X600183.SH,X002236.SZ,X000799.SZ,X600741.SH,X600702.SH,X601799.SH,X600089.SH,X000800.SZ,X600779.SH,X000066.SZ,X300146.SZ,X300003.SZ,X000977.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0.203822899767769,0,0.147436764348475,0,0,0,0,0,0.119525330999541,0,0,0,0.159925085234742,0,0.0504224990275012,0,0,0,0.113961717069273,0,0.141944608099356,0,0.0318463630969959,0,0,0,0,0,0,0.220327690144795,-0.141237577315527,0,0,0,-0.0897997211966814,0,0,0,-0.105186796062426,0,0.226674057387398,0,0,0,0,0,0,0.194459613740651,0,0.0470617939599977,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.07849383522653,0,0,0,0,0.0431442024131058,0,0,0.0484634540325717,0,0.0404423734726485,0,0.228994743089986,0,0,0,0,0,0.031616217657214,0,0,0,0,0,-0.14865398005987,0.0162256878874608,0,0,0,0,0.00897444965627494,0.00482442295760745,0,0,0,0,0.0329419108177149,0.016261446205727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.0670687996056518,0.127193210271541,0,0.0162447949437773,0,0,0,0.039696940771652,0,0.145990945046317,0,0,0,0.175160035134046,0,0,0,0,0,0.0880706871776754,0,0.17343150846743,0,0,0,0.0467138726388796,0,0.0217374845515354,0,0.0287880321710608,0,0,0,0,0,0,0,0,0.162074003235747,-0.0316359934340988,0,0,-0.134922424353775,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782645583368724,0,0,0.0224208559219044,0,0.367856398116712,0,0.0944784563552872,0,0,0.0103614178373954,0,0.0864553843263793,0,0.125516767027566,0,0,0,0,-0.0218198046657528,0,0,0,0,0,0,0,-0.00657876225732726,0,0,0,8.67361737988404e-19,0,0,0,-0.0870962473999436,0,0
X600703.SH,0,0,0,0,0,0,0.0498209483797276,0,0.115935172260337,0,0.214574791352911,0,0,0.272065246955715,0.0243000042632005,0,0,0,0.150652000043276,0,0,0,0,0,0,0,0,0,0.241354708068981,0,0,0.00234052054126221,0,0.113558957935486,0,0,0,0,0,0,-0.0084026406437714,0,0,0,0,0,0.025257600296256,0,0,0,0,0.0410225224878975,0.0827284605144024,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0677060057383007,0,0,0,0,0.0316542478526393,0,0,0,0.026624983497407,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0711422186214689,0,0,0,0,0,0,0,0,0,0.0800668197152192,0,0,-4.33680868994202e-19,0,0.0342493095666381,0,0,0,0,0,0.00671087175902113,0,0,0,0,0.000987590569742593,0.0152642872409788,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.25472806092101,0,-0.0833843797631554,0,0.134651930287008,0,0,0,-0.0316039933352073,0,0,0,0,0,0,0,0,0,0.118818018869593,0.211964420045081,0,0,0,0,0,0,0,0,0.0177385640076239,0,0.134925968300502,0,0.105840143728888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0589902780583652,0,0,0.124768934286663,0,0,0,0,0,0,-0.0221177840291284,0,0,0.0125805850799917,0,0,-0.0091029127923344,0,0.00716506211960635,0,0.0431535175750345,0,0,0.0333258911278464,0,0,0,0,0,0,0,0,-0.00531583138151879,0,0,0,0,0,0,0,0,0,0,0,-0.00952437945267864,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0.702172144568352,0.0286498039365014,-0.0937636952349271,0.107481628038867,0,0,0,0,0,0,0,0,0,0.12084023245227,0,0,-0.074135689478178,0,0,0,0.178969264798666,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.136774097201677,0,0,0,0,0,-0.0963809417092496,0,-0.0581728290960697,0.368915194451656,0,-0.180383132236856,-0.169055236761917,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0.157722014949941,0,0,0,0,0,0,0,0,0.056963256610473,0,0,0,0,0,0,0,0.0163484899756619,0,0,0.193611230173633,0,0,0,0.103962090960743,0,1.73472347597681e-18,0,0,0,0,0.0332081282536295,0,0,0.144134093507583,0,0,0,0.350665374994454,0,0,0,0,0,-0.191914388184083,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.429219735080296,0,0,-0.159142830117569,-0.121466212323208,0,0.0410729767827794,0,0,0.0745309605069521,0,0,0,0,0,0,0,0,0,0,0,-0.300007186706656,0,0,0,0,0,0,0,0.055061448135656,0,0,0.291825591561064,0,-0.0446925396479585,0,0,0,0,0.230783246623987,0,0,0,-0.0265528644105379,0,0.0166394864288331,-0.13676625399988,0,0,0,0,0,0
X003816.SZ,0,0,0,0.0211000685125419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039393814704267,0,0,0,0,0,-0.0251067791107248,0,0,-0.0296297297055082,0,0,0,-0.034093929402407,0,0.0405865836242498,-8.67361737988404e-19,0.00937038682251941,-0.0356601979900264,0,0,0,0,0.0107467666128131,0,0.00334262666867905,0,0,0,0.0221822711046955,0.011737321458141,0,0,0,0.0142437560017261,0,0
X000661.SZ,0,0,0,0,0.290707712106999,0,0,0,-0.114364680508251,0,0.00621778526190535,0,0.0396202043313165,0,0.12761383815574,0,0,0,0.0531770185620826,0,0,0.19264974912402,0,0,0,0,0,0,-0.0402952616502191,0,0,0,0,0,0,0,0,0,0.283039909618965,0,0.0537426395735618,0,0.127314782051673,0,-0.149234365789598,-0.0249355744816147,0,0.31469818332328,0,0.163217004299195,0,0,-0.191450767591421,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.0522936668190702,0,0,0.112922922121356,0,0,-0.143884427043553,0.223309986648264,0,0,0,0.0657966306795747,0,0.126718144598235,-0.0406324788620002,0,0,0.0946496550670213,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0357742907769755,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517842438103184,0,0,0.0827314423782342,0,-0.0511635473097616,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.00842017517087231,0,0,0,0,0,0,0,0,0.597404978665309,0,0,0,0,0.0517867438692323,0.0817977354578452,0,0,0,0.0555021641873547,0,0,0,0,-0.0543456377792274,0,0,0,0,0,0,0,-0.0266389831746186,0,0,0,0,0,0,0.0309085542928645,0,0,0,0.0103418160736555,0,0,0.0106176665697409,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.353763565681481,0.134252200043178,0,0.0139800075840399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020237533618997,0,0,0,0,0.378926658259534,0,0,0,0.324612697572327,0,0,0,0,0.153818269194125,0,0,0,0,0,0.328187011878409,0,-0.201119767015317,0,0.0393217722619165,0,0,-3.46944695195361e-18,-0.0983708127451317,0,0,0,-0.0855427761763127,0,0
X600460.SH,0,0,0,0,0,0,0.304055504236477,0,-0.00721730717744814,0,0.130302630118898,0,0,0,0,0.242744400743292,0,0,0.463085913432066,0,0,0,0,0,-0.598534447880897,0,0,-0.17377734091966,0,0,0.0653712320749986,0,0.556134528530393,0,0,0,-0.135465687975281,0,0,0,0.124619358792014,0,0,0,0,0,0,0,0,0,0,0,-0.0171792548440189,0,0,0,0,0,0
