,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X002292.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X002074.SZ,X300003.SZ,X002129.SZ,X002294.SZ,X000977.SZ,X600867.SH,X600582.SH,X002506.SZ,X002276.SZ,X600498.SH,X000800.SZ,X002008.SZ,X000869.SZ,X000547.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01094546434937,0,0,0,0,0,0,0.0079138567972177,0,0,0.0336780432572898,0,0,0,0,0,0.220922879514623,0,0,0.0168311971442458,0,0.228272542271005,0,0.348538089414585,0,0,0.0950251772012087,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107758936651346,0,0,0,0,0.00200665910001249,0,0,0,0,0,0,0,0.104120214909668,0,0.135755703871034,0.13010057409711,0,0.0458286749497243,0,0,0,0,0.103126037906584,0,0,0,0,0,0.0285651269331591,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680551524409694,0,0,0,0,0,0,0.199027430136901,0,0,0.155572017102602,0,0.245117074625368,0.00203956027989993,0,0,0.00747860818723099,0.21597195984107,0,-0.011042159540967,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267397902227267,0,0,0,0,0,0,0.172360805897815,0,0,0.0690799770532749,0,0.0856578898722094,0,-8.67361737988404e-19,0,0,0,0.173102644382857,0,0.0193302379483122,0,0,0.117248014704773,0,0,-0.077116942635925,0.238308047210059,0,0,0,0,0,0
X002276.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168310861460125,0,0,0.147741525401689,0,0,0,0,0,0,0,0,-0.0115117197853584,0.00814797358778023,0,0.300518066518276,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0741877997798917,0.141096087064612,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221492517258562,0,0,0,0,0.0439912663161606,0,0,0,0.0224707266828004,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.103580359010533,0,0.287323413952086,0,0,0,0,0.0520413360475453,0,0.16832920845742,0,0,-0.0223844277922696,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0.211959759972397,0,0,0,0,0,0,0,0,0,0.0534768073492074,0,0,0.0594617196820209,0,0,0,0,0,0,0,0,0,0.0585411566932101,0,0,0.064935118134588,0,0.233130992870261,0,0,0,0,0.071189595183852,0.0486668450782071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470907677873809,0,0.122130377953752,0,0,0.0366344758921353,0,0,0,0,0,0,0,0.0146774795435555,0,0,0,0,0.145509270867176,0,0.010095696158785,0,0,0,0,0,0,0,0,0,0,0,-0.0486153111124218,0,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320438428302636,0,0,0.0519841586919288,0.16197381571641,0,0,0,0.106525528949445,0,0,0.323914711874111,0,0,0.0494109150932958,0,0.0814388530885898,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389305777411555,0,0,0,0,0,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278795044643522,0.109996496678128,0,0.0436613977044527,0,0,0,0,0,0,0,0,0,0.209450202657201,0.0503256128482205,0,0,0,0,0.089565788195911,0,0,0,0.0885543660622469,0,0,0,0,0,0,0,0.0245237141440038,0,-0.012881357028709,0,0,0,0,0,0,0
