,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X002371.SZ,X300124.SZ,X600703.SH,X000063.SZ,X000338.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600702.SH,X600741.SH,X600089.SH,X002236.SZ,X000799.SZ,X600779.SH,X000157.SZ,X601799.SH,X002180.SZ,X002414.SZ,X600522.SH,X000733.SZ,X600884.SH,X600584.SH,X002008.SZ,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158525679615175,0,0,0,0.0800039776183793,0.0963646194561794,0,0,0,0,0.0706445485959562,0,0,0,0.0868187312060415,0,0.189913541156189,0.0272550234770452,0,0.0378743335551916,0,0,0,0,0,0,0,0,-0.0756477249855955,0,0,0,0,0,0.28173329216461,0,0,-0.0136794756027894,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,-0.0371867900879573,-4.33680868994202e-19,0,0,0,0.452829432254853,0,8.74941295945716e-05,0,0,0,0,0,0.11295907556481,0,0,0,0,0,-0.0734464214749894,0,0,-0.0448997293093842,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0305485481964247,0,0,0.242878213014598,0.028918479647251,0,0,0,0,0,-0.257380568050433,0,0,-4.33680868994202e-19,0.0362831143346058,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0.0233636516504418,0,0,0,0,-0.0880419419308958,0,0,0.124604955561351,0,-0.032419917974106,0.122385416420332,0,0,0.0921339631006113,0,0,0.0424333326343403,0,0,0,0,0,0,0.0217143198948081,0,0,0,0,0.292482766134995,0,0,0,0.0236474014149064,0,0,0,0.0385401465462274,0,-0.0635641899456652,0,0.0710123552432555,0,0,0,0,-0.0419279756241948,0,0,0,0,0,0,0
X000596.SZ,0.0471986003876602,0,0.0692375904190062,0,0.34272826926243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157106286626654,0,0,0,0.232374971367033,0.0718127635287087,0,0,0,0,0,0,0,0.0772296871416947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199187260677779,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0.138705821952117,0,0,0,0,0,0.184461057232296,0,0,0,0,-0.247057968114708,0,0,0,0.154786102253166,0,0.0122873895916531,0,0.132807912033078,0.116731454861915,0,0,0,0,0.170498495415974,0,0,0,0,0,0,0,0,0.239502034714631,0,0,-0.287749389101295,0,0,0,0,-0.0704645196526836,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108725807684372,0,0,-0.0132086132670417,0,0,0.0455244722462271,0.105134519228145,0,0.31092739890578,0.225196396176489,0,-0.0223540580400921,0,0,0.355387465220444,0,0,-0.0467510488073368,0,0,0,0,0,0.0204848204628523,0,0,0,0,0,0,-0.197640038500538,-1.73472347597681e-18,0.0226026968193916,0,0,0,-0.0539452264518015,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.111101956024401,0,0,0,0,0,0,0.323118320435258,0,0,0,0,-0.111003313480997,0,0,0,0,0,0,0.219792398543145,-0.144174096278942,0,0,0,0,0,0,0,0,0,0,0,0.0251797693612452,0,0.291719711537512,0,0,0.0727199349019212,0,0,0,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0.400044151492806,0,0,6.93889390390723e-18,0,0,-0.187506453947598,0,0,0,0,0,0,-0.00580252776596681,-0.0534632460339936,-0.104698239069947,0,0,0,0,0,0,0,-0.109341714918259,0,0,0,0,0.144947364680676,0,0,0.064425718160376,-0.00388426220509415,-0.166263418722469,0,0,0,0,0,0,-0.0549205009627011,0,-0.0251587673647496,-0.0947477149506707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138874215116102,0,0.269555800139746,0.300646040130451,0,0,0,0,0.194151243722244,0,0,0,0.0652743658052505,0,0,0,0,0,0,0,0,0,0,0,0.249191903393714,0,0,0,0,0,0,-0.0714626208690004,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,-0.12204622232463,0,-2.16840434497101e-19,0,0,-0.0876782223568461,0,0,0,0,0,0,0,0.115425779157284,0,0.152036248601495,0,0,0,0.0643847946551131,0,0.0888495605449444,0,-0.0901350973703341,0,0,0,0,0,0,0,0,0,0,0,0,0.135422028742286,0,0,0,0,0,0,0,0,-0.0198356373511646,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26467682271059,0,0,0,0,-0.0222593669201769,0,0.09010271656981,0,0.106644955654338,0,0.0389027609329879,0,0,-0.00588246125215741,0,0,-0.106452692035069,0,0,0,0,0,0,0,0,0,0.232367081790486,0,0.143941660033049,0,0.370535478349228,0,0,0.021770033281038,0,0,0.0778620112631025,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0.0297577830849372,0,-0.00447420392996528,0,0,0,0,-0.379595662238284,0,0,0,0,0,0,0,0,0,0,0,-0.136719405656976,0,0.205103685545951,-0.0738368905458654,0,0.115049612879267,0,0,-0.164633983261924,0,0,0.0418408735317118,0,0,0,0,0,0,0,0,0.133477190246335,-0.00201282728266275,0,0,0,0,0,0,-0.031325259018306,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0822813019913648,0,0,0,0,0,0,0.0689243482941213,0.434848436994951,0,0,0,0,0,0,0,0,0,0.119627987706325,0.132100952278699,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0420966189921699,0,0,0,0,0.0398968115430372,-0.0558887893430427,0,0,0,0.0816734804308158,0,0,0,0,-0.0247028650786513,0.0141166630105475,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0.0649533816606892,0,0,0,0,0,0,0.0829952153536814,0.266510484973836,0,0,0,-0.0385516074252293,0,0.0719972919242514,0.0414164862972903,0,0.0697450513539362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042897148334444,0.179027159796323,0,0,0,0,0,0,-0.020900489302845,0.0530518062166245,0,0,0,-0.138704161329848,0,0
X600702.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168614539106721,0,0,0,0,0,0.155676934383552,0.0113355027642026,0,0,-1.0842021724855e-19,0,0,0.0154080684342617,0,0,0.123347116544888,0,0,0,0,0.365725572711022,0.190795524758898,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496343665395074,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0869671782666582,0,0,0,0,0,0,0,-0.0783093182857937,-0.092606866222154,-3.46944695195361e-18,0,0,0,0,0,0,-0.137070013382722,0,0,0,0.0229714375414769,0,0,0,0.0120800946311103,0,0,0,0,0,0,0,0,0,0.0734649046141488,0,-0.0335933010266191,0.0839641286530013,0,0,0,0,0,0,0.0865412207946521,0,0,0,0.115428914918694,0,0
X600089.SH,0,0,0,0,0,0,-0.277614827607499,0,0,0,0,0,0,0,0,0.00220661362329837,0,0,0,0.0460098955855898,0,0,0,0,0,0,0.256433313581883,0,0,0.222669454706591,0,0,0,0,0,0,0,-0.0798775124328624,0,0,0,0,0,0,0.0793930602874155,0,0,0,0,0,0,-0.0166583817747928,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,-0.0124609876664261,0,0,0,0,0,-0.136535175812496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112420130825324,0,0.0177149787803266,0,0,0,0.0475669888369859,0,0,0,0,0,0,-0.0399119580328324,0.069462875318231,0,0,0,0,0,0,0.00127653364366696,0,0,0,0,0,0
X000799.SZ,0.229815961601157,0,0,0.0251754680058357,0,0,0.244885789696824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07128778484769,0,0,0,0,0,0,0,0,0,0.403725529341099,0,0,0,0,0,0,0,0,0.0200589351551432,0,0,0.0290902181326752,0,0,0,0,0,0,0.0195136717093199,-0.0889191166196393,0,0,0,0,0,0
X600779.SH,0,0.415220451586697,0,0,0,0,0,0.0421903561792679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461915563825435,0,0,0,0,0,0,0,0,0,0,0.188006008209332,0,-0.0363171995952033,0,0.136147129582121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222066523644403,0,0,0,0,0,0
X000157.SZ,-0.00489519468204332,0,0,0,0,0,-0.0592837045149486,0,0,0,0,0,0.441676550073825,0,0,-0.087115956777191,0,0,0,0,0,0,0,0,0,0,-0.062841887283227,0,-4.33680868994202e-19,0.086918695496526,0,0,0,0,0.0489077055870564,0.0521704158986845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277955888281637,0,0,0,0,0,0,0
X601799.SH,0,0.017801088754063,0,0,0,-0.0106624592500817,0,0.0935518046240046,0.0968322205388468,0,0,0,0,0,0,0,0,0.064581869345635,0,-0.0640885952545405,0,0,0.037449473129381,0.146926458572213,-0.0481306662275046,0.0472102632825298,0,0,0,0,0,0.113956111060675,0,0,0.0298417262993067,0,0,0,0,0,0,0,-0.00606981823006284,0,0,0,0,0,0,0,0,0.00924617931806731,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,-0.147845590877836,0,0,0,0,0,0,0,0,0,0,0,0,0.150404848211468,0,0,0,0,0,0,0,0,-0.0241429810992298,0,0,-0.0544811021691568,0,-0.00563542573971357,0,0,0,0,0.0337060423550312,0,0,0.255252602152599,0,0,0,0.137408815622056,0,0,0,0,0,0,0,-0.00217897128584627,-0.0267347083489225,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,-0.107641188494457,-0.0386569520862591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100550817374229,0,0,0,0,0,0.164393947333786,0.110012583006808,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0765140231421765,0.0502956144517933,0,0.659424332758568,0,0,0,0,0,0.00191358774552557,0.0355077657765792,0,0,0,0,0,0
X600522.SH,0,0,0,-0.349856143002579,0,0.374192815526152,0,0,0,0,0,0,0,0,0.251676296207278,0,0,0,0,-0.188530455124518,0,0,0,0,0.0452024685481838,0,0,0,0.276687539593713,-0.125774443985723,0,-0.135049658316997,0,-0.173296878764926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569266878650735,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118842985542767,0,0,0,0,0,0.0924719231245205,0,0,0,0.494620962570136,0,0,0,0.000985823066305399,0,0,0,0,0,0,0,0,0,0.0987148580326623,0,0,0,0,0,0,0,-0.556899098090128,0,0,-0.0123156055452646,0,0,0,0,0,0
X600884.SH,-0.19678924637746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00976158880510937,0,0,0,-0.17446094364885,-0.0523801954087417,0,0,0,0,0,0.512690165770184,-0.100879055428077,-0.136819867538391,0,0,0,0.0894320094804729,0,0,0,0.117013516348413,0,0,0,-0.261994169856094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,-0.0322230247059825,0,0,0.0593232397455676,0,0.0886176933732618,0,0,0.123508562781906,0,0,0,0,0,0,0,0.0481837094441368,-0.0508794206959253,0,0,0,0,0,0.0261201591622484,0,0,0.126736744890743,0,0,0,0,0,0.0528398051290512,0,0,-0.03564123423198,0,0,0,0,0,0,-0.00984399007660152,0.0426568168663362,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164015830838841,0.13289135074671,0,0.0835917101841755,0,0,0,0,0,0.18446592649119,0,0,0,0,0.150423569997617,0.0869373567656452,0,0,0,0,0.0074540733441345,0,0,0,0,0,0,0,0,0.336598862086907,0,0,0,0,0,0.0757253691019204,0,-0.0207749285217342,0,0,0,0,0,0,0
