,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X000100.SZ,X601877.SH,X300003.SZ,X000157.SZ,X002463.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X002179.SZ,X600271.SH,X300014.SZ,X000625.SZ,X300124.SZ,X600867.SH,X000066.SZ,X002008.SZ,X002049.SZ,X000977.SZ,X002129.SZ,X600498.SH,X600066.SH,X300136.SZ,X600177.SH,X002506.SZ,X002371.SZ,X000050.SZ,X300146.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,-0.00400510688790343,0,0,0,0,0,0,-0.0181428829153883,0,-0.169809465033922,0,0,0,0,0,0,0,0,0,0.165261907497299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139432171590159,0.126668345222304,-2.16840434497101e-19,0,0,0,0.205253040385662,0,0,0,0.043534910240014,0,0.552728768968311,0,-0.0368802674784184,0.0996580218678332,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0.183416491380429,0,0.237249376913512,0,0,0,0,0,0.0237149144178166,0,0,0,0.112339908030499,0,0.0503814620304501,0,0,0,0,0.0448188943777384,0,0,0,0,0.133124002031008,0.092461079180285,0,0,0,0,0,0,0,0,0,0.0531399063205411,0,0,0,0.0369793110720529,0,0,0,-0.0103280325981697,0.0308927397344348,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.0234296998398143,0,0,0,0,0.029528489833874,0,0,0,0,0.182398929037266,0,0,0,0,0,0.209449032016811,0,0,0,0,0,0.0692656135708326,0,0,0,0,0,0,0,0,0,0,0,0.0369200143061932,0,0,0,0,0,0,0,0.0321704079650964,0,0,0,0,-0.0195287331080111,0.0307813689329785,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.0493896374945436,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0683381442711509,0,0.149294122791578,0,0,0,0,0,0,0,0.066372375715218,0,0,0,0,0,0,0,-0.0909724018535998,0,0,0.0714379089968228,0.0334077549253508,0,0,0,0,0,0,0,0,0,0,0.020264247109519,0,0,0,0,-0.0267722113909213,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0.0502524398999816,0,0,0,0,0,0,0,0,0.0790206057681071,0,0,0,0,0,0.0799741248693841,0,0.31805216481019,0.0119756535797433,0,0.120760337987126,0.0106685043652683,0,0,0,0,0,0,-0.113652945168087,0,0,0,0.112327697922243,0,0,0,0,0,-0.0227850744466248,0,0,-0.0369549182436861,0.0149117283674468,0,0,0,0,0,0
X000157.SZ,0,-0.14695010778926,0,0,0,0,0,0,0,0,0,0,0.551793299749397,0,0,0,0,0,-0.0540795188871931,0,-0.0321066566983549,0,0,0,0,0,-0.0361339120826208,0,0.0191227586515674,0.0262507875786771,0,0,0.0308928944634887,-0.0912954666613211,0,0.0797876568964098,0,-0.0318761856247133,0,0,0,0,0,0,0,0,-0.201085005429635,0,0.103298677928232,0,0,-0.0789193650380732,0.0993349357574662,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0.0661824931812589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522570569352939,0,0.164851780341551,0,0.100321799811289,0,0,0.103056464874406,0,0,0,0.0161386439186275,0,0,0,0,0,-0.588578695000561,0.0430058835059742,0,0.127822373679314,0,0,0,0,0.0618381298242211,0,0,0,0,0,0,0,-0.0280943009110177,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,-0.0730007560430455,0,0,0,0,0.0850208566356164,0,0,0.106318973042432,0,0,0.102043986680071,0,0,0,0.135610804854206,0.203719092916674,0,0,0,0,0,-0.110668096300431,0,0,0,0,0,0,0,0.157686339099269,0.0134904745375475,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0175492377372602,0,0,0,0.0239992153080875,0,0
X002241.SZ,0,0,0,0,0.0705222747422037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231760699562601,-0.228533473610456,0.138487388784128,0.359150689675663,0,0,0,0,0.131776656864175,0,0,0,0,0,0,0,0,0.285538238480794,0,0,0,0,0.0347945895506974,0,0,0.0603898366441617,0,0,0,0,0,0.0664441510086688,0,0.00429088854154957,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0.0879884044043248,0,0,0,0.0554723421600114,0.0477169190651126,-2.16840434497101e-19,0.037843341200225,0,0,0,3.46944695195361e-18,0.00539380204835875,0,0,0.0627086309421618,0,0,0,0,0,0,0.0340069387335923,0,0.0907285068728219,0,0,0,0.118033919076068,0,0,0,0,0,0,0,0,0.0190623501069779,0,0.0162793197086429,0,-1.73472347597681e-18,-0.0253775144721593,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135693906194754,-0.00957666445234413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234462551345262,0.0860130326734815,-0.0224941781695952,0,0.275502987515752,0.0365130164576742,0,0,0,0,0,0.0139491716591589,0,0.0925909651973796,0,0,0,0.0247874740189957,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,-0.0458047778053657,0,0.131819108301251,0,0,0,0,0.0913954408748512,0,0,0,0,0,0,0.187522510510797,0,0,0,0,0,-0.0152884614302616,0.0819081333088517,0,0,0,0,0,0,0,0,0.0789013310937295,0,0,0.188797743473856,0,0,0,0,0,0.12750035921867,0,0,0,0,0,-8.67361737988404e-19,0.0265373107423523,0,0,0,0.0160919787324883,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.058853888280293,0,0,0,0,0,0.0588414846739235,0,0,0,0,0,0,0,0,0.230159308757391,0,0.041775048848096,0,0,0,0.256464921225019,0,0,0,0.112901529071504,0,0,0,0,0,0,0,-0.0574238620059146,0,0,0,0,0,0.00107735951219432,0.0436396202560992,-0.800759433019164,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.295214064585495,0,0,0,0,0,0,0,0,0,0.0150731632697,0,-0.041924831936527,0,0,0.0236259287814235,0,0,0,0,0,0.00416479005855647,0,0.117094380661502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181565985237843,4.33680868994202e-19,0,-0.0775785389456481,0,0,0,0,0,0,0.00397480481261261,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0.0542205282929817,0,0,0,0,0,0,0,-0.0330492693597419,0,0,0,0,0,0,0,0,0,-0.0172184762741725,0,0,0,0,0,0,0,0,0,0,0.0319206228196853,0.0734537872722786,0,0,0.113269195901741,0,0,0.141179587282055,0,0.166324117090245,0,0,0.0151930899760394,-0.0172701679309162,0,0,0,0,0,0
X600867.SH,0,0,0,0.23471358207164,0,0,0,0.0179407743437568,0,0,0.0502906197086858,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.102497934274903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0575409360811461,0,0,0,0,0,0,0,0,0,0,-0.0715843837694917,0.109129941839431,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,-0.156004558182713,0,0,0,0,0,0,0,0.0976044892068279,0,0.104143299288479,0,0,0,0,0,0,0,0,0,0.0181723518156682,0,0,0,0,0,0,0.36361296710719,0,0,0,0,0.163438424626915,0.162957747340072,0.00381840664473596,0,0,0,0,0,0.059899941046439,0,0,0,0,-0.000418173414843219,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0.159044270808837,0,0,0,0.279296107006911,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40814315978697,0,0,0,0,0,0,0.18243593596099,6.93889390390723e-18,0,0.181680148518913,-0.0864275720087506,0,-0.0516492907746964,0.3273619883972,-0.309402859109599,0,0,0.585673462946414,0,0.0975913938626251,0,0,0,0,0,-0.0517647782482702,0.033655577754554,0,0,0,0.0817049004325604,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0.0434274006879877,0.0670180175715938,0,0,0,0,0,0.1468895087764,0,0,0,0.195174930499839,0,0,0,0,0,0,0,0,0,0,0,0.00602172603766894,0,0,0,0.0927923737307709,0,0,0,0.0311427010646209,0,0,0.280119526182982,0,0,0.143906761030565,0,0.192709626645161,0,0,0,0.0153408614944657,0,0,0,0.0025109969219977,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383542888817644,0,0,0,0,0,0,0,0,0.176235420385625,0,0,0,0,0,0,0.228506951383406,0,0,0,0.0215776602978562,0,0.0556273142992719,0.47576956823446,0,0,0,0,0,0,0,0,0.10713178683067,0,0,0.0162917497558326,0,-0.025067861463413,-0.0348906928764258,0,0,0,0.14265319663117,0,0
X002129.SZ,0,0.0666806635633271,0,0,0,0,-0.128864497433557,0,0,0,0.0723155126458792,0,0,0,0,0,0,0,0.102043132155024,0,0,0,0,0,0,0,0,0,0.134236467592943,0,0,0,0,0,0,0,0.0802260827818768,-0.343345820394647,0.257506903579454,0,0,0,0,0.237355812630066,0,0,0,0.0920372429237915,-0.0894812995997043,-0.293523599117904,0,0.0765554000021937,0.0132900290378836,0,0,0,-0.24949191518757,0,0
X600498.SH,0,0,0,0,0,0,-0.251951699909935,0,0.12503647660309,0,0,0,0,0,0.067695449528921,0,0,0,-0.0148069857966626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012897320373573,0,0,0,0,0.307492532370116,0,0,0,0,0.0278528085784553,0,0,0,0.00868474954915907,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0.0125699789475002,0.159233057694394,0,0,0,0,0,0,0,0,0.0557613370418269,0,0.0960569620652866,0,0,0,0,0,0,0,0.0524490207397048,0,0,0.280250156650992,0,0,0,0.200771334167451,0,0,0,0,0,0,-0.0684773704026783,0,0,-0.110698140555182,0,0,0,0,0,0,0,-0.0187596009557215,0,0,0,0,0.0235298415709287,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115963640794978,0,0,0.288921164088254,-0.109964793328591,0,0,-0.102934692163491,0.14833286698717,0,0,0,0,0,0,-0.0515508374607099,0.182280730044025,0,0,0.374009916071537,0.1714030465915,0,0.118212509293709,0,0,0,0,0,0,0,0,-0.0996925997249464,0,0.011935538838081,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.00825174804844509,0,0,0,0,0,0.0855767242575668,0,0,0,0,0.0112969294496226,0.0322955247246296,0,0,0,0.00253884415443765,0,0,0,0,0,0,0,0,0,0,0,0.0216885131202455,0,-0.0344865400871734,0,0,0,0.00154070022815312,0,0,0,0,0.0298304471816263,0,0.106163403750737,0,0,0.0439653720111865,0,0,0,-0.0461152657202858,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314667262928206,0,0,0,0,0,0,0,0,0,0,0.127492346095703,-0.0304326584017077,0,0.0307302858879147,0,0,-1.38777878078145e-17,0,0.0760466501931908,0,0,0,0,0,0,0,-0.389175126955577,0.120155191823154,0,0,0,0.109698146777027,0.0319012147166765,0,0,0,0,0.00447223973466215,0,0,0,0,0,0
