,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002028.SZ,0,0,0,0,0,0,0.377974184307478,0,0,0,0,0,-0.0217075744685869,0,0,0,0,0,0,0,0,-0.187720443466728,0,-0.0223232585605576,0,0,-0.0422179341507196,0,0,0,0,0,0,0,0,0,0.148405379673566,0,0,0,0,0,0.103811015394332,0,0,-0.0167253018540984,0,0,0,0.152460415928705,-0.0226044460205266,0.0471901510975296,0.017055898187199,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.425046401076564,0,0,0,0.0663059497553734,0.0223034474387057,0,0,0,0,0,0,0,0,0,0,0,0.125494289981099,0.120640348603386,0.0919887807706209,0,0,0.0388186018151728,0,0,0,0,0,0,0,0,0,0,0,0,0.0106735900420993,0,0,0,0,0,0,0,-0.00533100687956036,0.0081412668399028,0,0,0,-0.0268357646142811,0,0
X600522.SH,0,0,0,0,0,0,0,0,0.0166505364729917,0,0,0,0.20587097742637,1.73472347597681e-18,0,0,0,0,0,0,8.67361737988404e-19,0.0478092280527828,0,0,0,0,0.249537528836138,0,0.352058800252005,0,0,0,0,-0.101956539621664,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531765624260468,0.062281386166296,0,0,0,-0.00787057911684974,-0.00141525150916366,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0.257177532818735,0,0,0,0,0,0,0,0.413002102246685,0,0,-0.309044421114338,0,0,0,0,0,0,0,0.272036339253224,0.212483717814279,0,0,0,0,-0.223516922773953,0,0,0,0.151959373329927,0,0,0,0,0,0,0,0,0,0.00339852735788971,0,0,0,0,0,0.0943069314841701,0,-0.0184223710577099,0.0516549162738516,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.106231322682255,0,0,0,0,0,0,0,0.235428997136003,0,0,0,0.172590918908665,0.0580873426219548,0,0,0,0.0748607989665693,0,0,0,0.00821295444590548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420880712225101,0.0043197768795938,0,0,0,-1.73472347597681e-18,0,0
X600183.SH,0,0,0,0,0.244265987590695,0,0,0,0,0,0,0,0.0324039892383676,0,0,0,0,0,0,0,0.123315029277446,0,0,0,0,0,0.160049244072154,0,0.0146754212283036,0.0470066156403561,0,0,0,0.0449212747912122,0,0,0,0.0371856127275365,0.160829521285237,0,0,0,0,0,0,0,0,0,0,0,0,-0.000783240942820999,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630514445152809,0,0.104635266523926,0,0,0,0,0,0,0,0,0,0,0,0.0724657551236374,0,0,0,0,0,-0.136600587861415,0,0,0,0,0,0.142857790334531,0,0,0,0,0,-1.73472347597681e-18,0.106412598689032,0.00421953465172892,0,0.0775769296944025,0,0,0.0216867198481056,0,0,0,0,0,0
X600066.SH,0,0.649910061524471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187305134062636,0,0,0,0,0,0,0,0,0,0,-0.0478838813732547,0,0,0,0,0,0,0,0,0,0.021141149918688,0,0,0,0,0.0445022703969602,0,0,0,0.0235221472166878,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0.21273800451472,0,0,0,0,0,0,-0.138212449462776,0,0,0,0,0.102733230148801,0,0,0.0241322283992018,0,0.100700364338369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266969030002439,0,0,0.290853379508771,0,0.310209200726192,0.256366934961675,0.131359882572869,0,0,0,-0.104848628240587,0.0510880136497542,0,0.214065538097404,0,-0.040492061453857,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153019733186335,0,0,0,0.125079166075413,0,0,0,0,0,0.00878479621656479,0,0.494522322012517,0,0.151828386988198,0,0,0,0,0,0,0,0,0.056641187728549,0,0,0,0,0,0,0,0,0,-0.0425862279002719,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0.0175690379082006,0,0,0,0.0832789771066812,0,0,0,0.0672021741862849,0.237077632660265,0,0,0,0,0,0,0,0.130686842253188,0,0,0,0,0,0,0,0.0258825102617257,0,0,0,0,0,0.00915089379515558,0,0,0.00573941395870277,0,0,0,-0.0571397608252038,0,0.0259511648033739,-0.00321387486051267,0,0,0,0.0036011141820765,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,-0.0133029696460703,0,0,0,0,0,0,0,0,0,-0.280958849743527,0,0.0137911415248938,0,0,0.193153895702147,0,0,0,0,0,0,0.186071743985428,0,0,0,0,0,0,0,0,0,0,0.348277216281254,0,0,0,0.601879754951781,0,0,0,0,-0.016803616353082,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.405213441414832,0,0,0,0,0,0,0,0,0.280953208451177,0,0,0.155130386306746,0,0,0,0,0,-0.0856975741029427,0,0,0,0.0437629506618589,0,0,0,0,0,0,0,0,0,0,0,0.140372159958638,0,0,0,0,0,-0.0601341072033176,0.0129994220717448,0,0,0,0.0484098341361734,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00134651607465416,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.089861355373757,0,0,0,0,0,0,-0.00758212514140735,0,0.0157825423876741,0.225324531768817,0,0,0,0.173813957103279,0.0444359385073621,0,0,0,0,0,0,0,0,0,-0.0970626869865522,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0761894298244723,0,0,0,0,0,0,0.180825989337513,0.140691173690717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-2.16840434497101e-19,0.0354844480225398,0,0.0251019693419311,0,0,0,0,0,0,0.000555384239846887,0,0,0,-0.116842421879777,0,0
X000921.SZ,0,0.18383072482769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992446419117001,0.00951597564587105,0.275892675944228,0,0,0.0242860222885179,0,0,0,0,0,0,0,0,0,0,0,0.0521507586612239,0,0,0,0,0.112778581678462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020229411084632,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139459236634711,-0.449007010539969,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0.294430848759342,-0.673085637567064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187347305769815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118804452633534,0,0,0,-0.0882485276560268,0.641404726420965,0,0.709681366276856,0,0,0,1.01084030485531,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521152022822429,0,0,0,-0.117722544647532,0,0,0,0,0.00779722589734437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422785155051334,0,0,0,0,-0.283869300363864,0,0
RealEstate_excess,0,0,0.362586593780711,0,-0.0294593766677744,0,0,0,-0.184902357162397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589855528689586,0,-0.0713280842879602,0,0,0,0,0,0,-0.190541257268247,0,0,0,0,0,0,0,0.069574993382612,0,0.180594597492858,0,0,0,0.13204527322068,0,0,-1.73472347597681e-18,0.0766779498958302,0.000763170466659338,-0.0368434936610585,0,0.176095492036416,0,-0.119451899957243,0,0
MKreturn,0,0,0,0,0,0,0,0,0.149217493636665,0,0,0,0,0,-0.0405475649244861,-0.054054875814551,0,0,0,0,-0.0432901256038146,0,0,0,0,0,0.197711953645862,0,0,0,0,0,0,0.0574036514558314,0,0.0241059450707961,0,0,0,0,0,0,0,0,0,0,0,0,0.02736907718132,0,0,0,0.0196057613597633,0.17687097881299,0,0,-0.0998095855309253,0,0
MKvol,0,-0.00845806748132831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672171401574567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000360578199387985,0,0,0,0,0,0,-0.00393170712917959,0,-0.00237225888255806,0,0,0,0,-0.0249232075616756,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,-0.00477879190471964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011998881922285,0,0,0,0,0,0,0,0,0.00327121544056975,0,0,0,0.00142735444720439,-0.0116358787649851,0,0,0,0,0,0,0,0,0,0,0.013845405316668,0,0,0,0,0,0,-0.00666419549214982,0,0,0,-0.00360155513789942,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0.001210058507341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.00139855458620309,0,0,0,0,0,0,0,0,0.00072200772182862,0,0,-0.000989142919074951,-0.00215951804386947,0,0,0,0,-0.0192339055405779,0.0293973241447484,0,0,0,-0.050167902595673,0,0
