,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X601992.SH,X000723.SZ,X600027.SH,X000786.SZ,X002271.SZ,X600516.SH,X002353.SZ,X600176.SH,X600489.SH,X002466.SZ,X000898.SZ,X600299.SH,X002460.SZ,X601158.SH,X000709.SZ,X000883.SZ,X600426.SH,X600612.SH,X600583.SH,X600219.SH,X600315.SH,X000629.SZ,X000792.SZ,X000027.SZ,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769878096165924,0.0668589637576535,0,0.0416355878319682,0,0,0,0.0176802080091592,0,0,0,0,0.209406567867845,0,0,0,0,-0.0528615505970366,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507857624286386,0,0,0,0.0208324648081687,0,0
X002353.SZ,0,0,0,0,0,0,6.44858764348444e-05,0.337543291817848,0,-0.118344418317281,0,0,0,0,0,0,0,0,0.270948841271368,0,0,-0.082520457884794,0,-0.0641171018498305,0,0,0,-0.097883234988341,0,0,0,0,0,0,0.271622798075812,0,0,0,0,0.0515350291628763,0.144915653523966,0,0,0,-0.0288253918087384,-0.123553327786539,0,0,0,0,0,0,-0.0221197859682868,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0298720022351947,0,0,0,0,0,0,0,0,0,0,0,0.237905934516957,0,0,0.0706746735659251,0,0.0933144446736716,0,0.100060730189046,0,0,0,0.00518132137124718,0.12658555300243,0.0468592202624304,0,0,0,0,-0.0594265247079386,0,-0.110505327335182,0,0.119337733345438,0,-0.0516319666627227,0,0,0,0.0237253072151228,0,0,0.015824695603358,0.0269820693849182,0,0,0,-0.00872688803655863,0,0
X600489.SH,0,0,0,0,0,0,0.526009411867775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0119435588041515,0,0,-0.0389295201313095,-0.0605084827267537,0,0,-0.0604578537946291,0,0,0,0,0,0,0,0.187962834422973,0,0,0,0,0,0,0,0,0.318341657484145,0,0,0,0,0,0,0,-0.0580078126813263,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285019777794491,0,0.141223260661655,0,-0.130179256209635,0,0.0456580656417019,0,0.164354939172859,0,0,0,-0.0835556768891172,0.518341464063625,0,0,0,0.0121298780344295,0,0,0,0.120996363906735,0,-0.110954688443403,0,0,0,0,0,0,-0.0696845076978521,0,0,0,0,0.00391738832744774,0,0
X000898.SZ,0,0,0,0,0,0,-0.0881992194280512,0,0,0,0,0,0,0.203814547310821,0,0,0,0,0.0210318184193351,0.0641755973854365,0,0,0,0.180862147477072,0,0,0,0.0450084441594375,0.00347340980685277,0,0,0,0,0.0477734332833403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179376908285344,0,1.34428752356554e-05,0,0,0.0456665277107617,0,0,0,-0.0119153240417932,0,0
X600299.SH,0,0,0,0,0,0,-0.0648397507725398,0,0,0,0,0,0,0.104356367600742,0,0,-0.0192865413315324,0,0.0871408195405927,0,0,-0.0966731688999674,0,0.0207137112314476,0,0,0,0.158960565476855,0,0.165396599199591,0,0.0588053329892755,0,0,0,0,0,0,0,0.202877161359985,0,0,0,0,0,0,0,0,0,0.0799951520909185,0,-0.0177856708947319,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121355945683534,0,0.00449446842027516,0,0,0.0815655401921048,0,0.00787120527197861,0.0643809838999134,0,0,0.358717322684614,0.0715606391050567,0,0,0.270733000506037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125735737061024,0,0,0,0,0.00269359161812969,0,0
X601158.SH,0,0,0,0,0,0,0,0.0529952711381773,0,0,0,0,0,0,0,0,0,0,0,0.111634526692331,0,0,0.072986091757764,-3.46944695195361e-18,0,0,0.0146610418179252,-4.33680868994202e-19,0.0242179835393211,0,0,0,0,0.0770626015629361,0,0,0,0.0747000838661638,0,0,0,0,0.000763830235972767,0,0,0,0,0.0972613560355559,0,0,0,0.0157137320670477,0,0,0,0,0.00633905605725014,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0.0326960831314438,0,0,0,0,0,0,0,0,0,0.0307875010858317,0,0,0.115593143110127,0.05472123748916,0,0,0,0.0335107478558263,0,0,0,0,0,0,0.0488296923376492,0,0,0,0,0,0,0,0,0,0.00243362318113374,0,0,0.0277741995752478,0,0.106976197556368,0,0,0,0,0,0,-0.0343203449648781,0,0
X000883.SZ,0,0,0,0,0,0,-0.068769701959215,0,0,-0.0351079628538901,0,0,0,0,0,0,0,0,0,0,0.166659954512616,0,0,8.67361737988404e-19,0.19357796271312,0,0.00845454761030857,0.0290331187679769,0.0147937155416466,0,0,0,0,0,0.0583867780169824,0,0,0,0,0,0,0,0,0,0,0.144417432288439,0.145304930256716,0,0,0,0,-0.00581763926310786,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240662001210424,0,0,0,0,0.0283663771594865,-6.93889390390723e-18,4.33680868994202e-19,0.0420514347769364,0,0.170119034173218,0,0,0,0,0,0.0956494511061984,0,0,0,0,-0.265988818090514,0.474849631424158,0,0,0.10119010570024,0,0,0,0,-0.177279557126336,-0.143929402038623,0,0,0.0556251999264329,0,0,0,0.0910296915081346,0,0
X600612.SH,0,0,0,0,0,0,0.305906347477102,0,0,0,0,0,-0.282728648073146,0,0,0,0,0,0,0,0,-0.107410743970789,0,0,0,0,0,0,0.133769066722622,0,0.350467831289224,0,0,0,0,0,0,0,-0.0262522949237735,0,0,0,0,0,0,0,0,0,0,0.216286545981233,0,0.0107342212588563,0.00388848977850355,0,0,0,0,0,0
X600583.SH,0,0,0,0,0.179259115586867,0,0.0714892880055656,0,0,0,0,0,0,0,0,0,0,0,0,0.217707218543598,0,0.000100263776755934,0,0.0212463126599945,0.0140474673372551,0,0,0,0,-0.0223363068568375,0,0,0,0,0,0,0,0,0.203116605490119,0.151553929126577,0,0,-0.0912531935823556,0,0.0213121371756079,0.112913091754536,0,0,0,0,0.0158670168353472,0.0294020598876122,0,0,0,0,-0.0140969705009836,0,0
X600219.SH,0,0,0,0,0,0,0.0155593033017703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122980751192283,0,0,0,0,0.0509435448080017,0.0126012515677091,0,0,0,0.1187788193627,0,0,0,0,0,0,0,0,0,0,-0.0403553467038691,0,0,0,0.0778695298302935,0.0777926678128353,0,0,0.0105573848616149,0,0,0,-0.00145382949409894,0,0
X600315.SH,0,0,0,0,0.00476194782010194,0,-0.0319042971449002,0,0,0,0,0.147155544792535,0,0,0,0,1.73472347597681e-18,0,0.0279335061835928,0,0,-0.201593716960601,0.112506046693729,0,0,0,-0.3362110045177,0,0.0968642235727002,0,0,0,0,0,0,0,0,0,0.141648954851851,0,-0.275086500626877,0,0,0,-0.0897951302290259,0,0,0,0,0,0,0,0,0,0,0,-0.0310000953257436,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0.0453408780753181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.208693145287976,0,0,0.0798651902999481,0,0,0.100699096943037,0,0,0,0,0,0,0,0,0,0,0.0813960894862577,0,0,0,0,0,-0.00909810361949027,-0.0215775600411582,-0.0204872928451058,0,0,0,0.00393292280787794,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083555096324872,0,0,0,0,0,0,0,0,0.508288139110765,0.0183467417341139,0,0,0,0.127792767976004,0,0,-0.0380672833050428,0.201268910311844,0,0,0,0,0,0,0,0,0.352732143075514,0,0.064193090503993,0,0,0,0,0,-0.14138515574218,0.2796606083389,0,0,0,0.154148965430571,0,0
X000027.SZ,0,0,0.316680902784968,0,0,0,0,0,0,0,0,0.0268249988751682,0,0,0,0,-0.00863830563737789,0,0,0.0662213529913029,0,0,0,0.00699307268470601,0,0,0.012519056837238,0,0,0,0,0,0,0.127410957315625,0,0,0,0,0,0,0.0914597808104232,0,0,0,0,0,0,0,0.171980565589478,0,0,0.0228458345486697,0,0,0,0,-0.0335066989458426,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230861320084981,0.109931086894805,0,0,0,0.0426772141611796,0.00331669491374431,0,0,0,0,0,0.0463415881055976,0,0,0,0,0,0.160499365635642,0,0,0,0,0.0514766354106834,0,0,0.155529122187405,0,0,0,0.00195383910149001,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,-0.0516360482312269,0,0,0,0,0,0,0.0099310042651801,0,0,0,0,0,0.21364370810535,0,0,0.19771377310639,0.0392380874786866,0,0.113053868772032,0,0.10337716113584,0.0702410952789936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320567314593892,0,0,0,0,0,0,0,0,0,0.000600941125994675,0,0,0,-0.00493704242135186,0,0
X600985.SH,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.123116229140991,0,0.121800880285122,0,0,0,0,-0.0262757834097104,0,0.216263994452742,0,0,0.0192640453580981,0,0.061583093568953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525576182777946,0.429706258126094,0,0,0,0,0,0.000755719171073634,0,-0.00838653060804189,0,0,-0.0444342863390094,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198931229711182,0,0,0,0,0,0,0,0,0.156394434181933,0.0807369010226267,0,0,0,0,0,0,0,0.0824687594304666,0,0.0883266844481472,0,0,0,0,0,0,0,0,0,0,0.0173109451543618,0,0,0,0,0,0,0,0.0144252296395061,0,0,0,-0.0172246738926331,0,0
Change_TY3M,0,0,-0.175928053075719,-0.135781588471504,0.115342227123143,0,-0.127249369341637,0,0,0,0,-0.115339309055593,0,0.0306026665606483,0,0,-0.090167453419427,0,0,0,0,0.037468215585325,0,0,0.0837515788937166,0,0,0,-0.194170113319157,0,0,0,0,0,0.0487954801112145,0,0,0,-0.00888954759658458,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500544800357451,0,0,0,0.0526705378145967,0,0
Slope,0,0,-0.108122209143608,0,0.0879612419342699,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.183043508179307,0,0,0,0,-0.159590184243981,-0.621610917985764,-0.38247712571831,0,0.277818647555408,0,0,0,0,0,-0.488062383927827,0.0047468507425032,0,0,0,0,0.383392386671903,0,0,0,0,0,0,0,0,0,0,0.108672084419759,0,1.44310489197037,0,0,0,0.36101532024176,0,0
TED,0,0,0,0,0,0,0,0.379765471197217,0,0,0,0,0,0,0,0,0,0,-0.017737148055776,0,0,-0.124981573842729,0,0,0,-0.138615918598627,0.227510562100208,-0.139019004657044,0.246131091688223,0,0,-0.279451500854444,0,0,0,0,0,0,1.73472347597681e-18,0.107082104599947,0,0,-0.111081008365523,0,0.142802107182722,0,0,0,0,0,-0.403661607551946,0.566335074490545,0,0,0,0,-0.265826406576307,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232538782622889,-0.0186307089158113,0,0,0.0933404594921233,0,0,0,0,0,0,-0.0326309798902318,0,0,0,0,-0.0729442793595616,0.165199493659539,0.0788827702119065,0,0,0,-0.0107699350767043,0,0,0,0,0,0,0,0.0425314506566278,0,0,0,0,0,-0.0677349791092123,0,0,-0.00458357834077402,0,0,0,0,-0.0122118004537754,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,-0.0752579723046515,0,0,0,0,0,0,0,0,0,0,0,0.0162674397619271,0,0.119041205995247,0,0,0,0,-0.038113155744193,0,0,0.0251390701641227,0,0,0,0,0.076746690477613,0,0.0963303714373798,0,0,0,0.0198854017074816,0,0,0,0,0,0,0,0,0,0,0,-0.0108418523464589,0,0
MKvol,0,0,0,0,0,0,0,0.00249739239247901,0,0,0,0,0,0,0,0,0.00282344184825644,0,0,0,0,0,0,0,0,-0.00748659413733996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029114789078951,-0.00223665466489193,0,0,-0.0103720095957174,0,0,0,0,2.45852973003862e-05,0,0,0.00861156240011979,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0.145237975613741,0,0,-0.0358811514987649,0,0.00458633402346847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0811398264363762,0,-0.262265466402933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816117401288698,0,0,0,0,-0.279395701045655,0,0,-0.120124527464595,0,0,0,0,0,3.2169185788513
CarbonVol_Guangdong,0,0,0,0,0,0,-0.00212303573412446,0.0133588262567666,0,-0.00672326443025283,-0.00869375928737552,0.00824473537172317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00111081640582436,0,0,0,0,-0.00260736244379469,0,0,0,0,0,0.00882039816844839,0.0024516152377496,0,0,0,0,-0.028759698438539,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011226232398279,0,0,0,0,0,0,0,0,0,0,-0.00878097371363645,0.0109522916639363,-0.00381059321014767,0,0,0.0101425805052645,0,0,-0.010161184469563,0,0,0,0,0.00858148801599306,0,0,0,-0.00340520238796092,0,-0.0182587164239223,-0.0107625497568876,0,0,0,0,0,-0.00850623218822298,-0.00733521961340608,0,0,0,0.121588848596912,0,0
