,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X601600.SH,X300072.SZ,X600547.SH,X600795.SH,X600309.SH,X601991.SH,X600188.SH,X600362.SH,X600660.SH,X000709.SZ,X600886.SH,X600027.SH,X002466.SZ,X600157.SH,X600111.SH,X000959.SZ,X600339.SH,X000898.SZ,X600489.SH,X600008.SH,X601158.SH,X600299.SH,X002460.SZ,X600219.SH,X000408.SZ,X000883.SZ,X600352.SH,X600578.SH,X000401.SZ,X000630.SZ,X600160.SH,X600583.SH,X000792.SZ,X000723.SZ,X000539.SZ,X000786.SZ,X600176.SH,X000983.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,-0.0389989899026239,0,0,0,0,0.0769252255239818,-0.0671915618538147,0,0,0,0,0.148634870573345,0,-0.314621804585877,0,0,0,0,0,0,0,0.255703598448052,0,0,0.370727842817104,0,0,-0.10362910721864,0,0,0,0,0,-0.162454375769631,0,0.206384271970146,0,0,0,0,0.0531789959527179,0,0,0,0,0.106285737581975,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,-0.0200065339208205,0.0292872360579563,0,0,-0.00129374254019647,0,0,0,0,0,0,0,0.112579160009779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571662319092637,0,0.063655078685045,0,0,0.264638174394177,0,0,0.0274399495545032,-0.0261889530705314,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0693964112364989,0,0,0.252443718041054,0,0,0,0,-0.160309508614282,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0061948219295523,0,0,0.0267121831587068,0,0,0,0,0,0,0.453930969818022,0,0,0,0,0,0,3.46944695195361e-18,0.0476202662477415,0,0,-8.01210661324305e-05,-0.00574240329605803,0,0,0,0,0,0
X600660.SH,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.00597679549969625,0,0,0.199535077070736,0,0,0.0240612536095629,0,-3.46944695195361e-18,0,0.293684411616974,0.133906264570888,0,0,0,0,0,0,0.0537772828753142,0,0,0,0,-0.171796864689242,0,0,0,0,0,0.0365520180404501,0,0,0,0,0,0,0,0,0,0.0313154970350438,0.0140575183371992,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0.293452200223955,0,0,0,0,0,0,0,0,0,0,0.0616280340426971,0.0915194118257937,0,0,0,0.0637871223402469,0,0,0,0,0.196827496121623,0,0.110601158692433,0,0,0,0,0,0,0,0,0.0836362759461001,0.0726426761319788,0.494956257612232,0,-0.0662073270122857,0,0.0390028055039373,0,0.3785196817243,0,0,0.147732869408091,0,0,0.0122276873073447,0.00894683029034695,0,0,0,0,0,0
X600886.SH,0,0,0.0890278653012867,-0.0329878798744782,0.0541820707074142,-0.110157230092252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599271753453417,0,0,0,0,0,0,0,0,-0.108458921542406,0.0626829751747809,0,0,0,0,0,0,0,0.135929274908336,0,0,-0.0732377508199764,0,0,0,0,0,0,0,0,0,0.0318279193573368,-0.00299537011201604,0,0,0,0,0,0
X600027.SH,0,0,-0.0237771923116372,0,0.225941601719951,0,0,0.0691918622764876,0,0,0.0608000629562178,0,0,0,-0.0344620765306514,0.084377990929858,0,0,0.103511528930512,0.00620881003018558,0,0,0,0,0,0,0.0875411330719103,0,0,0,0,0,0,0,0,0,0,0,-0.0264322013667874,0,-0.239744994538617,0.0741166940527157,0,0,0,-0.07021207818556,0,0,0,0,-0.00541632461900448,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.205012564135029,0,0,0,0,0.283298809694696,-0.0950207946291723,0,0,-0.0143077285970634,0,-0.0591700594542842,0,0,0.024590243980624,0,0,0,0,0,-0.0346439064384132,0,0,0,0,0,-0.0360755805292305,0.606476360614591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100230960768604,0,0,-0.0129329487655367,0.00189649503278385,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575182022736869,0,0,0,0.0684497978485766,0,0,0.0485938362930504,0,2.16840434497101e-19,0,0,0,0.069961075248101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474944170220243,0,0.000754325173635604,0,0.146246800407687,0,0,0,0.0230118505260955,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172223322412141,0,0,0,0.000777196540161455,0,0,0.187855927867351,0,0,0,0.0527964836043016,0,0.344099342333204,0,0,0,0,0,0.0406158702515802,0,0,0,0,0,0.0220339069957129,0,0,0,0,0.0268042432106481,0,0.047976797032317,0,0,0.0120683831353072,0.0234277929281317,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,-0.0453426052920773,0.263389473479622,0,0,0,0,0,0,0,0,0,0,0.11567536532209,-0.256521604194091,0,0,0,0,0,0.121690373404566,0.0719060506750643,-0.197710794891899,-0.233539760171138,0,0,0.068255800454056,0,0,0,0.056181755331236,0,0,0.0397518632314845,0,0,0,0,0,0.393693793755355,0.0153370857934679,0,0,0,0.0482771973750906,0.0405546958873969,0,0,0,0,0,0
X600339.SH,0,0,0,0,0.065234943568005,0,0,0,0,0,0.0796076723851663,0,0,0,0,0.018114213275276,0,0,0.192325540597895,0.0675190317006018,0,0,0.00660717194882828,0,0.194413834777474,0,0,0,0,0.0621395603202392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966751762372285,0.10411222722307,0,0,0.204008128290516,0,0,0.014616440601835,-0.0150558142735911,0,0,0,0,0,0
X000898.SZ,0,0,0.0998031147173176,0.116596716122192,0.123208610066022,0.176080930823648,0.0217280306193721,0.0518277949353775,0,0,0,0,0,0,0,0,0.242435032553049,0.298745486587316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149847079059911,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0255222276800818,0.00446076162513343,0,0,0,0,0,0
X600489.SH,0,0,0,0.0296267579897765,0,0,0,-0.0445948572923212,0,0,0,0,0.0692962319277382,0,-0.062113296707499,0,0,0,0,0.124744505863321,0,0,0.0252947075634915,0,0.396101311881197,0,0,0,0,0,0,0.0254413299467657,0,0,-1.35525271560688e-20,0.374583057413202,0,0.0274612728083949,0,0,0,0,0,0,0,0,0,0,0,0,0.00540845038581985,0.0285155838967704,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,-0.141137279863232,0,0.343433470698296,0,0,0,0.261969435685776,0,0,0,0.0886280593051198,0,0.0361002640086627,0,-0.164928512995728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157763680047579,0.338931881237526,0,0,0,0.686052499681604,0,-0.135638703786974,0,0,0,0,0,0.0156873730333301,0,0,0,-0.0729599174610456,-0.00753723114853663,0,0,0,0,0,0
X601158.SH,0,0,0,0.0346323768390483,0,0,0,0,0,0,-0.0137746848557326,0,0,0,0,-0.0334842563448137,0,0,0,0.037433108508152,0,0,0.0285274540634907,0,0,0.138642852404451,0,0,0,-0.0578170246212209,0,0,0,0,0,0,0,0,0,0,0.154470042099293,0.12174294199792,0,0,0.126961550086982,0,0.00148406458612377,0,0,0,0.00349178266991378,-0.00471822157641938,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381989098932556,0,0,0,0,-0.0162983181299531,0,0,0.0216935319994208,0,0,0,0,0,0.228987460751836,0,0,0,0,0,0,0,0,0,-0.0131022342084639,0,0.173246816663865,0.0193679358516854,0,0,0,0,0.00882763208204363,0,0,0,-0.00336508943891491,0.00990344882805148,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,-0.165045726683929,0,-0.0248805387839181,0.135252099113467,0,0,0,0,0,0,0,0,0.0824236223293227,0,0,0,0,0.695962546951594,0,0,-0.0594701709588681,0,0,0,0,0,0,0,0.0358314923948317,0.180979803459597,0,0,0.0618727775728565,0,0,0,0,0,0,0,0,0,0,0,0,0.0239828815527842,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.186765793015465,0,0,0,0,0,0,0.258305257701941,0,-0.0833776376661207,0,0,0,0,0,0.0318254123962951,0,0,0,0.0375830371222203,0,0,0,0,0,0,0.0421137833580293,0,0,0,0.0220472852402248,0,0,0.0277635863200323,0,0,0.12260893130081,0,0,0,-0.0128567595588353,0.00440814657146614,0,0,0,0,0,0
X000408.SZ,0,0,0,0.191177789466567,0,0,0,0.0238154102711348,0,0,0,0,0,0,-0.00760489531468679,0,-0.0551436836181136,0,0,0.192561834471856,0,0,0,0,1.73472347597681e-18,-0.117352071272513,0.0343185371399558,0,0,0.0778158243088935,0,0,0,0,0,0,0,0,0,0,-0.00422298182393123,0,0,0,0,0,0,0,0,0,0.0200449688362811,0.0579197112014596,0,0,0,0,0,0
X000883.SZ,0,0,0,0.0327313313561671,0,0.0456796312222758,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.130740838536988,0.0563739493785224,0,0.00539225027718589,0,0,0,0,0,0,0,0,0.146105643898026,0,0,0,0,0,0.049063485161648,0,0,0,0,0.00425717626210379,0,0,0,0,0,0.0225526123898915,0.207924712048104,0.0261744960469185,0,0,0.0124731563479315,0,0,0,0,0,0,0
X600352.SH,0,0.00819302630531786,0,-0.201027779382862,0,0.0422944549695083,0,0,0,0,0,0.062177184150175,0.036446821194015,0,-5.42101086242752e-20,0,0,0.0842116927656922,0,0.0341966732379497,0,0,-0.0236251647054109,0,0,0,0,0,0.04894862689945,0,0,0,0,0,0,0,0,0.0157939579536261,0.0101409135101191,0,0,0,0,0,0,-0.0568189228744388,0,0,0,0,-0.00326860600147727,-0.0145260701101823,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,-0.0793012455913663,0,-0.197320234946225,0,0,0,0.0234249657455177,0,0,0.0542478774082678,0,0,0,0,0.100622843097291,0.134335774335253,0,0,0,0,0.050532468949781,0,0,0.175446334743529,0,0,0,0,0,0,0,0,0,0.148397003234728,0,0,0,0.291472645328908,0,0,0.0293913408731295,0,0,0,0,0.0360866126995778,0.015109606233218,0,0,0,0,0,0
