,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X600352.SH,X600027.SH,X002466.SZ,X000898.SZ,X600111.SH,X600516.SH,X002460.SZ,X600176.SH,X000709.SZ,X000990.SZ,X600299.SH,X000786.SZ,X000629.SZ,X600219.SH,X002271.SZ,X600801.SH,X600808.SH,X600489.SH,X000723.SZ,X601158.SH,X000825.SZ,X000553.SZ,X000883.SZ,X002110.SZ,X600157.SH,X000630.SZ,X600583.SH,X600339.SH,X600985.SH,X000027.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0.152754844190403,0,0.0375891982865671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338065953371354,0,0,0,0,0.0814734741529504,0,0,0,0,0,0,0,0,0.175347157370734,0,0,0,0.0655516914638866,0,0,0.27315588884752,0,0,0,0,0,0.0272577387109338,0,0,0.0337347119068104,0,-0.00562992295342677,0.0561499881707571,0,0,0,-0.132291121019878,0,0
X000629.SZ,0,0,0,0,0,0.0723972074741901,0,0,0,0.0713310524856974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328174383257112,0.107116323759072,0,0,0,0,0,0,0.0275453030513602,0,0,0,0.430878531242043,0,0,0,0,0,0,0.0065565141675799,0,0,0,0.306982342043641,0,0,0,0.00711829088685737,0.0465914297730274,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0.0583243433389899,0,0.295038082212387,0,0,0,0,0,0.215768211718347,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0947821086072484,0,0,0,0,0,0,0,0,0,0,0,0.0234166566529164,0,0,0,0,0.153000907279654,0,0,-0.00593017779932213,0,0,0,0,0,0,0
X002271.SZ,0,0.239320152568699,0,0,0,0,0,0,0,0,0,0,0.246762952256643,0,0,0,0,0.232572942932691,0,0.157853874209633,0,0,0,0,-0.0242828506504495,0,-0.0233420139619774,0,8.67361737988404e-19,0,0.327164350446751,8.67361737988404e-19,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.144678319929687,0,0.0174658577117548,0,0,0,0,0,0,0
X600801.SH,0,0,0,0.548611332099312,0,0.0587337357537235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227622740475932,0,0,0,0,0,0,0,0.00461614374662833,0,0,0,0,0,0,0,0,0.0328328062949511,0,0,0,0,0,0,0,0,0,0.101412036171717,0,0.0469781442670733,0,0.0141687797779668,-0.0467710977122569,0,0,0,0,0,0
X600808.SH,0,0,0.0115021533948559,0.0898517007141354,0.111982121648109,0.0475635542497262,0,0,0,0,0,0,0,0,0,0.0912466048090429,0,0,0.104029438858075,0,0,0,0,0.0308190341509038,0.0619424098802611,3.46944695195361e-18,0,0.0832442316373401,0,0,0,0,0,0,0.0180430167228415,0,0,0,0,0,0,0,0.035273335316896,0.030311596044835,0,0,0,0.0255155141454582,0,0,0,0,0,0,0,0,-0.00663832098827936,0,0
X600489.SH,0,0,-0.0402288329376924,0,0,0,0,0,0.552879996448007,0,0,0,0,0,0,0,0.15647880692774,0,0,0,0,0,0,0,0.0401852294264504,0.145026589194734,0,0,0,0,0,0.225136518389636,0.0424875886374638,-0.0121149504975838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992134402700224,0,0,-0.00445731947018096,0,-0.0574276091684425,0,0,0,0.0140070003564095,0,0
X000723.SZ,0,0,-0.107511862830351,-0.0863087931832028,0,0,0.118682070160506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.287212284358472,0.601597484633561,0,0,-3.46944695195361e-18,0,0.0954760483807259,-0.042871604138981,0,0.00950297979859325,0,0,0,0,0,0,0,0,0,0.18661616278218,0,0,0,0.294164916758671,0,0,0.0858851576376639,0,0.0494602349514145,0,0,0,0.062391121178809,0.267227260641731,0
X601158.SH,0,0,0,0.0296799938706384,0,0.130973479652799,0,0.0556979579498199,0,0,0,0,0,0,0,0.0319419442700243,0,0,0.105868377260421,-0.0209531237447305,0,0,0,0.084188501984882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129698083639286,0.0375272860924974,0,0,0.006698851670066,0,0,0,0,0,0,0,0,-0.0792130299034805,0,0
X000825.SZ,0,0,0,0,0,0.123082584607211,0,0.169145272099982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509247645087562,0,0,0,0,0,0,0,0.0033511841270354,0.191375259856668,0,0,0,0,0.0375811602836841,0,0,0,0,0.105107906021646,0.049627704900493,0,0,0,0.0225221076257906,0,0,0,0,0,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0.00549121060929709,0,0,0,0,0,0,0,0,0,0.151238217016463,0,0,0,0,0,0,0,0.11386124200019,0.0276668325368336,0.00119875412801683,0,0,0.0315418162333583,0.0593503397632568,0.0794389967553567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231118799290882,0,0,0,0,-0.00909304156190164,-0.00176742099063863,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0.0370300257498652,0,0,0,0,0,0,0,0,0,0.222102817324121,0.166205349912896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683911562744208,0,0.138455017634082,0,0,0,0,0,0,0,0,0,0,0.0618666872921855,0,0,0,0,0,0,0,0,0.00823172475767334,0,0,0,0,0,0
X002110.SZ,0,0,0,0.155762584059582,0.0587580187200071,0.163458808821133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864454497242068,0,0.171844348694857,0,0,0,0,0.0135617528515078,0,0,0,0.207469073133983,0,0.00192547663165627,0,0,0,0,0,0.067101569877058,0,0,0,0.106347184280857,0,0,0,0.0162716082439886,0.015751899732964,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0.363018664434866,0,0,0,0.260961457756501,0,0,0,0,0,0,0,0,0,0,0,-0.283986088053755,0,0,0,-0.0615268605388486,0,0,0,0.242121512750635,0,0.276875677496891,0.300322610560722,-0.832124762064894,0,0,0,0.159274795332462,0,0,0,0,0,0,0.498186890989371,0,0,0.237444485848129,0,0,0,0.0321178088541444,0.0841730300727159,0,0,0,0.122604631202583,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0.015664148525379,0,0,0,-0.000293154015265007,0,0,0,0,0,0,0,0.116813890255379,0,0,0,0,-0.200113321043926,0.20591089064032,0,-0.0751001260951562,0,0,0,0.681977220317646,0,0,0,0,0,0,0,0,0,0,0.0702017113811726,0,0,0,0,0.134203259769682,0.00664959193781606,0,-0.00610742992886665,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0.130660879995897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263894777395829,0.106254954831491,0,0.0562866519357563,0,0,0.0641151660323168,0,0,0,0,0,0,0,0,0,0,0.0993680086498031,0.00270269301403636,0,0,0.232563810896608,0,0,0,0,-0.0235082317504331,0.027335345239373,0,0,0,0,0,0
