,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X002460.SZ,X600803.SH,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X000786.SZ,X600219.SH,X000807.SZ,X600985.SH,X000630.SZ,X002128.SZ,X000877.SZ,X601168.SH,X000933.SZ,X600096.SH,X000408.SZ,X000883.SZ,X000932.SZ,X600378.SH,X000027.SZ,X002271.SZ,X002353.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002128.SZ,0,0,0,0.097155853048135,0,0,0,0,0,0,0.125139047872116,0,0.0323335199066674,0.066638226532166,0,0,0,0,0,0,0,0,0,0.0613807145101167,0,0.0400906108387987,0,0,0.235124256385822,0,0,0,0,0,0,0,0,0,0,0.232945672278566,0,0,0,0,0,0,0.0867390605361881,0,0,0,0,0,0,0,0,0,-0.0869338632816757,0,0
X000877.SZ,0,0,-0.115233968674816,0,0,0,0,0,0,0,0,-0.122382290548753,-0.0119635684852155,0,0,0.0248954640516629,0,0,0,0.204210056603163,0,0,0,0,0,0,0.0439188436008684,0,0,0,0,0,0,0,-0.0572083201424283,0,0,0,0,0,0,0,0,0,0.0529849110254932,0,0.137112361553873,0,-0.0212526780778562,0,-0.14009510609354,-0.0128462386361687,0.0239535041698085,0,0,0,0.0284753256441598,0,0
X601168.SH,0,0,0,0,0,0,0,0,0,0,0.00573440907497737,0,0.249945450794464,0,0.209400926077664,0.0401340876845166,0.644733642294848,0,0,0,0.0197564999910048,0,0,0,0,-1.73472347597681e-18,0.0466859315481161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661192641821947,0,0,0,0,0,0,0,0,0,0,0.0740985458630531,0,0,0,-0.0443500516126801,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.200013406727548,0,0,0,0,0,0,0,0,0,0,0,0,0.082573298545677,0,0,0,0.107928954207996,0,0.0350540810638462,0,0.173837236316086,0,0.0430002536260915,0.190866678694391,0,0,0,0,0,0.16939784618014,0,0.0184909562456482,0,0,0.198717282640344,0,0,0,-0.039522407003514,0,0,0,0,-0.00105057378377033,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0916174423973147,0,0,0.149901267786138,0,0,0,0.24101653401439,0,0.187030219016227,0,0,0,0,0,0,0,0,0.108951043716997,0,0.0747848575515156,0,0,0,0,0,0.0493924323120702,0,0,0,0,0,0,0,0.0120208407599863,0,0,0,0,0,0,0,0,0,0,0,0
X000408.SZ,0,0,0,-0.0678265332441013,0,0,0,0,0,0,0,0,0.0809418470142828,0,0,0,0,0,0,0,0,0,0,0,0,0.0344931801484967,0,0,0,-0.353145816231508,0,0.264055103615494,0,0,0,0,0,0,0.542998640973516,0,0,0,0,0,0,0,-0.0940229211822726,0.147168542637814,0,0,0,-0.0339982848191648,0,0,0,0,0.0217282577514729,0,0
X000883.SZ,0,0,0,0,0.0881544483156942,0.0420881770275506,0,0,0.0930143065499237,0,0.12591841566944,0,0.365333462384601,0.124326885123366,0,0,0,0,0,0,0,-0.0476444018544998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424204019795653,-0.0300019897366666,0,0,0,0,0,0,-0.0368686272825553,0,0,0,-0.0748059531122034,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0.0548499862180502,0,0,0.191662500134635,0,0,0,0,0,0,0,0,0,0,0,0,0.269896130917138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192815507026549,0,0.153894145365759,0,0,0,0,0,0,0,0,0.0686870179079183,0,0,0,0,-3.46944695195361e-18,0.0835005304627022,0,0,0,0.0368587276014872,0,0
X600378.SH,0,0,0,0,0,0,0,0,0.200911764051424,0,0,0,0,0.0890888384794805,0,-0.0538625292458587,0,0,0.0224964682116504,0,0,0,0,0,0,0,0,0.171630160554591,0,0,0,0,0,0,0,0,0,0,0,0.0598330825249299,0,-0.186361249051295,0,0,0,0,0,-0.0103268437478496,0,0.0687135483571682,0,-0.0442795833455268,-0.131952204803523,-0.228609654168055,0,0,0.0503602472915914,0,0
X000027.SZ,0.044299312705892,0,0,0,0.178884257872948,0,0,0,0,0,0.07309452388625,0,0,0,0,-0.0315687200169634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.259331646865395,0,-0.136632659898141,0,0.119107428427271,0,0.0927288578132996,0,-0.12216366532191,0,0,0,0,0,0.00162739113137954,0,0
