,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600583.SH,X600188.SH,X600362.SH,X002075.SZ,X000539.SZ,X601158.SH,X600309.SH,X600352.SH,X601992.SH,X000027.SZ,X000883.SZ,X600021.SH,X000898.SZ,X002353.SZ,X002470.SZ,X600863.SH,X600307.SH,X000629.SZ,X600660.SH,X601918.SH,X600808.SH,X000792.SZ,X000878.SZ,X600098.SH,X000060.SZ,X600578.SH,X000825.SZ,X600489.SH,X600008.SH,X600022.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0383660100839925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103572341744386,0,0.14842806525904,0,0,0,0,0,0,0,0,0,0,0,0,0.227025703705323,0.219179831456521,0,-0.0187049798948639,0.0142878218663967,0,0,0,0,0,0
X600578.SH,0,0,0,0,0.35404114567583,0.0136206116587478,0,0,0,0,0,0.138070879307082,0.0058658425421603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532677811279724,0,0,0,0.22921946141143,0,0,0,0.104366079209266,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,-0.0419247078255892,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297754026445337,0,0.0230488934666784,0,0.0162838449174446,0,0,0,0,0,0,0.0493936943790752,0,0.0822607386427051,0.146189534478803,0,0.0945287432448148,0,0,0,0,0,0,0,0,0,0,0,0.00837307275643857,0,0,0,0,0,0,0,0.0188186143476379,-0.0200321620524848,0,0,0,0,0,0
X600489.SH,0,0,0,0.00164207063807445,0,0.166107871418915,0,0,0,0,0,0,0.0330112334500317,0,0,0,0.053575697238506,0,0.169363226235955,0.0577142028089125,0,0,0,0,0,0,6.7762635780344e-21,0.119498581026769,0.0107251547636122,0,0,0,0,0,0,0,0,0.0342064394687719,0,0,0,0,0,0,0,0,0,0,0,-0.00601415481685435,0,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0300906084768815,0,0,0,0,0,0,0,0,0,0,0,0,0.0924970080217349,0.250960021015374,0,0,0,0,0,0,0,0,0,0.137726494587589,0,0,0,0.0493622741457796,0.0766957971583273,0,0,0,0,0.209006686478163,0,0,-0.0129194291863691,0,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14371432172098,0,0,0,0,0,0,0,0,0.0242765871168333,0,0.189513743715176,0,0.0644047051618779,0,0,0,0.0555526417127099,0,0.0479303144688756,0,0.102685233295316,0.139878938302248,0,0,0.038245151845641,0,0,0,0,0.0760500175700189,0,0,0,0,-0.00937600250239086,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0888629133149191,0,0,0,0,0,0.120555543526275,0,0,0.0834478908678176,0,0,0,0,0,0,0,0,0,0.146949610150986,0,0,0.0128022600497343,0.0476531794288584,0,0,0,0.0312666597975349,0.0407200293524394,0,0,-0.0297319576444046,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0132404377906274,0,0,0,-0.131049066793659,0,0,0,0,0,0,-0.0316766372452518,0,0,0,0,0,0,0,0.109263978467861,0,0,-0.0426050918777602,-0.00706872834571374,0,0,0,0,-0.277960581505667,0,0,0,0,0,0,0.128641416039527,0,0,0,0,0,0.107406358622834,0.0691758723833085,0,0.00547909678719941,-0.0280309044664436,0,0,0,0,0,0
Slope,0,0,0.783300441453898,0,0,0,0,-1.19349630452557,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,3.53171553837547,-0.522857495193304,0.151351515086738,0,-0.187109977123373,-0.0831012097687994,0,0,-0.301869509919475,0,0,0,0,0,0,0,0,0,0,0,0,-1.8679827854404,0,0,0,0,0,0,0,0,-0.800031795988703,-0.361702192931344,0,0,0,0,0
TED,0,0,0.220259040273425,0,0,0,0,0,0,0,0,0,0,0,0.838280027998297,0,0,0,0.109004250759874,0,0.470142678457378,0,0,0,0,0,0,0,0,0,0,0,0,-0.0654302020589049,0,0,-0.0219046841048938,0,0,0,-1.42365916876813,-1.51714677260335,0,0,0,0,0,0.624878903239673,0,0,0,-0.186642727213052,-0.145009382475066,0,-0.568745441527672,0,0
