,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600188.SH,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X000807.SZ,X600803.SH,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X601991.SH,X600027.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X002080.SZ,X000629.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600157.SH,X600096.SH,X600612.SH,X002409.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0,0,0.0140556264513117,0,0.203535141070104,0,0,0,0,0.0482097371002758,0,0,0.254683906466158,0,0,0,-0.0771271767589268,0.107102776061552,0,0,0,0,0,0,-0.0481317241903107,0,0,0,0,0,0,0,0,0,0,0,0,0.463756523503399,0,0,0,0,0,0,0.00638673980848718,0,0,0.0222152204310828,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.0835972005322276,0,0,0,0,0,0,0,0,0,0,0.218386286200624,0.269122704381921,0,0,0,0.147553160656219,0,0.0198905842960932,0,0,0,0.184407059005522,-0.235079437526191,0,0,0.0156071171322465,0.203786241464714,0,0,0,0,0,0,0,0,0.0571832188337617,0,0,0,0,0,0,0,0.0338572923782655,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318984816048812,0,0,0,0.296754338758985,0,0,0,0,0,0.130224854638014,0,0.00354593040311853,0.106589521038571,0.0578824022833983,-0.0514662742607824,0,0.063492554982084,0,0,0,0,0,0,0,0,0,0,-0.109572555390328,0,-0.0154004312664823,0,0,0,0.0439275334235886,0,0,0,-0.0176737600502647,0,0,0,0,0,0
X002271.SZ,0.0907807351200806,0,0,0.122680368758874,0,0.283450633563846,0,0,0.0795490776019971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945621369580242,0,0.439127557329395,0,-0.124437016724034,0,0.216886015256654,0,0,0,0,0,-0.257363908320083,0,0,0,0.101156371489225,0,0,-0.0867908773478941,0,0,0,0.150362199522286,0,0,0,0,0,0
X600426.SH,0.0575168012057845,0,0,0,0,0,0.352281369031813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27630975110065,0,-0.135761900145644,0,0,0,0,0,0,0,0,0.0709774342612812,0,0,0,0,0.102824133414516,0,0,-0.124766048900451,0,0.0729402781469182,0,0,0.162696544217154,0,0,0,-0.0727644264521655,0,0.0258508971681161,-0.0121974724577005,0.0700217717168639,0.026735701012754,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129080981207476,0,0,0,0,0.13659043063364,0,0,0.140971682438269,0,0,0.221590996600353,0,0.0968519129785171,0,0,0,0.0813102758187691,0,0,-0.0792393808267197,-1.73472347597681e-18,0.154418552202933,0,0.0243579650850712,0,0,0,0,0,0,0
X600362.SH,0,0.0951750630326002,0.0456624411749688,0,0,0,0,0,0.123478176990111,0.122055318199589,0,0,0,0,0,0,0,0.0451814035771853,0,0.0898255039429355,0,0,0,0,0,0,0,0.000699692321282913,0,0,0,0,0,0,-0.0533544555322154,0,0,0.0536159739469057,0,0,0,0.0448030235237798,0,0,0,0,0,0,0.0078646824719095,0.094302197807441,0,-0.00667941686177289,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0172847850264928,0.213454328219118,0,0,0,0,0.0960337428092633,0,0.186301001654067,0,0,0,0.107914289982982,-0.0771157718494902,0,0.111347536262853,0,0,0,0,0,0,0,-0.00846921095171485,0,0.269113313874317,0,0,0,0,0,0,0,0.0759809708171613,0,0,0,0,0,0,0,0,0,0,0.0603907101991853,0.000218136360120134,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.137730017305085,-0.0127328096813134,-0.0930971690462404,0,0,0,0,0,0,0,0.082475193594146,0,0,0.0962836300720442,0,0.0700410765626442,0.0186928644383048,6.93889390390723e-18,0,0,0,0.0231968904126179,0.0247376578646059,0,0,0,0,0.133139230843836,0,0,0,0,0,0,0,0.0322885680088538,-0.0637539870168004,0,0,0,0,0,0,0.0919511127915815,0,0,0.132668565361313,-0.168661490491491,0,-0.285607750007491,0,0,0,0
X000807.SZ,0,-0.101570054621471,0,0,0,0,-0.0310685555834639,-0.19364795590269,0.447623345577289,-0.00518613867425081,-0.0116758905552559,0,0,0,0,-0.163497438077438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229024201003044,0,0,3.46944695195361e-18,0.235718157306753,0,0,0,0,0,0,0,0,0.00461375810549612,0,0,0.236925363197828,0,0,0.0116756539318296,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0.47104963767199,0,0,0,0,0,0,0.199031541022283,0,0,0,0,0.00952209709622117,0,0,0.149120416437869,0,0,0,0,0,0,0.37857046258628,0,0.230067413142549,0,0,0,0,0,0.104299690393519,0,0,0,0,0,0,0,0,0,0,-0.0119328627105482,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.589762923175121,0,0,0,0.0825507288727165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428313079093339,0,0,0.00497961847862549,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.118926044154812,0,0.0881099511632722,0,0,0,-0.0140995438499057,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.251900082555605,0,0,0,0,0,0,0,0,0,0,0,0.016711007982789,0,0.0507201472382275,0,0.103974911196758,0,0,0,0.0606898910153189,0,0.0228491720754359,0,0,0,0,0,0,0.0459731058598389,0,0,0,0,0,0.0813724306345804,0,0,0,0,0,0,0.182021176582366,0,0,0,0.015653870862274,0.0594327084218199,0,0,0,0,0
X601699.SH,0,0.0551381407774415,0,0,0.0930533103474212,-0.317691856707711,0.227604981695094,0,0,0.211888472385091,0,0,0,0,0,0,0,0,0.164974813184863,-0.0414075589318135,0,0,0,0,0,0,0.113398309606166,0,0,0.153286184785111,0,0,0,-0.225799966254018,0,0,0,0.0821875508417796,0,0.191453439845746,-0.0754031431155401,0,0,0,0,0,0.0145307696817996,0,0,0,0,-0.0724869880348261,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,-0.0845404387133412,0,0,0,0,0,0,0,0,0,0.0297593673797046,0.460240370287109,0,0,0,0,0,0.102226537954218,0,0,0,0,0,0,0.0434577840745349,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.159373485510346,0,0.272620812354589,0,-0.033803266420058,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236689683241378,0,0,0,0,0,0,0,0,0,0,0,0.00442344297729281,0.052037633671592,0,0,0,0,0.0804228881570626,0,0,0,0,0,0,0,-0.0804342740585437,0,0,0.253077721977691,0.111733678798629,0,0,0,0.0673502133009029,0,0.000471844981039642,0,0,0,0,0,0,0
