,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000708.SZ,X600803.SH,X000301.SZ,X600489.SH,X600160.SH,X600027.SH,X002466.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X000933.SZ,X601168.SH,X600985.SH,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X600378.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110777041313302,0,0,0,0,0.226044860009425,0,0,0.160030141782898,0,0.189145154143639,0,0,0,0,0,0,0,0.0045198900667306,0.0385943694947089,0,0.150223036679676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286611023906575,0,0,0,0,0.0325288411484301,0,0
X002460.SZ,0,-0.0146382073981617,0,0,0,0,0,0,0,0,0,0,0,0,0.482235701719061,0,0,0,0,0,0,0,0,0,0,0.759592333841931,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710874434026476,0,-0.0461721688528936,0,0,0,0,0,0,0,0,0,0,-0.0163766626028039,0,0,0.0575735910436166,0,-0.0504930813023043,0,0
X600362.SH,0,0,0,0.222257030423941,0,0,0,0,0,0.200197381276593,0,0,0,0,0,0,0,0.0779166267709341,0,0.114753697195261,0,0,0.0228324814499304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225365895577205,0,0.0127386721598622,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197072845832586,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125116750041117,0,0,0,0,0,0,0.0952863717248043,0,0,0,0,0.225418344235554,0.321119775883423,0,0,0,0,0,3.46944695195361e-18,0,0.0768418851849202,0,0.013987104527287,0,0,0,0,0,0,0,0,0,0,-0.0613314715062754,0,0,0,0,-0.0188469176956471,0,0
X600803.SH,0,0,0,0.540754764623571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190593511560205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411638941816773,0,0,0,0,0.0928757844628818,0,0,0,0,0,0,0,0,-0.0513906469286583,0,0,0,-0.0899071813973386,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22465165885624,0,0,0,0,0,0,0,0,0.139936741122695,0,0,0.119165892652622,0,0.258921558371405,-0.523207492582591,0,0,0.723605054739372,0,0,0,0,0,0,-0.276173840746597,0.152700925994756,0.129165185490935,0,0,-0.0762794051261282,0,0,0,0,0,0,0,-0.0970412251633119,0,0,0,0,0.0820951880321867,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.585709269276977,0,0,0,0,0,0.185431151931419,0,0,0.0552888030954773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101126293306231,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0688222027241576,0,0,0,0,-0.00457040420439233,0,0
X600160.SH,0,0,0,0,0,0.0301340180049209,0,0,1.73472347597681e-18,0,0,0,0,0,0.218561844686406,0,0,0,0,0,0,0.128321930418866,0,0,0,0,0,0,0,0,0,0,0,0,0.0637125709367704,0,0,0.121252712703853,0,0,0.0811913669471633,0,0.0891777553150547,0,0,0,0,0,0.245231353593252,0,0,0,8.67361737988404e-19,0,0,0,-0.0224771276257586,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.224855454477011,0,0,0,0.112455558631202,0,0.0110777363023153,0,0.0182940128460414,0,0,0.0655551100918895,0,0,0,0,0,0,0,0,0,0.24439751259431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123388369219934,0,0
X002466.SZ,0,0,-0.211100594323971,0,0,0,0,0.25654385036936,0,0,0,0,0,0,0,0,0.0628234471521017,0.706804007216296,0,0,0,0,-0.0864947400492473,0,0,0,0,-0.0461143590283081,0,0,0,0.117951592800775,0,0,0,0,0,0.0944599949230371,0,0,-0.113710875410973,0,0,0,0,0.210904116161058,0,0,0.0544062553810317,0,0,-0.0170061310319884,-0.122726037904489,0,0,0,-4.33680868994202e-19,0,0
