,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X002075.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X000878.SZ,X600309.SH,X600022.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600660.SH,X600489.SH,X600808.SH,X000792.SZ,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136402980858338,0.036287769372041,0.109912326972571,0,0,0.00965893190872774,0,0,0,0,0.220657780132151,0,0,0,0,0,0,3.46944695195361e-18,0.0196342566843731,0,0,0,0,0,0.228534445439533,0,0,0.223065338440413,0.0655395985551683,0,0,0,0,0,0.0379786459063439,0,8.82206669464425e-05,0,0,0,0
X600578.SH,0,0,0,0,0.172841298668991,0,0,0,0,0,0.0628338886389945,0.135842737064799,0,0,0,0,0,0,0,0.0940890481071714,0,0,0,0.000466909455667505,0.146415314593026,0,0,0,0,0,0,0,0.085973042748855,0,0.0387099219856166,0,0,0,0,0,0,0,0,0.0357491002214266,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.0902884304249175,0,0,0,0,0,0,0,0,0,-0.000627861677450738,0,0,0,0,0,0,0,0.0177173950975491,0,0,0.0266747171458542,0,0.157662452886546,0,0,0,-0.217866090603038,0,0,0.160055923782218,0,-0.150869441792757,0,0,0,0,0,0,0,0.000590157135345309,-8.67361737988404e-19,-0.0721005835956351,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.263046129851474,0,0,0,0,0,0,0,0,0,0,0.145928290857874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720353686534648,0,-0.163865196141261,0,-0.474504074934414,0,0
TED,0,0,0,0,0,0,0,0,0,0.347805058731102,0,0,0,0,0,0,-0.60058753575337,0,0,0,0,0,0,0.152239578437941,0,0,0,0,0,0,-0.0992746875332025,0,0.0609880060238379,0,0.107960423205847,0,0,0,0,0,0,0,-0.0596255725872975,0,0.138191198506866,0,0,0.443123772362999,0,0,0,0,1.1923446620545,0,0
RealEstate_excess,0,0,-0.22744073607732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142115062074221,0,0,-0.0391691298386886,0,0,0,0.193684682810115,0,-0.0328297321567988,0,0,0,0,0,0,0.0554688047662957,0.255156807375312,0,0,0,0,0,0,0,0.154668374062537,-0.304454451767207,0,-0.065356040339464,0,0,0.0277402142235669,-0.0566951666221978,0,0.0843709563455524,0,0,0,0
MKreturn,0,0,0,0,-1.73472347597681e-18,0,0,0.0328501102777073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180216869529743,0,0,0.169298809990347,0,0,0,0,-0.131227497293829,0,0,0,0,0.0639596420769967,0,0,0,0,-0.0288687899661242,0,0.30340990431579,0,0,-0.229530949584728,0,0.0263463996283099,0.00290081364398335,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,-0.00590342795557973,0.008620758777529,0,0.0129959941678056,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.0064397111026864,-0.00209616944057045,0,0,0,0.002785492342695,0,0,0,0,0,0.00590637457662088,0,0,0,0,0,0,0,-0.00288825576770857,0,0,-0.0260251359944491,0.018172061824789,0,0,0,0.0566928520805529,0,0
CarbonVol_Shenzhen,0.0255288689585076,0,0,0,0,0,0,0,0,0,0,0,0,0.0156392753543764,0,0.0408267032511633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017206126038945,0,0,-0.0406770728617577,0,0,0,0,0,0,0,0,0,-0.103063483882231,0.0581670699356084,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.0098636306254029,0,0,0,0,0.0128241613167855,0,0,0,0,0,0,0,0,0,0.00608625181855621,0,0.000932328235020885,0,0,-0.0150138034870665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010743428363071,0,0.0293986714761083,0.0136582666393211,0.0144264507219129,0,0.0166792176180272,0,-0.0414585187279158,0,0
