,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X600309.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600299.SH,X600339.SH,X000709.SZ,X601158.SH,X000959.SZ,X600583.SH,X000792.SZ,X000630.SZ,X002466.SZ,X000408.SZ,X600098.SH,X000723.SZ,X600352.SH,X000883.SZ,X600219.SH,X000825.SZ,X000539.SZ,X600021.SH,X000027.SZ,X002092.SZ,X601699.SH,X000983.SZ,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000539.SZ,0,0.117493737394815,0.00961290623296874,0,0,0,0,0,0,0.0524395279833355,0,0,-0.0146975531455202,0.0260146643929691,0,0,0,0,0,0,0.0885855123797666,0,0,0.0117874781778333,0.0209770893489531,0,0.0730734924159902,0,0,0.0125045357869306,0,0,0,0,0,0,0,0,0,0,0,0,0.0016661453513997,0,0,0,0,0.0458450690676628,0.0917580350322015,0,0,-0.00397283449377041,0,0,0,0,0,0
X600021.SH,0,0,0,0.232533324831072,0,0,0,0,0.267338715544262,0,0,0,-0.0133046201476336,-0.293566757335611,0.187786495462291,0,0,0,0,0,0,0,0,0,0.240151360523344,0,0,0,0,0,0,0,0,0,0,0,0.0311258420003366,0,0,0,-0.0667961938443416,0,0,0,0,-0.121161252904922,0,0,0,-0.0571500663742696,0.0162386730369318,0,-0.0060712556130721,0,0,-0.298578886497087,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0.0161214596930803,0,0,0,-0.0267455567654955,0,0,0,0,0,0,0,0,0,0.00867566995816806,0,0,0,0,0.0440105510160757,0,0.207705522405272,0.0238665522468471,0.0922300337552226,0,0,0,0,0.100064066383202,0,0,0,0,0,0.0108885380975294,0,0,0,0.119299495003671,0,0.010311170101901,-0.00621011702613151,-0.030478318313235,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0,0.0113460963226232,0,0,0,0.175714002941161,0,0,0,0,0.188657097479552,0,0,0,0.0609811999150859,0,0,0,0,0,0,0.319480531199728,0,0,0,0.0618205005804645,0,0,0,0,-0.254985541245578,0,0,0.123377163144549,0,0.154151753516348,0,0,0,0,0,0.295614705498337,0,-0.0404622651730076,0.00253093671188912,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0.144861784931145,0,0,0.0925171744477514,0,-0.0168300941092626,0,0,0.2399481903908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401320003349708,0,0,0,0,0,0,0,0,0.0832438453143206,0,0.0827474602373896,0.506708481881804,3.46944695195361e-18,0,-0.0251182226178488,0.0143773423798771,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0.0984085174289553,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292668572400867,0,0,0,0.0542449996477334,0,0.0414589318516531,0,-0.000271235177981765,0.390031440869602,0,0.268359157282656,0.0754744582624709,0,-0.00738752937566656,-0.00740665353653008,0,0,0,0,0,0
X000937.SZ,0,0,0,0,0,0,0,0,0,0.0165833542180288,0,0,0.150016108219315,0,0,0.0545850866436826,0,0.0187275286069421,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706352061643056,0,0,0,-0.0425328696692501,0.161893854925971,0.869521711885561,0,-0.129372795718369,0,0.00390219835837518,0.0113977728082837,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0234961294107823,0.296057425536128,0.0752468798699708,0,0,0,0,0,0.371902108965556,0.582549036602543,0,0.149896199092139,-0.195531732081155,0,0,0,0,0.252861380423495,0,0,0,0,0,0,0.262308247859176,0,0.289142087622309,0,0,0,-0.0828397588175633,0.166454748449402,0,-0.0849459728917655,0,0,0,0,0,-0.010993611094025,0,0,0,0,0,0
Change_TY3M,0,0,0,0.197942273986062,0,0,0,0,0,-0.0698072691702889,-0.118267143844328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141818768543592,0,0.112228256369726,-0.0751129411595578,0,0,0.0566547715604991,0,0,0,0,0,0,0,0.215950122538495,0,0.140682740603465,0,-0.152337068826903,0,0,-0.0807870781544453,0,0,0.0969428912102835,0.00298073129511174,0,0,0,-0.129068347589733,0,0
Slope,0,0,-0.406422251446046,0,0,0,0,0,0,0,0,0,0,-0.554497727643208,0.198211313188753,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0284512482839897,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.704727588200204,0,0.284935501889754,0,0,0,0,2.36928528450333,0,0.565482989760524,0,0,0,-4.01092423452875,0,0
TED,0,-0.224967780134328,0.703230613401142,0.532239994246131,0.485914261511364,0,0,0,0,0,0,0,0,-1.42844737796186,-0.431235067452443,0,0,0,0,0,-0.734339730518524,0,0.551725558301541,0,0.0368805644909636,0,0,0,0,0,-0.471015664122145,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.130897818883794,0,0,0,0,-1.08534719353957,1.14899543445219,0,0,0,0,-3.10401689235596,0,0
RealEstate_excess,0,0,0,0,0.502977608098601,0,0,0,-0.158746493465891,0,0,0,0,0.0226583249084115,0,0,0,0,0,0,0,0,0,0.0336321497574923,0,0,0,0,0,0.00582409039264024,0,0,0,0,0,0.012229678153574,0,0.0403813388427258,0,0,-0.0228562437412782,0,-0.0344259830001849,0,0,0,0,0.110726749177589,0,0,0,-0.0228983318670292,0,0.304840670894803,0,0,0,0
