,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X000708.SZ,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X000301.SZ,X600362.SH,X000983.SZ,X000877.SZ,X600027.SH,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X002128.SZ,X300037.SZ,X600219.SH,X600096.SH,X000027.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0.100768449492267,0,0,0,0.0262687426847749,0,0,0,0,0.356784897484995,0,0,0.098497240279952,-0.089524025651215,0,-0.000844204972420601,0,0,0,0,0,0,0,0,0,-0.0502528136625575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627805949239395,0,0,0,0,0,0.0865810803727936,-0.0208336556877251,0.027751270285653,0,0,0,0,0,0
X601600.SH,0.0897192818115261,0,0,0,0,0,0,0,0,0,0,0,0,0.118762433865414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100165454959979,0,0,0.0520572845567152,0.0239198068681221,0.142820728626319,0,0.0560808142373031,0,0.0709949618681135,0.182411155139966,0,0,0,0,0,0,0,0,0,0,-0.0382966701934133,0.0271001375526691,0,0,0,0,0,0
X600547.SH,0,0,0,0.0475371091243486,0.0548371807662756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000957044158947091,0,0,0,0,0,0,0,0,0.580051516327915,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0.0216351319449637,0,0.0598820579423065,0,0,0.0432361803246611,0,0,0,0,0,-0.0942053547168553,-0.000918410164163556,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.179492831816488,0.123074811091517,0,0.123915159245944,0.265146927075,0,0.0636934391201864,0,0,0.161371050140128,0,0,0,0,0,0,0,0,0,0,0,0,0.0395373030342254,0,0.049879169845692,0,0,0,0,0,0,0,0,0,0,0,0.0148913171025061,-0.0141768302758141,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0557868027359946,0.208519547911527,0,0,0,0,0.149599704625225,0,0,0,0,0,0.0822224042231674,0,0,0,0,0,0,0,0,0.186274994444551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894504935757768,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.00867934554363443,-0.0151029728207928,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859394130672789,0.238346433456374,0,0,0,0,0,-0.308883982131794,0,0,0,0,0,0.0821111127645733,0,0,0,0,0,0,0,0,0,0,0.00435407341807311,0,0,0,0,0,0.0821597686707431,-0.0100981098412317,-0.0106167493048327,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.292902288793929,0,0,0,0,0.142225115008098,0,0,0.252920088101632,-0.11883793213072,0,0,0,0,0,0.191349665660739,0,0,0,0,0,0.0505182886062682,0,0,0,0,0,0,0,0,0,0,0,0.153387422545286,0,0.0288534574341896,0,0,0.0513258082809252,0,0,0,-0.034428976843934,0,0,-0.00600885491742559,0.0143490094042829,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.17304846149263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233507607378905,0,0.0909968939358818,0,0,0,0,0,0,0,0,0.535551172891755,0,0,-0.104288130776607,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717586682274736,0,0,0.0250751142966478,-0.0177539753289619,0,0,0,0,0,0
X600010.SH,0,0,0.0664919643170697,0,0,0,0,-0.0681398626899134,0,0,0,0,0,0,0,0.0386913526713786,0,-0.0163010881098491,0,0.391080515925558,0,0.106584949805533,0,0,0,0.0633666900383609,1.38777878078145e-17,0,0,0.0301548042208212,-1.73472347597681e-18,-3.46944695195361e-18,0,0,0,0,0,0.0106158672623496,0.0298533374569157,0,0,0,0,0,0,0,0,0,0,0,0,0.0605973848915577,-0.0445423148509255,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244296196623806,0,0,0.00612298101444533,0,0,0,0,0,0,0,0.0684322071765678,0,0,0,-0.0146610290821269,0,0,0,0.130277982221728,0,0,0,0.344016293110616,0,0,0,0,0,0,0,0.115697301397494,0.0783193754974168,0.0380017613042766,0,0,0.026633407937296,-0.016959928245137,0,0,0,0,0,0
X002460.SZ,0,-0.114729062621782,0,0,0,0,0,0,0,0,0,0,-0.138406164213007,0,0,0.702429221458908,0,0,0,0,0,0,0,0,0,0,0.350033940042372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00552607202703375,0,0.0329432146016823,0,0.0230319862947649,0.00476928190816901,0,0,0,-0.0176111464137244,0.00382533947375394,0,0,0,0,0,0
X000301.SZ,0,0,0,0.0193472125539916,0,0,0,0,0,0,0,0,0,0,0,0.115006212846722,0.186008864502303,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467594553299418,0,0,0.00714035437590124,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.143875671329352,0,0,0,0,0.0241793689253323,0,0.0133441833233353,0,0,0,0,0
X600362.SH,0,0,0,0,0.0412459617553038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742636854615101,0.0805235288276132,0,0,0,0,0.0554414114326344,0,0,0,0,0.135045807183909,0,0,0.0344641308063563,0,0,0.479045935536829,0,0,0,0,0,0.00521822493748817,0,0,0,0,0,0,0
X000983.SZ,0,0.0643841942417145,0,0,0.178313713750327,0.177754413561488,0,0,0,0,0,0.0989363852164382,0,0,0,0.00585507509158351,0,0.198460505274793,0,0,0,0,0,0,0,0.141875882377987,0,-5.42101086242752e-20,0,0,0.0780125060389523,0,0.0919212220096994,-0.0126916076188871,0,0,0,0,-0.134330864206853,0,0,0,0,0,0,0,0,0,0,0,-0.0842887993651234,-0.0114380596107261,-0.000465520982706973,0,0,0,0,0,0
X000877.SZ,-0.13900116575914,0,0,0,0,0,0,-0.0228827502880816,0,0,0,0,0.171860392153242,0,0,0,0,0,0,0.0736123842826953,0,0,0,0,0,0,0,0,0.127809695091294,0,0,0,-0.158140150692955,0,0,0,0.350694240710729,-0.0243276746335425,0,0,0,0,0,0,0,0,0,0,-0.125833957117691,0.0276688939142997,4.33680868994202e-19,0.0225971440177904,-0.0202027887144813,0,0,0,-0.120580382541852,0,0
