,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X000786.SZ,X600111.SH,X600188.SH,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X601991.SH,X600803.SH,X600795.SH,X000027.SZ,X000408.SZ,X600219.SH,X600352.SH,X600489.SH,X600801.SH,X000932.SZ,X000807.SZ,X600688.SH,X000898.SZ,X000825.SZ,X002353.SZ,X000959.SZ,X601699.SH,X300037.SZ,X600315.SH,X002080.SZ,X600157.SH,X000830.SZ,X600299.SH,X600486.SH,X600027.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300037.SZ,0,0,0,0,0,0,0.115508341804382,0.0578514808935231,0.333556168441217,0,0,0,-0.227079323937762,0,0,0,0,0.182682102312668,0,0,0,0,0,0,-0.0160629352092457,-0.0469547445427649,0,0,0.12982951526859,0,0,0,0,0,0,0,0,-0.0504038275849976,0,0,0,0,0.0409845701468167,0,0,0,-0.0997110168650194,0,0,0,0,-0.0095005159500625,0,0,0,0,0.0224693603446353,0,0
X600315.SH,0,0,0,0,0,0,0,0,0,0.299309357827469,0,0,0.0579849585348097,0,0,0,0,0,0,0,0,0,0,0,-0.0701854981917992,-0.135237993331615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332194579093707,0,0,-0.132349126129431,0,0,0,0,0,0,0,-0.0506917971357962,0,0,0,0,0.0354720734137123,0,0
X002080.SZ,0,0,-0.0454193881107543,0,0,0,0,0,0.0893951756451428,0.134649066185338,0,0,0,0,0,0,0.139336319082357,0.062558867294548,0,0,0,0,0,0.140984844461967,0,0,0,0,0,-0.0039931556139262,0,0,0,0,-0.0203560129008802,0,0,0.0866664657200598,0,0,-0.145182058806817,0,0,0,0,0,0,0,0,0.113065304538356,0,-0.0853260110508555,0,0,0,0,-0.0461254880648803,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.118629296850936,0.388731324629871,0,0,-0.0445029855864483,0,0,-0.0988813358249434,0.0734188507741547,0,0,0,0,0,0,0,0,0,0,0.0625328599519646,0,0,0,0,0.0468295633000519,0,0,-0.025870995965484,-0.018671838913592,0.112275493634826,-0.245445175750441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252507983498957,0,0
X000830.SZ,0,0,0,0,0,0,0.216561478088258,0,0,0,0,0,0.148112176031097,0,0,0,0,0,0.0372086857079782,0,0.261122277998251,0,0,0,-0.135907881061672,0,0,0,0.126444377566038,0,0,0,0,0.0689948793372643,0.0801937636638397,0,0,0.0950554392462455,0,0,0,0,0,0,0,0,0.189080902568665,0,0,0,0,0,0,0,0,0,-0.00292071957317848,0,0
X600299.SH,0,0,0,0,0,0,0.0559154541911482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372257708478363,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530457270336246,0.0011723673152494,0,0,0,0.0642944997510396,0,-0.0683616573233504,0.216733951779491,0,0.053862286505981,0,0,0,0,-0.0343145226892079,0,0,0,-0.0302745036586003,0,0
X600486.SH,0,0,0,0.196717222508328,0,0,0,8.67361737988404e-19,0,0,0.206855475221019,0,0,-0.106314973979887,0,0.0108189527246532,0,0,0,0,0,0,0,0.519138054300093,0,0,0,-0.0188535112916145,0.142036236659544,0,0,0,0,0,0,0,-0.131460467341443,-0.103180556688388,0.0978933242846093,1.73472347597681e-18,0,0,0.0838487458653796,0,0.0956342482955209,0,0,0,0,0,0,-0.0695637114304509,0,0,0,0,0.0308402399377282,0,0
X600027.SH,0,0,0,-0.0622975463288062,0,0,0,0,0,0,0,0,0,0,0.127136251999441,0,0,-3.46944695195361e-18,0.0536482537764229,-1.73472347597681e-18,0,0,0.267758496517977,0.00761517066343381,0.0453088475122256,0,0,0.0293037105450461,0,0,0,0,0,0,0,0,0,0.113990817976596,0,0,0,0,0,0.0574617749110628,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0151507681537847,0,0
X002409.SZ,0,0,0,0,0,0,0,0.0389170195946958,0.201801974283393,0,0,0,0,0,0.058132127862186,0,0,0,-0.179851689218211,-0.0945194597469821,0.0796619306730059,0,0,0.278438019274842,0,0,0,0,0,0,0,-0.0289472015841808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393538148703615,0,0,0,0,0,0,0,0,-0.0099103406275647,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166539479684537,0,0,-0.0109071720313488,0.0106756801005969,0,0,0,0,0,0,0,0,0,-0.00444661110932073,0.0452724178433737,0,0,0,0,-0.0219265868007186,0,0,0,0.0905578221840763,0,0,-0.106404713143719,0,0,0,0,0,0,0,0,0,0,0,-0.133509438626258,0,0,0,0.0116307741651476,0,0
Slope,0,0,0,0,0,0,0,0,0,0.0753219234241088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18997288622421,0,0,0,-0.0906262979817948,-0.0848834032441769,0,0,0,0,6.93889390390723e-18,0,-0.0495039576247,0,0,0,-0.00192276154870975,0,0,0,0,0,0,0,1.197922354995,0,0,0,-0.17596101173658,0,0
TED,0,0,0,0,0,0,0.171953159481306,-0.253175490629442,0,0,0,0,0.058312315202408,0,0,0,0,0.0770405658247427,-0.0408667908488363,0,0,0,0,0,0,0,0.244082043912143,0,-0.0916520110488148,0,0,0,0,0.00484114778381561,0,0,0,0,0,-0.0359524504015948,0,0,0.0615968435123215,0,0,0,0,0,0,0,0,0.520276774995928,0,0,0,0,0.138059957915509,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0.119995228294572,0,0,0,0,0,0,0.0107231505620161,0,0,0,0,0,-0.0222133841052166,0,0.0108190590205336,0,0,0,0.00681505624384909,-0.0626749323532607,0,0,-0.0582568376792005,-0.0709056424719367,0,-0.0584424819750244,0,0,0,0,0.0678065060043786,-0.00837806084802596,0,-0.0825223998259202,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.153505515114657,0,0.00551368070961214,0,0
MKreturn,0,0,0,0,0,0,0,-0.0160386798948921,0,0,0,0,-0.0141047902948217,0,0.0582609749459182,0,0,0.0187509660859015,0,0,0,0,0,-0.036053443338937,0,0,0,0.00416618542993119,0.0363886875143842,0,0,0,0,0,-0.00172352737093881,0,0,-0.00240777862813373,0.0196329298056,-0.0323798729057822,0,0,0,0,0.0454433701884734,0.00497464486967501,0,0,0,0,0,0,-0.0110516280021041,0,0,0,-0.0183149694816635,0,0
MKvol,0,0,0,0,0,0,0,-0.00182116679424218,0,0,0,0,0,0,0,0.00423057843581213,0,0.00113563895143531,0,0,-0.00493782403655356,0,0,0,0,0,0,0.000422222338936755,-0.00368196183702472,0,0,0,0,-0.00336495453961187,0,0,0,0,0.00357349815258487,-0.000743528030948632,0,0.000985150653114754,0.00247126370056383,0,0,0,-0.000419054842069827,0,0,0,0,-0.00882830412237763,0,0,0,0,0.00230747497559267,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0.124971664533657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305237611433607,0,0,0,0,0,0,0.0405220079903491,0,0,0,0,0,0,-0.126391998547807,0.0448510549494437,-0.108442018533781,0,0,0,0,0,-0.0194898274174418,0,-0.343161106372978,0.339417131941059,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00218981559859412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247147054664323,0.00544148634541536,0,0,0,0.00563568323420142,0,0
CarbonVol_Hubei,0,0,0,0,0,-0.000297550144057203,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0136316728821953,0,0,0,-0.0139337688258491,0,0,0,0,0,0,0.00836989236220562,-0.0131520162215111,0,0,0,0,-0.0202579573819336,0,0,0,0,0.0232842413346065,0,0,0,0.0171124565404894,0,0,0,-0.00357797549654628,0,0,0,0,-0.029360323052305,0.032577243149618,0,0,0,-0.0238414915734715,0,0
