,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X002271.SZ,X600886.SH,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X000629.SZ,X000408.SZ,X600160.SH,X000786.SZ,X000723.SZ,X002080.SZ,X600219.SH,X600348.SH,X600096.SH,X600489.SH,X600995.SH,X600378.SH,X000933.SZ,X000807.SZ,X600157.SH,X600688.SH,X600985.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0.0525094432631526,0,0,0,0,0,0.38232944515055,0,0,0.0669184455492895,0,0,0,0.095431661784361,0,0,0.026878464611762,0,0,0,0,0,0,-0.238476045853994,0.142456385605821,0,0,0,0.0991974822800704,0,0,-6.93889390390723e-18,0,0,-0.143966823737099,0,0,0.177875845337676,-0.0269890701122197,0,0,0,0,0,-0.13211883443738,0,-0.0187196232565738,0.119546127683221,0,-0.097608930510047,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0.29205993527376,0,0,0,0.252880761390161,0,0,0,0,0,0,0.0841152445343623,0.0284439611719514,0,0,0,0.103843843013068,0,0,0,0.00386583878965726,0,0,0,0.00597581454775277,0,0,0,0.0441536236280849,0,0.164951628448073,0,-0.118234664745938,0,0.0684506939793349,0,0,0,0,0,0,0,0,0.0492930617243149,0,-0.00254832517641581,0,0,0,0,0,0,0
X601600.SH,0.170589786608476,0,0,0,0,0,0,0,0,0,0.151051959252088,0.0499131511506883,0,0,0,0,0.0382557443531152,0,0,0,0,0.146838581116866,0,0,0,0,0.0685232770823984,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.337547705208309,0,0,0.179842437791494,0,0,0,0.070212665627935,0,0,0,0,0,0,-0.00257579788181321,-0.0259999990852825,0,0,0,0,0,0
X600426.SH,0,0,0,0.268638939592945,0.0934851360634623,0,0,0,0.0772951043266097,0,0,0,0,0.0543475988223432,0,0,0,0,0,0,0,0,0,0,0,0.0294163388680259,0,0,0,0.0166548640910434,0,0,0.0905131273716035,0,0.166700094868973,0,0,0,-3.46944695195361e-18,0.00573542114707328,0,0,0,0,0,0,0,0.0612574548746984,0,0,0,0.0108389074583658,0,0,0,0,0,0,0
X600362.SH,0.00337082943758835,0,0,0,2.16840434497101e-19,0,0,0,0,0.081406866289779,0,0,0,0,0.0990528633184765,0,0.054315005926063,0,-2.16840434497101e-19,0,0,0,0.0605852747765375,0,0,0,0,0,0,0,0,0.0132553941827752,0,0,0,0,0,0,0,0,0.306886074956542,0,0,0,0.21889638205189,0,0,0.00443554154102932,0,0,0,0.000918354047099306,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0.0289628915560533,0,0,0,0,0,0,0,0,0,0,0,-0.297361539533725,0,0,0.311581917592847,0,0,0,0,0.062298028721768,0,0.131565796930736,0,0,0,0.150305980952942,0,0.574703272407435,0,0.180376927478738,0,-0.0123534100758104,0,-0.161179327604388,0.0316356275559956,-0.12174894620915,0,0,-0.24008220424751,0,0,0,0.0709186386309811,0,-0.0210809997301925,0.0476324966941293,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.437705541559732,0,-0.304653112843951,0,0,0,0,-0.0101639985330032,0.169872353108658,0.0751784504231546,0,0,0,0,0,0,0.0386511316744763,0,0.221978659418539,0,0.0881730519689692,0,-0.137267488820801,-0.0754920956293105,0,0.158008550856507,0,0,0.127238615335518,0,0.0828712582523181,0,0,0,0,0,0,0,0,0,-0.0104937941372289,0.0213261798211705,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.196994324484708,0,0,0,-0.229055645766825,0.235286622147235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126366228666584,0,0,0,0.25328209028976,0.133432800076765,0,0,0,0,0,0,0.0087751249809289,0,0,0,0,0.0145784013626518,0,0,0,0,0,-0.0366187368956664,0,0,0,0,0,0,0,0,0
X600803.SH,0,0,0.232965354118001,0,0.254977127652898,0,0,0,0,0,0,0.0144806345157911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271082258875776,0,1.38777878078145e-17,0,0,0.181791643479878,0.0367281459842416,0,0,0,0,0,0,0,-0.0195689591091585,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.049643276183285,-0.0546301083981785,0,0,0,0,0,0
X601991.SH,0.150959985521151,0,0,0,0.351269050287374,-0.319975474359178,0,0,0,0,0,0.452424437454218,0,0,0,0,0,0,0,0,0.520150261506774,0,0,0,0,0,0.0479086670263506,-0.135970954148149,0,0,0,0,0,-0.0353207847874231,0,0,0.332177615634372,0,0,0,0,0,0,0.0411494049587256,0,0,0,0,0,0,0.172965775636016,0.0182049513805082,0,0,0,0,0,0,0
X000983.SZ,0,0.104418850764902,0,0,0,-0.0789709113059228,0,0,0,0.203268654824677,0,0,0,0,0,0,0,0.0760989913602916,0.0393179211598348,0,0,0,0,0,0,0,-0.089788567715114,0.243964153914816,0.171612011053548,0,0,0,0,0,0,0.0826925582411436,0,0,0.170832034887238,0,0,0,0,0.239896731565254,0,0,0,0.189232506209994,0,-0.127636166237449,0,-0.0170998693637653,-8.67361737988404e-19,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.250277183588924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850804112883084,0.108668012487291,0,0,0,0,0,0,0,0.692876060904248,0,0,0.328727986523004,0,0,0,0,0,0,0,0,0,0,0,0,0.00289294835308016,-0.0461857228110728,0,0,0,0,0,0
