,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601600.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601992.SH,X600362.SH,X002466.SZ,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600516.SH,X600027.SH,X600157.SH,X002460.SZ,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X002092.SZ,X600808.SH,X601158.SH,X600352.SH,X600219.SH,X002271.SZ,X000630.SZ,X000883.SZ,X000983.SZ,X600176.SH,X000723.SZ,X600299.SH,X600578.SH,X000408.SZ,X000792.SZ,X000060.SZ,X600008.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0.289204113630201,0,0,0,0,0,0.0892680786066909,0,0,0,0,0,0,0,0,0,0,0,0,0.0291968301268408,0,0,0.0600826135556321,0,0.128223292232904,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0853928390007099,0,-0.044652071333005,0,0.0285200366995082,0.165848912349594,0,0.0151067070717788,0.0393911924751763,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,-0.205094268772456,0,0,0,0,0,0,0,0,0.160720480781376,0,0,0,0,0,0,0,0,0.140054833674397,-0.0878428862066907,0,0.11090315024033,0,0,0,0.064429231242929,0,0,0,0,0,0,0,0.0951658580547346,0,0,0,-0.222760581467212,0,0,0.042500770639898,0,0,-0.0115699106672731,0.0161736871763127,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,-0.13940099257677,0,0,0,-0.0854188435627549,-0.0471794217763509,0,0.142014290694816,0,0,0,0,-0.147839647126949,0,0.465242677014333,-0.00233170235954926,0,0.0114321943288483,0,0.0434707281700353,0.165040191988623,0,0,0,0,0,0,0,0,0,0,0,0,0.0446339512395137,0.428118305749935,0,0,0,0.0473619605744668,-0.00758201854651136,0.0646574920560909,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0.0174541305492855,0,0,0,0,0,0.176167856215462,0,0,0,0,0,-0.0595884532366778,0,0,0,0,0,0,0,0,0.0164023566632368,0,0,0.0270071913037775,0,0,0,0,0,0,0,0.161155276671386,0.0726689575032671,0,0,0,0,0,0,0,0,0,-0.0138143471094136,-0.0139144403707568,0,0,0,0.123356248814391,0,0
X000408.SZ,0,0,0,0,0,0,0,-0.0312626061613261,0,0,0,0,0,0,0,0.00486326108728949,-0.100991157385674,0,0.00864479344232689,-0.100395621462908,0,0,0,0,0,0,-0.0953473770595457,0,0.277113166995445,0,0,0,0,0,0,0,0,0.790048068586755,0,0,0,0,0.153226891726914,0,0,0,0,0.135601220508033,0.0467513064103632,0,-0.0231437262278841,0.0138176733303091,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232551979590543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131870814635676,0,0.126788669141988,0,0,0,0,0,0.170157577217081,0,0,0,0,0.396779194274807,0,0,0,0,0,0.216866731831186,0.173613408348458,-0.0396448258628515,0.0874345002194414,0,0,0,-0.223126540954695,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13549153737086,0,-0.0113119781217653,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0179539923204485,0,0,0,0,0,0.222764223323278,0,0,0,0,0.063639135171483,0,0.088759767390944,0.170976809059628,0,0,0,0,0,0,0.0987861780561079,0.0183270190241144,0,0.00543508142695373,0.00189878273648029,0,0,0,0,0,0
X600008.SH,0,0,-0.29605992264057,0,0,0,0,0,0,0,0,0,0,0.639203786651771,0,0,-0.0605491698280286,0.148241755068619,0,-0.0115490567516492,0,0,0,0,0,0,0,0,0.0561069122637178,0.148545380873689,0,0,0,0,0,0,0,0,0,0.0118875819083885,0,0,0,0,0.147036640226116,0,0.0292259052599448,0,0,0,-0.0223857503913892,-0.0103948719790832,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0.00814919842229633,0,0,0,0,-0.216789629047572,0,0,0.0190518923328966,0,0,0,0,0,0.394690642840494,0,0.0131307354567307,0,0,0,0,0.0703722207293814,0,0,0,0,0,0,0,0,0,0,0.092218491756675,0.439986497482244,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.00842566668968741,0,0,0,0,0,0,0
Change_TY3M,0,0.13891056129271,0,0,0,0,0,-0.194486647660319,0,0,0,0,0,0.066180280925927,0,0.0627620944950158,0,0,0,0,0,0.0496062660655608,0,-0.108984294958341,0,0,0,0,0.0437576493958508,0,0,-0.0195902703132054,-0.0374849859387815,0,0,0,0.10508785694956,0,0,-0.0536333502192051,0,0,0,-0.300227628609952,0,0.12122840334208,0,-1.73472347597681e-18,0,0,0.0176129753328861,-0.0507381387581712,0,0,0,0,0,0
Slope,0,0.737164625786468,0,0,0,0,0,-0.354653768064111,0,0,0,0,0,0,0,-0.164830583251769,0,1.22559189634965,0,0,2.83876923054155,0,0,0,0,0,0,-0.405005209610723,0.259045520176767,0,0,0,0,0,0,0,0,0,0,-0.467568814899335,0,0,0,0,0,0,-0.235237719117641,0,0,0,0,2.17836066608342,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,-0.218257686914574,0,0,0,0,0,0,0,-0.384828972284886,0,0,0.0525141386333625,0.743326820461919,0,-0.798744926778079,0,0.380631522707896,0,0,-0.0271416470080332,0,0,0,0,-0.0691509974353786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370861826254266,0,0,0.055031492797271,0,0,0,0,-2.45858831309879,0,0
RealEstate_excess,0,0,0,0,0,0,-0.161078008682674,-0.0834984757414381,0,0,0,-0.0681212298597766,0,0,-0.0709657373985371,0,0,0,0,0,0,0,-0.0117589992469692,-0.103926275288024,0,0,0,0,0.0225268329638381,0,0,-8.67361737988404e-19,0,0,0,0,0.0938349084800867,0,0,-0.131860133746185,0,0,0,0,0.0619930530166734,-0.043960425333499,0,0,0,0,-0.0289877039067408,0.0195134553481655,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.00214797630608893,0.0345263905601651,0.04208720380429,0,0,0,0.00960346293191576,0,0,0,0.0238486513210125,0,-0.047264885549103,0,-0.0141670646999864,0,0,0,-2.79462686811263e-05,0,0,0,-0.0234979141800546,0,0,0,8.67361737988404e-19,0,0,0,0,0.0248585356071712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570001974918913,-0.0268718618450213,0.188806020315548,0,0,0,0,0
MKvol,0,-0.00105560196424575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102430129418103,0,0,0,0,-0.000675365455682672,0,0,0,0,0.000581614602986717,0,-0.00070119148502939,-0.000702612129095496,0,0.00158412082511138,0,0,0,0,0,0,0,5.42101086242752e-20,-0.00124383216605251,0,0.000901505536530763,-0.000251797112024446,0,1.6940658945086e-21,0,-5.64014129674607e-05,0,0,-0.000842486899572872,0.00133100959314779,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.0775062827077006,0,0,0,0,0,0,0.0671147332846446,0,0,0,-0.00918729161091213,0,0,0.0909644428931482,0,0,0,0,0.092426013052981,0,0,0,-0.011751611670014,0,0,0,0.0554999297449299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0809168509239495,0,-0.0325610520656626,-0.046108266463503,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,-0.0182455349393307,0,0,0,0.0389340454662376,0,0,0,0,0,0,-0.00419790732865034,0,-0.00667246336659386,0.00115244267596617,-0.0391332788214638,0,0,0,0.0197026501730855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00960344591605899,-0.00486142604420734,0,0.00368376301179769,0,0,0,-0.0129998305904514,0.0196066495212161,0,0,0.160295019540458,0,0
