,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X600886.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600362.SH,X600027.SH,X600426.SH,X601991.SH,X601699.SH,X600176.SH,X600803.SH,X000983.SZ,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X600160.SH,X600219.SH,X600688.SH,X000933.SZ,X000408.SZ,X600612.SH,X000932.SZ,X000629.SZ,X002080.SZ,X000630.SZ,X600096.SH,X000723.SZ,X300037.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,-0.0361484333574821,0,0,0,0,0,0,0,0.0342461887592766,0,0,0,0,0,0,0,0.00775555112806772,0,0,0,0,0.140603439150578,0,0.125244346150925,0,0,0,-0.0586210306498992,0,-0.0771634234803392,0,0.585930232742718,0,0,0,0.0491146978325345,0,0,0,0,0,0,0,0.00715916472483789,0,0,0,0,0,0,0,-0.0438068341094132,0,0,0,0,0,0,0
X002466.SZ,0,-0.163496099478349,0,-0.0118741752361484,0,0,0,0,0.401040087488814,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.198956523600023,0,0,0,0,0,0,0,0,0,-0.0298789939703278,0,0,-0.133605199811254,0.0569290364122039,0,0,0.0968316825370441,0,0,0,0,0.0640890700005802,0,0.0218361625984081,0.187822650027356,0.0277585839931388,0,0,0,0,0.0174539980122089,0,0.480627322305601,0,0,0,0
X601600.SH,0,0,0,0,-0.0229577539272442,0,0.0299824359554521,0,0,0,0,0,0,0,0,0,0,0.061581344583638,0,0,0.198845247422341,0,0,0.094111212577309,0.210667099038024,-0.0232618894652958,0,0,0.0330397781790929,0,0,0.103923237389371,0.208949002070513,0,0.153426073009526,0.0254359062483592,0,0,0,0,0,0,0,0,0.526471997672263,0,0,0,0,0,-0.141731363277063,0.0263851806683503,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,-0.0648187047342122,0,0.129939925924558,2.16840434497101e-19,0,0.187404456431706,0,0,0,0.0772379361803201,0,0,0,0,0,0.0295023265796704,0,0,0.0286168899377102,0.0633632970615433,0.0352543630138831,0,1.73472347597681e-18,-0.00125218762046175,0,-0.0366143482690657,0,0,0,0.103469313516953,0,0,-0.0379510059517392,0,0,0,0.076370622340543,0,0,0,0,0.0748452137403374,0,0,0,0.0134609836681259,0,0,0,0,0,0,0
X600886.SH,0.0938639323130538,0.0215946233231184,0,0.0307778810179909,0,0.0657874780928001,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372968268920376,0,-0.00678945641995544,0,0,0,0,0,0,0,-0.00462394651181984,0,0,0.025901941338054,-0.0165227829437122,0,0,0,0,0,0,0,-0.00107854947990501,0,0,0,0,0,0,0,-0.00778180808127729,0.00687504951124217,0,0,0,0,0,0
X600111.SH,0,-0.0128729523589522,0,-0.172581955775573,0.108372998041048,0,0,0,0,0,0,0,0,0,-0.127803600772377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134514013584075,0,0,0,0,0,0,0.108915542987231,0,0,0.0216471452540919,0,-0.163715214385116,0.347376964415929,0,0,0,0,0.082070527650443,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0.163011058799067,0,0,0.0107538692149356,0,0,0,0,0,0,0,0,0,0.070275407768908,0,0.116809858660658,0.0407983606527137,0,0,0.043418569811572,0.0654271317521077,0,0,-0.0988323491798092,0,0,0,0.0615579330870784,0,0,0.0179006279208066,0,0.0706668053298471,0,0,0.0646286701352832,0,0,0,0,0,0,0,-0.0120028758002724,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.0492182276366706,0.0906048189644836,0,0,0,0.122147581418008,0.169135931301516,0,0,0,0,0,0,0,0.121892943581651,0,0.0120238364881206,0,0,0,0.194669892288802,0,0.126918302144066,0,0,0,0,-0.0491995170161753,0,0,0,0,0,0,0,0.0241167339915298,0,0,0,0,0.182842913159883,0,-0.241281066486764,0,0,0,0.0214014456389144,-0.0252533107241051,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0731373042187577,0,0.0199620578751512,0,0,0,0.0238024002906917,0,0,0.150064981110336,0,0,0,0,0,0.0664954846892817,0,0.0275383983212737,0,0,0,0.0227821511342519,0,0,0,0,0,0,0,0.0352252732611601,0,0,0,0,0.0220818014636519,0,0,0.0201369254754123,0.0523445312076302,0,0,0.0159483846935185,0,0,0,-0.0133903590582235,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0861264932932152,0,0,0,0,0,0,0,0,0.026131720987813,0,0,0,0.040469712048785,0,1.73472347597681e-18,0.0252823077740226,0,0.039825598191238,0,0,0.0763311754781295,0,0,0,0.0325381029762144,0.0843410088104008,0,0,0,0,0.0507607350284573,0,0.272364324035408,0,0,0,0,0,0.0158333508648769,0,0,0,0,0,0,0
