,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000983.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600188.SH,0,0,0,0,0,0.058973958768231,0,0,0,-0.123983128449843,0,0,0,0,0,0,0,0,0,0,0,0,0.0252079139185497,0,0,0.0562729480007833,0,0,0,0,0,0,0.626949163064873,-0.0483025936411851,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0997250112427818,0,0,0.436993171381561,0,-0.0767880796671139,0,0,0,0.0817704486569238,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.00516085494897023,0,0,0,0,0.0575662211459697,0,0,-0.131314038879541,0,0,0,0,0.735651658356834,0.139743432395484,0,0,0.156187285494617,0,0,0,0,0.0737931819183043,0,-0.236114260631502,0,0,0,0,-0.160314159056182,0,0,0,-0.0919867176905513,0,0.249573469972847,0,0,0.106456188938028,0.0741025340849145,-0.132498654691528,0,0,0.11981743814183,0,0.0954662437205163,0,0,0.281989977059375,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0336061993809375,0,0,0,0,0,0.217182947526665,0.0833892288166544,0,0,0.0502631215186014,0,0,0,0,0,-0.0109298624747428,0,0.0281938241130293,0,0.0650127485061709,0,0,0,0,0,0.0342391385208725,0,0,0.0167065137997056,0,0,0.0400280186048119,0,0,0,0,0,0,0,0,0,0.00653448167332849,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.00863485853634425,0.0615706151806787,0.00480588143890043,0,0,0,0,0.128461749120256,0.0515083514231511,0,0,0,0,0.184370641219881,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.211101582130471,0.142229477349327,0,-0.00591953374856037,0,0,0,0,0,0,0,0,0,-0.0944223134977744,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.0102078361036064,0,-0.0181276217911887,0,0,0,0,0,0,0,0,0.0257136536527082,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0114082912380042,0,0,0.0572728975200297,0,0,0.16322358833412,0,0.0389934917522771,0.0507710423356906,0,0,0,0,0.113236067326453,0,0,0,0,0,0,0,-0.0510691251692966,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.122342323992345,0,0,0,0,0.0172168554762867,-0.0484009855407239,0,0,0,0,0,0,0,0.398368154481819,0,0,0.00786296721768818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172331549784253,0.0393674598062576,0,0,0,0,0,0,0.0307822194175465,0,0,0,0,0,0.00209200316908598,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.257397140373554,0.252021695464616,0.0493293631241821,0,0,0,0,0,0,0,0,0,0,0,0.0692793547749082,0,0,0,0,0,0,0,0,0,0,0.0346430373153931,0,0,0,0,0,0.00973724211826335,0,0,0,0,0,0.49169046991443,0,0.138285316937204,0,0,0,0,0.0249105262590542,0,0,0,0,0,0,0
X600157.SH,0,0,0.0854364677055482,0,0,0,0,0,0,0.00407894119026204,0.122474093243903,-0.0136892043564994,0,0.076851886778509,0,0,0,0,0.0651789052869261,0,0,0,0,0,0,0,0,0.0733989276009449,0.0410913439555417,0,0,0,0,0.145832594237426,0.0125659638713977,0,0,0,0,0.0492927207233132,0,0,0,0,0,0,0,0,0,0.168985867637298,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.251232289902243,0,0,0,0,0.0083161701513749,0,0,0,0,0,0,-0.100334935855809,0.124322756321788,0,0,0,0,0,0,0,0,0,0.128386907322545,0.022257337254819,0,0.0203533381780699,0,0,0.185995107585075,0,0,0,0,0.0820365161315388,0,0,0.0311118089496142,0,0,0,0,0.274794680578533,0,0.139059713532055,0,0,0,0.0137997695217215,0,0,0,0.0920842945099141,0,0
X600886.SH,0,0,0,0.171895330034041,0,0,0,0,0,0,0,0,0,0,0,0.217340359850656,0,0,0,0,0,0,2.16840434497101e-19,0,0.0934667473490799,-0.00698077620618565,0,0,0,0,0,0,0.127908186110174,0,0.020717905910098,0,0,0,0,0.0610925282860085,0,-0.0636749766513146,0,0.0930704493400598,0,0,0,-0.0673439273124925,0,0,0,0,-0.112030605893809,0,0,0,0,0,0
