,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X601991.SH,X600688.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X000932.SZ,X600801.SH,X000709.SZ,X600808.SH,X600426.SH,X600339.SH,X000883.SZ,X600583.SH,X601158.SH,X600219.SH,X601699.SH,X600985.SH,X000830.SZ,X600489.SH,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300072.SZ,0,0,0,-0.0439232544274142,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.390259725569245,0,0,0.132889668239322,-0.814281833647074,0,0,0,-0.19282246120395,0.102289777932141,0,0,0,0,0,0,0,0,0,0.550083068642529,0.175715466817113,0,0,0,0,0,0,0,0.398953857850333,0,0,-0.28688298481709,-0.0588518676458735,-0.0502713932112556,0,0,0,0,0,0
X000786.SZ,-0.111318409579379,0,0,0.473900286486508,0,0.114355430623785,0,-0.0245389378890324,0,0,0,0,0,0.216225010407096,0,0,0,0,0,0,0,0.269000966090274,0,0,0,0,0.0893912019129319,0,0.0642860934046673,0,0,0,0,0,0,0,0,0,0,-0.254916806415808,0,0,0,0,0,0,0,0,0,0.0816982363603402,0.111363489062968,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0.0226803344077348,0,0,0,0,0,0.00649227022203244,0,0.0569636287950408,0,0,0,0,0,0,0,0,0,0,0.236516511543245,0,0,0,0,0,0,0.132934237844552,0.0966722476149372,0,0,0,0,0,0.00300720104447727,0.0269403524975332,0,0,0.393325081646993,0,0,0.00899785798880722,0.00204785211203593,0,0,0,0,0,0
X600801.SH,0,0,0,0.504701368689034,0,0.0200276313776716,0,0,-0.0173634594563664,0,0,0,0,0,0,0,0,0,0,0,0.0748343396644294,0,0,0,0,0,0,0,0,0,-0.164570332877295,0.0980919316692208,0.189839147418517,0,0,0,0.217088233421238,-0.0205899020880463,0,0,0,0,0,0,0,0,0,0,0,-0.0166014438688994,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0.190542515962944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246300151040607,0,0,0,0.0546284613004968,0,0,0,0,0,0,0,0,0.286675814023348,0,0.000368281909254446,0,0,0,0,0,0.00107847202420248,0.126766706137325,0,0.0184296681051632,0,0,-0.00240364624553353,-0.0232299319360952,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0.0494834180339856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16523979928228,0,0.000379043693139747,0.014321832363005,0,0,0.228252825533961,0,0,0,0.00303632753748702,0.0747623461328818,0.108272392219161,0,0,0,0,0,0,0,0,0.0497550791014705,0.0477260937766045,-8.67361737988404e-19,0.167508963761594,0,0,0.00221878778260333,-0.00147252133193341,0,0,0,0,0,0
X600426.SH,0,0,-0.0702643245002497,0,0,0.00598008885726014,0,0,0,0,0,0,0.0471000829153211,0,0,0,0,0,0,0,0.0479095031489698,0,3.46944695195361e-18,0,0.120574373657203,-0.282281991455532,0,0.155389603498169,0,0,0.10341902888237,-0.0155808363462429,0,0,0,0,0,0.0362761891376574,0,0,0,0,0,-0.207475718216301,0.779784778941554,0,0,0,0,0,0,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0.0478509886107052,0,0,0,0,0,0,0,0,0,0,0,0.187012452078708,0,0,0,0,0,0,0,0,0,0,0.166408317456264,0,0,0,0,0,0,0,0,0.608851549553381,0,0,0,0,0,0,0.0802878238149223,0,0,-0.0141272121602368,-0.0238042819613776,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0.0794798020421252,0,0,0,0,0,0,0,0,0,0,0,0,0.104821087762711,0,0.0580797055310015,0,0.0464510466586641,0,-0.019733642139537,0.0381483455152708,0,0.0742809669228761,0,0,0,0,0,0,0,0.134030663064035,0,0,0.0195906200909984,0,0,0,0,0,0,-0.00311629462603475,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,-0.0213680581231548,0,0.167418092965045,0,0,0.2668637061935,0,0,0,0,0,0,0.0862986120533359,0,0,0.0251535879780837,0,0,0,0.133957937598179,0.18636290176374,0,0,0,0,-0.10424702631805,0,0,0,0,0,0,0.111221524199091,0,0,0,0,0,0,0,0,0,0,-0.0695864700113313,0.00252666486238041,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0.0716937563469369,0.074599025267947,0,0.135776496722099,0,0.123708220976119,0,0,0,0,0,0.00466922293252125,0,0,0.0871344510664565,0,0,0,0,0.0591292735799873,0.0113939648276506,0,0,-0.00772571417672577,0,0,-0.0627006415427662,0,0,0,0,0,0,0,0,0,0,0,0,0.0726885219962088,0,0,0,0.0200920927090158,-0.0036211772945641,-0.00947140550111071,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,-0.0444336779769744,0,0,-0.0137558211900262,0.366395852403132,0,0,0,0,0,0,0,0,0,0.0732176202921387,0,0,0,0,0,0,0.0676968346847778,0,0,0,0,-0.0262741493889191,0,0,0,0,0,0.0505539810281636,0,0,0,0.000433511628011078,0.0587674560285154,0.161005050300961,0,0,0,0,0.00359658557276549,0.0224053792657366,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.165207475357751,0,0,0,0,0,0.13089268145395,0,0,0.224015368234632,0,0,0.0308298156386799,0,0,0,-0.158870566624464,0,0,0,0,0,0,0,0.0753054804360894,0,0,0,0,0,0.478516922999872,0,0,0,0,0,0,0,0,0.0529338057428867,0,0,0,0,0,-0.00473120232235579,-0.0105738456906526,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.0423571486908806,0,0.192011820879653,0,0,0.0824668507151333,0.0025678371678708,0,0,0,0,0,-0.288066302419582,0,0,0,0,0.0835197726834661,0,0,0,0.132033623078763,0,0.24700238792793,0,0,0,0,0.0331639143235194,0,0.0457406538552275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124010704602683,0,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0,0,0,0,0,0.1210194617493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169886754593256,0.337428577886254,-1.38777878078145e-17,0.0293951847112508,0,0,0,0,0,0,0,0.26160414583243,0,0,0.0437346065634043,0,0.0162360852631319,0,0.0277904404055912,0,0,0,0,0,0.00905630096493282,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.200623761917835,0,0,0,0,0,0,0,0,0,0,0,0,0.204426727959722,0,0.0211872633235289,0,0,0,0.103563309801326,0,0,0,0,0,0,0,0,0,0,0.0897709441936357,0,0,0,0,0,0,0.162388278525309,0,0.016914801983204,0,0,0,-0.0310117880812425,0,0,0,0,0,0
X601003.SH,0,0,0,0,0,0,0,0.0166851235730608,0,0,0,0,0,0,0,0,0,0,0.395321080177547,0.0428215634595491,0,0,0,0,0,0,0,0,0.211558319567241,0,0,0,0.115521286557387,0.236283369031165,0,-8.67361737988404e-19,0,-0.0466484912040682,0,0,0,0,0,0,0,0,0,0,0.0812611433481051,-0.0194216249324997,-0.0129519559685711,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0.0408341856583593,0,0,0,0,0,0,0,0,0,0,0,0,0.114008323887945,0,0,0.00592133313309221,0,0,0.0753850979465928,0,0,0,0,0.00658655082560497,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0695712981151147,0,0,0.0288846899578342,0,-1.73472347597681e-18,0,0,0,-0.0270469329556266,0,1.0842021724855e-19,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.556528724249072,0,0,0,0,0,0,0,0,0,0,0,0.291071372035054,-0.0253481917957289,0,0,0,0,0,0,0.124748158102668,0,-0.153326042631689,0.0966889412322026,-0.417340067051341,-0.0952976758593237,0,0,-0.266067992866709,0,0,0,0,0,0,0,0,-0.0332186292043706,0,-0.274951451239551,0,0.154552538486124,0,0,-0.0446930464650514,-0.118229794422273,0,0,0,0,0,0
Slope,0,0,0,0,0.874066867989821,0,-1.05033279812134,-2.79794546303905,0,0,0,0,0,1.84699071394031,0,0,1.1457658914214,0,0,0,0,0,-1.107830800133,0,0,1.11022302462516e-16,-1.6439487785567,0,0,0,0,0.324238982738519,0,0,0,0,0,0,0,0,0,0,0.356971652788129,0,0,0.903773457544534,0,0,0,0,0.216744051112266,0,0,0,23.8291651931822,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37159295233516,0,-1.59558408903276,0.402334032861019,0,0,0,0,0,-0.160752509799228,0,0.911701228128316,0,0,0,0,0,0,0,0,-1.13218993916423,0,-0.689298853793204,0,0,0,0,0,0,-5.55111512312578e-17,0,-0.958700612073883,-0.0741498433124961,0,0,0,0,-8.15597822553135,0,0
RealEstate_excess,0,-0.0759356735537621,0,0,0,0,0.0422802309712688,0,0,0,0,0,0,0,0,0,0,0.14148073862593,0,0,0,0,0,0,0,-0.0973854436621694,0,0,0,0.0423928812899569,-0.0534190415184829,0.0917399534216247,0,-0.165698289424954,0,0,-0.052298820299355,0,0,0,0,0,0,0.0235931320506092,0,0,0,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171310917090798,-0.00348652255016272,0,0.0819161698499845,0,0,0,-0.00577474043875311,0,0,0,0,0.0612093251063685,0,0,-0.0121008891321691,-3.46944695195361e-18,0,-0.00161131111829063,0,0,0,0,0,0,-0.0370471692107058,0,-0.159822599632591,0,0,0,0,0.00309209629733168,0,0,0,0,0,0,0
MKvol,0,-0.00167987807135646,0,0,-0.00491471452373183,-0.00263745898852829,-0.00329877772080348,0.00272989642586324,0,-0.00161336794523657,0,0,0,0,0,0,-0.000250428196395177,0,0,0,-0.00142842092062254,0,0,0,0.00384168936298147,0.00567453822868354,-0.00176217199695956,0,0.0042503753847234,0,0,0,0,0.00178991981177416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000980531396589078,-0.00299921060742867,0.00195669459458702,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.03836484200697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470031823947962,0,0,0,0,0,0.0218465002971883,0,-0.0260887544669829,0,0,0,0,0,0,0,0,0.0142854517564535,0,0,0,0,0,0,0,0.0167612887200101,-0.0432614664937212,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038579668751865,0,0.00868841064700176,-0.00255806730708673,-0.0199086806064632,0,0,0,-0.00568195912922517,0,0.0103049758867354,-5.42101086242752e-20,0,0,0.00527341040738766,0,0,0,0,0,0,0,0,0,0,0,-0.000709175030050481,0,0,0,0,0,-0.00395883082908232,0.00727081561684283,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00609202940519489,0,0,0.00326656006059446,0,0,0,0,0,0,0.0105169876673927,0.00505690517611786,0,-0.0061829449295097,0,-0.00322681794905523,-0.0106381175794895,0,0,0,0,0,0,0,0,0,0,0.00444531653749146,0,0,0,0,0.0101192856531862,0.000880759449107088,0.00530954560478015,0,0,0,0,0,0
