,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X002460.SZ,X600795.SH,X600660.SH,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000408.SZ,X000786.SZ,X600339.SH,X600176.SH,X600219.SH,X600489.SH,X000959.SZ,X000723.SZ,X000553.SZ,X002271.SZ,X600808.SH,X600352.SH,X601158.SH,X000883.SZ,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000959.SZ,0,0,0,0.103930013015356,0,-1.73472347597681e-18,0,0,0,0,0.0207628193824334,0,0,0.0234683013802328,0,0,0,0,0,0,0,0,0,0.0430951164538617,0.012407811565426,0,0.0722241813347563,0,0,0,0,0,0,0,0,0,0,0,0,0.108022940383167,0,0,0,0,0,0.0467117043606187,0,0,0,0,0,0.0243449842678392,0,0,0,0,0,0
X000723.SZ,0,0,-0.190053592733495,0,0,0.0430573553436502,0,-0.0347821503334421,0,0.0554372004925191,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213608906566474,0,0,0,-0.111220642627219,0,0,-0.149239586738642,0.138744835655783,0,0.018211440220185,0,0,0,0,0,0,0.0233123577464351,0,0,0,-0.0105197396639394,0,0,0.188569097156579,0,0,0,0.0107650330230469,0,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,-0.037129439210643,0,0,0,0,-0.0336590231197299,0.121741872648711,0,0.0130432114995989,0,0,0,0.0450248425112389,0,0,0,0,0,0,0,0.198163478345285,-0.0310583143602787,0,0,0,0.0946291035912002,0,0,0,0,0,0,0,0,0,0.00684475500904517,0,0,0,0,0,-0.107627518894166,0.135931427257912,0.0965394917494084,0,-0.109198491253261,0.117854534484484,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,-0.0445727684325451,0,0,0,0,0,0,0,0,-0.0179501701113516,0,0,0,0,0.0559145475639622,0,0,0,0,0,0,0,-0.348433587385828,0.0154325155875848,0,0,0,0,0,0,0,0,-0.128073026879636,0,0,0,0,0,0,0.273496937084334,-0.228847766369394,-0.0512991324763022,0.165649591720727,0,0.0148674556567845,0.176306845268546,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0.0316896960641687,0,0,0,0,0,0,0,0,0,0,0,0,0.211591339552492,0,0,0.243264620868942,0,0,0.151434049413893,0,0,-0.0197811909980701,0.314627180031185,0,0,0,0,0,0,0,0,0,0,0,0,0.0818449679027478,0,0,0.206569448577809,0.240750919356104,0,0,0,-0.0187520117953252,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,-0.0676382016665903,0,0,0,0,0,0,0.206391840406477,0,0,0,0.0782646160239674,0,0,-0.0725981194640956,0.067197999667752,0.213187402793984,0,0,0,0.0355377922494479,0.000367626313596095,0,0,0,0,0,0,-0.0229491429636756,0,0,0,0,-0.121131139688602,0,0,0,0.15786912862262,0.173961647424485,0,-0.0130823110213339,-0.0100442546689845,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0562106875603637,0,0.0230868362860978,0,0.0258250333933496,0,-0.0455767095175645,0,0.0275948246048691,0,0,0,0,0,0,0,0,0,0,0.0444065916140386,0,0,0,-0.0134315117779511,0,0.0736871638954074,0,0,0,0,0,0,0,0.00791785906880556,0,0,-0.00895049278653862,0,0,0,0.0279007653319271,0,0,-0.00568436804483365,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,5.90252835790117e-06,0,0.00422490131581646,0,0.0149393430565324,0,0,0.0699361468515198,0.0197102968719763,0,0,0,0,0,0,0,0,0,0.118634202759095,0,0,0,0,0,0,-0.0391971694402778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570824265297944,0,0,-0.00124142437662867,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0.161013005596771,0.229739783042588,0,0,0,0,0,0,0,-0.00140292741686489,0,0,0,0,0,0,0,0,0,0,0.434273179542734,0,0,0,0,0,0,-0.234908911420017,0,0.257462856390664,0,0,0,0,0,0.207408486362488,0,0,0,0,0,0,0.0702940075947267,0,0,0,0,-0.0044305684514521,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0.0402278198489865,0,0.0176841072715604,0,0,0,0,0,0,0,0,0,0.46247415828197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472604938380806,0,0,0,0,0,0.0922832908586309,0,0,0,0,-0.0206922007505534,0,0,0,0,0,0,0
