,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X000708.SZ,X600795.SH,X600688.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X002460.SZ,X002466.SZ,X600176.SH,X600299.SH,X000709.SZ,X601158.SH,X000883.SZ,X600426.SH,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X601699.SH,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,0,0,0,0.0401829630060455,0.43846187814715,0,0,0,0,0,0,0.0324738055498123,0,0,0,0,0,0,0,0,-0.0503188168099244,-0.0525701686480769,-0.223025113085798,0,0.258688843549672,0,0,0.0812553569027447,0,0,0.540226525538284,0,0,0,0,0,-0.0529900074205243,0,0,0,-0.130263997998166,0,0,0,0,0,0,0,-0.0500997173318684,0,0,-0.0121159992150079,0,0,0,0.0317049688930877,0,0
X002466.SZ,0,0,0,-0.094484207606761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184480448217642,0,0.112019512343599,0,0,0,0.227687724038619,0,-0.112390276684588,0,0,0.313819647631438,0,0,-0.0354125968618401,0,0,0,0,-0.0120472765377914,0,0,0,0,0,0,0,0,0,0,0.282543254074109,0,-0.0609202744118733,0.0706901127459818,0,-0.452141219023275,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00652478384691517,0,0,0.00912940176280965,0,0,0.026016641273691,0,0.20053738736232,0.117637029103526,0,0.00563851656196025,0,0.0512738116826334,0.13916914772589,0.262652196813593,0,0,0,0,0,0,0,-0.0615618389731249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387853760304434,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,-0.0112245764840791,0,0,0.079645553385911,0,0,0,0,0,0,0.0912686522013904,0,0,0,0,-0.0954199322093201,0.100564107128358,0,0,0.139280465165548,-0.0327550221673982,0,0,0,0,0.122748795420202,0.0945513389667949,0,0,0,0,-0.0273543751637928,0.221022343927505,0,0,0,0,0,0,0,0.148514246730795,0,0,0,0,-0.0160979610702363,0.0260310414298584,0,0,0,3.46944695195361e-18,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0.0620487421051617,0,0,0,0,0.0457698989494628,0,0,0,0,0,0,0.0376655865982986,0,0,0.0824713592134203,0,0,0,0,0,0,0.00427519392152095,0.054919551158596,0.166917503562141,0,0,0,0,0,0,0,0,0,0,0,0.0228956695603235,0.0864316619314273,0,0,0,0.0757358230990403,0,-0.0304293007991175,0.0485662038250983,0,0,0,-0.00100114752477878,0,0
X601158.SH,0,0,0,0,0,0,-0.0129536782660224,0.0092313326286898,0,0,0,0,0,0,0,0,0,0,0,0.0685705379568984,0.0201807101694987,0,0.0306681780367952,0,0,0,0,0,0,0,0,0.0217450032467822,0.25824974897604,0,0,0,0.0952190296481812,0.0138933907540938,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0102133383000914,0.13906005478795,0,0,0,-0.00104836851273958,0,0,0,0,0,0
X000883.SZ,0,0,0.0787561663472188,0,0,0,-0.0605490085764653,0,0,-0.0407255103085206,0,0,0,0,0.109135749653751,0,-0.0420215668145909,0,0,0,0.0933585806542346,0,0,0,0.0518119164914393,0.029946767902315,0,0,0,0,0,0,0,0,0,0,0,0.0518554116514062,-0.0351830676952964,0,0,0,0,0,0.305890114532301,0,0,0,0,0,0,0.0430693726646694,-0.041018689263478,0,0,0,-0.0536479216815236,0,0
X600426.SH,0,0,0.0304709975675162,0,0.137383504892649,0,0,0,0,0,0,0.128471246188804,0,0,0,0,0.120841846197428,0,0,0,0.00307053966109986,0,0.0118450073055886,0,0.118527383602047,0,0,0.0674926380574811,-0.0204759347773694,0,0.0300504365480236,0,0,0,0,0,0,0,0,0,0,0,0.460100017601176,0,0,0,0,0.156612723970683,0,0,0,-0.0123877779033273,0,0,0,0,0.170768916701213,0,0
X600612.SH,0,0,0,0,0,0,0.395625449894841,0,0,0,0,0,-0.00413753699895253,0,0,0,0.0545957004438616,-0.134058913756934,0,0,0,0,0,0,0.418562403723077,0,0.123364313974981,0.0632880764874398,-0.0675059838705376,0,0,0,0,0,0,0,0,0,0,0,0,0.10762529859206,0,0,0,0,0.284044139930634,0,0,0,0,0.0193698642780161,0,0,0,0,-0.00827552081667081,0,0
X000629.SZ,0,0,0,0,0,0,0,-1.73472347597681e-18,0.143802985101428,0,0,0,0.0178390875252197,0.0553225851730306,0,0,0,0,0,0,0.0311993782308308,0.170800767271375,0,0,0,0.0528344443994441,0,0,0,0,0,-0.0127058360241332,0,0.20410891288979,0,0,0,0.0604487043640127,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111670214754221,-0.000280011957321852,0,0,0,0,0,0
X600219.SH,0,0,0,0.0111697528883558,0,0,0.0209438330038115,0,0,0,0,0,0,0,0,0,0.043490590844065,0,0,0,0.103895241749266,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0077023153921557,0,0.093096647182405,0.102949985358827,0,0,0,-0.0111314537021607,0,0,0,0.0151844314711246,0,0,0.101499505905357,0,0,0,0,0.0349192119602909,0,0.0153307057846274,-0.0232325507772228,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,-0.0166651647252436,0.159144629176257,0,0,0,0,0,0,0,0,0.0773491848596266,-0.00642985642118197,0,0,0,-0.108695003022603,0,0,0,-0.142467109977992,0,0,0,0,0,0,0,0,0,0,0,0.0175342523980115,0,0,0,0,0.20302155702601,-0.0577563212306882,0,0,0,0,0,-0.0462557711632341,-0.0630972701086091,0,0.0591375603672123,0,0,0,1.73472347597681e-18,0,0
X600583.SH,0,0,0,0,0.173894872186051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268000132323442,0.0354303015774167,0.0104292914754261,0,0,0,0,0,0,0,0,0.021590908703453,0,-0.280007879928965,0,0,0,0,0.12484727813632,0,0.107461032862414,0,0.0591346375741535,0,0,0,0,0,0,0,0,0,0.00944948452103753,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,-0.121334674991161,0,0,0,0,0,0,0,0,0.0329320158796237,0,0,0,0,0,0,0,0,0,0,0,0.00415673460965809,0.051571597516804,0.148840346193449,0,0.15661245541932,0,0,0,0.132068591562747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213020827787467,0,-2.16840434497101e-19,0.000114366673765818,-0.0525993673873187,0,0,-0.0206970049164652,0,0
