,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600010.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000825.SZ,X600315.SH,X000831.SZ,X000027.SZ,X600808.SH,X600352.SH,X600660.SH,X601699.SH,X600578.SH,X600307.SH,X000630.SZ,X000983.SZ,X600549.SH,X600490.SH,X600863.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153095344329372,0,0,0,-0.0407334936428624,0,0.0206748771605828,0,0,0.0907404551841349,0,0.070424145084228,0,0,0,0,0,0,0,0,0,0,-0.0588720368695425,0,0,0,0,0,0.0253132166182668,0,0,0.13307873473601,0.00673429641432652,0.00151746887973729,0.0640231416901749,0,0.00564848416382065,0.0104368576874264,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.123107381266515,0,0,0,0,0,-0.232311691041702,0,0,0.11742400632389,0,0.0422857242006632,0,0,-0.0204620646044601,0,0,0,0,0,0,0,0,0,0,0,0,0.269989559779621,0,-0.0242686525493775,0.146107088478396,0.161339453571174,0,0,0,0,0,0,-0.00496389264047452,0.0415207386946749,0,0,0,0,0,0,0.00259242277695687,0.0275269553089171,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0.164997640649281,0,0.11278066378758,0,0,0,0,0.0200212694580689,0,0,0,0,0,0,0,0,0,0.08085753471707,0,-1.73472347597681e-18,0.0408280227289425,0,0,0,0,0.155620486365196,0,0,0,0,0,0,0,0.0275128571204613,0,0,0.025779836361682,0,0,0,0.0693461354599946,0.075699807208048,0,0,0,-0.000593173614663365,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.0652447232758327,0,0,0,0.134511903791312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147074327125876,1.73472347597681e-18,0,0,0,0.0618227339183161,0.0339310169626467,0,0,0,0,0,0.185889561874324,0.267335086050958,0,0,0.0514217720246867,0.0582757044854547,0,-0.00574438786997759,0.00679369055499932,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0169394207124587,0,0,0,0.00927060102442108,0,0.248168248814708,-0.201662775060142,0,0,0,0,0,0,0,0,0.115349148544568,0,0,0,-0.283077659414641,0,0,0,0,0.0504997025388086,0,0.0495585607721127,0.109721247676563,0.215338155166159,0,0,0,0,0,0,0,0,-0.0624177194696023,0.185621293732833,0,0,0,0,0.0257154796244258,0,-0.0134431660366314,0.0267120632650424,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0.195282073027726,0,0.0445641792393912,0,0,0,0,0.025388076020112,0,0,0.107841315108587,0,0.0880580274165729,0,0,0,0.252106856913771,0,0,0,0,0.226664534579074,0,0,0.00905712084325421,0,0,0,0,0,0,0,-0.031399530621343,0,0.0518952129651643,0,0.0755607597467626,0,0,-0.0196223317998629,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831009222269784,0.0203515389082166,0,0,0.0157468155670836,0,0.123703295051435,0.0390455956259191,0,0.13636946230236,0,0,-0.0244082916274969,0,0,0,0,0,0.0981920800601741,0,0,0,0,0,0.0961186247981052,0,0,0,0,-0.0929396669740893,0,0,0.0161966845837051,-1.73472347597681e-18,0,0,7.9611893294526e-05,0.0104399965220946,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.0564703511535942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486064967372528,0,0,0,0,0,0,0.00815977383770899,0,0,0,0.0835112728433972,0,0,0,0.0152818722350311,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,-0.0431561695291703,0,0,0,0,0.205884232005433,0,0,0,0,0,0,0,0.411086340785497,0,0,0,0,0.00942426039337299,0,0,0.155909775966474,0.267220681368125,0,0,0,0.600026707012857,0,0,0.0532634310489521,0,0,0,0,0,0,0,0.170401147555976,-0.351201102296914,0,0,0,0.00630630707035173,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.0178682141638153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065588796971931,0,0,8.67361737988404e-19,0,0,0,-0.0248002462048188,0,-0.00952907532435985,0.0500768288115106,0,0,0,0,0,0,0,0,0.0187905962050786,0,0.125769769061163,1.73472347597681e-18,0,0.0485770262496971,0.124478635870981,0,0.00914617386443766,0,0,0,0,0,0,0
X601992.SH,0,0,0,0.39183092981184,0,0,0,0,-0.00195619494782722,-1.0842021724855e-19,0.235941690088942,0.00540901482911993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352097950465436,0,0,0.00621310071926979,0,0,0.0071448328125758,0,0,0,0.0137781034758036,0,0,0.0638996241992204,0,0.00361458468980046,-0.0317162542896758,0,0,0,0,0,0
