,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600362.SH,X600660.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X000786.SZ,X002460.SZ,X000709.SZ,X000553.SZ,X000792.SZ,X600157.SH,X600352.SH,X600027.SH,X002271.SZ,X601699.SH,X600489.SH,X000408.SZ,X600808.SH,X600219.SH,X002110.SZ,X000959.SZ,X000983.SZ,X002092.SZ,X600583.SH,X600299.SH,X601158.SH,X600339.SH,X000883.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000898.SZ,0,0,0,0.299875918710829,0,0,0.0835969899659743,0,0,0,0,0,0,0,0,0,-0.0446036347528872,0,0,-0.0480397733074366,0.221640742472322,0,0.045530646253583,0,0,0,0,0,0.0616390482381204,0,0,0,0,-0.0261090493759679,0,0.0276182135607753,0.260411324243016,0,0,0,0,0,0,0.0253389773342678,0,0,0,0,0,0.000234897623298914,5.42101086242752e-20,0,0,0,0,0,0
X600176.SH,0,0,0,0.21698062886497,0,0,0,0,0,0,0,0,0.25102718428502,0.718864161239219,0,0.134063343232066,0,0,0,0,0,0,0,0,0.284094898717865,0,0,0,0,0,0,0,0,-0.0154333454722852,0,0,0,0,-0.0798391823603843,-0.111800094494547,0,0,0.0412329862885832,0,0,0,0,0.114939074010988,0,-0.0100272693142487,-0.0660999943860903,-0.216378882011427,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0496749602975283,0,-0.119333321337484,0,0,0,0,0,0,0,0,0.0257975405188904,0.0459010271972352,0,0,-0.0809623511588134,-0.0396011621923239,0,0,0,0,0,0,0,-0.00551509712970177,0,0,0,0,0,0,-0.0263109754619007,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347644002527237,0,0,0,0,0,0
X000786.SZ,0,0,0.085057275683224,0,0.157752053181316,0,0.169795625195566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479549960288495,-0.0606062457679172,0,-0.086548811214521,0,0.0690994623917048,-0.0752620886006985,0,0.121048284017442,0,0.328025934071838,0,0,0,0,0,0,0,-0.139262539461651,0,0,0,0,0.308065271862132,0,0,0,-0.0323826484785875,0.0478974651824728,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.292259411202752,0,0,0,0,0,0,0,0,0,0,0,0.662243545667827,0,-0.0415321509175082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154009182339513,0,0,0.00121954742614038,0,0,0.0834354474870275,0,0,0,0,0,0.0715395868314987,0,-0.000271324233493536,-0.0481387655369542,0,0,0,0,0,0
X000709.SZ,0,-0.10619401148981,0,0,0,-4.33680868994202e-19,0,0,0.0939966449349131,0,0,0,0,0,0,0,0,0,0,-0.00676136983793808,0.0291262883526886,0.113754485946888,0,0,-0.00169799126298139,0,0,0,0.0219192364721391,0,0,0,0,0,0,0.0352857780482293,0.111916154931169,0,0,0.216613791981079,0,0,0,0,0,0,0,0,0,-0.00802459145866045,0.0142108637128933,0,0,0,0,0,0
X000553.SZ,0,0,-0.179098064659313,0,0,0.17226746957595,0,0,0,0,0,-0.0118893601947358,0,0,0,0,0,-0.114085183544744,0,0,0,0,0.0747293321259973,0,0.0906818000319266,0,0,0,0.253801191088927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114948664753072,0,0.206985147628068,0,0.170313764440914,0,0.00789795073455461,-0.0167784044920379,0,0,0,0,0,0
X000792.SZ,0,0,-0.396148575052309,0,-0.026112776870767,0,0,0,0,0,0,0,0,0,0,0,-0.190878909257603,0,0,0.00339728579923104,0.887896987787507,0,0,0,0,0.04839171037942,0,0,0,0,0,-0.307441893515646,0,0,0,0,0,0,0,0,0,0,0.513177585883569,0,0,0.0457192410427713,0,0,0,0.000512556373183381,-0.0260321113182961,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0.0553716455069888,0,0,0,0,-0.062929854780478,0,0,0.00214801292317826,0.0518576689929597,0.00826948207813455,0,0,0,0,0,-0.0289075494675345,0.0165401415817745,0,0,0,0,0,0,0,0,0,0.0016172196447234,0,0,0,0,0,0,0,0,0,0,-0.0117891553551091,0.0180591522347532,0,0,0,0,0,0
X600352.SH,0,0,-0.0580861444756668,0,0.0137090893738288,0,0,0,0.19927827701515,0,0,0,0,0,0,0,-0.172112660398704,0.0980911062906659,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434431547635376,0,-1.38777878078145e-17,0,-0.161603357886584,0,0,-0.00895452456477995,0.282192116817764,0,0.0606076400692733,0,0,0,0.0944597289996882,0,0.0444427501710362,-0.0756510685025526,0,0,0,0,0,0
X600027.SH,0,0,0,0,-0.034639198982052,0.131705215068334,0,0.0367433508757894,0.01354515642806,0,0,0,0,0,0,0,0,0,0,-0.00453820521748261,0,0,0,0,0,0.0723900010869054,0,0,-0.0675803954698579,0,0,0,0,0,0,0,0,0,0,0,0.117853437299884,0.0309187761308775,0,0,0,0,0,0,0,0.00804201190773604,-0.00117512825429182,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,-0.0593785072549487,0,0,0,0,0.0739095183501924,0,0,0,0.150196085274113,0,0.0818851053576219,0,0,0.107137799411589,0,0.0796041061548487,0,0,0,-0.134888904345953,0,0,0,0,0,0,0.0440350020444519,0,0,0.0731606616032679,0,0,0.259306703323011,0,0,0,0,0,0,0,-0.0553120541087043,0.0234803918876103,0.0882460753217527,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0.330781664806402,0,0,0,0.0918354325774595,0,0,0,0,0,0,0.0478690166546878,0,0,-0.0436316178096572,0,0,0,0,0,0,0,-0.112262774485006,0,0,0,0,-0.0500997411289713,0,0,0.128714386610936,0,0.360793425750567,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0105993069385442,0.0139964595833602,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0230881934826051,0,0,0,0.148186880206757,0,0,0,0.280990705143622,0,0,0,0,0,0.0402613554810025,0,0,0,0,0.0481167300268327,0.0296684448187455,0,0,0,0,0,0,0,0,0,0.0488642428602145,0,0,0,0,0,0,0,0,0.00407609759642011,0,-0.00318337463185325,-0.0103870042443108,0,0,0,0,0,0
X000408.SZ,0,0,0.152853241344688,0,0,0,0.138098645162352,0,0.104093625160228,0,0,0,0,0,0,0,0,0,0,0.00575146079240303,0,0,0.00396928715317261,0,0,0.00549568169941128,0,0,0.331756572365108,0,0,0,0.0228279704193568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247750221001726,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
