,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X000301.SZ,X000877.SZ,X600011.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000983.SZ,X000408.SZ,X600803.SH,X000723.SZ,X000786.SZ,X600141.SH,X300073.SZ,X601699.SH,X600486.SH,X601991.SH,X600219.SH,X002080.SZ,X002192.SZ,X002353.SZ,X000807.SZ,X002497.SZ,X600157.SH,X600801.SH,X600295.SH,X600027.SH,X600489.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0.0610149793779686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.153745607448443,0,0,0.130736425621156,0,0,0,0,0,0,0,0.0392707698151241,0,0,0,0,0,0,0,0,0.110396289168896,0.0237906207949684,0.211753389530487,0,0,0,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0545976245230193,0.0751916870376216,0,0.0389245450554667,0,0,0,0,0,0,0.0418156464207471,0,0,0,0.039339175728501,0,0,0,0,0,0,0,0,0,0,0,0.149006193162634,-0.038760864688325,0,0,0,0,0.221017573181317,0,0.0161034362904405,0,0,0,0,0.00705331869640008,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.00384735089725685,0,0,0,-0.348227024710149,0,0,0,0,0,0,0,0,0,0,0,0,0.264081756138487,0,0,0,0,0.0660078246508728,0,0,0,0,0,0.0660135172517952,0.115030867845514,0,0.0301599199976198,0.27704972969144,0,0,0.00485705569553757,0,0,0,0,0,0,0.0137512406695494,0.0598945240575252,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0.0518384181524285,0,0,0,0,0,0,0,0,0.151767088911674,0,0,0,0,0,0,0.00915571941623241,0,0,0,0,0,0,0.00496658024981021,0,0,0,0,0,0.00469995698215676,0.18481093868477,0,0,0,0.0473927278948921,0,0.031856550009876,0.249744723729547,0,0,0.0139157399490556,-0.0556985214014257,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0.0645037622378714,0,0,0,0.18879325468819,0.21307828397025,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0957285840512929,0.717608183667605,0,-0.134949892115111,0.0950438387440996,0,0,0,0.0880117432290556,0,-0.0117124331669861,0,0,0,0,0,0,0,0,0,0,0.0986340929453165,0,0,0,0.0233094164450762,0,0
X000983.SZ,0,0,0,0,0.0875342859373433,0,0,0,0,0,0,0.568177743747962,-0.0690650032976488,0,0,0,-0.0350896785271371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710706033583575,-0.0812872411797824,0.448039798904702,0,0,0,0,-0.0356842464062806,0,-0.0157188245924157,0,0,-0.0220557273585854,0,0,0,0,0,0,0.00732279139287934,0.0420189544802913,0,0,0,1.0842021724855e-19,0,0
X000408.SZ,0,0,0,0,0,0,0,0.0384756279747316,0.0581985692907291,0,0,0,0,0,0.0604090315859277,0,-0.0497644428700645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180712892282368,0,0.194119217559587,0.161908446200029,0,0.0542448565689621,0,0,0,0.116492214063404,0,0,0.114432531267725,0,0,0,-0.127189410668813,0,0,0,0,0,0,0,0,0,0,0,0
X600803.SH,0.0842353918635491,0,0,0,0,0,0,0,0,0,0,0.0460707144635542,0,0.0670585602174776,0,0,0,0.183162144652066,0,0.0340465995859841,0.0469239789402015,0,0,0,0,0,0,0.0449995268723439,0,0,0,0.163304574349566,0,0,0,0.0723906714312096,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0450305728269591,-0.0604762602486941,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0.00747910935657272,0,0,0,0,0.0991892029359102,0.172249659823773,0.066018585427344,0,0,0,0.0996458559791783,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.046817918308494,0,0,0,0,0.0400201129816021,0,0,0.114045618098609,0.0973730886106148,0.159356982946629,0,0.149870462193933,0,0,0,0,0,0,-0.0348117716883711,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0.059753499041615,0,0.0242068090551161,0.236560969215615,0,0,0,0,0,0,0,0,0,-0.186672283093626,0.0431804491408853,0,0,0,1.38777878078145e-17,-0.112923817859839,0,0,0,0,0,0,0,0,0,0,0,0.0503667227049136,0,0,0.28052471801314,0,0,0,0,0.171945765298107,0,0,-0.00923304429831096,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,-0.119270919970514,-0.0517254272920563,0,0,0,0,0,0,-0.0689195301876411,0.2323707036306,0,-0.0877871949129938,0,0,0,0,0,0,0,0,0,0.488285723127453,0.0703098183984913,0.0732952929999912,0,0,0,0,0,0,0.00750439541743182,0,0,0,0.0438700297608716,0,-0.108611137093701,0,0,0,0,0,0,0.0831479845362135,0,0.0717051946784785,0.0331446011272949,0,0,0,0,0.0522345711184329,0,0
X300073.SZ,0,0,0,0,0.387283011687154,0,0.00830497780276198,0,0,0.0595664882014627,0,0,0,0,0.0252955922594654,0,0.0976280841046483,0,-0.0815430020922054,0,0,0,0,0,0,0,0.0289164841982641,-0.0369677413335243,0,0,0,0,0,0,0,0,0,0,0.0346460317214112,0.107367087842132,0,0.100512445291102,0,0,0,0,0,0,0,0,0,0.00437203741961394,0.113732065124896,0,0,0,0,0,0
