,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X600176.SH,X601992.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X000786.SZ,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X002271.SZ,X600157.SH,X002470.SZ,X600021.SH,X600612.SH,X600339.SH,X000408.SZ,X601699.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0,0.0290437939952364,0,0.0825496290410804,0,0.0356120112164533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290158489938524,0,0,0,0,0.0556156903381245,0,0,0,0.348438154029205,-0.0392274763328932,0,0,0.0399066991024319,0,0,0,0,0,0.0090656783817002,-0.0465869083028095,0,0,0,-0.00962501464960993,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365178486058442,0,0,0,0,0.0403282316096124,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0237083625548951,0,0,0,0,0,0,0,0,0,2.33025129122499e-07,0,0,0,0.0680243031320587,0,0,0.103963210398398,0,0,0,0,0,0,-0.000108419306748879,0,0
X600886.SH,0,0,0,0.0502149380151753,0,0,0.0677162502307837,0,0,0,0,0,0,0,0,0.066998387711946,0,0,0.0315994492497118,0.191500702511545,0,0.0782132923004836,0,0.0772936187418058,0,0,0.151556784132442,0,0,0,0,0,0,0,0,0,0,-0.206765743516253,0,0,0,-0.0588969638161461,0.0444824027686038,0,0.0440869271198396,0.0829350379293121,0,0,0,0,0,0.0171488043041326,-0.0373650187842403,0,0,0,0,-0.00744518657387276,0
X600688.SH,0,0,0,0,0.202199887101021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309296003582226,0,0,-0.0230123248546357,0.145824762103133,0.0887684592624711,0,0.0166666073185713,0,0,-0.00970290939692082,0,0,0.0242221082990802,0.275466243794866,0.00659520809343897,0,0.0236747255927917,0,0
X601600.SH,0,0,0,0,0,0.0213049164007362,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116768939335332,0,0,0,0,0.0678835532385278,0.169324118435252,0,0,0.110502556782334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913352162897714,0,0,0.159982242134157,0,0.108668296929126,0,0,-0.00512565401492184,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0574695174249606,0,0.0263501721501684,0.457360848889115,0,0,0,0,0,0.269822868731885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350290072053106,0,0,0,0,0,0,0,0,0,0,0.0141845594370892,0,0,0,0.0744601586898817,0,0,-0.0309465572651445,0,0,0,-0.142975255928484,0,-0.0192161281615853,0.0319605535900197,0,0,0,-0.0612784165013912,0,0
X600362.SH,0,0,0,0,0,0.0120685501338747,0,0.0140502676386693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566177254462114,0,0.357533259210834,0,0,0,0.036285491807232,0,0,0,0,0,0,0,0,0,0,0,0.0236948099655413,0,0.0427659298065465,0,0,0,0.0334592974724569,0,0,0,0,0.00570862601658778,0.00110314052095047,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0424622460559341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949623604055459,0.0369199066987717,0,0.0836927499683413,0,0,0,0,0,0,0,0,0.0220861374809895,0,0,0,0,0,0,0,0.167532978065965,0,0.0129317805988055,0.0297527375009541,0,0,0,0.0267695190566753,0,0,0,-0.00247859913439567,-0.0153827705249145,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.556857092496299,0.210295250758385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200028459380922,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.103782820782329,0,0,0.10760029667949,0.226880905999767,0,-0.426798078527913,0,0,0,-0.0221631621875531,-0.0028256731245234,0,0,0,-0.0857057677926821,0,0
X000898.SZ,0,0,0,0,0.25121097703821,0,0.101224532878285,0,0,0,0,0,0.0186658988019723,0,0,0,0,0,0,0,0.188985644758247,0.119464659242355,0,0,0,0,0,0,0,0,0,0,0.0091835981694235,0,0,0,0,0,0,0,0,0,-0.00434851025797532,0,0,0,0,0,0,0,0,-0.021805089112237,0,0,0,0,0.043696139998955,0,0
X600176.SH,0,0,0.0456162054050149,0.0479838842225894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268177374691217,0,0,0,0,0.08492036721067,0.136708806563311,0,0,0,0,0.0774278310628967,0,0,0,0.233972278788503,0,0,0,0,0,0,0,0.0415261634267213,0,0,0,0,0,0,0,0.0243846418418328,0,0,0.0124688073304189,0.00585604558601933,0,0,0,0.0349509694418225,0,0
X601992.SH,0,0,0,0,0.171927976056465,0,0,0.0499839111958932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129738229049656,0,0,0,0,0,0.0974525795796987,0,0.0568572865631069,0,0,0,0,0,0.0638607988545387,0.257033617189624,-0.0879127797916805,0,0,0,0,0,0,0.072039654906942,0,0.0465161204741531,-0.0173479959085676,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0.144591860638982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159951872098439,0.0587402235128894,0,0,0.123094822217794,0,0,0.28105827492339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722431747103574,0,0.2218954583277,0.0320513793936233,0,-0.00613416039565751,0.022623299880535,0,0,0,0,0,0
