,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600886.SH,X601992.SH,X600309.SH,X600623.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000723.SZ,X000983.SZ,X000408.SZ,X000898.SZ,X600352.SH,X000883.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X002460.SZ,X601699.SH,X000012.SZ,X000060.SZ,X002407.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000983.SZ,0,0,0,0,0,0,0,0,0,0.103516848550546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11517566756824,0,0,0,0,0,0,0,0,0,0,0.180112671841484,0,0,0,0,0.598893985676084,0,0,0.00339639051387543,0,0,0.00852278364197345,0.0684492063037789,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552019322754786,0,0,-0.189171120274555,0,0,0,0,0.513772815254332,0.0336949451492041,0,0,0,-0.0604090847005649,0,0,0,0,0,0,0,-0.0353539046658468,0.106792046655658,0,0,0,0,0,0,0,0.234995253345221,0.134048813660128,0.0388506862899235,0,0,0.0566792762467188,0.0481462759603328,0.263471392022649,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.178749018323602,0,0.172601925224585,0,0,0,0,0,0,0,0.0440349273380148,0,0,0,0,0,0,0.0244649293407964,0,0,0,0,0,0,0,0.0181559591810573,0,0.0963244370592085,0,0,-0.0344065271661733,0,0,0,0,0,0,0.0599890875504032,0,0,0,0.0247359449221311,0,0,0.0123730280277991,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0.114557308241955,-0.0418426622229609,0,0,0,0,0,0,0,0,0,0,0.0354480757778962,0.0644623262684051,0,0.0128946342677599,0,0,-2.16840434497101e-19,0,0.0123385613303267,0,0,0,0,0,0,0,0,0.101282360623812,0,0.220309933554056,0,0.00903240790204784,0,0.0152411988146101,3.46944695195361e-18,0,0.0936371606443376,0,0.028827775965134,0,0,0.0385390181393547,0,0,0,0,0,0
X000883.SZ,0,0,0,0.0353287923123692,0,0,0,0.0102445575308778,0,0,0.0453946866305385,0,0,0,0,0,0,-0.036790023506654,0,0.0265997192753749,0,0,0.0388130190287174,0,0.0361511428803756,0,-0.00810032424578266,0,0.202541980803759,0.0229395210301918,0,0,0.141505569024359,0,0,0,0.117003643955852,0,0,0,0.0278803902401185,0,0,0,0,0,0,0,-0.0107994173234212,0,0,-0.0124167439178238,0,0,0,0,0,0,0
X600549.SH,0,0,0,0.0529206389634562,0,0,0,0,0,-0.11677215043509,0,0,0,0,0,0,0,0.688999270739764,0,0.310426726356151,0,0.177659188324175,0,0,0,0,0,0.157414016340832,0,0.0187806984475483,-0.0613934803672929,-0.0159892063211174,0,0,0,0,0.136427212294335,0.167133331540786,0,0,0,0,0,0,0,-0.148717257959778,0,0.265342701620255,0.263061346843132,0,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0.200306338240348,0,0,0,0.0148528346954008,0,0,-0.00320989651262111,0,0,0,0,0,0,0,0,0.0141102896758812,0.0385564122760396,0,0,0,0.0298497031516089,0,0,0.0197412511833156,0.0556082920550892,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0323450651032801,0,0.0387022113185652,0.124947512144218,0.0554392201538097,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0.00620378250191514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227466219831615,0,0,0.0573634009574967,0.120370249533536,0,0,0,0,0,0,0,0,0,0.0740665960756628,0,0,0,0.119882145240175,0,0,0,0,0,0,0.0144796998770034,0,-0.0179850768611134,0.175544910528955,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0614743344380458,0,-0.0319481034234856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102708771843906,0,0,0.0887776165592153,0,0,0,0,0,0.103547944241134,0,0,0,0,0.045034733316915,0,0,0,0.113574758022543,0,0.00639098155512301,0,0,0,0,0,0,-0.00939830551044714,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0.205949123560872,0,0,0,0,0,0,0,0,-0.0328319508241382,0,0,0,0,0,0,0,0,0,0.116377014456208,0,0,0,0,0,0,0,0.0988958829499413,0,-0.000119549977979806,0,0,0,0,0,0,0,0,0.133564895404646,0,0,0.18455356390619,0,0.0251638743371549,0.00363217245867268,0,0,0,0,0,0
