,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X600176.SH,X601600.SH,X600011.SH,X601898.SH,X600886.SH,X600188.SH,X000301.SZ,X600426.SH,X002466.SZ,X600352.SH,X000932.SZ,X600801.SH,X600219.SH,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X002353.SZ,X000807.SZ,X000898.SZ,X600516.SH,X600027.SH,X601168.SH,X600295.SH,X000630.SZ,X601992.SH,X000723.SZ,X600157.SH,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0.0236277253008928,0,0.12119395176232,0.0234702239682718,0,0,0,0,0,0,0,0,0.0587742339528848,0,0,0,0,0,0,0,0,0.269107111851526,0,0,0,0,0,0,0,0,0,0,0,0.0848349198686642,0,0,0,0.0547089579318042,0,0,-0.00129824774564443,0,0,0,0,-0.0822720739157077,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0180310238748844,0,0,0,0,0,0,0.176396523428644,0,0,0.328787574761036,0,0,0,0,0,0,0,0,0.163982443587462,0.221951891413321,0,0,0,0,0,0,0.0949496303528637,0,0,0,0,0,0,0.204177008938166,0,0.401975619701012,0,0,0,0,0.0323832983848018,0,0,0.00796089715446549,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0239740460931711,0,0,-0.130979748858437,0,0,0,0,0.188629042890711,0,0,0,0,0,0,0.0370715998153327,0,0.1686368242584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115368871891674,0,0.131876831984907,0.0965785558790501,0,0,0,0,0,0,0,-0.0336531559389764,0,0,0,0,0.0073828708161607,0,0
X600111.SH,0,0,0,0,0,0.251577504977504,0,0,0.0292440570094252,0,0,0,0.325462197592066,0,0,0,0,0,0,0,0,0.206912861206266,0,0.110007068354566,0,0,0,0,0,0,0,0,0,0.103067953104779,0,0,0,0,0,0,0.166620534162811,0,0,0.276472370677558,0,0,0,0,-0.0685752681543772,0,0,-0.037356845089046,0,0,0,0,-0.0206503152279291,0,0
X000786.SZ,0,0,0,0,0,0,-0.0294575313837585,0,0.0914682761601724,0,0,8.67361737988404e-19,0,0,0,0.00985615159866388,0,0,0,0,0,0.146576144044217,0,0,0,0,0,0,0,0.0442183472444273,0,0.0327069756861063,0,0,0,0,0,0.207808532095074,0,0,-0.0074897969879107,0,0,0,0,0,0,0,0,0,0,0.0400832948771268,-0.0786537002573438,0,0,0,0,0,0
X600176.SH,0,0,0,0.331366796128969,0,0,0,0.179153648922803,0.0105756921463045,0,0,0.0843837622254485,0,0,0.204098775633603,0,0,0,0,0,0,-0.163273624684371,0.111389987420981,0,0,0.0322377640986169,0,0,0,0,0,0,0,0,0,0,0,0.181223655591961,0,0,0,0,-0.175249016686151,0,0,0,0,0,-0.0976520372937615,0,0,0,0.0346136256414563,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,-0.0280475251139854,0,0.0194448785315915,0,0.0464060934145746,0,0,0,0,0.109986985606955,0,0.0331425691767695,0,0,0.0245938167891476,0,0.0705195073961682,0,0.0642079100829162,0,0,0,0,0,0,0,0,0,0,0.263254372234596,0,0,0,0.0822908235224531,0,0.221924392987589,0,0.011575434825362,0,0,0,0,-0.0186851978776945,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0161579074603913,0,0,0,0,0,0,0.00888949690805204,0,0,0,0,0,0,0.0878918251772169,0,0,0,0,0.109495832465421,0,0,0,0,0.0968958818577448,0,0,0.0068236923120529,0,-0.0450888682036377,0,0,0.00394377782495594,0,0.0943684527406911,0,0,0.021223141668117,0,0,0,0,0,0,0,0.00833787311277438,0,0,0,0,0,0,0
X601898.SH,0,0,0.533006576357251,0,0,0,0,0,0,0,0,0.0996797411505611,0,0,0,0,0,0,0,0,0.139852765556423,0,0,0.0200721057579426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878274661925541,0,0.0288909908199251,0,0,0,0,-0.00400056873096056,-0.017403492824679,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,-0.00369454637690782,0.0532493990591557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889502202783801,0,0,0,0,0.0872794631285936,0,0,0,0,0,0,0,0,0,0,0,0,0.0337239997866629,0,0,0,0,0,0,0
X600188.SH,0,0,0.211455293197875,0,0,0,0.0709848978737905,0,0,0.186435563733225,0,0,0,0.0553227145982623,0,0,0.342642997455885,0,0,0,0,0,0,-0.0464428453212136,0,0.159234249025298,0,0,0,0,0,0,0,-0.0258493514052276,0,-0.170043080669421,0,0,0,0,0,0,0,0,0,0,0,0.039273127143823,0,0,0,-0.0571708469118749,0.0731098115946317,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0.104899212131516,0,0,0,0,0,0.121038156171328,0.384467253164505,0,0,0,0,0,0,0,0,-0.150375198303702,0,0,0,0,0,0.62195683727528,0,-0.0400586751965187,0,-0.00931332181969446,0,0,0,0.13549561330829,0,0,0,0,0.10244998915524,-0.022635378357005,0,0,0,0,0,-0.146562919786451,0,-0.0643557177642919,0.0397862576173889,0,0,0,-0.211570892440642,0,0
X600426.SH,0,0,0,0,0,0,0.0346062563531198,0,0,0,0,0.275208954697127,0,0,0,0.0250662949762945,0,0,0,0,0,0.199294395829626,0,0.0950014604623014,0,0,0,0,0,0,0,0,0,-0.0350119825132314,0,0.0588271141161221,0,0.136720878892012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241893238485672,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.237329113141553,0,0.410681924668103,0,0,0,0,0,0.220012984821584,0,0,0,0,0,0,0,0,0.213731706223383,0,0,0,0,0.0797881561666393,0,0,0,0.0584481362287574,0,0,0,0,0,0,0,0,0.238786954266069,0,0,0,0,0,0.0179302487072176,0,0,0,0.102599505405368,0.0590288241373173,-8.67361737988404e-19,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.0394413163417806,0,0.0362618134076775,0,0.0321231053107242,0.0241778586395826,0,0,0,0,0,0,0,0,0.0373664689771982,0,0,0,0,0,0,0,0,0,0,0,-0.138473688942924,0.24747459492957,0,0,0.0639538716888912,0,0,0,0,0.236797450133394,0.0242948753967466,0,0,0,0,-0.0576180949834627,0.0335902428722727,0,-0.0202158819726473,0.0141651780277023,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0.683423411705481,0,0.077345624243046,-0.0237284316742848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13122901856488,0,0,-0.0430607653331531,0.132790252314591,0,0,0,0,0,0,0,0.0349646488431719,0,0.139509189600634,0,0.0228224617143295,0,0,0,-0.0586497430693342,0,0,-0.0663031372455465,0,-0.00189201451307419,0,0,0,0,0,0,0
X600801.SH,0,0,0,0,0.272888097453454,0,0,0,-0.0183953599227209,0,0,0,0.0514532406894918,0,0,0,0,0,0,0,0,0,0,-0.0169798359324834,0,0.145423305904805,0,-0.120278595020051,0,0,0,0,0,0,0,0,0,-0.0996552365018879,0,0,0,0,0.0597248416456353,0,0,0,0,0.0572537972025533,0,0,0,0,0.00775290271695597,0,0,0,-0.00977227246124344,0,0
X600219.SH,0,0,0,0.0787295595383568,0,0,0,0,0,0.0440393530411102,0,0.149515280450981,0,0,0,0,0.147453383406087,0,0,0,0,0.0405663540792676,0,0.112252206087457,0,0,0,0,0,0,0,0,0,0,0,0.189655022372493,0,0,0.233650488297775,0,0,0,0.0712332137470728,-0.0607650690528067,0,0,0,0,0.119346198422759,-0.0957835151723648,0,0,-0.0472681497694399,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,-0.029478454813807,0,0,0,0,0,0.0727683643451237,0,0,0,0,0,0,0,0,0,0.0135148326985671,0,-0.00836081069965637,0,0,0,0,0,0,0,0,0,0.229315334252652,0,0.00240515895729315,0,0,0,0,0.14109237249284,0,0,0,0,0,-0.12204096343158,0,0,0.00974620429685205,0,-0.0055633944142391,0,0,0,0,-0.0599531419232545,0,0
