,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X600426.SH,X601991.SH,X600160.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600176.SH,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X002271.SZ,X002409.SZ,X000932.SZ,X600299.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600585.SH,0,0.0305841206972425,0,0,0,0,0,0,0,0,0,0,0,0,0.168279848063192,0.05032199800143,0,0,0,0,0,0,0,0,0,-0.072389632571128,0,0,0,0,0,0.034656470961416,0,0,0,0.234748171173816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387859639498732,0,0
X600660.SH,0,0,0,0,0,0,-0.0301508107359065,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0432410538331676,0,0,0.179015212295668,0,0.0747987179606075,0,0,0,0,0.133136378970674,0,0,-4.33680868994202e-19,0,0.0245078735543283,0,0,-0.110694385589638,-0.191793325605153,0.0822581351986611,0,0.00922505392917584,0,0,-0.0442324592692329,0,-0.00202046801015427,0,0,0,0.0142007923677183,-0.012353074990001,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14451922706465,0,0,0,0,0,0,0,0,0.119722038368169,0,0,0,0,0,0.030243407079795,0.220656115373174,0.148998763308382,0,0,0.252399218777305,0.115071848845221,0,0,0,0,0.0866148435157919,0.187352762526781,0,0,0.0768308205593349,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.02151570605234,0,0.148220581021501,0.216273589427282,0,0,0,0,0,0,0,0,0,0,0.0916367902531637,0,-0.0994602314893197,0,0,0.0663513152212157,0,0,0,0,-0.0524579996681284,0,0,0,0,0,0,0,0,0,-0.0241056476236426,0,0.239100654009162,0,0,-0.0210401887300462,0.0625562855343272,0,0,0,-0.0524552626580539,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.143191283432,0,0,0,0.00225100822320564,0,0,0,0,0.103646672686017,0,0,0,0,0,0,0.238633785857661,0,0,0.0027745393944642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554765177666819,-0.039927327446713,-0.0156651069177745,0,0,0,0,0.0273618296223536,0,0
X600489.SH,0.0314996734966171,0,0,0,0,0,0,0.494059884532098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154417717014582,-0.016797039932172,0,0,0.0602852021949507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121682892189383,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0
X600362.SH,0,0,0,0,0,0,0,0.111677355164435,0,0,0,0,0.0269675514321018,0,0,0,0,0,0,0.0467682643798221,0.0304029572932332,0,0,0,0,0,0,0,0,0,0,0,0,0.0236487599233618,0.435441529582575,0,0,0.270252313323665,0,0,0,0.0103211705687562,0,0,0,-0.0180295520197016,0,0,0,0,0,0,0,0,0,0,0.00329050004624807,0,0
X600010.SH,0,-0.130791591998256,0,0,0,0,0,0,0,0,0,0,0.0973691142626827,0,0,0.0223179647193775,0,0,0.248020477940736,0.0652581372224473,-0.17134791426527,-0.062213618110888,0,0,0,0,0,0,0,0,0,0,0,0,0.0610201982375063,0,0,0,0,0.106468268840752,-0.0941682939490923,0,0.0542758065595992,0,0,0,-0.0160489824882585,0,0,0.0499256658435459,0.0566884430824488,-0.00173208027591529,0,0,0,0,0.00321397634223329,0,0
X600111.SH,0,0,0,-0.00764802954807706,0,0,0,0.154214526137678,0,0,0,0,0,0,0.0821636760962863,0,0.0905299812851673,0.308063062113345,0,0.018848757318995,0,0,0.254065745758664,0,0,0,0,0,0,0,0,0,0,0,0,0.15562949316336,0,0,0,0,0,0.00684402129982084,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,-0.0229256651407066,0,0,-0.038473778659183,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0749823444044599,0,0,0,0,0.112424278885407,0,0,0,0,0,0.071244945789011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767997230649575,0,0,0,0,0.0986098910817623,0.213813747832576,0.0469881470246101,0,0,0,0,-0.203886222166186,0,0,0,0,0,-0.116532753755462,0,0,0,0.00530680142018826,0,0
