,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X000825.SZ,X000539.SZ,X600489.SH,X600315.SH,X600808.SH,X000831.SZ,X600352.SH,X600660.SH,X000027.SZ,X601699.SH,X600578.SH,X600307.SH,X600490.SH,X600549.SH,X000630.SZ,X000983.SZ,X000937.SZ,X600863.SH,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,0.0286907571492698,0,0,0,0,0,0,0.11664655931817,0,0,-0.0317228991083178,0,0,0,0,-0.0576325310843705,0,0,-0.064669666952281,0,0,0,0.0837488707976732,0,0,0,0,0,0.12736481686184,0.126669215785939,-0.0774436968955659,0,0.296724403897415,0,0,0,0,0,0.130289063701097,0.0870321899817247,0,0,-0.00589135596185162,0.00895100907269051,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.0953211997211432,0,0,0,0,0,0.106568482085806,0.0119360863621726,0,0,0.0622058595039301,0,0,0,0,0,0.00333590096744466,0.0878831135840138,0,0,0,0,0,0,0,0,0,0.0344598374310872,0.320612993058019,0,0.011050548980799,0,0,0.026354353533682,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.0224260758666044,0,0,0,0,0,0
X000937.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164843221840427,0.037367861257009,0,0,0,0,0,0.123585861713479,0,0.0209838381369492,0,0,0,0,0,0,0,-0.00156946011340294,0,0,0,0,0,0.302517564519055,0,0,0.0223931602378427,0,0.0280916706736317,0,0,0.0900147717934804,0,-2.16840434497101e-19,0,0.110516958332478,0,-0.0047049433034086,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0.0367145923248984,0,0,0,0,0,0,0,0,0,0,-0.089627831419868,0,0,0,0.0585245022256926,0,0,0,0.104777511736842,0,0,0,0,0,0,0,0.0446271304103283,0,0,0.179020451387667,0,0,0,0,0,0.0956609622247027,0,0.11916812420893,0,-0.0164279600942318,0.140629316926067,0,-0.0194046257472013,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0.286214377615675,0,0,0,-0.0466949811206246,0,0,0,0,0,0,0.031428208552238,-0.0415270201763773,0,0,0,0,0,0.0774976955416155,0,0,0,0,0,0.0419485768378377,0,0,0,0,0.0808254379702914,0,0,0,0,0,0,0,0,0,0,0,0.00142425798626427,0.0518470555411596,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0.140933437032974,0,0,0,0,-0.151307843061559,0,0.0555653676007432,0,0,0,0,0,0,0,0,0,0.452955449608533,0,0,0,0,0,0,0,0,-0.0849801989439124,0,0,0,0.0754987319638758,0,0,0,0,0,0.0296413472240646,0,0,0,0.186762348364321,0,0.00244377198078654,0,0,0,0,0,0,0
X000960.SZ,0,0,0,0,0,0,0,0,0.163930008850936,0,0,0,0,0.130157686291378,0.0495608263164103,0,0,0,0,0,0,0.220314446643158,0,0,0,0,0.109183666990266,0,0,0,0,0,0,0,0.16904490311061,-6.93889390390723e-18,0,0,0,-0.123695004020284,0,0.154261815094639,0.189752671759824,0,0,0,0.0520882905228896,0,0,0,-0.0298178693252162,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0.0645709269907255,0,0,0,0.199465123714487,0,0,0,0,0,0,0,0,0,0,-0.169847613622789,0.0991641226172577,0,0,0,0,0.0180828836253136,0,0,0,0,0.0487950837438249,0,0.061260049948577,0.318902668155581,0,0,0,0.0601270087672772,0,0.0252500243971007,0.208587777093523,0,0,-0.00864130248852605,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0466125392121807,0,0,0,0,0,0,-0.0646696130475024,0,0.0217123026207225,0,0,0,0,0.0478903342473704,0,0.0985783286391685,0,0,-0.173906059704123,-0.039507980260494,0,0,0,0,0.0101686219110913,0,0,0,0.0287249301684626,0,0,0,0,-0.0382430389291625,0,0,0,0,0,0,0.0637283653953959,0.0336137655871533,0,0.0526375184730679,0,0.0218205136118294,-0.0586654012079821,0,0,0,0,0,0
Slope,0,0,0,-0.928326912357585,0,0,0,0,0,0,0,0,0,0,0,0,0.229333479331972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158057966336536,0.311917675521282,0,0,0,0.950444293432532,0.49395804764226,0.253006843431724,0.759883465027691,0,0,0,-0.558141116214074,0,0,0,0,0,1.25885855390638,0,0,0,-3.30699229834668,0,0
TED,0,0,0,0,0,0,-0.424838575122218,0,0,0,0,0.156038421054147,0,0,0,0,0,0.127037152064371,0,-0.794272589274783,0,0.407032902589291,0,0,-0.166648618082122,0,0,-0.28727757301677,0,0,0,0,0.57241120216383,0,0,0,0,0,0,0,0,0,0,0,-0.0932534006062097,0,0,0,0,0,0.539133593380906,0,0,0,0,0,0,0.990393351606856
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144800707569199,0,0,0,0,0.0231140296440632,-0.045264354871897,0,-0.0720816315585101,0,-0.0759860531582241,-0.024737830944646,0,0,0.155759436098953,0,0,0,0,0,0,-0.263687082723147,0.0619480190723965,0,0.092611969131168,0,0,-0.028730818730965,0,0,0,0,0,0,0.0195773125711989,0,0,0,0.00228288985925843,0,0.340223648949208,0,-0.14852040517346,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0.0539589116960502,-0.0251116044559446,-0.00364878475972461,0,0,0,0,0.0232268884014268,-0.0297600472525062,0,0,0,0,0,0,0.0595735354515322,0.0394957798659347,0,-0.190994639016339,0,0.153165944131819,0,0,0,0,0,0,0.0233716293207067,0,0,0,0,0,0,-0.12979603696543,2.16840434497101e-19,0,0,0,0,0.0249849658413614,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114076433023834,0,0,0,0,0,0,0,0.000515582788547623,0,-0.000359573921381369,0,0,0,0,0,0,0,0.00264876595296224,0.000629980097263659,-0.00137755562737013,0,0,0,0,0,0.000895760537603489,0,0,0,0,0,0,0,0.000578498874602826,0,0,-0.00134105325738817,0,0,0,0,0.00331644282045179,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-0.0301043659279517,0,0.0294634540904627,0,0,0,-0.00938372844466597,0,0,0,0,0,0,0,-0.022603178577069,0,0,0,0,0,0,0,0.174943150430709,0,0,0,0.0130494310264229,0,0,0,0,0,0,0,0,0,0,0,-0.0428334836516916,0,0,-0.0903522497338333,-0.0144285348857772,0,0,0,0,0,-0.392842806908659
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,-0.0287160388097358,0,0,0,0.00574241657497101,0,-0.000965270619462096,0,0,0,0,0,0,0,0,0,0,0,0.00596828753432713,0,0,0,0,0,0,0,0.00233372421854593,0,0,0,0,0,0,0,-0.0105317662047819,-0.00166292419556429,0.00383489718015655,-0.00135066574816182,0,0,0,-0.00360131685768633,-0.0027607295542344,0,0,0,0.0164050366580163,0,0
CarbonVol_Hubei,0,0,0,0,0.0121202435111985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00130530552777258,0,0,0,0,0,0,0,0,0,0,0.000843221503900596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159907319221223,-0.00505980979506729,0,0,0,-0.0228488570067581,0,0
