,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X600489.SH,X002466.SZ,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X002128.SZ,X000877.SZ,X600176.SH,X601699.SH,X000408.SZ,X000630.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X000831.SZ,X600378.SH,X600995.SH,X002271.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0.108225467267709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069996170454927,0,0,0,0,0.125082526987048,0,0,0,0,0,0,0,0.217823688986676,0,0,0.044278522156245,0,0,0,0,0,0,0.0957328592108982,0.0479878761505605,0,0,0,0,1.73472347597681e-18,0,0.253524035887249,0,0,0,-0.0935819733857544,0,0,0,0,0
X601168.SH,0.151499291780033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764806879065702,0,0.135378019257818,0,0.0875590348136678,0,0,0,0,0,0,0,0,0,0,0,0,0.0707392064299022,0,0.101981420635064,0,0,0,0.144562583320877,0,0,0.052418824930817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.443469293602201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00396152935422073,0,0.141622500842337,0,0,0,0,0,0,0,0,0.224465788409018,0.0882922971472207,0,0,0,0,0,0,0,0,0.00822501590319107,0,0,0,-0.0866953938679921,0,0,0,0,0,-0.0595469117105711,0,0.0501091408148166,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0.0615173390996921,0.225929289285725,0,0,0,0,0.186323176122253,0,0,0,0,0,0.0549617025480755,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0414108423069864,0,0,0,0.109706743003029,0,0,0.0337203773180987,0.0120348721470176,0,0,0,0,0.013655993524252,0,0,0,0.194016795925322,0,0,0,0,0,0,0,0,0,0,-0.0353953137084094,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0.0660221491971765,0,0,0,0,0,0,0,0,0,0.0915059849557994,0,0,0.0896987850883678,0,0,0,0,0,0.347640346093512,0,0,0,0,0,0.0376327504443246,0.012975830062662,0.0829844122668257,0,0,0.10754582815428,0,0,0,0,0.0358914158419264,0,0,0,0,0,0,-0.10919139741733,0,0,0,0,-0.0142556580166845,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329381363802905,0,0,0,0,0,0.0579411755315925,0.0377692436693249,0,0,0,0,0,0,0,0,0,0,0,0.158767163443026,0,0,0,0,0,0,0,0,0,0,0,0.084436015697122,0.353614155615927,0.00738807849175381,0,0,0,-0.0318329753569499,0,0,0,0,0.122716538196222,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286720298850164,0,0,0,0,0,1.73472347597681e-18,-0.156329914799531,0,0,0,0,0,0,0.192726580804055,-0.103469282142926,0,0.0695744615924624,-0.160192189939325,0.423628485231259,0,0,0,0,0,0.131776003508708,0,0,0,0.30157852329147,0,0,-0.032832808314009,0,0,0,0,0,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0213401402675925,0.628916244639031,0,0.0013538174108963,0,-0.0175517759161773,0,0.177941348528562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.150182704723584,0,0,0,0,0.0271198298283057,0,0
X600378.SH,0,0,0,0,0.111661306269621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777278489813,0.117837228160575,0.19780774071794,0,0.0416006304008152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221521571797077,0,0,0,0,0.149995835414857,0,0,0,-0.111201175600406,0,0,0,0,-0.0647176475179854,0,0
X600995.SH,0,0,0,0,0,1.38777878078145e-17,0,0,0.0389200351511633,0,0,0,0,0,0,0,0,0,0,0.0826738902704027,0,0.0723359676066901,0,0.0856723440015207,0,0,0.519927865529215,0,0,0,0,0,0,0,0,0,0.031645650268993,0,0,0,0.0537411320049155,0,0,-0.107597227352614,0,0,0,0,0,0.0590559324927733,0,0,0,0,0,0,-0.00947648916376377,0,0
X002271.SZ,0,-0.0356567549775775,0,0.159786108839387,0,0,0,-0.0231511337825046,0,0,0,0,0,0.393110565103036,0,0,0,0,0,0.153405692934918,0,0,0,0,0,0,0,0.1714541949554,0,0,0,0,-0.242303357354953,0.530768896396154,0,0,0,0,0,0,0,0,0,0,-0.00837168623350379,0,0,0,0,0,0,0,0.260456827279337,-0.0834989663355105,0,0,0,0,0
X600352.SH,0,0,0,0,0.0742935794610057,0,0.0667965663709062,0,0,0,0,0,0,0,0,0,0,0.0526603919660241,0,0.0620347684889744,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0101178283274495,0.0899425966035235,0,0,0.0661844263967276,0.0757687580232131,0.0081925379872753,0,0,0,0,0,0,0,0,0.0113681684120935,0,0
X600688.SH,0,0,0.0248802503545623,0,0,0,0.20945368030533,0,0,0,0,0,0,0,0.118072210226604,0,0,0,0,0,0,0.0229615070080847,0,0.10198115685367,0,0,0,0,0,0,0,0,0,0.0893054631446333,0,0,0,0.0538037505257274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219780512999263,-0.0299270075265238,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0799711644227304,0,0,0,0,0,0,0,0,0,0,0,0,-0.00620957654917976,0,0.0093110964326807,-0.0485351062000117,-0.0833037659575106,0,0,0,0,0,0,0,0,0,0,-0.00719223363648675,0,0,0,0,0,0,0,0,0.0711262025686179,0.045136995019753,0,0,-0.0265275882569964,0.0879733804326385,0,0,0,0,0.0677072311847847,0,0.00151056444204238,0,0,-0.00489985345810162,0,0
Slope,0,0,0,0,-0.392700909541338,0,0,0,0,0,0,0,0,0.13260111384897,0,0,0,0,0,0,-0.306558518414773,0,0,0,0,-0.247276834657529,0,0,0,0,0,0,0,0.0528440211164386,0,0,0,-0.199498663090279,-0.165990860005769,-0.161585364080131,0,0,0,0,0,0,0,0,0,0,0,0,0.127158342934626,-0.254515503250815,0,0,0.0781435534803461,0,0
TED,0,0,0.00411325189417521,0,0,0,0,0,0,0.0901748568308175,0.401392732242121,0,1.73472347597681e-18,0,0,-0.163864144891409,0,0,0,0.0767468918062506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236719815293926,0,0,0,0,0,-0.228305477902781,0,0,0,0,0,0,-0.18423152661534,-0.0501192270729709,0,0.205934463020458,0,0.351018089146516,0,0,0,0,-0.374491627570275,0,0
RealEstate_excess,0,0,0,0,0,0.21332197574199,0,0,0,-0.0414944533666825,0,0,0,0,0,0,0,0,0,0,-0.278100299340983,0,0,-0.0173927850330973,0,0,0,0,0,0,0,0,0,0.199255526177742,0,0,0,0,0,-0.177970865151996,0,0,-0.0869379681145033,0,0.166991234395988,-0.265693180497772,0,0.136622781785793,0,0,0,-0.213988718081452,0,0,0.124153250279118,0,-0.0512444739686328,0,0
MKreturn,0,-0.467716660574836,0,0,0,-0.0257265809123699,0,0,0,0,0,0,0,0,0,0.134293641381108,0,0,0,0.032211431780553,0,0,0.14911766951333,0,0,0,0,0,0,0,0,0,0,-0.230760748503556,0,0,0,0,0,0,0,-0.0333774187431461,0,0.0249075812824076,0,0,0,0,0,0,0,-0.0475167302522791,0.0481541397568188,0.35475473737564,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015950883019653,0,0,0,-0.0527432963157543,0,0
CarbonVol_Shenzhen,-0.310847325288891,0,0,0.148078049133593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278970414106362,0,0.0547094941674369,0.0696724414751148,0,0,-0.225363068782865,0,0,0,0,0,0,0,0.294829361189391,0,0,0,0,0,0,0,-0.337215900218853,0,0,0,0,0,0,0,0,0,0.0514056073668373,-1.59215449997325,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992693590630892,0,0,0,0.00521355604612575,0,0,0.0114630552481102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077629932824029,0.0190349161772308,-0.0102976016216861,0,0.0181327621145408,0,0,0,0,0,0,0.0555577089694266,0,0,0,-0.0483098591037315,0,0
CarbonVol_Hubei,0,0,0,0,0.0459626371326351,0,0,0,0,0,0,0,0,0,0.00984416279967386,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140945980431768,0,0,0,0,0,-0.000387119303456697,0,0,5.42101086242752e-20,0,0,0,0,0.00108863910653175,0,0.00502994742670229,0,-0.0287861156507344,0,0.00701251500772701,0,-0.0267252356110344,0,-0.00883250427237148,0.0611309031792427,0,0,0,-0.0217717546534879,0,0
