,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000630.SZ,X000408.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X601168.SH,X600157.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150466745473523,0,0,0,0,0,0,0,0,0,0,0.154711529078029,0,0.0207601075704943,0,0,0,0.212597348679958,0,0,0.0384444299280884,0,0.0398042310414374,0,0,0,0,0,0.0245764680810118,0,0,0,0,0.0260135764507963,0,0,-0.0083596041587525,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0.568444150906869,0.129447125448476,0,0,0,0,0,0,0.158445324667924,0,-0.00569516988513209,-0.664729304038289,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.135087151229447,0,0,0.464631616687245,0.100357285917273,0.0345996653015671,0,0,0,-0.188591446666334,0,0,0,0,0,0,0,0,0,0,-0.160871373036088,0,0.114573379746801,-0.152881970763849,0,0,0,0.314805330018541,0,0
X000807.SZ,-0.0524679443627105,0,0,0,0,0,0,-0.0645798869349986,0,0,0.534176924409112,0,0,0,-0.00153468959085635,-0.0529003862639757,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.129620366129365,0,0,0,0.152098811193643,0,0,0,0,0,0,0,0.0964781877062754,0,0,0,0,0,0,0,0,0,0,0,-0.023286614663312,0.00669708241533909,0,0,0,-0.0542310081039553,0,0
X600160.SH,-0.735669294050451,0,0,0,0,0,0,0,0,0,0,0,0.397529942858075,0,0,0.313689919502352,0,0.303465360799677,0,0,0,0.141606346183053,0,0,-0.000449243923658966,0,0,0,0,0,0,-0.0668027351001532,0,0,0,0,0,0,0,0,0,0,0,0,0.364462859897161,0.31221968874622,0,0.0826458431417064,0,-0.141654855353356,0,-0.00517397525718773,0,0,0,0,0,0,0
X000786.SZ,0.172456615888595,0,0,0,1.38777878078145e-17,0.070947756041922,0,0,0,0,-0.0089264451793913,0.239217772556112,0,0,0,-0.0344276495335122,0,0,0,0,0,0,0.172292951650123,0,0,0.0977822952729505,0.17795752948035,0,0,0,0,0,-0.0788109870641933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138964360237134,0,0,-0.035729092520828,0.01519175980795,0.00971715791496284,0,0,0,0.10820398735519,0,0
X000932.SZ,0,0,0,0,0.0979127764471521,0.269871786387515,0,0,0,0,0.0974194675847259,0,0,0,0,0,0,0,0.0374481967654915,0,0.119620340784222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429330472137968,0,0,0,0.0744429737246566,0,0.19430236141292,0.0555222404289735,0,0.138179780178961,0,0.0554298950336689,-0.0267892758328861,-0.0331709828119308,0.0877947959683725,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.227779400934887,0,0,0,0.0288197465049043,0.0577835656747278,0,0,0,0,0,0,0,0,0,0.0375998998112543,0.0516305307668029,0,0,0.0395063735582307,0,0,0,0,0,0,0,0,0,0.0152577086267021,0.41217957647699,-0.053160539510548,0,0,0,0,0,0,0,0,0,0,-0.0169469240075372,0,0,0,-0.0147886799362927,0,0
X000408.SZ,0.0324126335524753,0,0,0,0,0.105326249646869,0,0,0,0,0,0,0,0.427288888900805,0,0.286954357644522,0,0,0,0,0,0,0,0,0,0,0.107051591454368,0,0,0,0,0,0,-0.278074932715853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138876855211408,0,-0.051839308156127,0,0,0,0,0,0
X600985.SH,0,0,0.393297807495472,0.258965458926566,0.119917720550883,0,0,-0.105603312939159,0.0482265808729544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312921301782511,0,0,0.0361753251394755,0.22033710996952,0,0,0,0,-0.243082391683027,0,-0.146755127062306,0,0,0,0,0,0,0,0,0,0,-0.0282441254343039,0.0173881068584309,0,0,0,-0.030662867332649,0,-0.0212563405964057,0.0442976060568501,-0.169435628690376,0,0,0,0,0
X000933.SZ,0,0,0,0,0.190741127766463,0,0,0,0,0,0,0,0,0,0,0,-0.08914524995188,0,0,0,0,0.24257462816328,0,0,0.0333236343705104,0,0.0495032202369249,0,0,-0.0140515173955492,0,0,0.474677562332836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121933589086594,0,0.00284345922441948,0,0.009532326676865,0,0,0,0,0,0,0
