,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600886.SH,X600547.SH,X002466.SZ,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X600803.SH,X000877.SZ,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600612.SH,X600176.SH,X600348.SH,X600219.SH,X300037.SZ,X601168.SH,X002128.SZ,X600157.SH,X002353.SZ,X600688.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0.0616574579756725,0,0,0,0,0,0,0.0370222968841708,0.04748196044404,0,0.162558138280509,0,0,0,0,0.0652353543830284,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0281567360758156,0,0,0,0,0,0.00789728156068304,0,0,0,0,0,0,0,0,0,0.0542077742967302,0.0505299506806896,0.14447749490691,0,-0.0244075328321119,0.00725585672593805,-0.028706911140911,0,0,0,0,0
X600489.SH,0,0,0.0560658008586852,0,-0.0473248643742544,0,-0.0449748671820553,0,0,0,0,0.56141535765256,0.0457185743232064,0,0,0,0,0.049553910073712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766720479189806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00813780160039828,0.0229751910027659,0,0,-0.0166244340036524,0,0
X002271.SZ,0,0,0,0.0625801658380118,0,0,0.08903007813465,0,0,0,0,0,0.0707498448873016,0,0.00543038688903575,0.273538581432157,0,0,0,0,0,0,0,0,-0.616725891424989,0,0,0,0.0675782381494948,0.279488406198772,0,0,0,0,0,0,0,0,-0.157591580519243,0,0.180091144816185,-0.0568527612982465,0,0.199459715511949,0,0,0,0,0,0,0,0,0.0402030481567408,0,0,0,-0.173627378094523,0,0
X600985.SH,0,0,0,0.192222565186379,0.0851402345298288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484708259947123,0,-0.234217117777234,0,0,0,0,-0.0760779573836813,0,0,-0.0586411231140241,0,0,0,0,0,0,0,0,0,0,0,0,0.161055087104523,0,0,0,0,0,-0.18471916826046,0,0,0.100717448206324,0,0.00639342443939198,0.121943290071887,0,0,0.0468537081394609,0,0
X600160.SH,0,0,0,0.159207471193252,-0.165699922670999,0,-0.000850130139156268,0,0,0,0,0,0,0.0381771355888683,0,0.387624553446574,0,0,0,0,0,0,0,0.146043240268028,0,0,0,0,0,0,0.142789391073812,0,0,0,0,0,0,0,0,0,-0.0506109389542423,0,0,-0.126485036415867,0,0,0.128079826730205,0,0,0,-0.0369729602919825,-0.0274522303937519,4.33680868994202e-19,0.0165433642432926,0,0,0,0,0
X000408.SZ,0,0,0,0,0.0568466948294702,0,0,0,-0.296020163346432,0,0,0.0369157489406583,0,0,0.0351436705697926,0.156120672624897,0,0,0,0,0.0476425282370969,0.147985038152322,0,0,-0.0139083976271873,0,0,0,-0.090197790905197,0,0,0.226638821306252,0,0,0,0,0,0,0,-0.0280290615864728,0,0,0,0.0437903939380659,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753909574749218,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0776047023719997,0.00211413620589428,0,0,0,0,0,0,0,0.174873229433705,0,0,0,0,0,1.73472347597681e-18,0,0,0.0736952747298543,0,0,0.125336226511914,0,0,0.316019377911538,0,0,0,0,0,0.0387488812252178,0,0,0,0,0,0,0,0,0.00463110759686679,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,-0.198541361962095,-0.0878088717356487,0,0,0,-0.361626571912446,0,0.931101647164911,0,0,0,0,-0.13241019876978,0,0,-0.25273115578115,0,0,0,0,0,0,0,0,0,0.0238165036127135,0,0,0,0,0,0,0,0,0.313379172014812,0,0,0,0,0,0,0,0,0,0,0.000397664400082879,0,0,0,0,-0.1027340294652,0,0
X000933.SZ,0,0.292279178920816,0,0,0,0,0,0,0,0,0,0,0,0.43002587568997,-0.013449146984985,0,0,0,0.0100048631430868,0,0,0,0,0.216956771900298,0,0,0,0.255158848258182,0,0,0,-0.00465229179828858,0,0,0,0,0,0,0,0,0,0,0,-0.0386539876697352,0.0924159239873612,0,0,0,0,0,0,-0.0244217374789664,0.0178590372629403,0,0,0,0,0,0
X000932.SZ,0,0,0,-0.0467915270398783,0.0285476284512745,0,0,0,0,0,0,0,0,0,0,0,0,0.0306535781386361,0,0,0.0373512323230356,0,0,0,0,0.024815015596146,0,0.287366858755154,0,0.268829000219707,0,0,0,0,0,0,0,0,0,0.0953743257222864,0,0,0,0,0,0,0,0,0,0,0.0735164519402442,-0.0185348570682017,0.0231391353307512,0.141964338565075,0,0,0,0,0
X600612.SH,0,0,0,-0.0924617875041557,0.086253515306037,0,0,-0.185702788707374,0,0,0,0,0,-1.73472347597681e-18,-0.115302751174732,0,0,0,0,0,0,0,0,0,0,0,0,-0.020145678075795,0,0,0,0,-0.0198955215026803,0.267572450610491,-0.217017241420796,0,0.0564149895745405,0,0.152393470310328,0,0,0,0,0.252666245436266,0,0,0,0.196088789023509,0,0,0,-0.0363691374765852,0.0162647189043454,0,0,0,0,0,0
X600176.SH,0,0.253990097221374,0,0,0,0,0,0,0.581181449670364,0,0,0,-0.0066392419193954,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459748490905549,0,0.0842275737492015,0,0,0,0.187583327229376,0,0,0,0,0.0990426635056076,-0.287524132492088,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018184581506337,0.00195798121341434,0.110992273326874,0,0,0.269335728055811,0,0
X600348.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580448799024012,0,0,0,0,0.158870756537146,0,0,0,0,0.166023033841147,0,0,0,0,0,0,0,0,0.0660883942297898,0,0,0,0.0317914056062081,0,0,0,0,0,0,0,0,0.0539513582290174,0,0.139375956834694,0,0,0,-0.0195026486595005,0.00721417845243891,0,0,0,0,0,0
X600219.SH,0,0,0,0.0407659827172296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164570862406383,0,0,0,0,0,0,0.124382490364933,0,0.101847108261747,0,0.0347502164782841,0,0.15820078456783,0,0,0,0,0,0.0242207737169703,0,0,0.0259848213678488,0,0,0,0,0,0,-9.93668859379881e-05,0.00461260891467495,0,0,0,0,0,0
X300037.SZ,-0.275356978503422,0,0,-0.0895463687688299,-0.0325894725402974,0,0,0,0,0,0,0,0.084314607555294,0.0303852707447525,0,0,0,0.190928357085203,0,0,0.00492244305837174,0.26085543517032,0,0,0,0,0,0,-0.133380097590381,0,0.0730770197903566,0.087776661130432,0,0,0,0,0,0,0,0.021119910492449,0,0,0,0,0,0,0,0,0,0,-0.0159211979878186,-0.0446667818647266,0.00500796961602715,0,0,0,0,0,0
X601168.SH,0,0,0,-0.0244636685704152,0.398993874959381,0,0,0.283720508432219,0,-0.0762332262501778,0,0,0,0.053605798735277,0,0,0,0,0,0,0,0,0,-0.176930249822646,0,0,0,0,0,0,0,0,0,0,0,0.0939368445112516,0,0.0196175466896649,0,0.0529043683765942,0,0.0346196164136289,0,0,0,0,0,0,0,0,-0.252187122124434,-0.00999534800591669,-0.00193891674303367,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0.121789990343353,0.198201765118579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284998556593138,0.0717088787205386,0,0,0.0105263383068153,0,0,0.00649333223564739,0,0.199778024940021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212200861676025,-0.00857223180818192,0,0,0,0.128888925074138,0,0
X600157.SH,0,0,0,4.33680868994202e-19,0.0751196996748838,0,-0.0461833533291065,0,0,0,0,0,0,0,0,0,0,0.0730297182851287,0.0477241588121106,0,0,0.124789595857185,0,0,0,0,0,0,0,0,0,0,0.005967444219217,0,0,0,0,0,0,0,0,0.110559944071876,0.045462468311681,0,0,0,0,0,0,0,0,0,0.00799929938865914,0,0,0,-0.0420000611336401,0,0
X002353.SZ,0.285989087101513,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.00456331374008827,0,0,-0.102097883779417,0,0,0,0,0,0,0,0,0,-0.0582334980591211,0.245040792262987,0,0,0.334583007909215,0,0,0,0,0.164899571432616,0,0,0,0,0,0,0.000866114546070142,1.73472347597681e-18,0,0,0,0,0.130263708332872,0,0,0,0,0,0.0254256007001227,0,0,0,0,0,0
