,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X000708.SZ,X601699.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X002271.SZ,X601991.SH,X600160.SH,X600176.SH,X600985.SH,X000807.SZ,X000630.SZ,X000408.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,0,-0.0660542747727449,0,0,-0.0512380707137011,0,0,0,-0.131875525630434,0,0,0,0.840299189201119,0,0,0,0,0,0.164077231309708,0,0,0,0,0,0,0.123887810201995,-0.144454097780519,-0.0784323947437379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82243414546341e-05,0.00514597452948633,0,0,0,0,0,0
X600795.SH,0,0.0479933426703719,0,0,0,0,0,0.16898172325494,0,0,0,0.318165673606784,0,0,0,0,0,0,0.218094987330397,0,0,0,0,0,0,0,0.0375862090831884,0,0.0481035412321137,-0.212639337102105,0.0802541420136081,0,0,0,0,0,0,0,0.0877528051188672,0.125542882156648,0,0.0385519274757186,0,0,0.0440264696457497,0,0,0,0,0,-0.0916936478417343,0.00284400550558954,0,0,0,0,0.0152741107592815,0,0
X600111.SH,0.104296627162442,0,0,0,0,0,0,0,0,0,0,0,0,0.192789203840892,0,0,0.0166020077437506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169737416537694,0,0,0,0,0,0,0,0,0.0870042865422533,0,0,0.0589892391340177,0.0176616607140815,0,0.132760728994856,0,0,0.237338505206775,0,0,0.0396095214087592,3.46944695195361e-18,0,0,0.0736407350979069,0,0
X600010.SH,0,0,0,0,-0.113909428735645,0,0,0,0,0,0,0,0,0.130378283927983,0,0,0.300062965235578,0,0,0,-0.0231081871051349,0,0,0.219447491085037,0,0,0.0439912954764149,0.0312969922275296,0,0,0.10273460642568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062945256816674,0,0,0,0,0.0314164838799321,-0.182542146381497,0.0128189731874122,-0.0137388743567198,0,0,0,3.46944695195361e-18,0,0
X000708.SZ,0.227328386222077,0,0,0,0,0.102002787719508,0,0,0,0,0.0637462899786837,-0.216245157075827,0,0,4.33680868994202e-19,0.0248000312238632,0,0,0,0,0,0,0,0,0,0,0.106948697325779,0,0,0,0,0,0,-0.0586446807562487,0,0,0,0,0.144667643735944,0,0,0,0,0,0,0,0,0,0,0,0.0883538300565412,0,0.00443864591268017,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.367467593550609,0,0.324087537527117,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0172054329497715,0,-0.0495771626329819,-0.0451309230775711,0,0,0,0,0,0,0,0,0,-0.0291014539421142,0,0,0,0,0,0,0,0,0,0,0,0.0671668958215441,0,0,-0.101500703975626,0,0,0,0,0,0.000897160758556706,0.0129256287000267,0,0,0,0,0.0437646596764055,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164703389802873,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.193889334917536,0,0,0,0,0.00623519257072411,0,0,0,0.0933581439231418,0.167750730868541,0,0,0,0,0.0396245981753535,0,0,0,0,0,0.0705983214337777,0.00735827006252901,0,0,0,0,4.33680868994202e-19,0,0
X600426.SH,0,0,0,0.355185051387456,-1.73472347597681e-18,0,0,0,0,0,0.0977361429426948,-0.0270250192881469,0,0,0,0.0353506790926038,0,0,0,0,0,0,0,0,-0.261658489064429,0,0,0,0.0396780556899154,0,0,0,0,0,-0.160217088404034,0,0.1132628306029,0,0,-0.00633343927273897,0,0.610760734237008,0,0,0,0,0,0,0,0,0.179132397444971,0.00127042485513681,0,0,0,0,0,0,0
X600362.SH,0,0,0,0.0539585103206874,0,0,0,0,0,0,-0.00704373660520915,0,0,0,0,0,0,0.0747025524728523,0,0.120499019339676,0,0,0,0,0,0,-0.00511089290028227,0,0,0.188823495555022,0,0,0,0,0,0,0,0,0,0.117072944837659,-0.081969282148921,0,0.219217594677966,0,0,0.0237901853536432,0.170513226383381,0,0,0,0,0.0134066468907956,0,-0.0709004419816962,0,0,0.0786512634023527,0,0
X000877.SZ,0,0,0,0,0.10121299044661,0,0,0,0.368970132221211,0,-0.058411900073978,-0.209253197910207,0,0.00843656062898976,0,0,0,0,0,0,0,0,0,0,0,0.0283764259758297,0,-0.0741237672794523,0,0,0,0.166072692202543,0,0,0,0,0,0.215461980235555,0,-0.0358425314721071,0,0,0,0,0,0.0836661787807591,0,0,0,0,0,0.020860639929869,-0.053836829059253,0.0368026714732821,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480315457778657,0,0,0,0.662030005084405,0,-0.20843596507786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631593543893368,0,0,0,0,0.488879869969909,0,0
X600027.SH,0,-0.0970712158837741,0,0,0,0,0,0.415691247408576,0,0,0,0,0,0,0,0,0,0,0,0.0146882008367773,-0.0925545139017646,0,0,0,0,-0.153141762124718,0,0,0,0,0.372822759372643,0,0,0,0,0,0,-0.0409447315445227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509297209153772,-0.0102248982416368,-0.042205019879477,0,0,0.0468076892080683,0,0
X600489.SH,0,0,0,-0.00271761857517798,-0.0403086978424283,0,0,0,0,0.728689702014082,-0.0267561907415128,0,0.0861909479378073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385869773194571,0,-0.0245087016609321,0,0,0,0,0,0,0,0,0,0,-0.0069092412964105,0,0,0,0,-0.0459407286296908,0,0
X600803.SH,0,0.152379323722163,0,0,0,-0.117473598808533,0,0,0,0,0.0587802226136783,6.93889390390723e-18,-0.0617229620400124,0,0,0,0,0,0,0.0821658088928196,0.0152259584382004,0,0,0,0,0.159350520084463,0,0,0,0,0.485349789402651,0.0508934924101927,0,0,0,0,0,0,0,-0.383028391055764,0.178038097658041,0,0,0,0.0691051181979408,0,0,0,0,0,0.185591368789784,0,-0.00872762045882976,0,0,0,0.0354435245867595,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227497532293439,0,0,0,0,0,0,0,0,0.146567422722396,0,0,-0.35101444025549,0,-0.0221481735110327,0,0.138288858965917,0,0,0,0,0,0,0.43847033500801,-0.12492591509986,0.0138253695353679,0.12942936853642,0,0,0,0,0,0,0,0,0,0.170568166186107,0.0594621169468961,-0.0618367482527468,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.118769547052269,0,0,0,0,0.0890724384865673,0,0,0,0.0918198067325055,0.118095496542114,0,0,0,0,0,0,0,0.0632566698066522,0.128385524263201,0,0.100909198430619,0.0507660672566406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033966799304842,0.05679916344746,0,0,0,0,0,0,-0.00425222908777331,-0.00403685165249151,0,0,0,0,0,0
X600160.SH,-0.47810227135793,0,0,0.154744662956546,0,0,0,0,0,0,0,0,0,0,0.0163313795487248,0,0,0.135037085766768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468721344388144,0,0.608188348837984,0,-0.0270443638966662,-0.0471944041278601,0.0754294245135678,0,0,0,0,0,0,0,0,0,0.121848785146568,0,-0.0718023676046679,0.0417196735960666,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0.703929689108478,0,0,0,0,0,0,0,0,0,-0.713398576519608,0,0,0,0,0,0,0,0.0348520236136175,0,-0.241489131757782,0,0,0.380761895814825,0,-0.180256950915145,0.232201155687109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112254950734135,-0.156071523415404,0,0,0,0.238680420620637,0,0
X600985.SH,-0.0379822686872107,0,0,0.0553222410350643,0.242114781623642,0,0.103174663608089,0,0,0,0,0,0,-0.0506289507516528,0,0,0,0,0,0,0.287967169302285,0,0.33122626440704,0,0,0,0,0,0,0,0,0,-0.175056240861263,0,0,0,0,0,0,0,-0.16927764828735,0,0,0,0,0,0,0,0,0,0.0203008578980029,-0.0120234892746735,-0.00258131324932234,0,0,0,-0.0615351308706822,0,0
X000807.SZ,0,0,0,-0.0689759162039878,0,0,0,0,0,-0.375545751966125,0,0,0.623701875068564,0,0,-0.0437676576666639,0,-0.0217139464494825,0,0,-0.166269930059534,0,0,0,0,0,0,0,0,0.0983298187986314,0,-0.200940076670076,0.16202917363269,0,0,0,0,0,0,-0.0562974769919988,0,0.20102685643402,0,0,0,0,0,0,0,0,-0.147490817058997,0.00786141912571077,-0.0273538688944,0,0,0,-0.120036386686638,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.125034939515618,0.0291374545661901,0,0,0,0.0712131103636497,0,0,0,0,0,0,0,0.0486851234916898,0,0,0,0.0106763580322642,0,0.0395538925921285,-0.0485023102260578,0,0.00455130846151084,0,0,0,0,0,0,0.0733561016561326,0.225402423143569,0,0.178151944619684,0,0,0,0,0,0,0.00456174616518837,-0.0147942643043558,0,0,0,-4.33680868994202e-19,0,0
