,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X000792.SZ,X002466.SZ,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X600803.SH,X000983.SZ,X600489.SH,X600027.SH,X600176.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X000408.SZ,X600219.SH,X600985.SH,X600688.SH,X000629.SZ,X300037.SZ,X002128.SZ,X002353.SZ,X600157.SH,X600612.SH,X601168.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,0,0,0,0.0676154275096536,0,0,0,-0.121864941668753,0,0,0,0,0,0,0.792614003433872,0,0,0,0.114184330942314,0,0,0,0,0.00399901303695782,0,0,0,0,-0.0568581122160394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190658647005499,0,0,0,-0.0286869433080728,0,0,0,0,-0.0258939586820947,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0647880284866227,0,0,0.277312732663538,0.0390083219603527,0,0,0,0,0,-0.0974046363374859,0,0,0,0,0,0,0,0,-0.0094203165762093,0,0.2992143504521,0,0.148303295206209,0,0,0,0,0,0,0,0,-0.0324461442399454,0,0,0,0,0,0,0,-0.0341617768036624,0,-0.000727118288564589,0,0.0856477754764057,-0.0138311237328909,-0.0172645302158831,0.0630439081914121,0.0348106322156729,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.126729180394462,0,0,0,0,0,0,0.351630281174877,0.00572479897038868,0,0,0,0,0,0.0711585985028096,0,0,0,0,0.0066850403677734,0.0104764446579441,0.0225738213247468,0,0,0.00456068723454017,0,0,0,0,0,0,0,0,0.0167166074862052,0,0,0,0,0,0,0,0,0,0,0,-0.0538378114069631,-0.00670439569345468,-1.0842021724855e-19,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.836273429677348,0,0,0,0,0,0,0,0,-0.0384183324859007,0,0,0.0465120877346902,0,0,0,0,0,0,0,0,0,0,0,-0.0599886702666803,0,0,0,0,0,0,0,0,0,-0.00209211464992018,0.0862593004599047,0,0,-0.134422969427378,-0.0283827124197921,0.0375762307163321,-0.0556668183808666,0,0,0,0,0
X000708.SZ,0,0,0,0,0.142754602149655,0.18083257382396,-6.93889390390723e-18,0,0.00192266645561829,0,0.151511503797975,0,0.106175369911294,0,0,0,0,0,0,0,0,0.0418273329541222,0.258861770826666,0,0.24086295110603,0.0240375925404212,0,0,0,0,0.0440856034851703,0,0,-0.359344103223371,0.091604868771819,0,0.042845679561189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102983037094673,0,0,0,0,0,0,0
X600111.SH,0,0,-0.0200697626274381,0,0,0,0,0,0,-0.0416922296524532,0.209178562751152,0,0.113854360306699,0,0,0,0.0123137240111823,0,0,0,0,0.00461797491869514,0,0,0,0,0.0854275152616382,0,0,0.104436630593508,0,0.0523266479848616,0,-0.0315567540826657,0,0,0.041225384332637,0,0,0,0,0,0.434296444516907,0,0,-0.0299621234867039,0,0,0,0.0322481964165518,0,0,0.00418389882546624,0,0,0,0,0,0
X600010.SH,0,0,0,0,-0.04422695266052,0,0,0,0,0,0,0,0,0,0.143424627155482,6.93889390390723e-18,0,-6.93889390390723e-18,0,0,0,0.282026006988636,0.0863826830341581,0,0,0,0.0509949586905269,0,0,0,0,0,0,0,0,0,0.00950843651454692,0,0,0,0,0,0.264630193938444,0,0,0.0121083069053498,0,0.0840441736221506,-0.0175517157378223,0,0,0.0363761569412227,-0.0251623876869069,0,0,0,0,0,0
X000301.SZ,0.0124721355244823,0,0,0,0,0,0,0,0,0,0,0,0.176713763150517,0,0,0,0.0452420929798298,0,0,0,0,0,0,0.101277929441474,0.0859007114786969,0,0,0,0,0,0,0,0,-0.00718610214470169,0,0,0,0,0,0,0,0,0,0,0,0.143248121732555,0,0.0808974697657431,0,0,0.0609432520508076,0.00216840962008241,-0.000893012202780297,0,0,0,0,0,0
X600426.SH,0,0,0,0,0.0889321258234186,0,0,0,0.0269068295659166,0,0,0,0.0519152272587955,0,0,0,0,0,0,0,0,0.0286346066565677,0,0,0,0,0,0,0,0.129204196684994,0,0,0,0.0770279993913891,0,0,0.00730102837795174,0.173464276712178,0,0,0,0,0,0,0,0,0,-0.042157311249302,0.176970660820671,0,0,-0.014201483773044,0.0186910008193043,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.129902628091696,0,0,0,0.0529141483019747,0,0,0,0.021716864742245,0.0532125705981037,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.130454414881182,0,0,0,0,0,0,0,0,0,0,0,0.156938305148449,0,0.205997036446251,0,0,0,0,0.0487820097245751,0.0618755047196132,-0.0503121531949913,0.00742699296653943,0.031280517145558,-0.0786300282361097,0,0,0,0,0
