,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X000786.SZ,X600111.SH,X600176.SH,X601600.SH,X601898.SH,X600011.SH,X600886.SH,X000301.SZ,X002466.SZ,X600188.SH,X600426.SH,X600352.SH,X600801.SH,X000932.SZ,X601991.SH,X600803.SH,X600219.SH,X600795.SH,X600489.SH,X002080.SZ,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X600516.SH,X000898.SZ,X000807.SZ,X002353.SZ,X601168.SH,X600027.SH,X000723.SZ,X600157.SH,X601992.SH,X600315.SH,X000630.SZ,X300037.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,0,0,0,0,-0.0848940026935918,0.48774707582544,0,0,0,0,0,0,0,0.282016281039625,0,0,0,0,0,0,0,-0.0298321302087473,0,0,0,0,0,0,0,0,0,0.152723973633737,-0.0559726235511796,0,0,0,0.103667565514313,0,0,0,0,0,0,0,0,0,0,0,0.180572746038943,0.113260061211467,0,0.0365230070829325,0,0,0,-0.144569676047735,0,0
X600188.SH,0,0,0.354363452327468,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.19365249450916,0,0.0867159307155906,0,0,0,0,0,0,0,0,0,0.0567308225804379,0,0,0,0,0,0,-0.134930103205574,0,-0.203612919732128,0,0,0,0.0990693406978011,0,0,0,0.048611268638564,0.0220741907538696,0,0,0,0,0.01366343675512,0,-0.0387202096674803,0.0447241418750821,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0.107889345546776,0,0,0,0.162242874405064,0,0,0,0.0610131500140515,0,0,0,0,0.308466193496997,0.0770383319695379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124456782366784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569533815066294,-0.0175039604008521,-0.0225691070582938,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.068272426156063,0.0366880751451174,0,0,0,0,0,0,0,0.0059807479242328,0,0,0,0,0,0,0,0.0512553221756443,0,0,0,0,-0.0808479094890111,0.118450791558902,0,0,0,0,0,0.0836719065891016,0.115806382876718,0,0,0,0,-0.0683155942017124,0,0,0.168791941239242,0,-0.017329728361243,0,0,0,0,0,0,0
X600801.SH,0,0,0,0,0.153732955418996,0,-0.0174493408974015,0,0,1.73472347597681e-18,0,0,0.0280199176566045,0,0,0,0,0,0,0,-0.00335738864432093,0,0,0,0,0,0.203898746529799,0,0,-0.0846552844049521,0,0,-0.055399786507265,0.0689165534322277,0,0,0.0184106194948053,-0.0235326274712269,0,0.032120354229596,-0.0548831532207404,0,0,0,0,0,0,0,0,0,0,0,0.00956523902262735,0,0,0,0.024897862679057,0,0
X000932.SZ,0,0,0,0,0,0.688727733162409,0.0764662118430031,0,0,0,0,0,0,0,0,0.00664899132818606,0,0,0,0,0.0128598591338726,0,0,0,0,0.137531226493567,0,0,-0.0573632943543055,0,0.082605922111391,0,0,0,0,0,0.0101607494359058,0.151143762876492,0,0.0282086576356929,0,0,0,-0.037693374660816,0,0,0,0,-0.0693572389721731,0,0,-0.00111626717433962,0,0,0,0,-1.73472347597681e-18,0,0
X601991.SH,0,0,0,0,0,-0.0129096259604361,0,-0.0247824373601038,0.0079862937411635,0.0398885181514836,0,0.0593698651778037,0,0,0,0,0,0.0348240510022606,0,0,0.0361563363492609,-0.0351460291865278,0.0600483399014023,0,0,0,0,0,0,0,0,0,0,0.279154205875858,0,0,0,0.0990070059535969,0,0,0,0,0,-0.12676257069701,0,0,0,0,0,0,0,-0.0159822675736393,0,0,0,0,-0.0495125391448796,0,0
X600803.SH,0,0,0,0,0,0,0,0.062754762297363,0,0,0,0,0,0,0.232504495425516,0,0,0,0,0,0.0196978922504284,0.274993994958044,-0.15037300917316,0,0.171610938306645,0,0.0443711621842666,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129500739545707,0.0313737688226505,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0214709164685156,0,0,0,-0.0835695070236068,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0589808657958219,0,0,0,0,0,-0.0417269885193641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929906361831009,0,0,0,0.37700176335716,0,0.0435934522673538,0,-0.032803512068567,0,0,0.100599273780086,0,-0.0672179067844778,0.347478751121993,0,-0.0123276462972805,-0.01952568234858,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0752295161076451,0,0,0.0251362967311867,0,0,0,0.266250210702181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046125416964482,0,0,0,0,0,0.083828895582791,0,-0.0365118876513177,0,0.0272154309046732,0,0,0,0,-0.0592613964800544,0,0,0.0365932266534721,0,0,0,0,0,0,0
X600489.SH,0,0,0,0.0163256834602025,0,0,0,0,0,0,0.652718487976259,0.0248426877618173,0,0,0,0,0.00282215627093309,0,0,0,0,0.0342340353954737,0,0,0,0,0,0,-0.0404329152951304,0.0165818834350988,0,0,0,0,0,0,0,0,0,0.115618636984363,0,0,0,0.028316802979819,0,0,0,0.0735837749434601,0,0,0,0,-0.0131633879904476,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,-0.0359666604244607,0,0,0.092834688184963,0,0,0,0,0,0.193623888171146,0,0,0,0.129452806853194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769132180035944,0,0,0,0,0,0,0,0,-0.0471656878242311,0.00448830998393243,0.508271403886622,0,0,-0.0343500883034509,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,-0.0265698999117548,0,0.0513047666679922,0,0,0.0970112493800632,0,6.93889390390723e-18,0,0,0.179312151388102,0,0.0143990519885066,0,0,0,0,0.0686968883028344,0.595882807932609,0,0,0,0.00881164159046214,0,0,0,0,0,0,0,0,-0.121977962530303,0.0261634066207084,0,0,0,0,-0.0404763249506547,0,0,0,0,0,0.02858834781745,0,0,0,0.195895873745778,0,0
X600688.SH,0,-3.46944695195361e-18,0,0,0,0,0,-1.73472347597681e-18,0,0.0186933463804323,0,0,0,0,0.127500775190673,0,0,0,0,0,0,-0.0369277789199241,0.0534709694821706,0,0,0,0,0,0,0,0,0.197856904709223,0,0,0,-0.115669725382106,0,0,0,0.0195743671459536,0.0604995749752093,0,0,0,0.0698845222300888,0,0,0,0,0.0203820420515421,0,-0.0134503031711069,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0.318070347894656,0,0,0,0.00825775867961608,0,0,0,0,0,0,0,0.0799853102060749,0,0.274370895508224,0,0,0,0,0,0.0365694488222804,0,0,-0.0401825904878602,-3.46944695195361e-18,0,0,0,-0.240388143942591,0,0,0,0.105347094303708,0,0,0,0,0,0,0,0,-0.035322086839713,0,0.0104979560032571,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0.0564072985991446,-0.0398921508611521,0,0,0,-0.0130098677178913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385308506660409,0,0,0,0,0,0,0,0,-0.0227739664875512,0,0,0,0,0.00222670492323118,0.168195008495993,0,0,0,0,0,0,0.256514384474929,0,0,0.00658587267485058,0.00147024874529457,0,0,0,0.0674086269082449,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032539614217154,0.121426490580407,0,0,0,0.0742682990696697,0,1.38777878078145e-17,0.187876916599942,0.218713753079488,0,0,0,0.201122365804749,0,0,-0.174814224471754,0,0,0.427208652980435,0,0,0,0.27757050152192,0,0,0.0105923874025732,0,1.38777878078145e-17,0,0,0,0,0,0,0.100217396979648,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.309664981149095,0,0,-0.0365687787627771,0,0,0,0,0,0,-0.0463149254881126,0,0.0637930442306137,0,0,-0.0103229062053922,0,0,0,0,0,0.123005457252555,0,0,-0.0351455436896752,0,0,0,-0.0782859932807315,0,0,0,0,0,0.0868002888375234,0,0,0,0,0,0,0,0.151651957402996,0,0,0,-0.0145570000423488,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755321394010725,0,0,0,0.00299116525909579,-0.0816888937116121,0,0,0,0,0,0,0.104959496532881,0.00452713964206721,0,0,0,0,0,0,0,0.0974552372917607,0,0,0,0,0,0,0,0,0.0972917664616403,0,0,0,0.122779523166976,0.0225608184645544,-0.0493267295070647,-0.270147474493558,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0.0715933858829303,0,0,0,-0.222138075935826,0.058682374055958,0.0334984187065145,0.376720441651754,0.0468570430320636,0,0,0,0,0.297591275956187,0.192490505031511,0,0,0,0,0,0,0.150282767581379,0,0,0,0,-0.0577084547412428,0,0,-0.122172346722797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638870360115871,0,0,0,0,0,0
