,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X000983.SZ,X600176.SH,X600803.SH,X600027.SH,X601699.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X600160.SH,X000408.SZ,X000629.SZ,X600489.SH,X600219.SH,X002080.SZ,X600378.SH,X000723.SZ,X600096.SH,X300037.SZ,X000933.SZ,X000630.SZ,X600348.SH,X600688.SH,X000831.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000408.SZ,0,0,0,0,0,0,0.0402150747130071,0.0597899358307317,0,0,0,0,-2.16840434497101e-19,0,0.0439892517274698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181159369700805,0,0,0,0,0.000643944779419966,0,0,0.014076420328459,0,0,0,0,0,0,0.0512541203809706,0,0,0.0663452308408257,0,0.0342064744502261,0,0,0.0175379622031189,0.00737960616057256,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.135826182915826,0.279654562309494,0.0841652233893282,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.112373883492878,0.00857997847490003,0,0,0.0144409846568427,0,0,0.175210697440186,0,0,0,0,0,0,0,0,0,0,0.35570318422327,0,0,0,0,0.0407456983168601,0.00602759199048501,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0233037663256482,0,0,0,-0.00370693569999978,-0.0126200187173314,0,0.012312617498934,-0.00405497021433058,0,0.0635962023527923,0.530332557204882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82814223748659e-05,0,0.0903316434429581,0,0,0,-0.0385974406095702,0.0150284587941495,0,0,0,0,0,0,0,0.0485453132260392,0,0,0.000382790708943483,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0.218987938235456,0,0,0,0,0,0,0,0.01941155123253,-0.134370753273736,0,0.173225929251131,0,0,0,0,0,0,0.00836485623176059,0,0,0,0,0.041599008414275,0,0,0,0,0.1160927020101,0,0.0924876956899021,0,0,0,-0.0763834258889588,0,0,0,0,0.142892512155899,0,0,0,0.18741595361973,0,0,0.0107461834776018,0.0147912522127101,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0.023097740280963,0,0,0,0,0,0,0,0,0,0.162701372578414,0,0,0,0,0,0.229796164906722,0,0,0,0,0.127637430644706,0,0.00633564046830219,-0.204556266527613,0.0994752129147983,0,0,0,0,0,0,0,0,0,0,0,0.0797702619006225,0.151034747195482,0,0,0,0,0.120984535828521,0,0,-0.00865310097003477,0.0153416093103803,0,0,0,0,0,0
X600378.SH,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.204167180032138,-0.115334725057329,0,-0.128349326471366,0,0.00732977601091056,0,0,0,0.041684400042125,0,0,0,0,0,0,0,0,0.0919735857309747,-0.114175286968266,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0201285289557187,0,0,0.055787979596547,0,0,0,0,0,-0.243294670201016,0,0,0.0371201102415314,0.00935034391980023,-0.431298860859704,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0.170948383454633,0,0,0,0.060013432668517,0,0,0,0.281261050323028,0,0,0,0,0,0,0,0.0179543399835957,0,0,0,0,0,0,0,0,0.089742468937623,0,0,0,0,0,0,0,0,0.0471203518108668,0,0,0.0227183315152473,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0283689031457292,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125304966912986,0,0,0.139949125179932,0,0,0,0,0,0,0,0.0165373630587035,0,0,-0.148837116676621,0.190288514964128,0,0,0.185106252834154,0,0,0,0,0,0,0.00846363923172627,0,0,0,0.316359560490853,0.21608346539861,0,0.167152001584502,0,0,0,0,-0.00886611694321785,-0.00300225777321599,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0.285259410557843,0,0,0,0,0,0,0,0.0226851685288183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14746226717225,-0.132760499548887,0,0.130987135915142,0,0,0.341559110653856,0,0.25403199482411,0,0,0.309128118542074,0,0,0,0,0,0,0,0,0,0,0,-0.012574008515938,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.219299941791045,6.93889390390723e-18,0,0,0,0,0.168551320253411,0,0,0,0,0,0,0,0.263234363231092,0,0,0,0,0,0,0.172280267928098,0,0,-0.128804598439388,0,0,0,0,0,0,0,0.0937921305427349,0,0,0,0,0,-0.0194336248803514,0,0,0,0.168182064824837,0,0,0,0,0.0106682200206016,0.00579704443552087,0,0,0,0,0,0
X000630.SZ,0,0,0,-0.214201267308982,0,0,0,0,0.79606166262528,0.0240797400139315,0,0,0,0,0,0,0,0,0.00151062133990265,0,0,0,0,0,0.0309625932385106,0,0,-0.0839710539206679,0,0,0,0.0197777362914772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19110807725588,0.0321727913213192,0,0,0,0,0,0,0
X600348.SH,0,0,0,0,0,0,0,0,0,0,0,0.162121647667784,0,0,0.0180407941982201,0,0,0,0,0,0,0,0,0,0,0.17245793714618,0,0,0,0,0.258224430915813,-0.135024830759679,0.0526741608426906,0,0,0,0,0,0,0,0,0,0.388039114158375,0.152040721669155,0,0,0,0,0,0,0,0.0147885029177936,0.0454498908971245,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.0579656000564092,0,0,-1.73472347597681e-18,0.175057093624196,0,0,0,0.0130275999942861,0,0,0,0,0.0628596400137099,0,0,0,0.0166551983588453,0,0,0,0.042863370442438,0,0,0,0,0.121456379500085,0.00228472659972899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188463819868391,-0.00119758187723806,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0866294921399912,0.246086349074352,0,0.134769724563521,0,0.0574083374279955,-0.392669044416726,0,0,0,0,0,0,0,0,0.0802976957352025,0,0,0.047725574556471,0,0,0,0,0,0,0,0,0.0303444809431823,0,0,0,0,0,0,0,0,0,0,0,0.0715511530708123,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367604845033585,0,0,0,0.0678731451295972,0,0,0,0,0,0,0,0,0,0,0.037679862192394,0,0,0.0337801842457496,0,0,0,0,0.00116009747093619,0,0,0.100020525249964,0,0.0406226845450151,0,0.014757250612216,0,0,0,0,0,0,0,0.0119994235387864,0.00275807061396074,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,-0.243610451107923,0,0,0.0789774255106716,-0.288637099473852,0,0,0,0,0,0,0,0,0,0,0,0,-0.324243408727016,0.0516369438188202,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.265303174610593,0,0,0,0,0.113179539976836,0.318368737557381,0,0,0.011959989845792,0,0,0,-0.110219736997462,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0.649788606109686,0,0,0,0,0,0,0.476701519687294,0,0,0,0,0,0,0,-0.339235748330599,0,0,0,0,0.459401858355663,-1.97968752141068,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00983448166489,-0.45704261776748,0,0.242368142179245,0,0,0,0,0,0,0.094255600612615,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555923213180586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.510229613133955,0,0,0.161201526819056,0,0,0.357519256739145,0,0,0,-1.47483784662806,0.0603822444826718,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,-0.231021892916539,-0.0258093810949344,0,0,0,0,0,-0.0123138876425235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100326247545742,-0.0670977045786978,0,-0.0223297731079715,0,0,0,0,0,0,0,0,0.109551315048469,0,0,-0.0263578975349239,0,0.0333988577070298,0,0,0,0,0,0.0657410424386704,0.0351835363018693,-0.0168946268157603,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.0408487642707836,0.052347143212945,-0.0567441424115967,-0.00920749440657628,0.03289688564397,0,0,0,0.00938292765707622,0,0,0,0,0,0,0.219903533276448,0,0,8.67361737988404e-19,-0.0657308233497523,0,0,0,0,0,0,0,0,0,0,0.0231482891802923,0,-0.0441243248797062,0,0,0,-0.011365867318353,0,0,0,0,0.00725570494681941,0.0149845310752016,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115260793648333,0.00040638514843293,0,0,0,0,0,0,0,0,0,0,0.00226422904311786,0,0,0,0,0,0,0,0,-0.000991359244742154,0,0,0,0.0014103704576038,0,0,0,0,-0.00111034560234447,-8.470329472543e-22,0.00197629701546771,0,-0.00161221333698718,0,4.14663088046129e-05,-0.00281745239392324,0.000562357107253092,0,0,0,0,0,0
