,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X600886.SH,X600547.SH,X601600.SH,X002271.SZ,X600795.SH,X600803.SH,X600426.SH,X600176.SH,X600362.SH,X601991.SH,X000983.SZ,X600027.SH,X000629.SZ,X600348.SH,X000408.SZ,X000723.SZ,X601699.SH,X600096.SH,X600160.SH,X000786.SZ,X600141.SH,X300073.SZ,X600219.SH,X002080.SZ,X002353.SZ,X600157.SH,X600549.SH,X600295.SH,X000933.SZ,X000807.SZ,X600378.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0.216298424437645,-0.108908655314225,-0.0320476404225484,0,0,0,0,0.173319543648602,0.0234948004122972,0,0,0,0,0,0,0,0,0,0.423476823906427,0,0,0,0.153940148948667,0,0,0,0,0,-0.054325530804185,0,0,0,0,-0.0114989354695468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0.0203736843363043,0.077893283907738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080254472537164,0,0.0390337108788279,0,0,0,0.588090824024329,0,0,0,0,0,0.0504399378805311,0,0,0.088110994311054,0,0,0,-0.00895833445799445,0,0,0,-0.0235020951593288,0,0,0,0,0,0
X300073.SZ,0,0,0,0,0,0,0.0548271333449576,0,0,-0.108384308362703,0,0.0806285726749901,0,0,0.212096423427265,0,0,0,0,0,0,0,0,0.158412635671982,0,0,0,0,-0.131175891885162,0.144980289166235,0.0923130585516441,8.67361737988404e-19,0.171579656565765,0,0,0.0951325428753317,0.027975205707479,0,0,0,0,0,0,0,0.0503483406046844,0,0,0,0,0,0,0,0.0581017466515563,0,0,0,0.0247704601900805,0,0
X600219.SH,0,0,0,0,0,0.0417609096210478,0,0,0,0.0961860584143039,0,0.0233218915570415,0,0,0,0,0,0,0,0.242838264756421,0.137095016123712,0.0283020659259207,0.0556292104404443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134048037192369,0.0857298048455664,0,0,0,0.0388080339826075,0,-8.67361737988404e-19,0,0,0,-0.0138084856594248,0,0,0,0.0173188928853787,0,0
X002080.SZ,0,0,0,0,0,0.0647909920989669,0.022876281242588,0,0,-0.00813137731001591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180904502265702,0,0,0,0.181017736047675,0,0,0.0506535312461338,0.0316432626450913,0,0.0184234507662004,0,0,0.0524762525887563,0,0.122255909096973,0.225231077906876,0,0,0,0,0,0.111690797727207,0,0,0,0,0,0,0,0,0,0,0.0339318832122659,0,0
X002353.SZ,0,0,0,0,0.192004492456355,0,-0.0944832825546313,0,0,0,6.7762635780344e-21,0,0,0.0575903772231099,0,0,0.00594972186819703,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.121469149023106,0.0466110875958505,0.045617362923612,0.0581381683101907,0,0,0.00263504817081408,0,0,0,0,0.140199163659479,0,0,0,0.106329393690509,0,0.137914531813362,0,0,0,0,0,-0.067197518768433,0,0,0,-0.01135405349054,0,0
X600157.SH,0,0,0,0.0422665335983509,0,0,0,0,0.00573484572865945,0.0440186757479075,0,0.0785919967097245,0,0,0,0.0544320629990465,0,0,0,0,0.0417658470817574,0,0,0.140647687633275,0,0,0,0.0489421277318055,0.0110858422777123,0,0.0625620190616387,0.0633043255440047,0,0.0759785055011504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379010210424434,0,0,0,0.0186545791992636,0,0
X600549.SH,0,0,0,0,0,0.102432335803013,0,0,0,0.208172706638588,0,0.0297884191261011,0,0.125871170742364,0,0,0.144261122531021,0,0,0,0,0,0,-0.409643634645496,0,0,0,0,0,0,0,0.255135418997359,0,0,0,6.93889390390723e-18,0,0,0,0.277216000629888,0,0,0,0,0,0.0138393159738818,0,0,0,0,0,-0.0525392405469041,0.136731873348244,0,0,0,0,0,0
X600295.SH,-0.117095908443788,0,0,-0.00936458918503739,0,0,0,0,0.134805296859322,-0.0520055405755752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315178534712395,0,0.0886524099953907,0,-0.0112226861411194,0.0614538794510231,0,0,0,0,0,0,0.183770113388247,0,0,0.0280500009476131,0,0,0.314834711908343,0,0,0,0,0,0,0,0,-0.093555840113399,0,0
X000933.SZ,0,0.0930910050559308,0,0,0,-0.0101411085251238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120917584432648,-0.0934546006260197,-0.204910097498365,0.161045980998507,0,0,0,0.118754597210307,0,0,0,0,0,0.220818592454515,0,0.0237124126136998,0,0,0,0.191413964227471,0,0.0905437464753171,0,0,0,0,0.0400636401317365,0,0,0,0.0129265224008249,0,0,0,0,-0.0113311552862043,0,0
