,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X600886.SH,X600623.SH,X002466.SZ,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X600309.SH,X000792.SZ,X600489.SH,X601158.SH,X300072.SZ,X600583.SH,X000883.SZ,X000709.SZ,X600549.SH,X600352.SH,X000898.SZ,X002075.SZ,X000723.SZ,X000539.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002470.SZ,X002407.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600176.SH,X600098.SH,X000060.SZ,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0.0397832218029527,0.0934074987640568,0,0,0,0.101563715550243,0,0,0,0,0,0,0.13307041815905,0.0106615983634852,0.098050022269471,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0416899286741876,-0.0494839655313894,0,0,0,0.0351675647017191,0,0,0,0,0.0687018537568362,0,0,0.167143134756963,0,0,-0.0190235548424567,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.0593972613990636,0.47878079413736,0,0,0,0,0,0,0,0,0,0,0.0538388230521644,0,0,0,0,0,0,0.164245781619774,0,0,0,0,0,0,0,0,0,0.0253356619729372,0,0,0.00852154284254097,0,0,0.079685579829692,0,0,0,0.0144359945040516,0,0,0,0,0.0373762438744039,0,0,0,0.0202572539856019,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.133578842973294,0,0,0.111593213631785,0,0,0,-0.00550426560795106,0,0.311924681652004,3.46944695195361e-18,0,0.217630996484999,0,0,0,0,0.0931259840849507,0,0,0,0.146904938465356,-0.0791650106069476,0,0,0,0,0.398779286614527,0,0,0,0,0,0,0,0,0,0.240430315610521,0,0,-0.11235383962915,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452324237743914,0.00797323679216862,0,0,0,0,0,0.346433735436547,0,0,0,0,0,0.0518134660708357,0,0,0,0,0,0,0,0,0,0,0,0.129650921629919,0,0,0,0,0.05219887756258,0,0,-0.114152360818235,0.148787777830416,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.127474030809554,0,0.0434056894938396,0,0,0,0,0,0,0,0.0543091486484143,0.0177491081451447,0,0,0,0,0,0,0,0,0,0.0627180857396677,0.213373144003935,0.109504889128446,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0.0913962778401339,0.0142393495347336,0,0,0,0,0,0,0,0,0,0,0,0,0.0886708206524058,0,0,0.0314133159094609,0,0.0481946072708666,0,0.00520704383418837,0,0,0,0,0,0,0,0.0549021509689277,0,0,0,0,0,0,0,0,0.0943346346159694,0,0,0.223302859971259,0.104483888652358,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280150516885829,-3.46944695195361e-18,0,-0.022440981513212,0,0,0,0,0.055375492419962,0,0,0,0,0,0,0,0,0.0174818017828762,0.00565696171401584,0,0,0.0553444988573599,0,0,0,0.0181756840458823,0,0,4.33680868994202e-19,0,0,0,0,0.0319412434250765,0,0,-0.0475605424518237,0.109841654282806,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.158906339951666,0,-0.108678182614991,0,0,0.0504994476432148,0,0,-0.0228214023495976,0,0,0,-0.00802804860279015,0.501822457428094,0,0,0,0,0,0,0.0589827968793049,0,0,0,0,0,0,0.00181244836785274,0,0,0,0,0,0,0,0,0.4644481928615,0,0,0,0,0,0,0,0,0.0277317581488934,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000970701251869475,0,0,0,0,0.0404221128496126,0,0,0,0,0.147010701073362,0,0,0,0.063025965358939,0,0,0.0159179753286957,0,0,0,0,0,0,0,0.0146140188804404,0,0,0.224253806924324,0,0,0,0,0,0.0479221951958466,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261822440221329,0,-0.029337506491456,0.496940108010916,0,0.121172455837385,0,0.247201796432734,0,0,0,0,0,0,0,0,0.0663960549552369,-0.0926189251739317,0,-0.0319243944609586,0,0,0,0,0.430849435358239,0,0,0,0,0,0,0.0578456922502872,0,0.0622545108848932,0,-3.46944695195361e-18,0.186069633022249,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0917641819409565,0.0447791425466604,0,0,0,0.129920916532981,0,-0.00638459499693478,0,0.328492965463734,0,0,0,0.157861103272582,0,0,0,0,0,0,0.553716717617857,0.0441846795242159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109369284932993,0,-0.0103612368353607,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175253055481496,0,0.0819933687028489,0.0248944595115552,0,0,0,0,0,0.0644104977919185,0,0.0997946669170693,0,0,0,0.133468229979586,0,0.0480585475564267,0,0.0637531263061845,0,0,0,0.0476598706969127,0,0,0,0,0,0,0.0748747993070413,0,0,0,0,0,-0.0595435808888537,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620386754812311,0,0,0,0,0,0,0,0.127145017916096,0.176448640426276,0,0,0,0,0.121795367581315,0,0.10240505039003,-0.0211871125176268,0,0,0,0,0,0,0,0.0263860334264954,0,0.240548237140913,0,0,0,0,-0.0444215035975802,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563342329037368,0.256171015348075,0,0,0,0,0.0455947861612001,0,0,0,0.286461276279278,0,0,0,0,0,0,0.130240005714561,0.0147031069030758,0,0.00490878110054918,0.0687638433746216,0.0111521229775351,0,0,0.0629509886620171,0,0,0,0,0,0
