,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X002460.SZ,X600886.SH,X000786.SZ,X601898.SH,X600010.SH,X600362.SH,X600176.SH,X601600.SH,X600801.SH,X600489.SH,X600352.SH,X600188.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X002080.SZ,X600027.SH,X600299.SH,X601992.SH,X000301.SZ,X002466.SZ,X000932.SZ,X600803.SH,X002075.SZ,X600529.SH,X600219.SH,X300037.SZ,X000027.SZ,X002353.SZ,X600486.SH,X000883.SZ,X600315.SH,X601158.SH,X000898.SZ,X000723.SZ,X000878.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600011.SH,0,0,0,0,0,0,0,0,0,-0.00201708567511115,0,0,0,0.0698584897472903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718898659128079,0.181887774920727,0,-0.0938956153991562,0.0615782101551278,0,0,0,0,0,-0.249517777022839,0,-0.00891671668995918,0,0,0,0,0,0.0668673977762643,0.256108313919521,0,0,0,0.0019763921791931,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.14470485009595,0.0589381912862406,0,0,0,0,0,0,0,0,0,0,0,0.0873958024712703,0,0,0,0,0.0272523144160789,0,0.131264670612284,0,0,0,0,0.196611261207299,0,0.0691613102200285,0,0,0,0.202841857167579,0,0.133238898636617,0,0,0,0,0,0,0.0677672503872028,0,0,0,-0.0788077068016327,0,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0462371581609132,0,0,0,0,0,0,0.11139251026286,0,0,0,0,0,0.0668748243185767,0,0,0,0,0.115562056232461,0.0981678661438104,0,0.177006581663849,0,0,-0.00696856034538622,0,0,0,0,0,-0.0445902157970972,0.0686834951152686,-0.0001583763121893,0,0,-0.0946151485566085,0,0,0,0,0,0,0,0,0,0.0345584026006997,0,0,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.209228448167638,0,0.152297936427628,0,0,0,0,-0.0939212861179572,0,0.367957026327203,0,0,0,0,0,0,0.0495943011604342,0,0,0,0.148951388567874,0,0,0,0,0,0.0223153409508989,0,0,0.099269715534326,0,-0.151362978971668,0,0.094029038237743,0,0,0,0,0,0,0.263862326630823,0,0,-0.00919065093927593,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0355772253825826,0.0366830521939244,0,0.0831855931199589,0,0,0,0,0,0,0,0,0,0,0.306336837105636,0,0.0410472231262831,0,0,0,0,0,0,0,0,0.0222096134290543,0,0,0.00268134182826136,0,0,0.00176271709667485,0,0,0,0,0.0300203921758774,0,0,0,0,0,0,0,0.00374798196539306,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,-0.11290151874552,0,-0.215833608578972,-1.73472347597681e-18,0,0.0287021879917838,0,0,0,0,0.165018259107811,0,0,0,0,0.178351227867867,0,0.269722112794625,0,0,0,0,0,0,0,0.0104030223379116,0,0,0,0,0,0,0,0,0,0,0,0,0.539251081641104,0.20735828894662,0,0,0,0.000441048174041352,0.030412958840969,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,-0.00339986421345307,0,0,0.0351988214882218,0,0.0356662064289342,0,0.00578090004161962,0,0,0,0,0,0.137887686528091,0,0,-0.0246415742378043,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0321717813735783,0,-0.0137671577345436,0,0,0,0,0,0,0.568661054312612,0,0,-0.0313100304056315,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,-0.161076183102316,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.113758177641533,0,0.194238412178731,0,0,0,0,-0.0511708292275432,0,0.176292186264518,0,0,0,0,0,0.0605210265618718,0,0,0.0675615635862364,0,0,0,0.319848806423971,0,-0.00495658711886178,0.0437474524357369,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0462889049893956,0,0,0,0.246414678741592,0,0.0440018957677801,0,0,0.00647072136194632,0,0,0,0,0,0,0,0,0.0141767936390067,0,0,0,0.0520701859647293,0,0,0,-0.0180477798919312,0,0,0,0,0.0452101576980804,0,0.0697997847518607,0,0,0,0.204069462693938,0,0,-0.0116077455692887,-0.02161849764423,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,-0.0243533129766588,0,0,0.0535413182372147,0,0,0,0,0.0957215696925221,0,0,0,0.0392875875708428,0,0,0,0,0,0,0.019674998281716,0,0,0,0.112518744934489,-0.00131655808625097,0.0778219310281709,0,0,0.0654935386357819,-0.134540701744723,0,0,0.023900524785803,0,0.0388004107376557,0,0,0,0,0,0,0,0.0449732400768901,0,0,0,-0.0468433895967212,0.0583551802735656,0,0,0,0,0,0
X600489.SH,0,0,0,0,0.0866340554082398,0,0.82687437660923,0,0.0826429758098736,0,-0.0765488018479789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264370587015289,0,0,0,-0.048228799130074,-0.0223496103469813,-0.0828448228483541,0,0,0,0,0,0,0,0,0,0,0,0,0.128741988779815,0.124709455485922,0,0,-0.0222883395128869,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,-0.0623325688853547,0.234876102894795,0,0.0498926249953548,0,-5.42101086242752e-20,0.119111969438252,0.0457628884886441,0,0,0,0,0,-0.0783188284404853,-0.00441148932866615,0,0.359028527155219,0,0,0,0,0,0,0,0,0,0,0.128623845247372,0,0,0,-0.159915879091387,0,0,0,0,0,-0.00325535957231785,0,0,0,0,-0.00369814653014412,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0681890274353417,0,-0.0338626127018486,0,0,-0.00980849329159276,0,-6.93889390390723e-18,0,0,0.511333568388955,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105944211841915,0,0,0,0,0.0256651542862826,0,0,0,-0.0108185853669085,0.0761596734295727,0,0,0,0,0,-0.0286469374512727,0,0,0.248716180264456,0,0,0,0.0756831568871119,0.00201587995796619,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0271643064417816,0,0,0,-0.159992991179932,0.0853964480868215,0.0821564986376985,-4.33680868994202e-19,0.0986179059532954,0.184625071405651,0,0,0,0,0,0,0,0,0.0499223931475622,0.100855114664788,0.0320279635109402,0,0,0,0,0,0,1.38777878078145e-17,0,0.0267376682968871,0,0,0,0,0,0,0,0,0.0634351039821203,0,0,0,0,0,0,0.00856656717255363,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0.196583499832216,0,1.73472347597681e-18,0,0,0,0,0,0.295027379682232,-0.0206161323458921,0,0,0,0,0,0.190938592884548,0,0.0613774215896055,0,0,0,0,0,0,0,0,0.0961568861738767,0,0,0,0,0.391550995842128,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.0319904962387274,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.00848081758243706,-0.0540184210474192,0,0.0776872927394245,0,0,0.127630465223183,0,0.0808798418441639,0,0,0,0,0,0.10496922490968,0,0,0.0518822901061369,0,-0.051441864955639,0,0,0,0,0.106917618244985,0,0.0944156793678333,0,0,0,0,0.0890048400102941,0,0,0,0,0,0,0,0,0,0,-0.00775713083859095,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.281978280373937,0,0,0.0828951215485631,0,0,0,0,0,0,0.0869122718522018,0,0,0,0,0.251662015667039,0,0,0,0,0,0,0.0190870309986238,0,0,0,0,0.111243781694737,0,0,0,0,0,0,0,-0.0813000649764989,0,0,0,0,0,0,0.0736662072915345,0.0145539743507353,0,-0.0243854974031435,-0.0300912147241703,0,0,0,0,0,0
X600688.SH,0,0,0,0,-0.0206408506008702,0,0,0,0,0,0,0,0,0,0,0.06742446483139,0,0.141988521476359,0,0,2.16840434497101e-19,0,0,0,0,0.0160604042707839,0,0,0.0170783631370785,0,0,0,0.105913341305211,0,0,0.0896961136397938,0,-0.0869796906858649,0.166474094917462,-0.00871758269260343,0,0,0,0,0,0,0,0,0,0,0,-0.00965259697991586,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,-0.141987770050923,0,0,0,0.0634384988226168,0,0,0.123005323087065,0,0,0,0.114894766090658,0,0,0,0,0,-0.167265484874877,0.0810424128679758,0,0,0,0,0.0804493000140266,0.165686505183143,0,0.509662048096352,-0.0125020684995268,0,0,0.103890140474785,0,0,0,0,-0.239646756964866,0,0,0,0,0,0,0,0,0,-0.00267335943593231,0.0058807764441336,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.0679054855613679,0,0.0718961563702048,0,0,0.00446508378006595,0,0,0,0,0,0,0,0,0,0,0,0,0.0979650146329422,0,0,0,0,0.0711220170541647,0,0.0113180669067323,0,2.16840434497101e-19,0.1263721235685,0,0,0,0,0,0,0,-0.0182756063531467,0,0,-0.0787024268741597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
