,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600010.SH,X600660.SH,X000301.SZ,X600188.SH,X000877.SZ,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X600219.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600688.SH,X300073.SZ,X600399.SH,X000786.SZ,X601991.SH,X000825.SZ,X600795.SH,X600141.SH,X600516.SH,X600096.SH,X000831.SZ,X600352.SH,X600489.SH,X000959.SZ,X600157.SH,X600295.SH,X002409.SZ,X000155.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0.0524565825648529,-0.0567296693119398,0,0.101638660580773,0,0,0.088721058578012,0.209486102324206,0,0.0150520189479004,-0.038389724885976,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.167714050782514,0,0.0107406475815877,0,0,0,0,0.279149066931856,0,0,0,0.0760124337245077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,-0.0314947143338028,0,0,0,0,-0.0589494202915874,-0.0011072160564496,0,0,0,0,0,0,0,0,0,-0.122609306591659,0,8.67361737988404e-19,0,0,0,-0.0696782062563878,0.0289267345565457,0,0,0,0,0,0,0,0.00226209785809203,0,0,0.0210616089685021,0,0,0.484075037364263,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0589586780057183,0,0
X601898.SH,0,0,0.469142269863998,0,0,0,0,0,0,0,0,0,-0.188661734566477,0.171600232541391,-0.0305242118112638,0,-0.197501095424983,0,0,0,0,0,0,0,-0.00571963218884557,0,0,-0.0326053722368076,0,0,-0.0117056265688882,0,0,0,0,0,0,0.238732613198607,0,0,0,0,0,0,0,0,0,0.184260780497768,0,0,0,-0.012072662304268,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0434379797403563,0,0,0,0,0.048401569360639,0,0,0,0.0268227477143326,-0.00593853440977604,0,0,0.0543702142612514,0,0,0,0,0,0.144972104444551,0,0.209440832921056,0,0,0,0,0,0,0,0,0,-0.0480645516616694,0,0,0,0,0,0.367833796261851,0,0.184477643432951,0,0,0,0,0,0.0120685487969059,0,0,0,0.0289133304682611,0,0
X600176.SH,0,0,0,0,0,0,0,0.00618700604998925,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0753656745737505,0,0,0,0,0.144963276601129,0,0.0792005208250871,0.0103031751098623,0,0,0,0.0441568217512585,0,0,0.230051349576149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422857945935569,0,0,0,0.021731613032514,0,0,0,0,0.0509485546871939,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167283648610037,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.00033212327583838,0,0.116339246979155,0,0.0919139926765308,0,0.571572300948725,0,0.0190980626569509,0,-0.122279577001809,0,0,0.279714438032436,0,0,0,0,0,0,-0.00573843157029824,0,0,0,0.0606080606621212,0,0
X600426.SH,0,0,0,0,0,0,0.0404994450398002,0,0,0.241529290539597,0,0,0.0693991584076063,0.149106326025739,-0.0915522422815888,0,0,0,0.130630386343576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988659757995065,0,0,0,0,0,0,0.0846848803430274,0,-0.0270038686159498,0,0,0,0,0,-0.0954445318476649,0,0,0,-0.0042718393657459,0,0,0,0.15496876725518,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.197243682470184,0,0,0,0,0.210053018720048,0.138792493063892,0,0,0,0.213015697227326,0,0,0,0,0,0,0,0,0,0.15236790051355,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0346756580936894,0.0630034012239225,0,0,0,0,0,0,0.0440754039934474,0,0.0306818064985766,0,0,0,0,0,0,0
X000723.SZ,0,0,0.195421652054804,0,0,0,0,0.148491338477637,0,0,0.130176374019293,0,0.130317418528465,0,0,0,0,-0.0464957448923906,0,0,0,0.0211253127725343,0.125639874191418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109804629422989,0.0875917860479416,0,0,0,0,0,0.0636828477536359,0,-0.2011878726891,0,0.0292874343423064,0,0,0,0,0.257268143694816,0,0
X600803.SH,0,0,0,0,0,0,0,-0.00678665731748618,0,0.14437603656094,-0.00244345287002499,0,0,0.0616539558452251,0,0.148427987138922,0,0,0,-0.0555266635978433,0,0,0,0,0.146156986947342,0.31359281055981,0,0,0,0,-0.0373366793077582,0,0.146316922706827,0,0,0,0,0,-0.120397561501126,0,0.111172801650547,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0956655397813421,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0.0881676408193367,0,0,0,0,0,-0.0418583718953813,0,0,0,0,0.150366137781701,0,0,0.429051084291043,0,0,0,0,0,0,0,0,-0.0104473251591434,0,-0.0444941959635697,0,0,0,0.0769182374362503,0.179412760838296,0,0,0,0,0.0007961781916897,0.0849171682015615,0,0,0.149120876687802,-0.00591400036463807,0,0,0,0.063046900723496,0,0,0,0,0.157175698266333,0,0
X000408.SZ,0,0,0,0,0.0492739701203192,0,0,0.306104634366698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700806283568941,0.0493146695348637,0,0.11999951377369,0,0.104103728862452,0.106868940457021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788339427788939,0,-0.0245525671324204,0,0,0,0,0,0,0
X002326.SZ,0,0,0,0,0,0,0,0.250855379285048,0.0356868705430023,0,0.0416295394229328,0,0.536430177856436,0,0.118447096919036,0,0,0,0,0,0,0,0,0,0,0,-0.034910058746265,0,0,-0.0722252912152273,0,0,-6.93889390390723e-18,0,0,0,0,0.14578497448681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826799062266833,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0.355805525344027,0,0,0,0,0,0,0,0,0,0,0,0,0.227875491677477,0,0,0,0,0,0,0,0.0110445755802202,0,0,0,0,0,0,0,0,0.0589362484312987,0,0,0,0,0,0,0,0,0,0,0,0,0.0319428897737691,0,0,0,0,-0.13477529747789,0,0,0,0,0,0
X600688.SH,0,0,0.127184960718043,0,0.0295164184308269,0,0,0.0630267023936131,0.111666425633033,0,0,0,0.102210512756329,-5.42101086242752e-20,0,0,0,0.0805842637700358,0,0,0,0.0371715290173242,0,-3.46944695195361e-18,0,0,0,0,0,0.048474697546888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158516789394457,0,0,0,-0.0324526798010466,0,0,0,0,0,0,0
