,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X600886.SH,X600352.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X600808.SH,X000553.SZ,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X600426.SH,X601699.SH,X000401.SZ,X600339.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0.0644377450721512,0,0,0,0,0,0,0,0,0,0.0191168143381803,0,0,0,0.0321169690456396,0.00583431263221991,0.0761769030623175,0,0,0,0,0.0747828995328442,0,0.0845566118598156,0,0,0,0,0,0,0,0,0,0,0.0423904521754926,0,0,0.190047496768222,0,0.328870390102246,0,0.0137412244135001,0,0,0,0,-0.0203004013134322,0,0,0,0,-0.00821021277708186,0,0
X600516.SH,0,0,0,0,0,0,-0.350992347922098,0,0,0,0,0,0,0,0,0,0,0,0,0.141280780686554,0.0193144578346342,0.221412639123106,0,0,0,0,-0.182934228767805,0,0,0,0,0,0,0.913908273340229,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0205688875486604,0,0,0,0,0,0,-0.142035132730049,0.0067701100072867,0,0,0,-0.0578139226455056,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785967155970347,0,0,0.00142216033344539,0.00994000889653787,0,0.0695136045984343,0,0,0,0,0.0504135918750457,0,0,0,0.059965954314984,0,0,0.0234384315083247,0,0,0,0,0,0,0,0,0.140721142156537,0.0564322350069969,0,0,0,0,0,-0.0186013451573975,-0.000797935163229739,0,0,0,0.0227635913617838,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599867947471732,0,0,0,0,0,0,0,0,0.0827494581626189,0,0,0,0.00659636491543719,0.782897085063964,0,0,0,0,0,0.0221791504694891,0,0,0.0466625955896576,0,0,0,0,0.181551861376342,0,0,0,0.0108978307998102,0,0,0,0,0.020177465242803,0,0
X000786.SZ,0,0,0,0.111760579838075,0,0,0,0,0,0,0,0,0.186691678107867,0,0,0,0,0,0,0.201133551697176,0.113389025660642,0.0231488569359618,0.0576674262468915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128602584673624,0,0.125095016797883,0.0335334629659144,0,0,0,0.0713789515705949,0,0,0,0,0.0102386120719912,0.085553033336451,0,0,0,0.0492558020164338,0,0
X000629.SZ,0,0,0,0,0,-0.118236206347243,0,0,0,0,0,0,0,0,0.141609579539256,0,0,0.0757749946814924,0,0,0.00579659457329937,0,0,0.243236954501299,0,0,0,0,0.140221696880351,0,0.0911024656631196,0,0,0,0,0,0,0,0,0.00471864405737031,0,0,0.552068893977675,0,0,0,0,0,0,0,0,0.0655529447869289,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,-0.275691205516339,0,0,0,0,0,0,0,0,0,0,0.0290235642392903,0,0,0,0,0,0,0,0.0264921345964698,0,0,0.141260051156895,0,0.723613820789981,0,0,0,0,0,0,0,0,-0.0768824619977143,0,0.00482039754457955,-0.159788298412096,0,0,0,0,0.113465860040556,0,0.0325294027869676,0,0.0108452231202315,3.46944695195361e-18,0,0,0,0,0,0
X000883.SZ,0,0,0,-0.118170096040637,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162843907649822,0,0.21411771371571,0.147333250405191,0,0.0354432900356491,0,0,0,0,0,0.0350763640046884,0,0,0,0,0,0,0.0737193353825745,0,0,0,0,0,0.0940639264613897,0.00849717460241481,0,0,0,0,0.038198432137964,0,0,0,-0.00219634709201979,-0.00799524408862275,0,0,0,0.0128430276854914,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180367468428152,0,0,0.153923746548776,0.0728425817571879,0,0,0,0,0,0,0,0,0,0,0,0,0.317990086776579,0,0,0,0,0.177111664248709,0,0,0.0199582959732882,0,0.330311740455673,0,0,0,0,0.128727937034366,0,-0.0650045369054621,0.0167931809983682,0,0,0,0.0354058162952973,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.307013361324618,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.140262198845993,0.0919572942277164,0,0,0,0,0,0.0334695202416752,0,0,0,0,0,0,0.065832621994245,0,0,0,0,0,0,0.0253525778148219,0,0.00999279582581376,0.0557562270937758,0,0,0,0,0,-0.0234107960605711,-0.0171120203046703,0,0,0,-0.00528261960538628,0,0
