,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X600547.SH,X601898.SH,X002460.SZ,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000807.SZ,X600489.SH,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X000408.SZ,X000539.SZ,X300037.SZ,X600219.SH,X000629.SZ,X002080.SZ,X600688.SH,X000723.SZ,X600995.SH,X000933.SZ,X600157.SH,X600612.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,0,0,0,-0.017408235616264,0.0445227651047994,0,0,0,0,0,0.0614698118633247,0.844827892877945,0,0,0,0,0,0,0,0,0,0.00229575440084499,0,0,0,0,0.0559879611004492,0,0,0,0,0.0816351531020885,-0.138708028851188,0,0,0,0,0,0.0976792801511119,0,0,0,0,0,0,-0.0336912995556715,0,4.33680868994202e-19,0,0.136394166975235,-0.0254420210983968,0,-0.164416686590074,0.220160991338823,0,0,0,0
X601600.SH,0,0,0,0,-0.0538643611264918,0,0,0,0,0,0,0,-0.136288581934697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726037053058013,0.119322263550882,0,0,0.0135876203189723,0,0,0,0,0,-0.0923372433332594,0,0,0.081290153795757,0,0.0735261997359376,0,0,0,-0.0170982608058024,0,0.109435664329838,0,0,-0.0504216272618071,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0182387644055081,-0.0545020935893395,0.0868263007203425,0.654976194867377,0,0,0.0475560790695481,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110703273545703,0,0,0,0,0.0942807586656764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155852301835981,0.0655016777937264,0,0,0.0053844480642374,0,-0.0634753996264345,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.490464012839777,0,0,0,0,0,0,0,0,0,0,0,0,0.0341253261080628,-0.00698212003732001,0,0,0,0,0.213963201950807,0,0,0,0,0,0.0363395218242032,-0.00414484039437131,-0.114765968171358,0,0,0,0,0,0,0,0,0,0,-0.0240457173124265,0,-0.112033305505568,0,0,0,0,0,0
X600660.SH,0,0,0,0.0109149343579734,0,0,0,0,0,0,0,0,0,0,0,0,0.0527646298534847,0,0,0,0.0379057015508111,0,0.0150679584368625,0,0,0,0.0631383647070315,0,0,0,-0.0815704413879939,0,0,0,0,0,0,0,0,0.121996972900444,0,0,0.116338273256318,0,0,0.00899446594318209,0,0,0,0,0,-0.0299478424186883,0.0113096734061606,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184750934230144,0,0,0,0,0,0.370967056098184,0.132773242546067,0,0,0,0,0.157892130734904,0,0.0219638464036872,0.610807581555215,-0.38816940605248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120669389418026,0,0,0,0,0,0,0
X600111.SH,0,0,0.187216164361384,0,-0.0652849798148722,0,0,0,0,0,0,0.154730105838115,0,0,0,0,0,0.351581250242572,0,0,-0.0186493981643513,0,0.0390185169300571,0,0,0,0,-0.0398151265982922,0,0,0,0,0,-0.127463785402942,0.0149141716903733,0,0,0,0.011612965261021,-0.0877962734943614,0,0.413793071287911,0,0,0,0,0,0,0.0597150354101736,0,0,0,-0.00344850922687973,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.19266908412206,0,0,0,0,0,0,0,0,0,0,0.412954477666311,0,0,0,0,0,0,0,0,0,0,0,0,0.0201814765099466,0,0,0,0,0,0,0,0.0114311062178396,0.0435474420745177,-0.00443575877047593,0,0.063976054913272,0,0,0,0,0,0.0121477563279722,0.017092675937808,0,0,0.00366111264189804,-0.0184236742623336,0.0480089821417359,0,0,0,0,0
X000708.SZ,0,0,0.121293809278347,0,0,0,0,0.0365853061772098,0,0,0,-0.0475462475000832,0,0,0,0,0,0,0,0,0.122031818862236,0,0,0,0.254421881306882,0.0620529142076232,0,0.00992713079456316,0,0.0426478165990377,-0.127559380667879,0.0964817317099625,0,0.0503293762637081,0.0143775920905411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148712129912193,0.0530787057359332,0.0111816275165063,-0.0200498948736824,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0.0615630401644658,0,0,0,0,0.0550847601145994,0,0,0,0,0,0,0.118703197521949,0,0,0,-0.0545880060211521,0.235503418542572,0,0,0.0364190199097133,0,0,0.188059678586884,0.0819589715113603,0,0,0,-0.0196511981227442,-0.0516195240334231,0,0,0.142775478309623,0,0.0686413424258804,0.139967016781829,0,0,0,0,0,0.00197120852435681,0,0,0,0,0,0,0
X002271.SZ,0.0323072833380066,0,0,0.336933991732203,0,0,0.0332416316370883,-0.064632638953521,0.0748549734670137,0,0,0,0,0,0,0,-0.179442348754177,0,0,0,0,0.0578708911001794,0,0,0,0,-0.186701264395468,0,0,0,0,0,0,0.733622928141935,-0.120411908382454,0.000263876319826144,0,0,0,0,0,0,0,0,0,0,0,0.285560355018093,0,0,0,0,0.132727092229121,0,0,0,0,0,0
