,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X601898.SH,X600010.SH,X000708.SZ,X601600.SH,X600547.SH,X600660.SH,X000301.SZ,X600426.SH,X600886.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X600803.SH,X000983.SZ,X601699.SH,X000408.SZ,X600219.SH,X600096.SH,X000807.SZ,X600795.SH,X601991.SH,X600801.SH,X002080.SZ,X600985.SH,X002353.SZ,X000825.SZ,X000630.SZ,X600295.SH,X000932.SZ,X600489.SH,X600688.SH,X300073.SZ,X600486.SH,X601666.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0998864207924878,0,0,0,0,0,0.478390037359028,0,0,0,0,0,0,0,0,0,0.0464184497590692,0.0379980236415064,0,0,0,0,0,0,0.125222364084742,0,0,0,0,0.207656385559011,0.0145271956511823,0,0,0,0,0,0,0,0,-0.00649849826574331,-6.70779337710913e-05,0,0,0,0.0146988709766912,0,0
X600688.SH,0.147108263382032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850771176552655,0,0,0,0,0,0,0,0,0,0.0682840232600426,0,0.0101456712636442,0,0,0,0,0.0263029624796378,0,0,0,0.267838348732848,0,0,0,0,0.0327194526435171,0.0810717606994674,0,0,0,0,0,0,0,0,0,-0.0209211491973514,0,0,0,0,0,0
X300073.SZ,0,-0.162007635698837,0,0,-1.38777878078145e-17,0,0.273747732629919,0.161218668261177,0,0,0,0,0,0.261931828749788,0,0,0,0,0,0,0.290829259722741,0,0,0,0,0,0,0,0,0.184854735559953,0,0,0,0,0,0,-0.253887369129429,0,0,0,0,0.0414494195452277,-0.187241282557806,0,0,0,0,0,-0.122511858453304,0,0,0,-0.0358760524360776,0,0,0,0.00702458051107353,0,0
X600486.SH,0,0,0,0,0,0.146125940595446,0,0,0,0,0.0154503233322345,0,3.46944695195361e-18,0,0,0,0.00313229052546724,0,0,0,0,0,0,0.0846182805104008,0.0833416103500144,0,0,0,0,0,0.0639696138331438,0,0,0,0,0,0,0,0,0,0,0,0,0.095925868785748,0,0,0,0,0,0,0.310483168912055,-0.0631407548610205,0.0124258374875341,0,0,0,0,0,0
X601666.SH,0,0,0,-0.0574353427617448,0,0.0687524200694046,0,0,0,0,0,0,0,0,0,0,0,0,0.337462655470443,0,0,0,0,0,0,0,0,0,0.52492941964765,0,0,0.0400819943295094,0,0.0735858666562258,0,0,0,0,0,0,-0.0103889871221951,0,-0.102242448838483,0,0,0,0,-0.164432225683774,0,0,0,0,0,0,0,0,0.064410040579699,0,0
X600141.SH,0.18853972194858,0,0,0,0,0,0.270858963155799,0,0,0.105068255681724,0,0,0,0.0113753911273702,0,0,-0.115811551809126,0.0534860905854344,0,0,0,0,0,0,0,0,0,0,0,0,0.246844319887612,0,0.179594262443747,0,0,0,-0.192424085664131,0.225703490202984,0,0,0,0,0,0,0,0,0,0,-0.0449690562875306,0,0,0,-0.0163674379814534,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.057426899381799,0,0,0.036492558554693,0.16925260992289,0,0,0,0,0.0496102399547802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278348385090521,0,0,0,0.0949685312389264,0,0,0,0,0,0.388632364996092,0,0.144927930184625,0,0,0,0,0,0,0,0.0339364021973186,0,0,0,0,-0.0849218365721099,0,0,0,-0.188644619356058,0,0
Slope,0,0,0,0,0,0,0,0,0.0688180475074106,-0.0868100868758127,0.162666538433897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644239643284677,0,0,0,0,0,0,0,0,0.0901624692036218,0,0,0,0,0,0,0,-0.00530452089650054,0.0921249076561976,0,0.564825076597068,0,0,0,-0.823576875602501,0,0
TED,0.306206970642992,0,0,0,0.399503881317847,0.144819764110534,0,-8.67361737988404e-19,0,0,-0.12148619003597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749628305927388,0,0,0,0,0,-0.106518459986028,-0.0737276112630869,0,0,0,0,0,-0.13833415697509,0,0,0,0,0,0,0,-0.143854872443096,0,0,0,0.98926973514487,0,0,0,0,0.601166108229231,0,0
RealEstate_excess,0,0,0,0,0,0,0,-0.0358903313095722,0,0,-0.0799351934998882,0,-0.0779293187159956,0.101986559705592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291888031523692,0.0885397287805845,0,-0.0620407303034308,0,0,0,0.100807083984384,0,0,0,0,0,0,0,-0.0247810100073391,0.0385163804208851,-0.0242437074041522,0,0,0,0.0514085687198551,0,0
MKreturn,0,0,0,0,0,0.0367423260417552,0,0,0,0,-0.0154186082841439,0,0,-0.101261879817493,0,0,0,0,0,-0.0348437238053083,0,0,0,0,-0.137340850524064,0,0,0,0.0988797242389545,0,0,0,-0.0709271849217238,0,0,0,0,0,0,0.0441261726481769,0,0,0.0549947066915743,0,0,0,-0.0671882830375418,0,0.0434927283317771,0,1.73472347597681e-18,-0.0470982535269422,0.026540792833271,0.102990241692698,0,0,0,0,0
MKvol,-0.000660251039638793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180606439213295,0,0,0,0,0,0,0,0,0,0.00250693516328787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598977671788145,-0.00513778800541007,0,0,0,-0.00612529874616009,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0123615657856974,0,0,0,0,0,0,0,0,0,0,0,-0.011778396083846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0876370834968851,0.0709387362674548,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844620297917184,0,0,0.00847502055221594,0,0,0,0,0,0,0,0,0.00450513704010706,0,0,0,0.0102149383232734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00618942235595519,-0.00309959553499493,0,0,0,0.0687886883363155,-0.0583501280086873,0,0,0,-0.0269573548212686,0,0
CarbonVol_Hubei,0,0,0,-0.00984897374485939,0,0,0,0,0,0.00477627760898798,0,0,0,0.000409900335038051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173975869698147,0.00949062627458398,0,0,0,0,0,0,0,0,-0.0255208526846165,0,0,0,0,0,0,0,0.00815470640061556,0.0126939981167661,0,0,0,0,0.0229048695910064,0,0
