,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X600660.SH,X000877.SZ,X000301.SZ,X600010.SH,X000708.SZ,X600886.SH,X600547.SH,X600795.SH,X601600.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X000786.SZ,X601991.SH,X300073.SZ,X000629.SZ,X600803.SH,X000983.SZ,X600027.SH,X000723.SZ,X002080.SZ,X600141.SH,X601699.SH,X600219.SH,X600801.SH,X002192.SZ,X600157.SH,X600486.SH,X000959.SZ,X000883.SZ,X600160.SH,X600399.SH,X002353.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.42497045558629,0,0,0.116511460594309,0,0,0,0,0,0,0,0,0,0,0,0.0144264744819369,0,0,0,0,0,0,0.331604713330697,0,0,0,-0.242707973995595,0,0,0,0,0,0,0,0,0.0551638696061528,0,0,0,0,0,0,0,0.0701921130839988,0,0
X000708.SZ,0.0862693373184172,0,0,0,0,-0.0970037244156049,0,0,0,0,0,0,0.058474882827621,0,0,0,0,0,0,0,0.104533451976409,-0.0541746678582227,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253152864682763,0.145668176312542,0.136301347917328,0,0,-0.00242597371437936,0,0,0,0,0,0,0
X600886.SH,-0.0679418046315533,0,0,0,0.0203677535892293,0,0,0.0318941634198082,0.108091650556528,0,0,0.0531786464699541,0,0,0,0,-0.0183534285264243,0,0,0,0,0,0,0,0,0,0,0,0.0254324997294606,0,-0.0646931784256284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195372134917989,0,0,0,0,0.0545941807828333,0,0,-0.00251715171291072,0,0,-0.0487334167100254,0,0
X600547.SH,0,0,0,0,0.0384449247074318,0,0,0.104453280180348,0.0695416253340614,0,0,0,0,0.0294596995668535,0,0,0,0,0,0,0,0,0.125901427474984,0,0,0.0340638071094726,0,0,0,0,0,0,0.145185594733798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130681828922829,0,0,0,0.0381192269257279,-0.0286106704652531,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0604958083044568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108194936776534,0,-0.130315478361349,0.238367755726954,0,0.011177131600832,0,0,0.0727471151452188,0,0.0537653017775187,0,0,0,0,0,0,0.00330275421989112,0,0,0,-0.0965416266834771,0,0,0,0,0.0144922468677828,0,0,0,-0.00884892158109401,0,0
X601600.SH,0,0,0,0,0,0.0193130524612718,0,0,0,0,0,0,0,0.28111230514921,0,0,0,0,0,0,0,0,0,0,0,0,0.0421915370666053,0,0,0,0,0.0736248403423573,0,0,0,0,0,0,0.182023386715206,0,0,0.0986990291072678,0,0,0.0187512246855446,0,0.0509627112443337,0,0,0,0,0,0,0,0,0,-0.0372383147558945,0,0
X600176.SH,0,0.017945887873258,0,0.068904597951662,0,0,0,0,0,0,0.0318552254759082,0,0,0,0.0203331635956182,0,0,0,0,0,0,0,0,0,0,0,0,0.231605565080546,0,0,0,-0.0617015708874334,0,0,0,0,0.155915560721926,0,0,0,0.0691346075332583,0,0,0,0,0,0,0.0127589188827417,-1.0842021724855e-19,0,0,-0.00926240519371073,-0.119710078084064,0,0,0,0.0178030221406946,0,0
X600362.SH,0,0,0,0,-4.33680868994202e-19,0.000167373145625014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26022028430715,0,0,0.0451181686728813,0,0.00816277878246793,0,0,0,0,0,0.125856625995839,0,0,0.0304307595800638,0,0.0524615501724762,0.157797282887214,0,0.0942577206444582,0,0,0,0,0.0300009952731836,0,0,0,0,0,0,0,0,0,0.00224623751022961,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.324491018677778,0,0,0,0,0.243560042562784,0,0,0.109772513548422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980178762284476,0.0510605265955208,0,0,-0.158642905764412,0.124766519592169,0,0,0,0,0,0.119402467708733,0,0,0,0,0,0.0108219238525385,0,0,0,-0.0189712973366194,0,0,0,0,-0.0678284776717707,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.0881098327217631,0,0,0,0.0960226803203264,-0.0557342464425481,0,0,0,0,0,0,0,0.155411164110155,0,0,0,0,0.0449036049745387,0.0669888854434131,0,0.159548618677861,0.106953400827692,0,0.0116967245135803,0,0,0,0.134968405170323,0,0.210114180871293,0,0,0.0701935101890876,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00525031018110481,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169256394221472,0,0,0,0,0,0,0,-0.152092904831299,0,0,0,0,0,1.02599701957613,0,0,0,0,0,0,0,0,0.0157622386211938,0,0.059249870396742,0,0,0.0191141908810284,-0.0479638297263561,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0.0329720955036566,0,0.592032229901691,0,-0.0800094695937541,0,0,0.0145516637465144,-0.120468982787936,0,0,-0.116540544842349,0,0.101855326349085,0,0,0.0599325375208785,0.0274769143412055,0,0,0.032942729875948,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0344384467206751,0,0,0,0.0905987866704632,0,0,0,0,0.0954574356230456,0,0,-0.0235388554150216,-0.072757050681769,0,0,0,-0.0400783876908114,0,0
X601991.SH,0,0,0,0,0,-0.174574285486631,0.0592711371093698,0,0,0,0,0.0400371609122279,0,0,0,0,0,0,0,0,0,0,0.227176705429549,0,0,0,0,0.179129479787907,0,0,0,0.0128523750199049,0,0,0.100289341130726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967234245617793,0,0,-0.00986756652975036,-0.00218393845902843,0,0,0,0,0,0
X300073.SZ,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.111622107237145,0,0.0862464721820109,0,0,0,0,0.165020217552032,0,0,0,0,0,0,0.0369988078502482,0,0.118607658152382,0,0,0,0.108318057406815,0,-0.0272211203560262,0,0,0,0,-0.0310050026518358,0,0,0,0,0,0,0,0,0,0,0.124349671159761,0,5.42101086242752e-20,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.141399143881831,0,0.0346889974021702,0,0,0.177667968135917,0,0.0722555834342073,0,0,0,0,0,0,0,0,0,0,0,0.153189789173479,0,0,3.46944695195361e-18,0,0,0,0,0,0.0141568109261992,0,0,0,0.193301264693998,0,0,0,0,0,0,0,0,0,0.0209690318451992,0,0.243832275112754,0,0.04390870847973,0.0355834334066016,0,0,0,0.264563189312302,0,0
X600803.SH,0.0481564391053674,0,0,0,0,0,0,0.0618078411474972,0,0,0.0452861813032577,0,0.0126356789598536,0.146026602246799,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0312096838580825,0,0,0,0,0,0,0,0.0865596974442683,0,0,0,0,0,0,0,0,0.0424044867802439,0,0,0.0119910689347497,0,0,0,0,0.000373780668848349,0,0
X000983.SZ,0,0,0,-0.00289014237978984,0,0.0852619135930403,0,0,0,0,0.565869938985106,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330824582574762,-0.0137053418251524,0,-0.085219164570074,0,0,0,0,0,0,0,0.498753310491716,0,0,-0.0651694551575631,0,0,0,0,0,0,0,0,0,0.00512219009098099,0,0,0,0,-0.023999599633579,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.351494215932882,0,0.0395468367237658,0,0,0,-0.161916057006484,0.0838434574056312,0,0,0.235943446509816,0,0,0,0,0.0268500435117176,0,0,0.0497401902701536,0,0,0,0,0,0,0,0,0,0,0,0.0533328999203844,0,0.00870137736672903,0,0,0.0278244688944339,0,0,0,0,0,0.044599972578218,0,0,0,-0.0501415905580015,0,0
X000723.SZ,0,0,0,0,0.127547117182057,0,0,0,0,0,0,0,0,0.257943092013692,0,0,0,0.0117393656198846,0,0,0,0,0.0439116743306476,0,0,0,0,0.0510279705481504,0,0,0,0,0,0,0,0,0.235125390937957,0,0,0,0,0,0,0,0,0,0.0664330123383238,0,0.0259101067218746,0,0,0,0,0,0,0,0,0,0
