,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X600547.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X002466.SZ,X600111.SH,X000629.SZ,X600176.SH,X600516.SH,X000709.SZ,X600808.SH,X600299.SH,X002460.SZ,X600352.SH,X600801.SH,X000825.SZ,X002110.SZ,X300072.SZ,X600426.SH,X600339.SH,X600583.SH,X600489.SH,X000786.SZ,X601158.SH,X000553.SZ,X600219.SH,X601699.SH,X000883.SZ,X000932.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,0,0,0,0,0,0.0861431918108484,0,0,0.422388064535657,0,0.00793811851712567,0,0.129156518683942,0,0,0,0,0,-0.0255237052333979,0,0,0,0,0,0,0.0337248331900877,0,0,0.648430098896326,0,-0.109831602534463,0,0,0.0331021978587047,0,-0.100237343006581,0,0,0,0,0,0,0,0,0,0.0304662375215569,0,0,0.00274077095690367,0.0242456869644864,0,-0.108329167089512,0,0,0,0
X600111.SH,0,0,0,0.154542783962729,-0.123948759364833,0,0,0,0,0,0,0,0,0.0800064517715005,0,0,0,0,0,0,0,-0.0382160252922272,0,0,0.15633393485574,0,0,0,0,0,0.163717261293893,0.11357380809419,0,0,0,0,0,0.203541795420831,0,0.139589171217075,0,0,0,0,0,0,0,0,0,0.00254782596498659,0.0296853395003536,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,-0.359087984359544,0,0,0,0,0,0,0.0698415678291038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01927421381523,0,-0.186005078814871,0,0,0.631049196650269,0,-0.0517157422764147,0,0,0,0,0,0,0,-0.717429811793614,0.476102072397266,-0.282901670388045,0,0,-0.0524761646116573,0.0255801844878571,0,0,0,0,0,0
X600176.SH,0,0,0.0479059170290408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522196011805588,0,0.0452052990466035,0.00157517002814102,0,0.148924386259759,0.27131096969605,0,0,0,0,0,0.442357719647863,0,0,0,0,0,0,0,0,-0.0354490840326251,0,0,0,0,0,0
X600516.SH,0,0.208587196604773,0,0,0,0,0,0,0,0.112021340110162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121959027188067,0,0,0,0,0.213360000522924,0.111152859879864,0.287921461929849,-0.0429674735813751,0,0,0,0,0,0,0,0.193674152854131,0,0,0,0,0,0,0,0,0,-0.00944972689322043,-0.0432290080956264,0,-0.182913005817107,0,0,0,0
X000709.SZ,0,0.0755956980557322,0,0.112724054944139,0,0,0,0,0,0,0,0,0,0.198431697920349,0,0,0,0,0.149517646768143,0,0,0.00842974138356159,0,0,0,0.0922229242208795,0,0,0,0,0,0,0.0597676533155779,0,0.0621043168487699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00816184892835419,-0.00840868791662434,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,-0.0646511626952893,0,0,0,0,0,0,0,0,0,0,0,0,0.407598490429366,0,0,0,0,0,0,-0.0305628836441016,0,0,0,-0.038792144443686,0,0,0,0.278830995803597,-0.0282272220701643,0.108469458389363,0,-0.0640083039469553,0,0,0,-0.129066682573193,0,0,0,0.191913952734326,0,0,0.026692327578358,0.0018949394675132,-0.0218385257692485,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0.0199657700960836,0.0611814078654212,0,0,0,0,0,0.0351144722673708,0,0,0,0,0,-0.183312826195219,0,0,0,0,0,0,0.0590352713378564,0,0,0,0,0.404713684777493,0,0,0,0.151275350161299,0,0.0795647209066257,0,0,0,0,0.00623280246194946,0,0,0,0,0,0,0,-0.0211722059495868,-0.0461294617764701,0,0,0,-0.248843748533151,-0.00423903598274697,0
X002460.SZ,-0.101204720323238,0.187276392185931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126550011356862,0,0,0.733516325586131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128532773466823,0,0,0,0,0,0,0.180536244595381,0,0,-0.0311786910557862,-0.0898557459173063,0,-0.0657455324902222,0,-0.125224427508376,0,0
X600352.SH,0,0,0,0,0,0.0991950425279716,0.179641687983088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148689150446828,0,0,0,0.107385254998921,0,0,0,0,0,0.0397118170390797,0.0461245062977975,0,0,0,0,0.0808970156154668,0,0,0,0,0,0,0,0.0977809883005171,0,0,0,0.00309068132583295,-0.0200222386422812,0,0,0,0,0,0
